X,Y
20.000000,92.311
20.299999,92.340
20.600000,92.365
20.900000,92.385
21.200001,92.401
21.400000,92.412
21.799999,92.435
22.000000,92.447
22.400000,92.471
22.700001,92.482
23.000000,92.481
23.299999,92.463
23.600000,92.433
24.000000,92.384
24.299999,92.354
24.700001,92.335
25.000000,92.340
25.400000,92.360
25.799999,92.376
26.200001,92.373
26.500000,92.359
26.900000,92.333
27.200001,92.316
27.600000,92.306
28.000000,92.306
28.500000,92.306
29.000000,92.290
29.500000,92.262
30.000000,92.231
30.400000,92.209
30.700001,92.195
31.100000,92.174
31.500000,92.153
32.000000,92.127
32.500000,92.105
33.000000,92.085
33.500000,92.065
34.000000,92.042
34.500000,92.016
35.000000,91.989
35.500000,91.962
36.000000,91.933
36.500000,91.902
37.000000,91.872
37.500000,91.845
38.200001,91.815
38.700001,91.793
39.500000,91.752
40.000000,91.722
40.599998,91.686
41.200001,91.657
41.799999,91.632
42.500000,91.604
43.099998,91.577
43.700001,91.547
44.400002,91.510
45.000000,91.477
45.500000,91.450
46.200001,91.413
46.799999,91.384
47.500000,91.349
48.200001,91.309
48.700001,91.275
49.400002,91.224
50.000000,91.182
50.799999,91.131
51.500000,91.095
52.200001,91.069
53.000000,91.049
53.799999,91.026
54.500000,91.000
55.200001,90.969
56.000000,90.930
57.000000,90.883
58.000000,90.838
59.000000,90.792
60.000000,90.746
60.799999,90.709
61.500000,90.677
62.200001,90.643
63.000000,90.604
64.000000,90.556
65.000000,90.510
66.000000,90.466
67.000000,90.426
68.000000,90.389
69.000000,90.355
70.000000,90.319
71.000000,90.273
72.000000,90.217
73.000000,90.161
74.000000,90.107
75.000000,90.056
76.199997,89.999
77.500000,89.940
78.800003,89.883
80.000000,89.829
81.199997,89.774
82.500000,89.712
83.800003,89.652
85.000000,89.600
86.199997,89.546
87.500000,89.486
88.500000,89.440
90.000000,89.373
91.199997,89.321
92.500000,89.265
93.800003,89.207
95.000000,89.152
96.199997,89.093
97.500000,89.033
98.800003,88.984
100.000000,88.945
101.500000,88.894
103.000000,88.838
104.400002,88.785
106.000000,88.726
107.500000,88.671
109.000000,88.614
110.599998,88.551
112.000000,88.497
113.800003,88.432
115.000000,88.391
117.199997,88.315
118.000000,88.288
120.599998,88.199
122.000000,88.151
124.099998,88.079
125.000000,88.049
126.500000,88.000
128.000000,87.951
131.500000,87.840
132.000000,87.825
134.000000,87.761
136.000000,87.698
138.000000,87.636
140.000000,87.577
143.000000,87.489
145.000000,87.430
147.500000,87.355
150.000000,87.281
152.500000,87.209
155.000000,87.138
157.500000,87.067
160.000000,86.995
162.500000,86.926
165.000000,86.863
167.500000,86.801
170.000000,86.735
172.500000,86.668
175.000000,86.603
177.500000,86.542
180.000000,86.483
182.500000,86.423
185.000000,86.363
187.500000,86.304
190.000000,86.248
192.500000,86.192
195.000000,86.135
197.500000,86.078
200.000000,86.023
203.000000,85.960
206.000000,85.898
209.000000,85.837
212.000000,85.777
214.000000,85.737
218.000000,85.660
220.000000,85.622
224.000000,85.547
227.000000,85.490
230.000000,85.434
233.000000,85.379
236.000000,85.326
240.000000,85.258
243.000000,85.208
247.000000,85.143
250.000000,85.093
254.000000,85.029
258.000000,84.967
262.000000,84.905
265.000000,84.860
269.000000,84.801
272.000000,84.759
276.000000,84.704
280.000000,84.650
285.000000,84.583
290.000000,84.516
295.000000,84.452
300.000000,84.390
304.000000,84.341
307.000000,84.305
311.000000,84.258
315.000000,84.212
320.000000,84.156
325.000000,84.100
330.000000,84.046
335.000000,83.993
340.000000,83.941
345.000000,83.892
350.000000,83.845
355.000000,83.799
360.000000,83.753
365.000000,83.709
370.000000,83.666
375.000000,83.624
382.000000,83.566
387.000000,83.526
395.000000,83.461
400.000000,83.422
406.000000,83.377
412.000000,83.333
418.000000,83.290
425.000000,83.243
431.000000,83.204
437.000000,83.169
444.000000,83.131
450.000000,83.100
455.000000,83.074
462.000000,83.040
468.000000,83.015
475.000000,82.988
482.000000,82.966
487.000000,82.953
494.000000,82.938
500.000000,82.929
508.000000,82.921
515.000000,82.920
522.000000,82.926
530.000000,82.940
538.000000,82.963
545.000000,82.990
552.000000,83.021
560.000000,83.060
570.000000,83.116
580.000000,83.176
590.000000,83.240
600.000000,83.304
608.000000,83.354
615.000000,83.395
622.000000,83.435
630.000000,83.476
640.000000,83.523
650.000000,83.563
660.000000,83.596
670.000000,83.626
680.000000,83.653
690.000000,83.677
700.000000,83.698
710.000000,83.717
720.000000,83.729
730.000000,83.724
740.000000,83.689
750.000000,83.622
762.000000,83.537
775.000000,83.504
788.000000,83.558
800.000000,83.678
812.000000,83.823
825.000000,83.950
838.000000,84.029
850.000000,84.077
862.000000,84.118
875.000000,84.165
885.000000,84.206
900.000000,84.272
912.000000,84.331
925.000000,84.400
938.000000,84.475
950.000000,84.548
962.000000,84.626
975.000000,84.715
988.000000,84.807
1000.000000,84.895
1015.000000,85.007
1030.000000,85.123
1044.000000,85.233
1060.000000,85.359
1075.000000,85.478
1090.000000,85.597
1106.000000,85.723
1120.000000,85.832
1138.000000,85.969
1150.000000,86.058
1172.000000,86.218
1180.000000,86.275
1206.000000,86.456
1220.000000,86.549
1241.000000,86.684
1250.000000,86.740
1265.000000,86.833
1280.000000,86.923
1315.000000,87.125
1320.000000,87.152
1340.000000,87.261
1360.000000,87.367
1380.000000,87.470
1400.000000,87.571
1430.000000,87.718
1450.000000,87.815
1475.000000,87.934
1500.000000,88.052
1525.000000,88.169
1550.000000,88.285
1575.000000,88.400
1600.000000,88.516
1625.000000,88.631
1650.000000,88.746
1675.000000,88.862
1700.000000,88.977
1725.000000,89.093
1750.000000,89.209
1775.000000,89.325
1800.000000,89.442
1825.000000,89.557
1850.000000,89.672
1875.000000,89.787
1900.000000,89.902
1925.000000,90.015
1950.000000,90.128
1975.000000,90.240
2000.000000,90.351
2030.000000,90.481
2060.000000,90.610
2090.000000,90.737
2120.000000,90.861
2140.000000,90.941
2180.000000,91.098
2200.000000,91.175
2240.000000,91.322
2270.000000,91.428
2300.000000,91.531
2330.000000,91.629
2360.000000,91.722
2400.000000,91.840
2430.000000,91.923
2470.000000,92.028
2500.000000,92.100
2540.000000,92.190
2580.000000,92.271
2620.000000,92.345
2650.000000,92.394
2690.000000,92.454
2720.000000,92.495
2760.000000,92.543
2800.000000,92.585
2850.000000,92.629
2900.000000,92.665
2950.000000,92.694
3000.000000,92.715
3040.000000,92.728
3070.000000,92.736
3110.000000,92.743
3150.000000,92.748
3200.000000,92.749
3250.000000,92.747
3300.000000,92.742
3350.000000,92.734
3400.000000,92.723
3450.000000,92.709
3500.000000,92.691
3550.000000,92.669
3600.000000,92.642
3650.000000,92.611
3700.000000,92.574
3750.000000,92.532
3820.000000,92.460
3870.000000,92.401
3950.000000,92.287
4000.000000,92.203
4060.000000,92.089
4120.000000,91.958
4180.000000,91.811
4250.000000,91.617
4310.000000,91.431
4370.000000,91.227
4440.000000,90.968
4500.000000,90.728
4550.000000,90.517
4620.000000,90.205
4680.000000,89.925
4750.000000,89.585
4820.000000,89.235
4870.000000,88.981
4940.000000,88.619
5000.000000,88.307
5080.000000,87.890
5150.000000,87.527
5220.000000,87.169
5300.000000,86.767
5380.000000,86.376
5450.000000,86.045
5520.000000,85.725
5600.000000,85.375
5700.000000,84.962
5800.000000,84.577
5900.000000,84.224
6000.000000,83.904
6080.000000,83.672
6150.000000,83.487
6220.000000,83.319
6300.000000,83.151
6400.000000,82.974
6500.000000,82.835
6600.000000,82.735
6700.000000,82.675
6800.000000,82.657
6900.000000,82.684
7000.000000,82.760
7100.000000,82.889
7200.000000,83.073
7300.000000,83.310
7400.000000,83.601
7500.000000,83.941
7620.000000,84.408
7750.000000,84.964
7880.000000,85.526
8000.000000,85.990
8120.000000,86.329
8250.000000,86.474
8380.000000,86.315
8500.000000,85.868
8620.000000,85.146
8750.000000,84.107
8850.000000,83.177
9000.000000,81.669
9120.000000,80.443
9250.000000,79.184
9380.000000,78.100
9500.000000,77.369
9620.000000,77.013
9750.000000,77.112
