X,Y
20.000000,81.716
20.299999,81.873
20.600000,82.008
20.900000,82.119
21.200001,82.205
21.400000,82.249
21.799999,82.309
22.000000,82.325
22.400000,82.335
22.700001,82.324
23.000000,82.297
23.299999,82.257
23.600000,82.208
24.000000,82.141
24.299999,82.098
24.700001,82.056
25.000000,82.037
25.400000,82.030
25.799999,82.041
26.200001,82.072
26.500000,82.109
26.900000,82.174
27.200001,82.232
27.600000,82.315
28.000000,82.400
28.500000,82.498
29.000000,82.579
29.500000,82.638
30.000000,82.672
30.400000,82.683
30.700001,82.682
31.100000,82.669
31.500000,82.645
32.000000,82.602
32.500000,82.553
33.000000,82.507
33.500000,82.470
34.000000,82.445
34.500000,82.433
35.000000,82.432
35.500000,82.439
36.000000,82.450
36.500000,82.462
37.000000,82.472
37.500000,82.481
38.200001,82.485
38.700001,82.481
39.500000,82.459
40.000000,82.438
40.599998,82.406
41.200001,82.371
41.799999,82.336
42.500000,82.300
43.099998,82.273
43.700001,82.248
44.400002,82.221
45.000000,82.197
45.500000,82.176
46.200001,82.143
46.799999,82.113
47.500000,82.081
48.200001,82.054
48.700001,82.040
49.400002,82.022
50.000000,82.003
50.799999,81.965
51.500000,81.921
52.200001,81.875
53.000000,81.827
53.799999,81.783
54.500000,81.746
55.200001,81.709
56.000000,81.665
57.000000,81.606
58.000000,81.541
59.000000,81.480
60.000000,81.428
60.799999,81.395
61.500000,81.376
62.200001,81.362
63.000000,81.336
64.000000,81.275
65.000000,81.201
66.000000,81.144
67.000000,81.102
68.000000,81.056
69.000000,81.000
70.000000,80.940
71.000000,80.881
72.000000,80.825
73.000000,80.769
74.000000,80.713
75.000000,80.659
76.199997,80.602
77.500000,80.542
78.800003,80.476
80.000000,80.413
81.199997,80.351
82.500000,80.287
83.800003,80.224
85.000000,80.163
86.199997,80.097
87.500000,80.017
88.500000,79.952
90.000000,79.863
91.199997,79.815
92.500000,79.776
93.800003,79.738
95.000000,79.701
96.199997,79.668
97.500000,79.639
98.800003,79.612
100.000000,79.572
101.500000,79.495
103.000000,79.410
104.400002,79.336
106.000000,79.258
107.500000,79.192
109.000000,79.134
110.599998,79.077
112.000000,79.027
113.800003,78.958
115.000000,78.911
117.199997,78.828
118.000000,78.798
120.599998,78.701
122.000000,78.648
124.099998,78.573
125.000000,78.542
126.500000,78.491
128.000000,78.442
131.500000,78.332
132.000000,78.316
134.000000,78.253
136.000000,78.189
138.000000,78.127
