X,Y
20.000000,91.560
20.299999,91.640
20.600000,91.713
20.900000,91.778
21.200001,91.834
21.400000,91.866
21.799999,91.920
22.000000,91.942
22.400000,91.977
22.700001,91.996
23.000000,92.009
23.299999,92.018
23.600000,92.023
24.000000,92.028
24.299999,92.031
24.700001,92.039
25.000000,92.048
25.400000,92.064
25.799999,92.086
26.200001,92.112
26.500000,92.136
26.900000,92.171
27.200001,92.200
27.600000,92.239
28.000000,92.278
28.500000,92.325
29.000000,92.365
29.500000,92.399
30.000000,92.425
30.400000,92.442
30.700001,92.452
31.100000,92.463
31.500000,92.472
32.000000,92.481
32.500000,92.488
33.000000,92.494
33.500000,92.498
34.000000,92.504
34.500000,92.510
35.000000,92.520
35.500000,92.531
36.000000,92.545
36.500000,92.562
37.000000,92.579
37.500000,92.594
38.200001,92.610
38.700001,92.617
39.500000,92.622
40.000000,92.623
40.599998,92.623
41.200001,92.620
41.799999,92.617
42.500000,92.614
43.099998,92.612
43.700001,92.612
44.400002,92.612
45.000000,92.614
45.500000,92.614
46.200001,92.615
46.799999,92.615
47.500000,92.614
48.200001,92.612
48.700001,92.610
49.400002,92.607
50.000000,92.604
50.799999,92.598
51.500000,92.592
52.200001,92.586
53.000000,92.578
53.799999,92.570
54.500000,92.561
55.200001,92.553
56.000000,92.544
57.000000,92.532
58.000000,92.520
59.000000,92.509
60.000000,92.499
60.799999,92.492
61.500000,92.485
62.200001,92.477
63.000000,92.466
64.000000,92.452
65.000000,92.437
66.000000,92.422
67.000000,92.408
68.000000,92.393
69.000000,92.379
70.000000,92.364
71.000000,92.350
72.000000,92.334
73.000000,92.318
74.000000,92.302
75.000000,92.286
76.199997,92.267
77.500000,92.246
78.800003,92.224
80.000000,92.202
81.199997,92.181
82.500000,92.157
83.800003,92.135
85.000000,92.114
86.199997,92.092
87.500000,92.068
88.500000,92.049
90.000000,92.020
91.199997,91.997
92.500000,91.972
93.800003,91.947
95.000000,91.923
96.199997,91.900
97.500000,91.874
98.800003,91.847
100.000000,91.823
101.500000,91.795
103.000000,91.770
104.400002,91.746
106.000000,91.715
107.500000,91.683
109.000000,91.651
110.599998,91.618
112.000000,91.592
113.800003,91.560
115.000000,91.539
117.199997,91.495
118.000000,91.478
120.599998,91.420
122.000000,91.389
124.099998,91.342
125.000000,91.322
126.500000,91.288
128.000000,91.255
131.500000,91.173
132.000000,91.161
134.000000,91.111
136.000000,91.059
138.000000,91.003
140.000000,90.946
143.000000,90.860
145.000000,90.805
147.500000,90.741
150.000000,90.690
152.500000,90.654
155.000000,90.638
157.500000,90.642
160.000000,90.653
162.500000,90.662
165.000000,90.662
167.500000,90.652
170.000000,90.633
172.500000,90.604
175.000000,90.569
177.500000,90.531
180.000000,90.493
182.500000,90.454
185.000000,90.416
187.500000,90.377
190.000000,90.337
192.500000,90.295
195.000000,90.252
197.500000,90.210
200.000000,90.170
203.000000,90.122
206.000000,90.074
209.000000,90.026
212.000000,89.978
214.000000,89.947
218.000000,89.884
220.000000,89.853
224.000000,89.792
227.000000,89.747
230.000000,89.701
233.000000,89.656
236.000000,89.612
240.000000,89.557
243.000000,89.517
247.000000,89.465
250.000000,89.425
254.000000,89.372
258.000000,89.320
262.000000,89.269
265.000000,89.231
269.000000,89.180
272.000000,89.143
276.000000,89.094
280.000000,89.046
285.000000,88.987
290.000000,88.927
295.000000,88.868
300.000000,88.811
304.000000,88.767
307.000000,88.733
311.000000,88.690
315.000000,88.648
320.000000,88.596
325.000000,88.546
330.000000,88.497
335.000000,88.449
340.000000,88.402
345.000000,88.357
350.000000,88.313
355.000000,88.270
360.000000,88.227
365.000000,88.185
370.000000,88.144
375.000000,88.104
382.000000,88.049
387.000000,88.009
395.000000,87.949
400.000000,87.912
406.000000,87.871
412.000000,87.831
418.000000,87.793
425.000000,87.751
431.000000,87.716
437.000000,87.683
444.000000,87.644
450.000000,87.612
455.000000,87.584
462.000000,87.546
468.000000,87.514
475.000000,87.478
482.000000,87.443
487.000000,87.419
494.000000,87.387
500.000000,87.361
508.000000,87.326
515.000000,87.297
522.000000,87.269
530.000000,87.239
538.000000,87.209
545.000000,87.184
552.000000,87.161
560.000000,87.135
570.000000,87.106
580.000000,87.078
590.000000,87.053
600.000000,87.030
608.000000,87.013
615.000000,86.999
622.000000,86.986
630.000000,86.971
640.000000,86.956
650.000000,86.943
660.000000,86.933
670.000000,86.924
680.000000,86.918
690.000000,86.915
700.000000,86.913
710.000000,86.914
720.000000,86.917
730.000000,86.922
740.000000,86.929
750.000000,86.939
762.000000,86.953
775.000000,86.974
788.000000,86.999
800.000000,87.026
812.000000,87.057
825.000000,87.095
838.000000,87.137
850.000000,87.179
862.000000,87.225
875.000000,87.278
885.000000,87.321
900.000000,87.389
912.000000,87.448
925.000000,87.516
938.000000,87.588
950.000000,87.657
962.000000,87.730
975.000000,87.811
988.000000,87.895
1000.000000,87.975
1015.000000,88.078
1030.000000,88.182
1044.000000,88.281
1060.000000,88.396
1075.000000,88.505
1090.000000,88.614
1106.000000,88.731
1120.000000,88.834
1138.000000,88.965
1150.000000,89.052
1172.000000,89.208
1180.000000,89.264
1206.000000,89.444
1220.000000,89.538
1241.000000,89.677
1250.000000,89.736
1265.000000,89.832
1280.000000,89.926
1315.000000,90.141
1320.000000,90.171
1340.000000,90.290
1360.000000,90.408
1380.000000,90.523
1400.000000,90.637
1430.000000,90.806
1450.000000,90.917
1475.000000,91.056
1500.000000,91.196
1525.000000,91.336
1550.000000,91.476
1575.000000,91.617
1600.000000,91.759
1625.000000,91.902
1650.000000,92.046
1675.000000,92.190
1700.000000,92.335
1725.000000,92.479
1750.000000,92.624
1775.000000,92.768
1800.000000,92.912
1825.000000,93.055
1850.000000,93.198
1875.000000,93.339
1900.000000,93.478
1925.000000,93.616
1950.000000,93.751
1975.000000,93.885
2000.000000,94.016
2030.000000,94.171
2060.000000,94.322
2090.000000,94.468
2120.000000,94.609
2140.000000,94.699
2180.000000,94.871
2200.000000,94.952
2240.000000,95.102
2270.000000,95.203
2300.000000,95.295
2330.000000,95.376
2360.000000,95.445
2400.000000,95.519
2430.000000,95.559
2470.000000,95.592
2500.000000,95.602
2540.000000,95.596
2580.000000,95.567
2620.000000,95.518
2650.000000,95.469
2690.000000,95.386
2720.000000,95.314
2760.000000,95.203
2800.000000,95.080
2850.000000,94.909
2900.000000,94.724
2950.000000,94.528
3000.000000,94.326
3040.000000,94.162
3070.000000,94.039
3110.000000,93.878
3150.000000,93.723
3200.000000,93.541
3250.000000,93.374
3300.000000,93.220
3350.000000,93.073
3400.000000,92.928
3450.000000,92.783
3500.000000,92.637
3550.000000,92.495
3600.000000,92.361
3650.000000,92.239
3700.000000,92.131
3750.000000,92.040
3820.000000,91.936
3870.000000,91.875
3950.000000,91.797
4000.000000,91.759
4060.000000,91.725
4120.000000,91.701
4180.000000,91.690
4250.000000,91.692
4310.000000,91.706
4370.000000,91.732
4440.000000,91.776
4500.000000,91.827
4550.000000,91.878
4620.000000,91.960
4680.000000,92.042
4750.000000,92.150
4820.000000,92.269
4870.000000,92.361
4940.000000,92.498
5000.000000,92.620
5080.000000,92.785
5150.000000,92.928
5220.000000,93.067
5300.000000,93.227
5380.000000,93.402
5450.000000,93.572
5520.000000,93.736
5600.000000,93.890
5700.000000,94.017
5800.000000,94.075
5900.000000,94.067
6000.000000,93.995
6080.000000,93.893
6150.000000,93.772
6220.000000,93.625
6300.000000,93.428
6400.000000,93.143
6500.000000,92.823
6600.000000,92.476
6700.000000,92.112
6800.000000,91.742
6900.000000,91.383
7000.000000,91.048
7100.000000,90.752
7200.000000,90.506
7300.000000,90.313
7400.000000,90.175
7500.000000,90.090
7620.000000,90.059
7750.000000,90.114
7880.000000,90.266
8000.000000,90.496
8120.000000,90.816
8250.000000,91.264
8380.000000,91.814
8500.000000,92.394
8620.000000,93.009
8750.000000,93.650
8850.000000,94.069
9000.000000,94.470
9120.000000,94.519
9250.000000,94.254
9380.000000,93.669
9500.000000,92.894
9620.000000,91.967
9750.000000,90.884
9880.000000,89.786
10000.000000,88.793
10150.000000,87.620
10300.000000,86.559
10440.000000,85.684
10600.000000,84.820
10750.000000,84.133
10900.000000,83.557
11060.000000,83.056
11200.000000,82.706
11380.000000,82.371
11500.000000,82.217
11720.000000,82.079
11800.000000,82.076
12060.000000,82.243
12200.000000,82.453
12410.000000,82.948
12500.000000,83.234
12650.000000,83.822
12800.000000,84.557
13150.000000,86.806
13200.000000,87.166
13400.000000,88.578
13600.000000,89.743
13800.000000,90.412
14000.000000,90.452
14300.000000,89.427
14500.000000,88.259
14750.000000,86.574
15000.000000,84.903
15250.000000,83.439
15500.000000,82.296
15750.000000,81.516
16000.000000,81.099
16250.000000,81.026
16500.000000,81.269
16750.000000,81.786
17000.000000,82.495
17250.000000,83.253
17500.000000,83.871
17750.000000,84.165
18000.000000,84.012
18250.000000,83.393
18500.000000,82.395
18750.000000,81.165
19000.000000,79.874
19250.000000,78.674
19500.000000,77.680
19750.000000,76.968
