X,Y
20.000000,87.365
20.299999,87.381
20.600000,87.394
20.900000,87.406
21.200001,87.417
21.400000,87.425
21.799999,87.443
22.000000,87.453
22.400000,87.476
22.700001,87.495
23.000000,87.517
23.299999,87.540
23.600000,87.566
24.000000,87.601
24.299999,87.630
24.700001,87.668
25.000000,87.698
25.400000,87.737
25.799999,87.776
26.200001,87.813
26.500000,87.839
26.900000,87.869
27.200001,87.889
27.600000,87.911
28.000000,87.929
28.500000,87.947
29.000000,87.962
29.500000,87.973
30.000000,87.982
30.400000,87.988
30.700001,87.992
31.100000,87.999
31.500000,88.006
32.000000,88.017
32.500000,88.030
33.000000,88.044
33.500000,88.060
34.000000,88.076
34.500000,88.092
35.000000,88.106
35.500000,88.119
36.000000,88.130
36.500000,88.137
37.000000,88.141
37.500000,88.143
38.200001,88.141
38.700001,88.139
39.500000,88.135
40.000000,88.132
40.599998,88.128
41.200001,88.126
41.799999,88.124
42.500000,88.123
43.099998,88.122
43.700001,88.121
44.400002,88.118
45.000000,88.114
45.500000,88.110
46.200001,88.101
46.799999,88.092
47.500000,88.080
48.200001,88.068
48.700001,88.059
49.400002,88.046
50.000000,88.035
50.799999,88.021
51.500000,88.009
52.200001,87.996
53.000000,87.980
53.799999,87.963
54.500000,87.947
55.200001,87.931
56.000000,87.913
57.000000,87.889
58.000000,87.864
59.000000,87.837
60.000000,87.810
60.799999,87.787
61.500000,87.767
62.200001,87.746
63.000000,87.722
64.000000,87.693
65.000000,87.663
66.000000,87.633
67.000000,87.603
68.000000,87.573
69.000000,87.542
70.000000,87.510
71.000000,87.478
72.000000,87.445
73.000000,87.412
74.000000,87.378
75.000000,87.345
76.199997,87.305
77.500000,87.261
78.800003,87.218
80.000000,87.178
81.199997,87.136
82.500000,87.092
83.800003,87.047
85.000000,87.006
86.199997,86.964
87.500000,86.919
88.500000,86.884
90.000000,86.832
91.199997,86.790
92.500000,86.743
93.800003,86.697
95.000000,86.654
96.199997,86.612
97.500000,86.567
98.800003,86.521
100.000000,86.479
101.500000,86.427
103.000000,86.374
104.400002,86.325
106.000000,86.269
107.500000,86.217
109.000000,86.165
110.599998,86.110
112.000000,86.063
113.800003,86.001
115.000000,85.960
117.199997,85.885
118.000000,85.858
120.599998,85.769
122.000000,85.722
124.099998,85.654
125.000000,85.624
126.500000,85.575
128.000000,85.526
131.500000,85.413
132.000000,85.397
134.000000,85.333
136.000000,85.270
138.000000,85.208
140.000000,85.146
143.000000,85.054
145.000000,84.993
147.500000,84.917
150.000000,84.843
152.500000,84.769
155.000000,84.696
157.500000,84.624
160.000000,84.553
162.500000,84.483
165.000000,84.415
167.500000,84.347
170.000000,84.279
172.500000,84.213
175.000000,84.147
177.500000,84.082
180.000000,84.018
182.500000,83.955
185.000000,83.893
187.500000,83.832
190.000000,83.771
192.500000,83.712
195.000000,83.653
197.500000,83.595
200.000000,83.538
203.000000,83.470
206.000000,83.404
209.000000,83.340
212.000000,83.277
214.000000,83.236
218.000000,83.155
220.000000,83.116
224.000000,83.039
227.000000,82.984
230.000000,82.929
233.000000,82.877
236.000000,82.826
240.000000,82.760
243.000000,82.713
247.000000,82.653
250.000000,82.609
254.000000,82.553
258.000000,82.499
262.000000,82.447
265.000000,82.408
269.000000,82.357
272.000000,82.320
276.000000,82.271
280.000000,82.222
285.000000,82.161
290.000000,82.102
295.000000,82.042
300.000000,81.983
304.000000,81.937
307.000000,81.902
311.000000,81.856
315.000000,81.810
320.000000,81.753
325.000000,81.697
330.000000,81.643
335.000000,81.590
340.000000,81.538
345.000000,81.487
350.000000,81.438
355.000000,81.389
360.000000,81.341
365.000000,81.295
370.000000,81.249
375.000000,81.206
382.000000,81.146
387.000000,81.105
395.000000,81.041
400.000000,81.002
406.000000,80.957
412.000000,80.914
418.000000,80.872
425.000000,80.825
431.000000,80.785
437.000000,80.747
444.000000,80.705
450.000000,80.670
455.000000,80.642
462.000000,80.603
468.000000,80.571
475.000000,80.536
482.000000,80.501
487.000000,80.478
494.000000,80.446
500.000000,80.420
508.000000,80.387
515.000000,80.359
522.000000,80.333
530.000000,80.305
538.000000,80.279
545.000000,80.258
552.000000,80.237
560.000000,80.216
570.000000,80.191
580.000000,80.169
590.000000,80.148
600.000000,80.131
608.000000,80.118
615.000000,80.109
622.000000,80.101
630.000000,80.093
640.000000,80.086
650.000000,80.081
660.000000,80.080
670.000000,80.081
680.000000,80.087
690.000000,80.095
700.000000,80.108
710.000000,80.125
720.000000,80.146
730.000000,80.173
740.000000,80.206
750.000000,80.246
762.000000,80.303
775.000000,80.378
788.000000,80.465
800.000000,80.554
812.000000,80.650
825.000000,80.757
838.000000,80.866
850.000000,80.967
862.000000,81.066
875.000000,81.174
885.000000,81.257
900.000000,81.384
912.000000,81.489
925.000000,81.606
938.000000,81.727
950.000000,81.842
962.000000,81.959
975.000000,82.087
988.000000,82.217
1000.000000,82.338
1015.000000,82.490
1030.000000,82.645
1044.000000,82.792
1060.000000,82.958
1075.000000,83.111
1090.000000,83.256
1106.000000,83.399
1120.000000,83.509
1138.000000,83.620
1150.000000,83.670
1172.000000,83.701
1180.000000,83.692
1206.000000,83.610
1220.000000,83.559
1241.000000,83.511
1250.000000,83.507
1265.000000,83.523
1280.000000,83.562
1315.000000,83.700
1320.000000,83.722
1340.000000,83.806
1360.000000,83.888
1380.000000,83.972
1400.000000,84.065
1430.000000,84.228
1450.000000,84.355
1475.000000,84.528
1500.000000,84.712
1525.000000,84.902
1550.000000,85.094
1575.000000,85.287
1600.000000,85.479
1625.000000,85.671
1650.000000,85.862
1675.000000,86.050
1700.000000,86.236
1725.000000,86.420
1750.000000,86.601
1775.000000,86.781
1800.000000,86.963
1825.000000,87.155
1850.000000,87.363
1875.000000,87.594
1900.000000,87.850
1925.000000,88.131
1950.000000,88.431
1975.000000,88.740
2000.000000,89.050
2030.000000,89.414
2060.000000,89.766
2090.000000,90.107
2120.000000,90.440
2140.000000,90.659
2180.000000,91.099
2200.000000,91.321
2240.000000,91.772
2270.000000,92.114
2300.000000,92.453
2330.000000,92.780
2360.000000,93.077
2400.000000,93.387
2430.000000,93.528
2470.000000,93.580
2500.000000,93.533
2540.000000,93.413
2580.000000,93.275
2620.000000,93.122
2650.000000,92.983
2690.000000,92.762
2720.000000,92.582
2760.000000,92.358
2800.000000,92.184
2850.000000,92.053
2900.000000,91.980
2950.000000,91.905
3000.000000,91.795
3040.000000,91.683
3070.000000,91.592
3110.000000,91.471
3150.000000,91.359
3200.000000,91.240
3250.000000,91.137
3300.000000,91.037
3350.000000,90.936
3400.000000,90.835
3450.000000,90.733
3500.000000,90.630
3550.000000,90.525
3600.000000,90.420
3650.000000,90.322
3700.000000,90.236
3750.000000,90.164
3820.000000,90.083
3870.000000,90.029
3950.000000,89.921
4000.000000,89.822
4060.000000,89.663
4120.000000,89.478
4180.000000,89.315
4250.000000,89.220
4310.000000,89.246
4370.000000,89.358
4440.000000,89.542
4500.000000,89.695
4550.000000,89.788
4620.000000,89.823
4680.000000,89.746
4750.000000,89.573
4820.000000,89.420
4870.000000,89.383
4940.000000,89.439
5000.000000,89.552
5080.000000,89.737
5150.000000,89.887
5220.000000,89.988
5300.000000,90.008
5380.000000,89.931
5450.000000,89.825
5520.000000,89.715
5600.000000,89.583
5700.000000,89.350
5800.000000,88.992
5900.000000,88.524
6000.000000,88.013
6080.000000,87.627
6150.000000,87.331
6220.000000,87.077
6300.000000,86.830
6400.000000,86.565
6500.000000,86.322
6600.000000,86.074
6700.000000,85.804
6800.000000,85.534
6900.000000,85.322
7000.000000,85.228
7100.000000,85.272
7200.000000,85.441
7300.000000,85.727
7400.000000,86.131
7500.000000,86.646
7620.000000,87.367
7750.000000,88.164
7880.000000,88.825
8000.000000,89.201
8120.000000,89.298
8250.000000,89.087
8380.000000,88.592
8500.000000,87.956
8620.000000,87.241
8750.000000,86.506
8850.000000,86.057
9000.000000,85.685
9120.000000,85.665
9250.000000,85.856
9380.000000,86.172
9500.000000,86.503
9620.000000,86.844
9750.000000,87.228
9880.000000,87.639
10000.000000,88.034
10150.000000,88.496
10300.000000,88.860
10440.000000,89.077
10600.000000,89.168
10750.000000,89.093
10900.000000,88.865
11060.000000,88.473
11200.000000,88.041
11380.000000,87.426
11500.000000,87.005
11720.000000,86.240
11800.000000,85.969
12060.000000,85.137
12200.000000,84.739
12410.000000,84.225
12500.000000,84.032
12650.000000,83.732
12800.000000,83.440
13150.000000,82.649
13200.000000,82.515
13400.000000,81.919
13600.000000,81.236
13800.000000,80.497
14000.000000,79.758
14300.000000,78.858
14500.000000,78.569
14750.000000,78.675
15000.000000,79.167
15250.000000,79.705
15500.000000,80.000
15750.000000,80.010
16000.000000,79.893
16250.000000,79.837
16500.000000,79.923
16750.000000,80.115
17000.000000,80.326
17250.000000,80.489
17500.000000,80.581
17750.000000,80.623
18000.000000,80.657
18250.000000,80.729
18500.000000,80.860
18750.000000,81.041
19000.000000,81.239
19250.000000,81.416
19500.000000,81.542
19750.000000,81.610
