X,Y
20.000000,85.478
20.299999,85.485
20.600000,85.491
20.900000,85.496
21.200001,85.499
21.400000,85.497
21.799999,85.489
22.000000,85.485
22.400000,85.476
22.700001,85.469
23.000000,85.462
23.299999,85.454
23.600000,85.446
24.000000,85.436
24.299999,85.431
24.700001,85.422
25.000000,85.415
25.400000,85.404
25.799999,85.392
26.200001,85.379
26.500000,85.370
26.900000,85.356
27.200001,85.343
27.600000,85.326
28.000000,85.307
28.500000,85.281
29.000000,85.255
29.500000,85.229
30.000000,85.204
30.400000,85.186
30.700001,85.172
31.100000,85.153
31.500000,85.133
32.000000,85.109
32.500000,85.085
33.000000,85.058
33.500000,85.033
34.000000,85.008
34.500000,84.982
35.000000,84.958
35.500000,84.933
36.000000,84.905
36.500000,84.875
37.000000,84.844
37.500000,84.814
38.200001,84.770
38.700001,84.735
39.500000,84.678
40.000000,84.645
40.599998,84.609
41.200001,84.570
41.799999,84.529
42.500000,84.482
43.099998,84.452
43.700001,84.428
44.400002,84.403
45.000000,84.378
45.500000,84.351
46.200001,84.306
46.799999,84.266
47.500000,84.226
48.200001,84.185
48.700001,84.152
49.400002,84.111
50.000000,84.077
50.799999,84.023
51.500000,83.986
52.200001,83.960
53.000000,83.899
53.799999,83.861
54.500000,83.883
55.200001,83.857
56.000000,83.724
57.000000,83.632
58.000000,83.591
59.000000,83.505
60.000000,83.448
60.799999,83.386
61.500000,83.338
62.200001,83.301
63.000000,83.246
64.000000,83.186
65.000000,83.133
66.000000,83.071
67.000000,83.012
68.000000,82.951
69.000000,82.893
70.000000,82.841
71.000000,82.783
72.000000,82.723
73.000000,82.669
74.000000,82.611
75.000000,82.556
76.199997,82.486
77.500000,82.410
78.800003,82.335
80.000000,82.265
81.199997,82.201
82.500000,82.139
83.800003,82.066
85.000000,81.995
86.199997,81.939
87.500000,81.860
88.500000,81.811
90.000000,81.731
91.199997,81.667
92.500000,81.597
93.800003,81.540
95.000000,81.477
96.199997,81.418
97.500000,81.356
98.800003,81.292
100.000000,81.242
101.500000,81.165
103.000000,81.110
104.400002,81.033
106.000000,80.967
107.500000,80.901
109.000000,80.829
110.599998,80.791
112.000000,80.717
113.800003,80.635
115.000000,80.591
117.199997,80.506
118.000000,80.467
120.599998,80.393
122.000000,80.310
124.099998,80.224
125.000000,80.187
126.500000,80.132
128.000000,80.082
131.500000,79.953
132.000000,79.936
134.000000,79.880
136.000000,79.790
138.000000,79.716
140.000000,79.652
143.000000,79.568
145.000000,79.502
147.500000,79.410
150.000000,79.328
152.500000,79.240
155.000000,79.144
157.500000,79.041
160.000000,78.945
162.500000,78.854
165.000000,78.754
167.500000,78.650
170.000000,78.560
172.500000,78.481
175.000000,78.392
177.500000,78.297
180.000000,78.209
182.500000,78.129
185.000000,78.137
187.500000,78.101
190.000000,78.084
192.500000,78.195
195.000000,78.282
197.500000,78.254
200.000000,78.246
203.000000,78.193
206.000000,78.190
209.000000,78.115
212.000000,78.054
214.000000,78.025
218.000000,77.949
220.000000,77.912
224.000000,77.844
227.000000,77.779
230.000000,77.727
233.000000,77.683
236.000000,77.611
240.000000,77.530
243.000000,77.514
247.000000,77.448
250.000000,77.405
254.000000,77.347
258.000000,77.283
262.000000,77.246
265.000000,77.174
269.000000,77.136
272.000000,77.102
276.000000,77.041
280.000000,77.025
285.000000,76.963
290.000000,76.920
295.000000,76.867
300.000000,76.828
304.000000,76.786
307.000000,76.743
311.000000,76.716
315.000000,76.683
320.000000,76.647
325.000000,76.600
330.000000,76.560
335.000000,76.521
340.000000,76.487
345.000000,76.452
350.000000,76.409
355.000000,76.385
360.000000,76.366
365.000000,76.326
370.000000,76.299
375.000000,76.292
382.000000,76.285
387.000000,76.263
395.000000,76.225
400.000000,76.203
406.000000,76.165
412.000000,76.150
418.000000,76.104
425.000000,76.076
431.000000,76.062
437.000000,76.017
444.000000,76.005
450.000000,75.985
455.000000,75.962
462.000000,75.937
468.000000,75.917
475.000000,75.895
482.000000,75.878
487.000000,75.857
494.000000,75.851
500.000000,75.838
508.000000,75.804
515.000000,75.798
522.000000,75.786
530.000000,75.778
538.000000,75.748
545.000000,75.741
552.000000,75.750
560.000000,75.722
570.000000,75.712
580.000000,75.701
590.000000,75.684
600.000000,75.670
608.000000,75.674
615.000000,75.667
622.000000,75.669
630.000000,75.678
640.000000,75.659
650.000000,75.660
660.000000,75.645
670.000000,75.613
680.000000,75.641
690.000000,75.676
700.000000,75.702
710.000000,75.717
720.000000,75.749
730.000000,75.771
740.000000,75.800
750.000000,75.839
762.000000,75.868
775.000000,75.909
788.000000,75.927
800.000000,75.922
812.000000,75.888
825.000000,75.828
838.000000,75.794
850.000000,75.787
862.000000,75.813
875.000000,75.884
885.000000,75.946
900.000000,76.031
912.000000,76.121
925.000000,76.208
938.000000,76.318
950.000000,76.415
962.000000,76.503
975.000000,76.635
988.000000,76.757
1000.000000,76.880
1015.000000,77.032
1030.000000,77.191
1044.000000,77.346
1060.000000,77.508
1075.000000,77.663
1090.000000,77.802
1106.000000,77.941
1120.000000,78.056
1138.000000,78.203
1150.000000,78.301
1172.000000,78.456
1180.000000,78.514
1206.000000,78.683
1220.000000,78.757
1241.000000,78.849
1250.000000,78.898
1265.000000,78.962
1280.000000,79.018
1315.000000,79.165
1320.000000,79.188
1340.000000,79.258
1360.000000,79.349
1380.000000,79.449
1400.000000,79.551
1430.000000,79.694
1450.000000,79.782
1475.000000,79.905
1500.000000,80.021
1525.000000,80.137
1550.000000,80.268
1575.000000,80.392
1600.000000,80.516
1625.000000,80.644
1650.000000,80.772
1675.000000,80.898
1700.000000,81.029
1725.000000,81.162
1750.000000,81.293
1775.000000,81.424
1800.000000,81.551
1825.000000,81.689
1850.000000,81.812
1875.000000,81.949
1900.000000,82.076
1925.000000,82.207
1950.000000,82.342
1975.000000,82.471
2000.000000,82.606
2030.000000,82.767
2060.000000,82.920
2090.000000,83.075
2120.000000,83.234
2140.000000,83.334
2180.000000,83.541
2200.000000,83.644
2240.000000,83.841
2270.000000,83.989
2300.000000,84.133
2330.000000,84.266
2360.000000,84.406
2400.000000,84.588
2430.000000,84.717
2470.000000,84.895
2500.000000,85.014
2540.000000,85.174
2580.000000,85.320
2620.000000,85.451
2650.000000,85.548
2690.000000,85.662
2720.000000,85.747
2760.000000,85.849
2800.000000,85.939
2850.000000,86.038
2900.000000,86.121
2950.000000,86.189
3000.000000,86.239
3040.000000,86.272
3070.000000,86.288
3110.000000,86.305
3150.000000,86.305
3200.000000,86.303
3250.000000,86.289
3300.000000,86.269
3350.000000,86.238
3400.000000,86.198
3450.000000,86.145
3500.000000,86.072
3550.000000,85.998
3600.000000,85.915
3650.000000,85.823
3700.000000,85.735
3750.000000,85.636
3820.000000,85.501
3870.000000,85.397
3950.000000,85.223
4000.000000,85.111
4060.000000,84.961
4120.000000,84.805
4180.000000,84.648
4250.000000,84.448
4310.000000,84.266
4370.000000,84.089
4440.000000,83.886
4500.000000,83.704
4550.000000,83.558
4620.000000,83.357
4680.000000,83.173
4750.000000,82.949
4820.000000,82.711
4870.000000,82.524
4940.000000,82.238
5000.000000,81.983
5080.000000,81.636
5150.000000,81.291
5220.000000,80.944
5300.000000,80.498
5380.000000,80.005
5450.000000,79.665
5520.000000,79.727
5600.000000,80.174
5700.000000,79.974
5800.000000,79.553
5900.000000,79.180
6000.000000,78.881
6080.000000,78.660
6150.000000,78.508
6220.000000,78.386
6300.000000,78.276
6400.000000,78.206
6500.000000,78.166
6600.000000,78.192
6700.000000,78.260
6800.000000,78.380
6900.000000,78.586
7000.000000,78.873
7100.000000,79.220
7200.000000,79.635
7300.000000,80.102
7400.000000,80.624
7500.000000,81.185
7620.000000,81.913
7750.000000,82.728
7880.000000,83.317
8000.000000,83.574
8120.000000,83.416
8250.000000,82.769
8380.000000,81.782
8500.000000,80.778
8620.000000,79.784
8750.000000,78.796
8850.000000,78.100
9000.000000,77.175
9120.000000,76.625
9250.000000,76.195
9380.000000,75.989
9500.000000,75.946
9620.000000,75.945
9750.000000,75.909
9880.000000,75.848
10000.000000,75.719
10150.000000,75.525
10300.000000,75.359
10440.000000,75.294
10600.000000,75.235
10750.000000,75.360
10900.000000,75.580
11060.000000,75.970
11200.000000,76.444
11380.000000,77.246
11500.000000,77.904
11720.000000,79.308
11800.000000,79.858
12060.000000,81.017
12200.000000,80.859
12410.000000,79.438
12500.000000,78.585
12650.000000,77.098
12800.000000,75.638
13150.000000,72.868
13200.000000,72.519
13400.000000,71.355
13600.000000,70.332
13800.000000,69.637
14000.000000,69.071
14300.000000,68.620
14500.000000,68.407
14750.000000,68.304
15000.000000,68.439
15250.000000,68.566
15500.000000,68.851
15750.000000,68.936
16000.000000,68.802
16250.000000,68.214
16500.000000,67.265
16750.000000,65.956
17000.000000,64.595
17250.000000,63.243
17500.000000,61.615
17750.000000,60.151
18000.000000,58.569
18250.000000,57.709
18500.000000,57.513
18750.000000,57.524
19000.000000,57.251
19250.000000,56.816
19500.000000,56.081
19750.000000,55.349
