X,Y
20.000000,94.010
20.299999,94.021
20.600000,94.030
20.900000,94.038
21.200001,94.046
21.400000,94.051
21.799999,94.065
22.000000,94.076
22.400000,94.104
22.700001,94.125
23.000000,94.144
23.299999,94.160
23.600000,94.173
24.000000,94.194
24.299999,94.213
24.700001,94.235
25.000000,94.244
25.400000,94.243
25.799999,94.225
26.200001,94.201
26.500000,94.187
26.900000,94.179
27.200001,94.179
27.600000,94.190
28.000000,94.203
28.500000,94.216
29.000000,94.227
29.500000,94.241
30.000000,94.257
30.400000,94.270
30.700001,94.274
31.100000,94.275
31.500000,94.270
32.000000,94.263
32.500000,94.265
33.000000,94.279
33.500000,94.302
34.000000,94.313
34.500000,94.297
35.000000,94.269
35.500000,94.256
36.000000,94.273
36.500000,94.303
37.000000,94.316
37.500000,94.296
38.200001,94.249
38.700001,94.236
39.500000,94.263
40.000000,94.290
40.599998,94.312
41.200001,94.315
41.799999,94.308
42.500000,94.309
43.099998,94.314
43.700001,94.312
44.400002,94.302
45.000000,94.301
45.500000,94.305
46.200001,94.304
46.799999,94.296
47.500000,94.289
48.200001,94.285
48.700001,94.282
49.400002,94.278
50.000000,94.273
50.799999,94.267
51.500000,94.262
52.200001,94.258
53.000000,94.255
53.799999,94.246
54.500000,94.228
55.200001,94.216
56.000000,94.217
57.000000,94.191
58.000000,94.161
59.000000,94.182
60.000000,94.169
60.799999,94.144
61.500000,94.139
62.200001,94.141
63.000000,94.129
64.000000,94.112
65.000000,94.106
66.000000,94.089
67.000000,94.075
68.000000,94.061
69.000000,94.038
70.000000,94.027
71.000000,94.019
72.000000,94.002
73.000000,93.988
74.000000,93.972
75.000000,93.957
76.199997,93.937
77.500000,93.902
78.800003,93.888
80.000000,93.855
81.199997,93.845
82.500000,93.828
83.800003,93.805
85.000000,93.755
86.199997,93.750
87.500000,93.694
88.500000,93.696
90.000000,93.651
91.199997,93.659
92.500000,93.606
93.800003,93.600
95.000000,93.549
96.199997,93.533
97.500000,93.522
98.800003,93.462
100.000000,93.437
101.500000,93.296
103.000000,93.365
104.400002,93.363
106.000000,93.303
107.500000,93.255
109.000000,93.197
110.599998,93.152
112.000000,93.108
113.800003,93.070
115.000000,93.030
117.199997,92.929
118.000000,92.911
120.599998,92.792
122.000000,92.811
124.099998,92.715
125.000000,92.582
126.500000,92.619
128.000000,92.589
131.500000,92.631
132.000000,92.648
134.000000,92.673
