X,Y
20.000000,88.701
20.299999,88.714
20.600000,88.729
20.900000,88.760
21.200001,88.777
21.400000,88.792
21.799999,88.828
22.000000,88.844
22.400000,88.855
22.700001,88.875
23.000000,88.905
23.299999,88.931
23.600000,88.961
24.000000,88.999
24.299999,89.018
24.700001,89.040
25.000000,89.055
25.400000,89.064
25.799999,89.080
26.200001,89.100
26.500000,89.110
26.900000,89.116
27.200001,89.108
27.600000,89.094
28.000000,89.099
28.500000,89.106
29.000000,89.118
29.500000,89.122
30.000000,89.126
30.400000,89.132
30.700001,89.137
31.100000,89.148
31.500000,89.156
32.000000,89.164
32.500000,89.169
33.000000,89.163
33.500000,89.163
34.000000,89.169
34.500000,89.170
35.000000,89.172
35.500000,89.173
36.000000,89.174
36.500000,89.193
37.000000,89.206
37.500000,89.204
38.200001,89.191
38.700001,89.173
39.500000,89.141
40.000000,89.109
40.599998,89.106
41.200001,89.101
41.799999,89.102
42.500000,89.105
43.099998,89.101
43.700001,89.093
44.400002,89.091
45.000000,89.079
45.500000,89.068
46.200001,89.063
46.799999,89.053
47.500000,89.038
48.200001,89.026
48.700001,89.006
49.400002,88.966
50.000000,88.942
50.799999,88.930
51.500000,88.920
52.200001,88.916
53.000000,88.897
53.799999,88.866
54.500000,88.856
55.200001,88.850
56.000000,88.841
57.000000,88.815
58.000000,88.780
59.000000,88.749
60.000000,88.722
60.799999,88.692
61.500000,88.663
62.200001,88.635
63.000000,88.618
64.000000,88.612
65.000000,88.587
66.000000,88.558
67.000000,88.549
68.000000,88.531
69.000000,88.492
70.000000,88.429
71.000000,88.397
72.000000,88.364
73.000000,88.312
74.000000,88.297
75.000000,88.287
76.199997,88.255
77.500000,88.213
78.800003,88.168
80.000000,88.115
81.199997,88.073
82.500000,88.027
83.800003,87.974
85.000000,87.946
86.199997,87.916
87.500000,87.880
88.500000,87.848
90.000000,87.784
91.199997,87.736
92.500000,87.691
93.800003,87.644
95.000000,87.614
96.199997,87.584
97.500000,87.554
98.800003,87.510
100.000000,87.471
101.500000,87.389
103.000000,87.332
104.400002,87.299
106.000000,87.260
107.500000,87.201
109.000000,87.146
110.599998,87.078
112.000000,87.025
113.800003,86.954
115.000000,86.923
117.199997,86.869
118.000000,86.837
120.599998,86.733
122.000000,86.690
124.099998,86.627
125.000000,86.612
126.500000,86.559
128.000000,86.508
131.500000,86.360
132.000000,86.341
134.000000,86.284
136.000000,86.237
138.000000,86.167
140.000000,86.091
143.000000,86.000
145.000000,85.949
147.500000,85.830
150.000000,85.775
152.500000,85.709
155.000000,85.630
157.500000,85.570
160.000000,85.492
162.500000,85.422
165.000000,85.366
167.500000,85.286
170.000000,85.155
172.500000,85.013
175.000000,84.901
177.500000,84.806
180.000000,84.678
182.500000,84.594
185.000000,84.585
187.500000,84.561
190.000000,84.520
192.500000,84.458
195.000000,84.420
197.500000,84.350
200.000000,84.286
203.000000,84.162
206.000000,84.084
209.000000,84.005
212.000000,83.903
214.000000,83.837
218.000000,83.738
220.000000,83.672
224.000000,83.559
227.000000,83.490
230.000000,83.415
233.000000,83.346
236.000000,83.285
240.000000,83.174
243.000000,83.105
247.000000,83.022
250.000000,82.937
254.000000,82.814
258.000000,82.729
262.000000,82.618
265.000000,82.560
269.000000,82.467
272.000000,82.391
276.000000,82.296
280.000000,82.206
285.000000,82.096
290.000000,82.009
295.000000,81.901
300.000000,81.794
304.000000,81.691
307.000000,81.636
311.000000,81.558
315.000000,81.511
320.000000,81.395
