X,Y
20.000000,79.696
20.299999,79.747
20.600000,79.795
20.900000,79.841
21.200001,79.884
21.400000,79.910
21.799999,79.958
22.000000,79.980
22.400000,80.020
22.700001,80.046
23.000000,80.070
23.299999,80.091
23.600000,80.111
24.000000,80.136
24.299999,80.154
24.700001,80.176
25.000000,80.193
25.400000,80.215
25.799999,80.238
26.200001,80.262
26.500000,80.282
26.900000,80.309
27.200001,80.331
27.600000,80.360
28.000000,80.389
28.500000,80.425
29.000000,80.459
29.500000,80.491
30.000000,80.520
30.400000,80.541
30.700001,80.556
31.100000,80.575
31.500000,80.593
32.000000,80.614
32.500000,80.634
33.000000,80.654
33.500000,80.672
34.000000,80.690
34.500000,80.705
35.000000,80.720
35.500000,80.735
36.000000,80.752
36.500000,80.770
37.000000,80.790
37.500000,80.809
38.200001,80.831
38.700001,80.840
39.500000,80.846
40.000000,80.846
40.599998,80.849
41.200001,80.858
41.799999,80.873
42.500000,80.895
43.099998,80.913
43.700001,80.928
44.400002,80.941
45.000000,80.948
45.500000,80.953
46.200001,80.960
46.799999,80.965
47.500000,80.971
48.200001,80.975
48.700001,80.977
49.400002,80.979
50.000000,80.980
50.799999,80.982
51.500000,80.983
52.200001,80.985
53.000000,80.989
53.799999,80.998
54.500000,81.010
55.200001,81.024
56.000000,81.038
57.000000,81.051
58.000000,81.061
59.000000,81.066
60.000000,81.069
60.799999,81.071
61.500000,81.073
62.200001,81.075
63.000000,81.076
64.000000,81.078
65.000000,81.082
66.000000,81.087
67.000000,81.092
68.000000,81.094
69.000000,81.093
70.000000,81.093
71.000000,81.095
72.000000,81.099
73.000000,81.102
74.000000,81.103
75.000000,81.104
76.199997,81.103
77.500000,81.102
78.800003,81.100
80.000000,81.102
81.199997,81.107
82.500000,81.109
83.800003,81.102
85.000000,81.092
86.199997,81.086
87.500000,81.085
88.500000,81.084
90.000000,81.077
91.199997,81.070
92.500000,81.069
93.800003,81.073
95.000000,81.076
96.199997,81.076
97.500000,81.074
98.800003,81.072
100.000000,81.068
101.500000,81.058
103.000000,81.050
104.400002,81.047
106.000000,81.040
107.500000,81.028
109.000000,81.023
110.599998,81.010
112.000000,80.981
113.800003,80.955
115.000000,80.960
117.199997,80.975
118.000000,80.972
120.599998,80.979
122.000000,80.986
124.099998,80.975
125.000000,80.966
126.500000,80.952
128.000000,80.943
131.500000,80.950
132.000000,80.952
134.000000,80.947
136.000000,80.931
138.000000,80.921
140.000000,80.909
143.000000,80.880
145.000000,80.866
147.500000,80.847
150.000000,80.816
152.500000,80.805
155.000000,80.802
157.500000,80.789
160.000000,80.771
162.500000,80.749
165.000000,80.739
167.500000,80.730
170.000000,80.711
172.500000,80.681
175.000000,80.686
177.500000,80.692
180.000000,80.673
182.500000,80.665
185.000000,80.668
187.500000,80.645
190.000000,80.612
192.500000,80.574
195.000000,80.536
197.500000,80.523
200.000000,80.519
203.000000,80.510
206.000000,80.501
209.000000,80.482
212.000000,80.466
214.000000,80.458
218.000000,80.430
220.000000,80.419
224.000000,80.375
227.000000,80.367
230.000000,80.368
233.000000,80.341
236.000000,80.315
240.000000,80.289
243.000000,80.271
247.000000,80.243
250.000000,80.227
254.000000,80.199
258.000000,80.173
262.000000,80.152
265.000000,80.130
269.000000,80.099
272.000000,80.077
276.000000,80.053
280.000000,80.023
285.000000,79.983
290.000000,79.945
295.000000,79.911
300.000000,79.870
304.000000,79.842
307.000000,79.831
311.000000,79.818
315.000000,79.800
320.000000,79.765
325.000000,79.726
330.000000,79.689
335.000000,79.664
340.000000,79.640
345.000000,79.604
350.000000,79.564
355.000000,79.536
360.000000,79.506
365.000000,79.470
370.000000,79.447
375.000000,79.428
382.000000,79.379
387.000000,79.349
395.000000,79.311
400.000000,79.283
406.000000,79.242
412.000000,79.202
418.000000,79.169
425.000000,79.131
431.000000,79.100
437.000000,79.069
444.000000,79.042
450.000000,79.011
455.000000,78.981
462.000000,78.951
468.000000,78.924
475.000000,78.887
482.000000,78.850
487.000000,78.831
494.000000,78.796
500.000000,78.760
508.000000,78.731
