X,Y
20.000000,93.056
20.299999,93.072
20.600000,93.088
20.900000,93.104
21.200001,93.119
21.400000,93.129
21.799999,93.149
22.000000,93.159
22.400000,93.178
22.700001,93.191
23.000000,93.204
23.299999,93.215
23.600000,93.226
24.000000,93.238
24.299999,93.246
24.700001,93.255
25.000000,93.261
25.400000,93.269
25.799999,93.275
26.200001,93.282
26.500000,93.286
26.900000,93.293
27.200001,93.298
27.600000,93.304
28.000000,93.311
28.500000,93.319
29.000000,93.327
29.500000,93.335
30.000000,93.341
30.400000,93.346
30.700001,93.349
31.100000,93.352
31.500000,93.355
32.000000,93.357
32.500000,93.359
33.000000,93.361
33.500000,93.362
34.000000,93.363
34.500000,93.364
35.000000,93.364
35.500000,93.363
36.000000,93.363
36.500000,93.362
37.000000,93.363
37.500000,93.365
38.200001,93.367
38.700001,93.368
39.500000,93.368
40.000000,93.367
40.599998,93.366
41.200001,93.366
41.799999,93.366
42.500000,93.367
43.099998,93.367
43.700001,93.367
44.400002,93.366
45.000000,93.364
45.500000,93.362
46.200001,93.359
46.799999,93.355
47.500000,93.350
48.200001,93.345
48.700001,93.340
49.400002,93.335
50.000000,93.331
50.799999,93.327
51.500000,93.324
52.200001,93.320
53.000000,93.314
53.799999,93.308
54.500000,93.302
55.200001,93.297
56.000000,93.291
57.000000,93.284
58.000000,93.276
59.000000,93.267
60.000000,93.258
60.799999,93.250
61.500000,93.243
62.200001,93.236
63.000000,93.229
64.000000,93.220
65.000000,93.210
66.000000,93.199
67.000000,93.187
68.000000,93.177
69.000000,93.168
70.000000,93.159
71.000000,93.150
72.000000,93.140
73.000000,93.129
74.000000,93.118
75.000000,93.107
76.199997,93.093
77.500000,93.078
78.800003,93.062
80.000000,93.048
81.199997,93.032
82.500000,93.016
83.800003,93.000
85.000000,92.987
86.199997,92.973
87.500000,92.959
88.500000,92.949
90.000000,92.932
91.199997,92.915
92.500000,92.896
93.800003,92.878
95.000000,92.862
96.199997,92.848
97.500000,92.834
98.800003,92.821
100.000000,92.807
101.500000,92.786
103.000000,92.763
104.400002,92.743
106.000000,92.719
107.500000,92.696
109.000000,92.675
110.599998,92.649
112.000000,92.625
113.800003,92.601
115.000000,92.586
117.199997,92.560
118.000000,92.551
120.599998,92.518
122.000000,92.495
124.099998,92.463
125.000000,92.450
126.500000,92.429
128.000000,92.406
131.500000,92.351
132.000000,92.344
134.000000,92.317
136.000000,92.290
138.000000,92.263
140.000000,92.234
143.000000,92.185
145.000000,92.151
147.500000,92.107
150.000000,92.074
152.500000,92.046
155.000000,92.007
157.500000,91.967
160.000000,91.937
162.500000,91.904
165.000000,91.861
167.500000,91.816
170.000000,91.780
172.500000,91.749
175.000000,91.717
177.500000,91.684
180.000000,91.652
182.500000,91.621
185.000000,91.592
187.500000,91.546
190.000000,91.502
192.500000,91.471
195.000000,91.442
197.500000,91.403
200.000000,91.363
203.000000,91.320
206.000000,91.275
209.000000,91.231
212.000000,91.193
214.000000,91.168
218.000000,91.118
220.000000,91.092
224.000000,91.037
227.000000,90.993
230.000000,90.951
233.000000,90.911
236.000000,90.875
240.000000,90.822
243.000000,90.780
247.000000,90.731
250.000000,90.694
254.000000,90.642
258.000000,90.588
262.000000,90.536
265.000000,90.504
269.000000,90.460
272.000000,90.425
276.000000,90.382
280.000000,90.333
285.000000,90.273
290.000000,90.216
295.000000,90.162
300.000000,90.107
304.000000,90.064
307.000000,90.032
311.000000,89.989
315.000000,89.947
320.000000,89.896
325.000000,89.850
330.000000,89.795
335.000000,89.746
340.000000,89.700
345.000000,89.654
350.000000,89.608
355.000000,89.561
360.000000,89.518
365.000000,89.475
370.000000,89.435
375.000000,89.392
382.000000,89.333
387.000000,89.293
395.000000,89.228
400.000000,89.189
406.000000,89.148
412.000000,89.106
418.000000,89.054
425.000000,89.003
431.000000,88.971
437.000000,88.937
444.000000,88.891
450.000000,88.851
455.000000,88.823
462.000000,88.787
468.000000,88.755
475.000000,88.725
482.000000,88.689
487.000000,88.662
494.000000,88.630
500.000000,88.603
508.000000,88.569
515.000000,88.540
522.000000,88.506
530.000000,88.468
538.000000,88.436
545.000000,88.409
552.000000,88.385
560.000000,88.360
570.000000,88.327
580.000000,88.297
590.000000,88.276
600.000000,88.256
608.000000,88.238
615.000000,88.225
622.000000,88.210
630.000000,88.196
640.000000,88.184
650.000000,88.174
660.000000,88.168
670.000000,88.167
680.000000,88.160
690.000000,88.155
700.000000,88.151
710.000000,88.145
720.000000,88.140
730.000000,88.135
740.000000,88.129
750.000000,88.125
762.000000,88.123
775.000000,88.118
788.000000,88.109
800.000000,88.103
812.000000,88.092
825.000000,88.084
838.000000,88.075
850.000000,88.062
862.000000,88.050
875.000000,88.049
885.000000,88.052
900.000000,88.062
912.000000,88.084
925.000000,88.118
938.000000,88.162
950.000000,88.219
962.000000,88.289
975.000000,88.371
988.000000,88.463
1000.000000,88.554
1015.000000,88.673
1030.000000,88.807
1044.000000,88.931
1060.000000,89.083
1075.000000,89.241
1090.000000,89.398
1106.000000,89.555
1120.000000,89.698
1138.000000,89.886
1150.000000,90.012
1172.000000,90.246
1180.000000,90.328
1206.000000,90.592
1220.000000,90.731
1241.000000,90.931
1250.000000,91.014
1265.000000,91.157
1280.000000,91.297
1315.000000,91.608
1320.000000,91.652
1340.000000,91.817
1360.000000,91.978
1380.000000,92.138
1400.000000,92.295
1430.000000,92.527
1450.000000,92.674
1475.000000,92.854
1500.000000,93.036
1525.000000,93.211
1550.000000,93.390
1575.000000,93.564
1600.000000,93.736
1625.000000,93.899
1650.000000,94.063
1675.000000,94.233
1700.000000,94.405
1725.000000,94.577
1750.000000,94.746
1775.000000,94.912
1800.000000,95.077
1825.000000,95.236
1850.000000,95.392
1875.000000,95.550
1900.000000,95.697
1925.000000,95.836
1950.000000,95.975
1975.000000,96.104
2000.000000,96.226
2030.000000,96.362
2060.000000,96.483
2090.000000,96.582
2120.000000,96.666
2140.000000,96.718
2180.000000,96.802
2200.000000,96.833
2240.000000,96.873
2270.000000,96.890
2300.000000,96.874
2330.000000,96.843
2360.000000,96.812
2400.000000,96.740
2430.000000,96.678
2470.000000,96.575
2500.000000,96.491
2540.000000,96.368
2580.000000,96.242
2620.000000,96.104
2650.000000,96.002
2690.000000,95.864
2720.000000,95.754
2760.000000,95.620
2800.000000,95.480
2850.000000,95.308
2900.000000,95.145
2950.000000,94.991
3000.000000,94.848
3040.000000,94.735
3070.000000,94.653
3110.000000,94.556
3150.000000,94.466
3200.000000,94.358
3250.000000,94.266
3300.000000,94.175
3350.000000,94.088
3400.000000,94.005
3450.000000,93.925
3500.000000,93.845
3550.000000,93.767
3600.000000,93.713
3650.000000,93.658
3700.000000,93.587
3750.000000,93.529
3820.000000,93.454
3870.000000,93.383
3950.000000,93.279
4000.000000,93.210
4060.000000,93.112
4120.000000,93.003
4180.000000,92.889
4250.000000,92.743
4310.000000,92.601
4370.000000,92.444
4440.000000,92.244
4500.000000,92.059
4550.000000,91.895
4620.000000,91.654
4680.000000,91.429
4750.000000,91.153
4820.000000,90.874
4870.000000,90.667
4940.000000,90.366
5000.000000,90.100
5080.000000,89.741
5150.000000,89.427
5220.000000,89.112
5300.000000,88.760
5380.000000,88.413
5450.000000,88.120
5520.000000,87.831
5600.000000,87.515
5700.000000,87.138
5800.000000,86.759
5900.000000,86.359
6000.000000,85.925
6080.000000,85.546
6150.000000,85.192
6220.000000,84.834
6300.000000,84.438
6400.000000,84.002
6500.000000,83.653
6600.000000,83.387
6700.000000,83.191
6800.000000,83.052
6900.000000,82.966
7000.000000,82.920
7100.000000,82.921
7200.000000,82.970
7300.000000,83.060
7400.000000,83.188
7500.000000,83.341
7620.000000,83.576
7750.000000,83.903
7880.000000,84.303
8000.000000,84.754
8120.000000,85.283
8250.000000,85.954
8380.000000,86.739
8500.000000,87.572
8620.000000,88.535
8750.000000,89.715
8850.000000,90.745
9000.000000,92.588
9120.000000,94.160
9250.000000,95.380
9380.000000,95.769
9500.000000,95.353
9620.000000,94.397
9750.000000,93.118
9880.000000,91.855
10000.000000,90.809
10150.000000,89.712
10300.000000,88.841
10440.000000,88.220
10600.000000,87.709
10750.000000,87.403
10900.000000,87.243
11060.000000,87.215
11200.000000,87.275
11380.000000,87.438
11500.000000,87.565
11720.000000,87.680
11800.000000,87.629
12060.000000,86.723
12200.000000,85.844
12410.000000,84.662
12500.000000,84.151
12650.000000,83.216
12800.000000,82.201
13150.000000,79.818
13200.000000,79.495
13400.000000,78.255
13600.000000,77.135
13800.000000,76.159
14000.000000,75.302
14300.000000,74.272
14500.000000,73.753
14750.000000,73.142
15000.000000,72.381
15250.000000,71.296
15500.000000,69.868
15750.000000,68.271
16000.000000,66.670
16250.000000,65.220
16500.000000,63.991
16750.000000,63.012
17000.000000,62.177
17250.000000,61.270
17500.000000,60.212
17750.000000,58.875
18000.000000,57.336
18250.000000,55.689
18500.000000,53.956
18750.000000,52.494
19000.000000,51.317
19250.000000,50.526
19500.000000,50.290
19750.000000,50.290
20000.000000,50.322
