X,Y
20.000000,107.370
20.299999,107.362
20.600000,107.355
20.900000,107.348
21.200001,107.342
21.400000,107.338
21.799999,107.326
22.000000,107.317
22.400000,107.296
22.700001,107.280
23.000000,107.265
23.299999,107.254
23.600000,107.246
24.000000,107.237
24.299999,107.229
24.700001,107.212
25.000000,107.195
25.400000,107.172
25.799999,107.152
26.200001,107.137
26.500000,107.128
26.900000,107.111
27.200001,107.095
27.600000,107.070
28.000000,107.046
28.500000,107.021
29.000000,106.997
29.500000,106.965
30.000000,106.927
30.400000,106.902
30.700001,106.887
31.100000,106.871
31.500000,106.854
32.000000,106.823
32.500000,106.781
33.000000,106.741
33.500000,106.710
34.000000,106.679
34.500000,106.653
35.000000,106.621
35.500000,106.587
36.000000,106.554
36.500000,106.522
37.000000,106.488
37.500000,106.453
38.200001,106.406
38.700001,106.375
39.500000,106.312
40.000000,106.267
40.599998,106.217
41.200001,106.175
41.799999,106.136
42.500000,106.086
43.099998,106.036
43.700001,105.984
44.400002,105.925
45.000000,105.876
45.500000,105.835
46.200001,105.773
46.799999,105.723
47.500000,105.667
48.200001,105.605
48.700001,105.558
49.400002,105.496
50.000000,105.444
50.799999,105.363
51.500000,105.295
52.200001,105.246
53.000000,105.177
53.799999,105.085
54.500000,105.025
55.200001,104.985
56.000000,104.941
57.000000,104.900
58.000000,104.880
59.000000,104.863
60.000000,104.835
60.799999,104.804
61.500000,104.776
62.200001,104.747
63.000000,104.713
64.000000,104.667
65.000000,104.611
66.000000,104.556
67.000000,104.502
68.000000,104.440
69.000000,104.377
70.000000,104.308
71.000000,104.238
72.000000,104.170
73.000000,104.100
74.000000,104.028
75.000000,103.959
76.199997,103.875
77.500000,103.784
78.800003,103.702
80.000000,103.619
81.199997,103.538
82.500000,103.451
83.800003,103.365
85.000000,103.286
86.199997,103.208
87.500000,103.124
88.500000,103.058
90.000000,102.966
91.199997,102.887
92.500000,102.803
93.800003,102.722
95.000000,102.646
96.199997,102.571
97.500000,102.489
98.800003,102.410
100.000000,102.336
101.500000,102.247
103.000000,102.153
104.400002,102.075
106.000000,101.972
107.500000,101.878
109.000000,101.786
110.599998,101.687
112.000000,101.601
113.800003,101.484
115.000000,101.409
117.199997,101.261
118.000000,101.210
120.599998,101.044
122.000000,100.941
124.099998,100.791
125.000000,100.726
126.500000,100.617
128.000000,100.509
131.500000,100.327
132.000000,100.321
134.000000,100.357
136.000000,100.487
138.000000,100.623
140.000000,100.684
143.000000,100.626
145.000000,100.568
147.500000,100.455
150.000000,100.344
152.500000,100.211
155.000000,100.086
157.500000,99.970
160.000000,99.857
162.500000,99.747
165.000000,99.639
167.500000,99.537
170.000000,99.435
172.500000,99.341
175.000000,99.248
177.500000,99.161
180.000000,99.072
182.500000,98.991
185.000000,98.902
187.500000,98.820
190.000000,98.740
192.500000,98.660
195.000000,98.581
197.500000,98.492
200.000000,98.407
203.000000,98.320
206.000000,98.230
209.000000,98.144
212.000000,98.048
214.000000,97.990
218.000000,97.877
