X,Y
20.000000,107.104
20.299999,107.195
20.600000,107.499
20.900000,107.896
21.200001,108.263
21.400000,108.460
21.799999,108.733
22.000000,108.816
22.400000,108.912
22.700001,108.954
23.000000,108.991
23.299999,109.020
23.600000,109.031
24.000000,108.988
24.299999,108.893
24.700001,108.676
25.000000,108.463
25.400000,108.167
25.799999,107.957
26.200001,107.930
26.500000,108.047
26.900000,108.338
27.200001,108.591
27.600000,108.886
28.000000,109.062
28.500000,109.085
29.000000,108.934
29.500000,108.690
30.000000,108.438
30.400000,108.306
30.700001,108.293
31.100000,108.437
31.500000,108.736
32.000000,109.147
32.500000,109.357
33.000000,109.236
33.500000,108.868
34.000000,108.521
34.500000,108.423
35.000000,108.539
35.500000,108.679
36.000000,108.770
36.500000,108.879
37.000000,109.069
37.500000,109.294
38.200001,109.490
38.700001,109.517
39.500000,109.529
40.000000,109.567
40.599998,109.585
41.200001,109.490
41.799999,109.285
42.500000,109.015
43.099998,108.865
43.700001,108.821
44.400002,108.864
45.000000,108.936
45.500000,109.005
46.200001,109.100
46.799999,109.165
47.500000,109.204
48.200001,109.199
48.700001,109.179
49.400002,109.146
50.000000,109.129
50.799999,109.122
51.500000,109.118
52.200001,109.108
53.000000,109.095
53.799999,109.091
54.500000,109.098
55.200001,109.103
56.000000,109.087
57.000000,109.029
58.000000,108.954
59.000000,108.869
60.000000,108.785
60.799999,108.731
61.500000,108.689
62.200001,108.641
63.000000,108.583
64.000000,108.531
65.000000,108.514
66.000000,108.510
67.000000,108.485
68.000000,108.425
69.000000,108.340
70.000000,108.251
71.000000,108.162
72.000000,108.062
73.000000,107.952
74.000000,107.852
75.000000,107.780
76.199997,107.725
77.500000,107.665
78.800003,107.576
80.000000,107.471
81.199997,107.348
82.500000,107.210
83.800003,107.069
85.000000,106.928
86.199997,106.775
87.500000,106.600
88.500000,106.463
90.000000,106.262
91.199997,106.100
92.500000,105.919
93.800003,105.736
95.000000,105.565
96.199997,105.381
97.500000,105.165
98.800003,104.942
100.000000,104.743
101.500000,104.512
103.000000,104.302
104.400002,104.121
106.000000,103.922
107.500000,103.740
109.000000,103.568
110.599998,103.391
112.000000,103.235
113.800003,103.040
115.000000,102.924
117.199997,102.748
118.000000,102.694
120.599998,102.549
122.000000,102.489
124.099998,102.422
125.000000,102.402
126.500000,102.376
128.000000,102.358
131.500000,102.321
132.000000,102.316
134.000000,102.305
136.000000,102.319
138.000000,102.354
140.000000,102.399
143.000000,102.470
145.000000,102.513
147.500000,102.567
150.000000,102.623
152.500000,102.677
155.000000,102.743
157.500000,102.820
160.000000,102.902
162.500000,102.993
165.000000,103.093
167.500000,103.197
170.000000,103.295
172.500000,103.384
175.000000,103.475
177.500000,103.567
180.000000,103.652
182.500000,103.728
185.000000,103.799
187.500000,103.870
190.000000,103.940
192.500000,104.009
195.000000,104.078
197.500000,104.142
200.000000,104.199
203.000000,104.256
206.000000,104.306
209.000000,104.356
212.000000,104.408
214.000000,104.441
218.000000,104.501
220.000000,104.527
224.000000,104.578
227.000000,104.614
230.000000,104.647
233.000000,104.676
236.000000,104.702
240.000000,104.733
243.000000,104.754
247.000000,104.777
250.000000,104.791
254.000000,104.809
258.000000,104.824
262.000000,104.835
265.000000,104.841
269.000000,104.844
272.000000,104.845
276.000000,104.844
280.000000,104.839
285.000000,104.831
290.000000,104.822
295.000000,104.810
300.000000,104.791
304.000000,104.775
307.000000,104.762
311.000000,104.743
315.000000,104.723
320.000000,104.693
325.000000,104.660
330.000000,104.627
335.000000,104.594
340.000000,104.562
345.000000,104.529
350.000000,104.493
355.000000,104.458
360.000000,104.424
365.000000,104.388
370.000000,104.347
375.000000,104.302
382.000000,104.240
387.000000,104.197
395.000000,104.129
400.000000,104.087
406.000000,104.035
412.000000,103.981
418.000000,103.926
425.000000,103.861
431.000000,103.803
437.000000,103.747
444.000000,103.683
450.000000,103.629
455.000000,103.583
462.000000,103.519
468.000000,103.461
475.000000,103.393
482.000000,103.325
487.000000,103.275
494.000000,103.202
500.000000,103.139
508.000000,103.053
515.000000,102.978
522.000000,102.904
530.000000,102.820
538.000000,102.736
545.000000,102.661
552.000000,102.585
560.000000,102.497
570.000000,102.386
580.000000,102.273
590.000000,102.160
600.000000,102.047
608.000000,101.958
615.000000,101.880
622.000000,101.802
630.000000,101.714
640.000000,101.604
650.000000,101.497
660.000000,101.392
670.000000,101.287
680.000000,101.183
690.000000,101.080
700.000000,100.980
710.000000,100.882
720.000000,100.787
730.000000,100.696
740.000000,100.609
750.000000,100.524
762.000000,100.425
775.000000,100.322
788.000000,100.223
800.000000,100.136
812.000000,100.053
825.000000,99.968
838.000000,99.888
850.000000,99.818
862.000000,99.752
875.000000,99.685
885.000000,99.638
900.000000,99.572
912.000000,99.524
925.000000,99.472
938.000000,99.422
950.000000,99.376
962.000000,99.330
975.000000,99.279
988.000000,99.228
1000.000000,99.180
1015.000000,99.128
1030.000000,99.097
1044.000000,99.096
1060.000000,99.128
1075.000000,99.177
1090.000000,99.229
1106.000000,99.280
1120.000000,99.318
1138.000000,99.356
1150.000000,99.376
1172.000000,99.400
1180.000000,99.406
1206.000000,99.419
1220.000000,99.423
1241.000000,99.426
1250.000000,99.426
1265.000000,99.426
1280.000000,99.425
1315.000000,99.422
1320.000000,99.421
1340.000000,99.418
1360.000000,99.414
1380.000000,99.410
1400.000000,99.404
1430.000000,99.389
1450.000000,99.375
1475.000000,99.356
1500.000000,99.339
1525.000000,99.327
1550.000000,99.321
1575.000000,99.321
1600.000000,99.326
1625.000000,99.332
1650.000000,99.338
1675.000000,99.343
1700.000000,99.348
1725.000000,99.353
1750.000000,99.359
1775.000000,99.365
1800.000000,99.371
1825.000000,99.384
1850.000000,99.409
1875.000000,99.451
1900.000000,99.515
1925.000000,99.603
1950.000000,99.712
1975.000000,99.836
2000.000000,99.964
2030.000000,100.113
2060.000000,100.248
2090.000000,100.366
2120.000000,100.474
2140.000000,100.544
2180.000000,100.684
2200.000000,100.756
2240.000000,100.910
2270.000000,101.032
2300.000000,101.160
2330.000000,101.293
2360.000000,101.433
2400.000000,101.632
2430.000000,101.795
2470.000000,102.034
2500.000000,102.229
2540.000000,102.505
2580.000000,102.785
2620.000000,103.056
2650.000000,103.249
2690.000000,103.492
2720.000000,103.662
2760.000000,103.875
2800.000000,104.074
2850.000000,104.304
2900.000000,104.519
2950.000000,104.725
3000.000000,104.923
3040.000000,105.072
3070.000000,105.175
3110.000000,105.298
3150.000000,105.404
3200.000000,105.513
3250.000000,105.594
3300.000000,105.645
3350.000000,105.663
3400.000000,105.649
3450.000000,105.605
3500.000000,105.534
3550.000000,105.443
3600.000000,105.339
3650.000000,105.229
3700.000000,105.119
3750.000000,105.012
3820.000000,104.862
3870.000000,104.755
3950.000000,104.584
4000.000000,104.478
4060.000000,104.356
4120.000000,104.243
4180.000000,104.143
4250.000000,104.050
4310.000000,103.990
4370.000000,103.947
4440.000000,103.919
4500.000000,103.909
4550.000000,103.909
4620.000000,103.919
4680.000000,103.936
4750.000000,103.974
4820.000000,104.037
4870.000000,104.097
4940.000000,104.193
5000.000000,104.281
5080.000000,104.403
5150.000000,104.504
5220.000000,104.591
5300.000000,104.667
5380.000000,104.743
5450.000000,104.835
5520.000000,104.941
5600.000000,105.037
5700.000000,105.110
5800.000000,105.182
5900.000000,105.255
6000.000000,105.283
6080.000000,105.262
6150.000000,105.218
6220.000000,105.156
6300.000000,105.070
6400.000000,104.950
