X,Y
20.000000,113.726
20.299999,113.748
20.600000,113.764
20.900000,113.774
21.200001,113.777
21.400000,113.777
21.799999,113.774
22.000000,113.773
22.400000,113.770
22.700001,113.768
23.000000,113.765
23.299999,113.764
23.600000,113.765
24.000000,113.770
24.299999,113.776
24.700001,113.783
25.000000,113.785
25.400000,113.779
25.799999,113.763
26.200001,113.743
26.500000,113.726
26.900000,113.705
27.200001,113.689
27.600000,113.670
28.000000,113.659
28.500000,113.664
29.000000,113.696
29.500000,113.741
30.000000,113.776
30.400000,113.784
30.700001,113.778
31.100000,113.757
31.500000,113.730
32.000000,113.697
32.500000,113.673
33.000000,113.655
33.500000,113.636
34.000000,113.609
34.500000,113.577
35.000000,113.547
35.500000,113.525
36.000000,113.512
36.500000,113.500
37.000000,113.487
37.500000,113.473
38.200001,113.460
38.700001,113.455
39.500000,113.446
40.000000,113.439
40.599998,113.428
41.200001,113.413
41.799999,113.392
42.500000,113.366
43.099998,113.343
43.700001,113.320
44.400002,113.289
45.000000,113.255
45.500000,113.224
46.200001,113.184
46.799999,113.162
47.500000,113.149
48.200001,113.134
48.700001,113.114
49.400002,113.075
50.000000,113.040
50.799999,113.005
51.500000,112.983
52.200001,112.954
53.000000,112.908
53.799999,112.862
54.500000,112.829
55.200001,112.798
56.000000,112.762
57.000000,112.719
58.000000,112.672
59.000000,112.621
60.000000,112.571
60.799999,112.535
61.500000,112.504
62.200001,112.473
63.000000,112.436
64.000000,112.387
65.000000,112.338
66.000000,112.288
67.000000,112.236
68.000000,112.183
69.000000,112.134
70.000000,112.092
71.000000,112.054
72.000000,112.014
73.000000,111.966
74.000000,111.914
75.000000,111.861
76.199997,111.798
77.500000,111.733
78.800003,111.667
80.000000,111.607
81.199997,111.546
82.500000,111.479
83.800003,111.414
85.000000,111.359
86.199997,111.309
87.500000,111.256
88.500000,111.213
90.000000,111.140
91.199997,111.081
92.500000,111.019
93.800003,110.956
95.000000,110.897
96.199997,110.838
97.500000,110.776
98.800003,110.717
100.000000,110.660
101.500000,110.586
103.000000,110.516
104.400002,110.461
106.000000,110.401
107.500000,110.339
109.000000,110.275
110.599998,110.212
112.000000,110.161
113.800003,110.095
115.000000,110.047
117.199997,109.954
118.000000,109.919
120.599998,109.800
122.000000,109.737
124.099998,109.648
125.000000,109.612
126.500000,109.553
128.000000,109.494
131.500000,109.356
132.000000,109.336
134.000000,109.258
136.000000,109.180
138.000000,109.104
140.000000,109.026
143.000000,108.909
145.000000,108.833
147.500000,108.739
150.000000,108.645
152.500000,108.551
155.000000,108.456
157.500000,108.356
160.000000,108.254
162.500000,108.152
165.000000,108.051
167.500000,107.953
170.000000,107.864
172.500000,107.785
