X,Y
20.000000,116.996
20.299999,117.039
20.600000,117.078
20.900000,117.112
21.200001,117.142
21.400000,117.160
21.799999,117.193
22.000000,117.208
22.400000,117.237
22.700001,117.259
23.000000,117.280
23.299999,117.301
23.600000,117.321
24.000000,117.344
24.299999,117.356
24.700001,117.366
25.000000,117.368
25.400000,117.367
25.799999,117.365
26.200001,117.365
26.500000,117.366
26.900000,117.371
27.200001,117.378
27.600000,117.388
28.000000,117.399
28.500000,117.410
29.000000,117.413
29.500000,117.410
30.000000,117.406
30.400000,117.406
30.700001,117.406
31.100000,117.408
31.500000,117.409
32.000000,117.408
32.500000,117.406
33.000000,117.404
33.500000,117.404
34.000000,117.405
34.500000,117.405
35.000000,117.402
35.500000,117.394
36.000000,117.382
36.500000,117.371
37.000000,117.362
37.500000,117.355
38.200001,117.341
38.700001,117.327
39.500000,117.299
40.000000,117.280
40.599998,117.256
41.200001,117.230
41.799999,117.205
42.500000,117.178
43.099998,117.154
43.700001,117.126
44.400002,117.086
45.000000,117.047
45.500000,117.012
46.200001,116.962
46.799999,116.919
47.500000,116.869
48.200001,116.817
48.700001,116.779
49.400002,116.725
50.000000,116.677
50.799999,116.611
51.500000,116.550
52.200001,116.488
53.000000,116.418
53.799999,116.350
54.500000,116.291
55.200001,116.232
56.000000,116.163
57.000000,116.074
58.000000,115.983
59.000000,115.895
60.000000,115.811
60.799999,115.746
61.500000,115.688
62.200001,115.629
63.000000,115.563
64.000000,115.482
65.000000,115.403
66.000000,115.325
67.000000,115.245
68.000000,115.163
69.000000,115.080
70.000000,114.999
71.000000,114.924
72.000000,114.855
73.000000,114.789
74.000000,114.724
75.000000,114.657
76.199997,114.571
77.500000,114.472
78.800003,114.372
80.000000,114.283
81.199997,114.198
82.500000,114.102
83.800003,114.001
85.000000,113.904
86.199997,113.801
87.500000,113.684
88.500000,113.595
90.000000,113.473
91.199997,113.391
92.500000,113.306
93.800003,113.217
95.000000,113.135
96.199997,113.057
97.500000,112.976
98.800003,112.889
100.000000,112.792
101.500000,112.644
103.000000,112.483
104.400002,112.332
106.000000,112.163
107.500000,112.009
109.000000,111.860
110.599998,111.707
112.000000,111.578
113.800003,111.422
115.000000,111.324
117.199997,111.144
118.000000,111.077
120.599998,110.852
122.000000,110.730
124.099998,110.547
125.000000,110.468
126.500000,110.339
128.000000,110.212
131.500000,109.909
132.000000,109.864
134.000000,109.686
136.000000,109.508
138.000000,109.338
140.000000,109.174
143.000000,108.937
145.000000,108.784
147.500000,108.597
150.000000,108.417
152.500000,108.241
155.000000,108.067
