X,Y
19.5,43.6
19.8,43.8
20.1,44
20.3,44.1
20.6,44.3
20.9,44.5
21.2,44.8
21.6,45
21.9,45.2
22.2,45.4
22.5,45.6
22.8,45.8
23.2,45.9
23.5,46.1
23.8,46.3
24.2,46.5
24.5,46.7
24.9,46.9
25.3,47.2
25.6,47.3
26,47.5
26.4,47.7
26.8,47.9
27.2,48
27.5,48.2
28,48.4
28.4,48.6
28.8,48.7
29.2,48.9
29.6,49.1
30,49.3
30.5,49.5
30.9,49.7
31.4,49.8
31.8,49.9
32.3,50.1
32.8,50.2
33.2,50.4
33.7,50.6
34.2,50.8
34.7,51
35.2,51.2
35.7,51.4
36.2,51.5
36.8,51.7
37.3,51.8
37.9,51.9
38.4,52.1
39,52.2
39.5,52.4
40.1,52.4
40.7,52.5
41.3,52.6
41.9,52.7
42.5,52.9
43.1,53.1
43.7,53.3
44.4,53.4
45,53.4
45.7,53.3
46.3,53.3
47,53.4
47.7,53.6
48.4,53.7
49.1,53.8
49.8,53.9
50.5,54
51.3,54.1
52,54
52.8,53.9
53.5,53.9
54.3,53.8
55.1,53.7
55.9,53.8
56.7,53.8
57.5,53.8
58.4,53.8
59.2,53.8
60.1,53.9
61,54.1
61.8,54.3
62.7,54.5
63.7,54.5
64.6,54.6
65.5,54.7
66.5,54.8
67.4,54.8
68.4,54.9
69.4,54.9
70.4,54.9
71.5,55
72.5,55
73.5,55
74.6,55.1
75.7,55.1
76.8,55.2
77.9,55.4
79.1,55.5
80.2,55.6
81.4,55.7
82.6,55.6
83.8,55.5
85,55.4
86.2,55.5
87.5,55.6
88.7,55.7
90,55.8
91.3,55.8
92.7,55.9
94,55.9
95.4,55.8
96.8,55.8
98.2,55.8
99.6,55.9
101,55.9
103,55.9
104,55.9
106,56
107,56
109,56.1
110,56.1
112,56.1
113,56.1
115,56.1
117,56.1
118,56
120,56.1
122,56.1
124,56
125,55.9
127,55.9
129,55.9
131,55.9
133,55.9
135,55.9
137,55.9
139,55.9
141,55.9
143,55.9
145,55.9
147,55.8
149,55.9
151,56
154,56
156,56
158,56
160,56
163,56
165,55.9
168,55.8
170,55.9
172,55.8
175,55.7
177,55.6
180,55.6
183,55.5
185,55.4
188,55.2
191,55.2
194,55.4
196,55.4
199,55.3
202,55.2
205,55.1
208,55
211,55
214,55.1
217,55.1
220,55.1
224,55
227,54.9
230,54.9
234,54.9
237,54.9
240,54.8
244,54.8
247,54.7
251,54.7
255,54.7
258,54.6
262,54.5
266,54.4
270,54.4
274,54.3
278,54.2
282,54.1
286,54
290,53.9
294,53.8
298,53.8
303,53.7
307,53.7
312,53.6
316,53.5
321,53.5
325,53.5
330,53.5
335,53.4
340,53.3
345,53.4
350,53.5
355,53.6
360,53.7
365,53.7
371,53.7
376,53.7
382,53.5
387,53.4
393,53.4
398,53.4
404,53.4
410,53.4
416,53.3
422,53.2
428,53.2
434,53.1
441,53
447,52.9
454,52.9
460,52.8
467,52.8
474,52.7
481,52.7
488,52.8
495,52.8
502,53
509,53
517,52.9
524,52.7
532,52.6
540,52.6
547,52.8
555,52.8
563,52.8
572,52.7
580,52.7
588,52.7
597,52.7
606,52.7
614,52.6
623,52.6
632,52.5
642,52.4
651,52.4
660,52.3
670,52.1
680,51.9
690,51.7
700,51.8
710,51.9
720,52.2
731,52.4
741,52.6
752,52.8
763,53
774,53.1
785,53.1
797,53.2
808,53.3
820,53.3
832,53.3
844,53.4
856,53.4
869,53.4
882,53.4
894,53.3
907,53.3
921,53.2
934,53.1
948,53
961,52.9
975,52.7
990,52.6
1004,52.5
1019,52.4
1033,52.4
1048,52.3
1064,52.3
1079,52.3
1095,52.2
1111,52.1
1127,52.1
1143,52
1160,51.9
1177,51.7
1194,51.5
1211,51.4
1229,51.3
1247,51.2
1265,51.1
1283,51
1302,51
1321,51.1
1340,51.2
1360,51.3
1379,51.3
1399,51.5
1420,51.7
1440,51.9
1461,52.1
1483,52.3
1504,52.4
1526,52.6
1548,52.7
1571,52.8
1594,52.8
1617,52.9
1640,53.1
1664,53.3
1688,53.5
1713,53.9
1738,54.3
1763,54.7
1789,55.1
1815,55.7
1841,56.1
1868,56.6
1895,57.1
1923,57.6
1951,58
1979,58.5
2008,58.8
2037,59
2067,59.3
2097,59.6
2127,59.8
2158,60
2190,60.1
2221,60.2
2254,60.3
2287,60.3
2320,60.3
2354,60.4
2388,60.5
2423,60.5
2458,60.6
2494,60.8
2530,60.9
2567,60.9
2604,60.9
2642,60.9
2680,60.9
2719,60.8
2759,60.6
2799,60.5
2840,60.5
2881,60.4
2923,60.3
2965,60.1
3008,59.9
3052,59.6
3097,59.3
3142,59.3
3187,59.5
3234,59.7
3281,59.8
3328,60
3377,60.2
3426,60.4
3476,60.6
3526,60.7
3578,60.8
3630,60.9
3682,60.8
3736,60.7
3790,60.6
3846,60.5
3901,60.3
3958,60
4016,59.6
4074,59
4133,58.4
4194,57.9
4255,57.6
4316,57.5
4379,57.3
4443,57.2
4508,57.1
4573,57
4640,57
4707,56.9
4776,56.8
4845,56.8
4916,56.8
4987,56.8
5060,56.8
5133,56.9
5208,56.9
5284,57
5360,57.2
5438,57.3
5518,57.3
5598,57.3
5679,57.4
5762,57.7
5846,58
5931,58.4
6017,58.9
6104,59.6
6193,60.2
6283,60.8
6375,61.4
6467,61.9
6561,62.7
6657,63
6754,63.1
6852,63.1
6952,63
7053,62.9
7155,62.9
7259,63.1
7365,63.4
7472,63.8
7581,64.2
7691,64.6
7803,64.8
7916,64.5
8032,63.7
8148,62.3
8267,59.9
8387,57
8509,53.8
8633,50.8
8758,48.7
8886,48
9015,48.3
9146,49
9279,49.7
9414,50.2
9551,50.5
9690,50.4
9831,49.9
9974,49
10119,48.7
10266,48.9
10416,49.4
10567,49.7
10721,49.8
10877,49.5
11035,48.9
11196,48.1
11358,47.2
11524,46.1
11691,45.4
11861,45.5
12034,46.4
12209,47.9
12386,49.4
12567,51
12749,52.6
12935,54.1
13123,55.6
13314,57.1
13507,58
13704,57.8
13903,56.3
14105,53
14311,49.5
14519,47.7
14730,47.7
14944,48.7
15162,50.1
15382,51.5
15606,52
15833,52
16063,51.4
16297,50.2
16534,48.5
16774,46.1
17018,43.4
17266,41.1
17517,40
17772,40.2
18030,40.8
18293,40.7
18559,40.2
18829,40.1
19102,40.7
19380,41.4
20000,41.9
