X,Y
19.5,57.9
19.8,57.9
20.1,57.9
20.3,57.9
20.6,57.8
20.9,57.9
21.2,57.9
21.6,57.9
21.9,58
22.2,58
22.5,58
22.8,58.1
23.2,58.1
23.5,58.2
23.8,58.2
24.2,58.3
24.5,58.3
24.9,58.4
25.3,58.4
25.6,58.5
26,58.5
26.4,58.5
26.8,58.5
27.2,58.4
27.5,58.4
28,58.3
28.4,58.3
28.8,58.3
29.2,58.2
29.6,58.2
30,58.3
30.5,58.3
30.9,58.2
31.4,58.2
31.8,58.1
32.3,58.1
32.8,58.1
33.2,58.1
33.7,58.1
34.2,58.2
34.7,58.2
35.2,58.2
35.7,58.2
36.2,58.2
36.8,58.2
37.3,58.1
37.9,58.1
38.4,58.2
39,58.2
39.5,58.1
40.1,58.1
40.7,58
41.3,57.9
41.9,57.8
42.5,57.8
43.1,57.9
43.7,58
44.4,58
45,57.9
45.7,57.8
46.3,57.8
47,57.9
47.7,58.1
48.4,58.3
49.1,58.3
49.8,58.1
50.5,58
51.3,57.8
52,57.6
52.8,57.4
53.5,57.3
54.3,57.1
55.1,57
55.9,57
56.7,57.1
57.5,57.1
58.4,57.1
59.2,57
60.1,57
61,57
61.8,57
62.7,57
63.7,56.9
64.6,56.8
65.5,56.7
66.5,56.7
67.4,56.6
68.4,56.6
69.4,56.5
70.4,56.5
71.5,56.4
72.5,56.4
73.5,56.3
74.6,56.2
75.7,56.1
76.8,56
77.9,56
79.1,55.9
80.2,55.9
81.4,55.8
82.6,55.7
83.8,55.7
85,55.6
86.2,55.5
87.5,55.4
88.7,55.3
90,55.3
91.3,55.2
92.7,55.1
94,55
95.4,54.9
96.8,54.9
98.2,54.9
99.6,54.8
101,54.8
103,54.7
104,54.6
106,54.6
107,54.5
109,54.4
110,54.3
112,54.2
113,54.2
115,54.1
117,54
118,53.9
120,53.9
122,53.9
124,53.8
125,53.6
127,53.6
129,53.7
131,53.6
133,53.5
135,53.4
137,53.3
139,53.1
141,53
143,53
145,52.9
147,52.8
149,52.8
151,52.8
154,52.7
156,52.6
158,52.6
160,52.5
163,52.4
165,52.3
168,52.2
170,52.2
172,52.1
175,52
177,52
180,51.9
183,51.9
185,51.8
188,51.7
191,51.6
194,51.7
196,51.6
199,51.5
202,51.4
205,51.3
208,51.2
211,51.1
214,51.1
217,51
220,50.9
224,50.8
227,50.7
230,50.6
234,50.6
237,50.6
240,50.5
244,50.4
247,50.4
251,50.3
255,50.3
258,50.2
262,50.1
266,50.1
270,50
274,50
278,50
282,49.9
286,49.9
290,49.8
294,49.7
298,49.7
303,49.7
307,49.6
312,49.5
316,49.5
321,49.4
325,49.5
330,49.5
335,49.4
340,49.2
345,49.2
350,49.2
355,49.3
360,49.2
365,49.1
371,49.1
376,49.1
382,48.9
387,48.9
393,48.8
398,48.8
404,48.8
410,48.8
416,48.7
422,48.7
428,48.6
434,48.5
441,48.5
447,48.4
454,48.4
460,48.3
467,48.2
474,48.1
481,48.1
488,48
495,48
502,48.1
509,48.1
517,48.1
524,48
532,48
540,48.1
547,48.1
555,48.1
563,48.1
572,48.1
580,48.1
588,48
597,48
606,48
614,48
623,47.9
632,47.9
642,47.9
651,47.9
660,47.9
670,47.9
680,47.8
690,47.8
700,47.8
710,47.8
720,47.8
731,47.8
741,47.9
752,47.9
763,47.9
774,47.8
785,47.8
797,47.8
808,47.8
820,47.8
832,47.8
844,47.9
856,48
869,48.1
882,48.3
894,48.5
907,48.6
921,48.7
934,48.9
948,49
961,49.1
975,49.2
990,49.4
1004,49.5
1019,49.7
1033,49.8
1048,50
1064,50.1
1079,50.2
1095,50.4
1111,50.5
1127,50.7
1143,50.8
1160,51
1177,51.2
1194,51.3
1211,51.5
1229,51.6
1247,51.7
1265,51.8
1283,51.9
1302,52
1321,52.2
1340,52.3
1360,52.4
1379,52.6
1399,52.6
1420,52.7
1440,52.9
1461,53
1483,53.1
1504,53.2
1526,53.3
1548,53.4
1571,53.6
1594,53.7
1617,53.8
1640,53.8
1664,54
1688,54.1
1713,54.3
1738,54.4
1763,54.5
1789,54.6
1815,54.8
1841,54.9
1868,55
1895,55.1
1923,55.2
1951,55.3
1979,55.4
2008,55.5
2037,55.5
2067,55.6
2097,55.6
2127,55.6
2158,55.7
2190,55.7
2221,55.7
2254,55.7
2287,55.6
2320,55.5
2354,55.4
2388,55.3
2423,55.2
2458,55
2494,54.9
2530,54.8
2567,54.7
2604,54.5
2642,54.3
2680,54.2
2719,54
2759,53.8
2799,53.7
2840,53.5
2881,53.4
2923,53.3
2965,53.2
3008,53.1
3052,52.9
3097,52.8
3142,52.7
3187,52.6
3234,52.6
3281,52.5
3328,52.5
3377,52.4
3426,52.4
3476,52.4
3526,52.4
3578,52.4
3630,52.4
3682,52.5
3736,52.6
3790,52.7
3846,52.8
3901,53
3958,53.2
4016,53.4
4074,53.7
4133,54
4194,54.3
4255,54.8
4316,55.2
4379,55.6
4443,56
4508,56.5
4573,56.9
4640,57.3
4707,57.7
4776,57.9
4845,58
4916,58.1
4987,58
5060,57.7
5133,57.3
5208,56.8
5284,56.2
5360,55.7
5438,55.1
5518,54.6
5598,54
5679,53.6
5762,53.2
5846,52.8
5931,52.5
6017,52.2
6104,52
6193,51.8
6283,51.7
6375,51.6
6467,51.5
6561,51.5
6657,51.6
6754,51.8
6852,52.1
6952,52.4
7053,52.9
7155,53.4
7259,54.1
7365,54.8
7472,55.5
7581,56.2
7691,56.8
7803,57.3
7916,57.5
8032,57.5
8148,57.3
8267,56.9
8387,56.3
8509,55.6
8633,54.8
8758,53.9
8886,53
9015,52
9146,51
9279,49.9
9414,48.8
9551,47.8
9690,46.8
9831,45.9
9974,44.9
10119,44.5
10266,44.3
10416,44.4
10567,44.6
10721,45.1
10877,45.6
11035,46.3
11196,47
11358,47.5
11524,47.9
11691,47.9
11861,47.6
12034,47.1
12209,46.4
12386,45.7
12567,45
12749,44.4
12935,43.9
13123,43.5
13314,43.2
13507,43
13704,42.9
13903,42.9
14105,43
14311,43.1
14519,43.2
14730,43.5
14944,44
15162,44.8
15382,46.4
15606,47.3
15833,47.2
16063,46
16297,44.2
16534,42.1
16774,40.1
17018,38.3
17266,36.8
17517,35.5
17772,34.5
18030,33.8
18293,33.4
18559,33.1
18829,32.8
19102,32.1
19380,30.8
20000,29.4
