X,Y
19.5,62.3
19.8,62.3
20.1,62.3
20.3,62.3
20.6,62.3
20.9,62.3
21.2,62.3
21.6,62.4
21.9,62.4
22.2,62.4
22.5,62.4
22.8,62.5
23.2,62.5
23.5,62.5
23.8,62.6
24.2,62.6
24.5,62.7
24.9,62.8
25.3,62.9
25.6,62.9
26,63
26.4,62.9
26.8,62.9
27.2,62.8
27.5,62.8
28,62.7
28.4,62.6
28.8,62.6
29.2,62.5
29.6,62.5
30,62.5
30.5,62.5
30.9,62.5
31.4,62.4
31.8,62.4
32.3,62.3
32.8,62.3
33.2,62.3
33.7,62.3
34.2,62.4
34.7,62.5
35.2,62.6
35.7,62.6
36.2,62.6
36.8,62.7
37.3,62.7
37.9,62.7
38.4,62.8
39,62.8
39.5,62.7
40.1,62.7
40.7,62.6
41.3,62.5
41.9,62.5
42.5,62.5
43.1,62.4
43.7,62.4
44.4,62.4
45,62.3
45.7,62.3
46.3,62.4
47,62.4
47.7,62.5
48.4,62.5
49.1,62.6
49.8,62.6
50.5,62.7
51.3,62.6
52,62.6
52.8,62.5
53.5,62.3
54.3,62.2
55.1,62.1
55.9,62
56.7,62
57.5,62
58.4,61.9
59.2,61.9
60.1,61.9
61,61.8
61.8,61.8
62.7,61.8
63.7,61.8
64.6,61.8
65.5,61.9
66.5,61.9
67.4,61.9
68.4,62
69.4,61.9
70.4,61.8
71.5,61.7
72.5,61.5
73.5,61.4
74.6,61.4
75.7,61.4
76.8,61.5
77.9,61.5
79.1,61.3
80.2,61.1
81.4,61
82.6,60.9
83.8,60.9
85,60.9
86.2,61
87.5,61
88.7,60.9
90,60.8
91.3,60.8
92.7,60.8
94,60.8
95.4,60.7
96.8,60.7
98.2,60.6
99.6,60.5
101,60.5
103,60.4
104,60.4
106,60.3
107,60.2
109,60.1
110,59.9
112,59.8
113,59.7
115,59.7
117,59.6
118,59.5
120,59.5
122,59.5
124,59.4
125,59.4
127,59.3
129,59.2
131,59.2
133,59.1
135,59.1
137,59
139,58.8
141,58.8
143,58.7
145,58.7
147,58.6
149,58.6
151,58.5
154,58.4
156,58.3
158,58.2
160,58.1
163,57.9
165,57.9
168,57.9
170,57.8
172,57.8
175,57.7
177,57.6
180,57.4
183,57.4
185,57.3
188,57.3
191,57.3
194,57.2
196,57.1
199,57.1
202,57
205,56.9
208,56.8
211,56.8
214,56.6
217,56.5
220,56.5
224,56.4
227,56.3
230,56.2
234,56.2
237,56.1
240,56.1
244,56.1
247,56
251,55.9
255,55.8
258,55.7
262,55.6
266,55.6
270,55.5
274,55.4
278,55.3
282,55.3
286,55.2
290,55.1
294,55
298,54.9
303,54.9
307,54.9
312,54.8
316,54.8
321,54.8
325,54.6
330,54.5
335,54.3
340,54.3
345,54.3
350,54.3
355,54.3
360,54.3
365,54.3
371,54.3
376,54.2
382,54.1
387,54
393,53.8
398,53.8
404,53.8
410,53.8
416,53.8
422,53.7
428,53.6
434,53.5
441,53.5
447,53.4
454,53.4
460,53.3
467,53.2
474,53.2
481,53.2
488,53.1
495,53.1
502,53.1
509,53
517,53
524,52.9
532,52.8
540,52.8
547,52.7
555,52.7
563,52.7
572,52.7
580,52.7
588,52.7
597,52.6
606,52.5
614,52.5
623,52.4
632,52.3
642,52.3
651,52.2
660,52.2
670,52.1
680,52.1
690,52.1
700,52.1
710,52.1
720,52
731,52
741,52
752,52
763,52
774,52
785,52
797,52
808,52.1
820,52.1
832,52.1
844,52.1
856,52.1
869,52.1
882,52.1
894,52.2
907,52.2
921,52.3
934,52.3
948,52.4
961,52.4
975,52.5
990,52.6
1004,52.8
1019,52.9
1033,53
1048,53.2
1064,53.3
1079,53.5
1095,53.7
1111,53.9
1127,54.1
1143,54.3
1160,54.5
1177,54.8
1194,55
1211,55.1
1229,55.3
1247,55.4
1265,55.6
1283,55.7
1302,55.9
1321,56.1
1340,56.2
1360,56.3
1379,56.5
1399,56.6
1420,56.7
1440,56.8
1461,56.9
1483,57
1504,57.1
1526,57.2
1548,57.3
1571,57.4
1594,57.5
1617,57.6
1640,57.7
1664,57.9
1688,58
1713,58.1
1738,58.2
1763,58.3
1789,58.4
1815,58.6
1841,58.8
1868,58.9
1895,59
1923,59.2
1951,59.4
1979,59.5
2008,59.7
2037,59.8
2067,59.9
2097,60.1
2127,60.3
2158,60.5
2190,60.7
2221,60.9
2254,61.1
2287,61.3
2320,61.5
2354,61.7
2388,61.9
2423,62.1
2458,62.3
2494,62.6
2530,62.8
2567,63
2604,63.2
2642,63.4
2680,63.6
2719,63.8
2759,64
2799,64.2
2840,64.4
2881,64.5
2923,64.7
2965,64.8
3008,65
