X,Y
20.000000,87.775
20.299999,87.854
20.600000,87.969
20.900000,88.041
21.200001,88.063
21.400000,88.116
21.799999,88.195
22.000000,88.221
22.400000,88.331
22.700001,88.445
23.000000,88.509
23.299999,88.543
23.600000,88.621
24.000000,88.732
24.299999,88.792
24.700001,88.895
25.000000,88.951
25.400000,88.995
25.799999,89.108
26.200001,89.169
26.500000,89.222
26.900000,89.274
27.200001,89.289
27.600000,89.325
28.000000,89.391
28.500000,89.442
29.000000,89.511
29.500000,89.527
30.000000,89.586
30.400000,89.601
30.700001,89.642
31.100000,89.711
31.500000,89.745
32.000000,89.784
32.500000,89.801
33.000000,89.851
33.500000,89.915
34.000000,89.999
34.500000,90.081
35.000000,90.146
35.500000,90.183
36.000000,90.214
36.500000,90.250
37.000000,90.287
37.500000,90.330
38.200001,90.361
38.700001,90.390
39.500000,90.467
40.000000,90.484
40.599998,90.506
41.200001,90.511
41.799999,90.523
42.500000,90.500
43.099998,90.530
43.700001,90.604
44.400002,90.695
45.000000,90.780
45.500000,90.784
46.200001,90.790
46.799999,90.807
47.500000,90.826
48.200001,90.857
48.700001,90.983
49.400002,91.257
50.000000,91.270
50.799999,91.017
51.500000,90.973
52.200001,91.003
53.000000,91.005
53.799999,90.950
54.500000,91.017
55.200001,91.089
56.000000,91.071
57.000000,91.087
58.000000,91.124
59.000000,91.067
60.000000,91.086
60.799999,91.130
61.500000,91.112
62.200001,91.074
63.000000,91.094
64.000000,91.160
65.000000,91.203
66.000000,91.202
67.000000,91.195
68.000000,91.193
69.000000,91.231
70.000000,91.260
71.000000,91.233
72.000000,91.201
73.000000,91.165
74.000000,91.174
75.000000,91.243
76.199997,91.262
77.500000,91.299
78.800003,91.295
80.000000,91.266
81.199997,91.233
82.500000,91.182
83.800003,91.201
85.000000,91.226
86.199997,91.241
87.500000,91.230
88.500000,91.257
90.000000,91.236
91.199997,91.189
92.500000,91.162
93.800003,91.185
95.000000,91.167
96.199997,91.193
97.500000,91.171
98.800003,91.185
100.000000,91.151
101.500000,91.184
103.000000,91.134
104.400002,91.156
106.000000,91.129
107.500000,91.094
109.000000,91.079
110.599998,91.056
112.000000,91.030
113.800003,91.012
115.000000,90.961
117.199997,91.048
118.000000,91.024
120.599998,90.968
122.000000,90.936
124.099998,90.911
125.000000,90.914
126.500000,90.926
128.000000,90.910
131.500000,90.863
132.000000,90.843
134.000000,90.825
136.000000,90.787
138.000000,90.812
140.000000,90.733
143.000000,90.723
145.000000,90.657
147.500000,90.643
150.000000,90.560
152.500000,90.544
155.000000,90.539
157.500000,90.593
160.000000,90.519
162.500000,90.460
165.000000,90.466
167.500000,90.437
170.000000,90.429
172.500000,90.373
175.000000,90.346
177.500000,90.316
180.000000,90.255
182.500000,90.176
185.000000,90.193
187.500000,90.091
190.000000,90.063
192.500000,90.011
195.000000,90.019
197.500000,90.011
200.000000,89.959
203.000000,89.909
206.000000,89.860
209.000000,89.808
212.000000,89.757
214.000000,89.724
218.000000,89.656
220.000000,89.611
224.000000,89.516
