X,Y
20.000000,93.117
20.299999,93.118
20.600000,93.121
20.900000,93.124
21.200001,93.128
21.400000,93.130
21.799999,93.135
22.000000,93.138
22.400000,93.145
22.700001,93.151
23.000000,93.157
23.299999,93.160
23.600000,93.162
24.000000,93.162
24.299999,93.161
24.700001,93.158
25.000000,93.155
25.400000,93.150
25.799999,93.142
26.200001,93.130
26.500000,93.120
26.900000,93.106
27.200001,93.095
27.600000,93.080
28.000000,93.067
28.500000,93.051
29.000000,93.035
29.500000,93.020
30.000000,93.005
30.400000,92.994
30.700001,92.986
31.100000,92.976
31.500000,92.965
32.000000,92.951
32.500000,92.936
33.000000,92.922
33.500000,92.906
34.000000,92.888
34.500000,92.868
35.000000,92.847
35.500000,92.827
36.000000,92.805
36.500000,92.782
37.000000,92.759
37.500000,92.736
38.200001,92.705
38.700001,92.683
39.500000,92.648
40.000000,92.627
40.599998,92.602
41.200001,92.576
41.799999,92.549
42.500000,92.517
43.099998,92.489
43.700001,92.460
44.400002,92.425
45.000000,92.396
45.500000,92.372
46.200001,92.336
46.799999,92.305
47.500000,92.271
48.200001,92.237
48.700001,92.212
49.400002,92.178
50.000000,92.151
50.799999,92.110
51.500000,92.071
52.200001,92.037
53.000000,91.999
53.799999,91.958
54.500000,91.923
55.200001,91.891
56.000000,91.848
57.000000,91.794
58.000000,91.749
59.000000,91.694
60.000000,91.644
60.799999,91.602
61.500000,91.564
62.200001,91.530
63.000000,91.492
64.000000,91.442
65.000000,91.393
66.000000,91.342
67.000000,91.290
68.000000,91.238
69.000000,91.188
70.000000,91.138
71.000000,91.086
72.000000,91.038
73.000000,90.988
74.000000,90.943
75.000000,90.889
76.199997,90.832
77.500000,90.770
78.800003,90.699
80.000000,90.645
81.199997,90.587
82.500000,90.527
83.800003,90.463
85.000000,90.408
86.199997,90.352
87.500000,90.288
88.500000,90.243
90.000000,90.176
91.199997,90.121
92.500000,90.062
93.800003,90.003
95.000000,89.949
96.199997,89.897
97.500000,89.841
98.800003,89.784
100.000000,89.734
101.500000,89.664
103.000000,89.603
104.400002,89.543
106.000000,89.478
107.500000,89.412
109.000000,89.352
110.599998,89.285
112.000000,89.234
113.800003,89.160
115.000000,89.113
117.199997,89.027
118.000000,88.993
120.599998,88.893
122.000000,88.843
124.099998,88.762
125.000000,88.733
126.500000,88.673
128.000000,88.621
131.500000,88.492
132.000000,88.474
134.000000,88.410
136.000000,88.335
138.000000,88.273
140.000000,88.205
143.000000,88.112
145.000000,88.046
147.500000,87.966
150.000000,87.886
152.500000,87.811
155.000000,87.732
157.500000,87.662
160.000000,87.584
162.500000,87.513
165.000000,87.450
167.500000,87.376
170.000000,87.306
172.500000,87.242
175.000000,87.178
177.500000,87.112
180.000000,87.048
182.500000,86.987
185.000000,86.923
187.500000,86.862
190.000000,86.807
192.500000,86.751
195.000000,86.690
197.500000,86.635
200.000000,86.579
203.000000,86.516
206.000000,86.449
209.000000,86.389
212.000000,86.326
214.000000,86.288
218.000000,86.211
220.000000,86.170
224.000000,86.101
227.000000,86.044
230.000000,85.988
233.000000,85.940
236.000000,85.885
240.000000,85.821
243.000000,85.772
247.000000,85.712
250.000000,85.666
254.000000,85.601
258.000000,85.549
262.000000,85.494
265.000000,85.453
269.000000,85.404
272.000000,85.363
276.000000,85.308
280.000000,85.260
285.000000,85.198
290.000000,85.136
295.000000,85.072
300.000000,85.014
304.000000,84.977
307.000000,84.946
311.000000,84.907
315.000000,84.863
320.000000,84.819
325.000000,84.765
330.000000,84.720
335.000000,84.674
340.000000,84.619
345.000000,84.589
350.000000,84.547
355.000000,84.503
360.000000,84.453
365.000000,84.419
370.000000,84.384
375.000000,84.351
382.000000,84.289
387.000000,84.256
395.000000,84.211
400.000000,84.179
406.000000,84.137
412.000000,84.098
418.000000,84.063
425.000000,84.024
431.000000,83.994
437.000000,83.957
444.000000,83.930
450.000000,83.900
455.000000,83.879
462.000000,83.841
468.000000,83.826
475.000000,83.790
482.000000,83.762
487.000000,83.755
494.000000,83.714
500.000000,83.710
508.000000,83.677
515.000000,83.648
522.000000,83.627
530.000000,83.608
538.000000,83.592
545.000000,83.564
552.000000,83.554
560.000000,83.536
570.000000,83.510
580.000000,83.494
590.000000,83.488
600.000000,83.468
608.000000,83.464
615.000000,83.456
622.000000,83.452
630.000000,83.437
640.000000,83.430
650.000000,83.433
660.000000,83.423
670.000000,83.437
680.000000,83.437
690.000000,83.434
700.000000,83.449
710.000000,83.453
720.000000,83.475
730.000000,83.486
740.000000,83.500
750.000000,83.518
762.000000,83.546
775.000000,83.567
788.000000,83.614
800.000000,83.652
812.000000,83.707
825.000000,83.749
838.000000,83.800
850.000000,83.869
862.000000,83.921
875.000000,83.986
885.000000,84.045
900.000000,84.140
912.000000,84.216
925.000000,84.298
938.000000,84.405
950.000000,84.476
962.000000,84.576
975.000000,84.670
988.000000,84.778
1000.000000,84.886
1015.000000,85.006
1030.000000,85.119
1044.000000,85.241
1060.000000,85.377
1075.000000,85.498
1090.000000,85.625
1106.000000,85.757
1120.000000,85.867
1138.000000,86.014
1150.000000,86.102
1172.000000,86.267
1180.000000,86.324
1206.000000,86.510
1220.000000,86.604
1241.000000,86.745
1250.000000,86.801
1265.000000,86.889
1280.000000,86.985
1315.000000,87.182
1320.000000,87.203
1340.000000,87.313
1360.000000,87.420
1380.000000,87.524
1400.000000,87.620
1430.000000,87.771
1450.000000,87.864
1475.000000,87.971
1500.000000,88.075
1525.000000,88.191
1550.000000,88.302
1575.000000,88.416
1600.000000,88.519
1625.000000,88.623
1650.000000,88.724
1675.000000,88.835
1700.000000,88.931
1725.000000,89.028
1750.000000,89.133
1775.000000,89.229
1800.000000,89.328
1825.000000,89.426
1850.000000,89.521
1875.000000,89.612
1900.000000,89.703
1925.000000,89.786
1950.000000,89.871
1975.000000,89.946
2000.000000,90.037
2030.000000,90.103
2060.000000,90.174
2090.000000,90.234
2120.000000,90.293
2140.000000,90.331
2180.000000,90.382
2200.000000,90.410
2240.000000,90.447
2270.000000,90.467
2300.000000,90.479
2330.000000,90.498
2360.000000,90.497
2400.000000,90.492
2430.000000,90.486
2470.000000,90.464
2500.000000,90.449
2540.000000,90.412
2580.000000,90.377
2620.000000,90.332
2650.000000,90.297
2690.000000,90.242
2720.000000,90.204
2760.000000,90.148
2800.000000,90.087
2850.000000,90.008
2900.000000,89.928
