X,Y
20.000000,88.323
20.299999,88.375
20.600000,88.435
20.900000,88.473
21.200001,88.456
21.400000,88.449
21.799999,88.459
22.000000,88.469
22.400000,88.463
22.700001,88.469
23.000000,88.497
23.299999,88.510
23.600000,88.512
24.000000,88.521
24.299999,88.541
24.700001,88.564
25.000000,88.577
25.400000,88.596
25.799999,88.616
26.200001,88.643
26.500000,88.666
26.900000,88.691
27.200001,88.706
27.600000,88.724
28.000000,88.737
28.500000,88.748
29.000000,88.761
29.500000,88.766
30.000000,88.754
30.400000,88.744
30.700001,88.741
31.100000,88.727
31.500000,88.706
32.000000,88.694
32.500000,88.714
33.000000,88.723
33.500000,88.722
34.000000,88.731
34.500000,88.744
35.000000,88.752
35.500000,88.760
36.000000,88.775
36.500000,88.785
37.000000,88.782
37.500000,88.764
38.200001,88.742
38.700001,88.746
39.500000,88.728
40.000000,88.701
40.599998,88.683
41.200001,88.663
41.799999,88.642
42.500000,88.623
43.099998,88.611
43.700001,88.613
44.400002,88.623
45.000000,88.635
45.500000,88.643
46.200001,88.658
46.799999,88.669
47.500000,88.655
48.200001,88.630
48.700001,88.611
49.400002,88.569
50.000000,88.524
50.799999,88.482
51.500000,88.447
52.200001,88.429
53.000000,88.423
53.799999,88.412
54.500000,88.407
55.200001,88.412
56.000000,88.410
57.000000,88.397
58.000000,88.372
59.000000,88.325
60.000000,88.273
60.799999,88.233
61.500000,88.207
62.200001,88.184
63.000000,88.162
64.000000,88.139
65.000000,88.130
66.000000,88.133
67.000000,88.121
68.000000,88.107
69.000000,88.064
70.000000,88.012
71.000000,87.961
72.000000,87.894
73.000000,87.852
74.000000,87.842
75.000000,87.838
76.199997,87.837
77.500000,87.822
78.800003,87.759
80.000000,87.695
81.199997,87.636
82.500000,87.569
83.800003,87.542
85.000000,87.535
86.199997,87.533
87.500000,87.506
88.500000,87.467
90.000000,87.391
91.199997,87.334
92.500000,87.275
93.800003,87.249
95.000000,87.238
96.199997,87.233
97.500000,87.218
98.800003,87.158
100.000000,87.098
101.500000,87.023
103.000000,86.968
104.400002,86.941
106.000000,86.929
107.500000,86.900
109.000000,86.854
110.599998,86.778
112.000000,86.704
113.800003,86.652
115.000000,86.640
117.199997,86.621
118.000000,86.609
120.599998,86.501
122.000000,86.430
124.099998,86.377
125.000000,86.360
126.500000,86.352
128.000000,86.319
131.500000,86.180
132.000000,86.157
134.000000,86.103
136.000000,86.095
138.000000,86.065
140.000000,85.980
143.000000,85.867
145.000000,85.835
147.500000,85.819
150.000000,85.748
152.500000,85.639
155.000000,85.594
157.500000,85.567
160.000000,85.497
162.500000,85.417
165.000000,85.385
167.500000,85.377
170.000000,85.318
172.500000,85.220
175.000000,85.174
177.500000,85.164
180.000000,85.119
182.500000,85.036
185.000000,84.993
187.500000,84.967
190.000000,84.885
192.500000,84.793
195.000000,84.741
197.500000,84.705
200.000000,84.650
203.000000,84.596
206.000000,84.551
209.000000,84.500
212.000000,84.434
214.000000,84.406
218.000000,84.378
220.000000,84.336
224.000000,84.245
227.000000,84.228
230.000000,84.186
233.000000,84.113
236.000000,84.085
240.000000,84.031
243.000000,83.975
247.000000,83.965
250.000000,83.928
254.000000,83.834
258.000000,83.794
262.000000,83.725
265.000000,83.705
269.000000,83.645
272.000000,83.616
276.000000,83.549
280.000000,83.516
285.000000,83.460
290.000000,83.407
295.000000,83.351
300.000000,83.305
304.000000,83.254
307.000000,83.238
311.000000,83.191
315.000000,83.153
320.000000,83.112
