X,Y
20.000000,93.029
20.299999,93.011
20.600000,92.993
20.900000,92.976
21.200001,92.961
21.400000,92.952
21.799999,92.940
22.000000,92.935
22.400000,92.926
22.700001,92.918
23.000000,92.910
23.299999,92.903
23.600000,92.898
24.000000,92.897
24.299999,92.901
24.700001,92.912
25.000000,92.922
25.400000,92.938
25.799999,92.952
26.200001,92.966
26.500000,92.977
26.900000,92.993
27.200001,93.006
27.600000,93.028
28.000000,93.050
28.500000,93.078
29.000000,93.104
29.500000,93.129
30.000000,93.154
30.400000,93.169
30.700001,93.177
31.100000,93.185
31.500000,93.194
32.000000,93.210
32.500000,93.231
33.000000,93.252
33.500000,93.270
34.000000,93.287
34.500000,93.303
35.000000,93.316
35.500000,93.320
36.000000,93.322
36.500000,93.328
37.000000,93.340
37.500000,93.351
38.200001,93.359
38.700001,93.362
39.500000,93.374
40.000000,93.379
40.599998,93.376
41.200001,93.367
41.799999,93.359
42.500000,93.355
43.099998,93.347
43.700001,93.335
44.400002,93.321
45.000000,93.308
45.500000,93.296
46.200001,93.276
46.799999,93.263
47.500000,93.249
48.200001,93.226
48.700001,93.207
49.400002,93.184
50.000000,93.164
50.799999,93.133
51.500000,93.116
52.200001,93.101
53.000000,93.054
53.799999,93.005
54.500000,92.989
55.200001,92.965
56.000000,92.914
57.000000,92.877
58.000000,92.816
59.000000,92.732
60.000000,92.715
60.799999,92.675
61.500000,92.610
62.200001,92.560
63.000000,92.520
64.000000,92.454
65.000000,92.379
66.000000,92.315
67.000000,92.242
68.000000,92.178
69.000000,92.106
70.000000,92.006
71.000000,91.958
72.000000,91.892
73.000000,91.802
74.000000,91.728
75.000000,91.647
76.199997,91.570
77.500000,91.482
78.800003,91.361
80.000000,91.198
81.199997,91.144
82.500000,91.044
83.800003,90.942
85.000000,90.850
86.199997,90.741
87.500000,90.647
88.500000,90.565
90.000000,90.492
91.199997,90.306
92.500000,90.221
93.800003,90.092
95.000000,89.999
96.199997,89.885
97.500000,89.768
98.800003,89.670
100.000000,89.567
101.500000,89.421
103.000000,89.297
104.400002,89.165
106.000000,89.018
107.500000,88.884
109.000000,88.757
110.599998,88.617
112.000000,88.487
113.800003,88.327
115.000000,88.220
117.199997,88.039
118.000000,87.957
120.599998,87.707
122.000000,87.578
124.099998,87.404
125.000000,87.298
126.500000,87.196
128.000000,87.021
131.500000,86.681
132.000000,86.655
134.000000,86.392
136.000000,86.199
138.000000,85.947
140.000000,85.707
143.000000,85.316
145.000000,84.991
147.500000,84.643
150.000000,84.456
152.500000,84.544
155.000000,84.871
157.500000,85.031
160.000000,84.962
162.500000,84.917
165.000000,84.784
167.500000,84.597
170.000000,84.496
172.500000,84.338
175.000000,84.130
177.500000,84.013
180.000000,83.813
182.500000,83.679
185.000000,83.523
187.500000,83.360
190.000000,83.236
192.500000,83.107
195.000000,82.988
197.500000,82.842
200.000000,82.726
203.000000,82.559
206.000000,82.442
209.000000,82.290
212.000000,82.237
214.000000,82.157
218.000000,81.979
220.000000,81.943
224.000000,81.734
227.000000,81.686
230.000000,81.665
233.000000,81.473
236.000000,81.306
240.000000,81.300
243.000000,81.486
247.000000,81.415
250.000000,81.425
254.000000,81.343
258.000000,81.276
262.000000,81.258
265.000000,81.277
269.000000,81.248
272.000000,81.232
276.000000,81.108
280.000000,81.226
285.000000,81.204
290.000000,81.173
295.000000,81.184
300.000000,81.157
304.000000,81.223
307.000000,81.244
311.000000,81.269
315.000000,81.283
320.000000,81.260
325.000000,81.390
330.000000,81.402
335.000000,81.415
340.000000,81.456
345.000000,81.488
350.000000,81.500
355.000000,81.562
360.000000,81.622
365.000000,81.645
370.000000,81.642
375.000000,81.694
382.000000,81.716
387.000000,81.753
395.000000,81.793
400.000000,81.829
406.000000,81.879
412.000000,81.892
418.000000,81.978
425.000000,81.974
431.000000,82.047
437.000000,82.094
444.000000,82.137
450.000000,82.145
455.000000,82.164
462.000000,82.238
468.000000,82.278
475.000000,82.306
482.000000,82.351
487.000000,82.381
494.000000,82.415
500.000000,82.426
508.000000,82.489
515.000000,82.544
522.000000,82.556
530.000000,82.571
538.000000,82.602
545.000000,82.645
552.000000,82.666
560.000000,82.713
570.000000,82.739
580.000000,82.773
590.000000,82.797
600.000000,82.838
608.000000,82.861
615.000000,82.906
622.000000,82.899
630.000000,82.934
640.000000,82.972
650.000000,82.997
660.000000,83.019
670.000000,83.056
680.000000,83.085
690.000000,83.132
700.000000,83.154
710.000000,83.201
720.000000,83.217
730.000000,83.269
740.000000,83.304
750.000000,83.327
762.000000,83.386
775.000000,83.441
788.000000,83.500
800.000000,83.557
812.000000,83.611
825.000000,83.676
838.000000,83.746
850.000000,83.805
862.000000,83.875
875.000000,83.948
885.000000,84.021
900.000000,84.118
912.000000,84.188
925.000000,84.266
938.000000,84.376
950.000000,84.455
962.000000,84.526
975.000000,84.661
988.000000,84.736
1000.000000,84.853
1015.000000,84.953
1030.000000,85.059
1044.000000,85.169
1060.000000,85.303
1075.000000,85.425
1090.000000,85.520
1106.000000,85.680
1120.000000,85.762
1138.000000,85.911
1150.000000,85.995
1172.000000,86.163
1180.000000,86.224
1206.000000,86.402
1220.000000,86.493
1241.000000,86.632
1250.000000,86.704
1265.000000,86.793
1280.000000,86.882
1315.000000,87.109
1320.000000,87.144
1340.000000,87.276
1360.000000,87.394
1380.000000,87.506
1400.000000,87.652
1430.000000,87.826
1450.000000,87.958
1475.000000,88.117
1500.000000,88.269
1525.000000,88.424
1550.000000,88.586
1575.000000,88.758
1600.000000,88.910
1625.000000,89.065
1650.000000,89.229
1675.000000,89.382
1700.000000,89.552
1725.000000,89.695
1750.000000,89.844
1775.000000,89.999
1800.000000,90.132
1825.000000,90.269
1850.000000,90.410
1875.000000,90.545
1900.000000,90.660
1925.000000,90.797
1950.000000,90.916
1975.000000,91.028
2000.000000,91.111
2030.000000,91.275
2060.000000,91.398
2090.000000,91.510
2120.000000,91.634
2140.000000,91.714
2180.000000,91.857
2200.000000,91.928
2240.000000,92.079
2270.000000,92.176
2300.000000,92.277
2330.000000,92.377
2360.000000,92.461
2400.000000,92.583
2430.000000,92.643
2470.000000,92.740
2500.000000,92.790
2540.000000,92.851
2580.000000,92.897
2620.000000,92.924
2650.000000,92.940
2690.000000,92.936
2720.000000,92.948
2760.000000,92.927
2800.000000,92.903
2850.000000,92.849
2900.000000,92.792
2950.000000,92.702
3000.000000,92.633
3040.000000,92.552
3070.000000,92.494
3110.000000,92.407
3150.000000,92.330
3200.000000,92.226
3250.000000,92.110
3300.000000,92.004
3350.000000,91.910
3400.000000,91.805
3450.000000,91.728
3500.000000,91.650
3550.000000,91.586
3600.000000,91.525
3650.000000,91.468
3700.000000,91.407
3750.000000,91.381
3820.000000,91.335
3870.000000,91.326
3950.000000,91.350
4000.000000,91.375
4060.000000,91.436
4120.000000,91.524
4180.000000,91.646
4250.000000,91.821
4310.000000,91.984
4370.000000,92.174
4440.000000,92.378
4500.000000,92.560
4550.000000,92.685
4620.000000,92.860
4680.000000,92.971
4750.000000,93.083
4820.000000,93.145
4870.000000,93.152
4940.000000,93.135
5000.000000,93.076
5080.000000,92.977
5150.000000,92.864
5220.000000,92.694
5300.000000,92.501
5380.000000,92.309
5450.000000,92.107
5520.000000,91.923
5600.000000,91.719
5700.000000,91.482
5800.000000,91.282
5900.000000,91.074
6000.000000,90.910
6080.000000,90.792
6150.000000,90.696
6220.000000,90.604
6300.000000,90.505
6400.000000,90.420
6500.000000,90.334
6600.000000,90.273
6700.000000,90.178
6800.000000,90.063
6900.000000,89.931
7000.000000,89.814
7100.000000,89.696
7200.000000,89.612
7300.000000,89.533
7400.000000,89.497
7500.000000,89.497
7620.000000,89.573
7750.000000,89.779
7880.000000,90.416
8000.000000,91.003
8120.000000,91.734
8250.000000,92.374
8380.000000,92.206
8500.000000,91.005
8620.000000,89.147
8750.000000,87.031
8850.000000,85.592
9000.000000,83.640
9120.000000,82.353
9250.000000,81.125
9380.000000,80.065
9500.000000,79.134
9620.000000,78.348
9750.000000,77.552
9880.000000,76.921
10000.000000,76.107
10150.000000,75.626
10300.000000,75.011
10440.000000,74.370
10600.000000,73.716
10750.000000,73.339
10900.000000,72.893
11060.000000,72.444
11200.000000,72.149
11380.000000,71.711
11500.000000,71.226
11720.000000,70.969
11800.000000,70.915
12060.000000,70.609
12200.000000,70.594
12410.000000,70.404
12500.000000,70.528
12650.000000,70.519
12800.000000,70.630
13150.000000,70.894
13200.000000,70.936
13400.000000,71.137
13600.000000,71.755
13800.000000,72.253
14000.000000,73.031
14300.000000,74.203
14500.000000,75.276
14750.000000,77.176
15000.000000,79.747
15250.000000,82.553
15500.000000,83.164
15750.000000,80.144
16000.000000,76.811
16250.000000,74.260
16500.000000,72.182
16750.000000,70.594
17000.000000,69.159
17250.000000,67.741
17500.000000,66.221
17750.000000,64.485
18000.000000,64.439
18250.000000,64.499
18500.000000,64.854
18750.000000,65.046
19000.000000,65.362
19250.000000,65.828
19500.000000,66.024
19750.000000,66.040
