X,Y
20.000000,94.077
20.299999,94.127
20.600000,94.157
20.900000,94.182
21.200001,94.216
21.400000,94.250
21.799999,94.334
22.000000,94.376
22.400000,94.439
22.700001,94.460
23.000000,94.464
23.299999,94.467
23.600000,94.482
24.000000,94.531
24.299999,94.582
24.700001,94.649
25.000000,94.685
25.400000,94.709
25.799999,94.710
26.200001,94.704
26.500000,94.702
26.900000,94.715
27.200001,94.740
27.600000,94.796
28.000000,94.866
28.500000,94.942
29.000000,94.980
29.500000,94.989
30.000000,95.010
30.400000,95.046
30.700001,95.077
31.100000,95.106
31.500000,95.112
32.000000,95.096
32.500000,95.087
33.000000,95.099
33.500000,95.113
34.000000,95.107
34.500000,95.081
35.000000,95.058
35.500000,95.060
36.000000,95.081
36.500000,95.102
37.000000,95.109
37.500000,95.108
38.200001,95.130
38.700001,95.175
39.500000,95.241
40.000000,95.249
40.599998,95.231
41.200001,95.219
41.799999,95.222
42.500000,95.221
43.099998,95.204
43.700001,95.195
44.400002,95.223
45.000000,95.250
45.500000,95.242
46.200001,95.199
46.799999,95.196
47.500000,95.255
48.200001,95.297
48.700001,95.287
49.400002,95.245
50.000000,95.215
50.799999,95.198
51.500000,95.196
52.200001,95.186
53.000000,95.159
53.799999,95.146
54.500000,95.141
55.200001,95.135
56.000000,95.125
57.000000,95.088
58.000000,95.085
59.000000,95.062
60.000000,95.031
60.799999,95.041
61.500000,95.003
62.200001,94.967
63.000000,94.991
64.000000,94.997
65.000000,94.966
66.000000,94.919
67.000000,94.909
68.000000,94.896
69.000000,94.866
70.000000,94.857
71.000000,94.771
72.000000,94.798
73.000000,94.776
74.000000,94.720
75.000000,94.733
76.199997,94.671
77.500000,94.672
78.800003,94.602
80.000000,94.604
81.199997,94.541
82.500000,94.504
83.800003,94.465
85.000000,94.419
86.199997,94.396
87.500000,94.368
88.500000,94.333
90.000000,94.278
91.199997,94.254
92.500000,94.207
93.800003,94.150
95.000000,94.130
96.199997,94.105
97.500000,94.038
98.800003,94.028
100.000000,94.006
101.500000,93.946
103.000000,93.922
104.400002,93.913
106.000000,93.834
107.500000,93.772
109.000000,93.745
110.599998,93.676
112.000000,93.611
113.800003,93.561
115.000000,93.530
117.199997,93.431
118.000000,93.395
120.599998,93.317
122.000000,93.279
124.099998,93.226
125.000000,93.194
126.500000,93.152
128.000000,93.093
131.500000,92.964
132.000000,92.941
134.000000,92.891
136.000000,92.815
138.000000,92.739
140.000000,92.684
143.000000,92.604
145.000000,92.538
147.500000,92.452
150.000000,92.370
152.500000,92.296
155.000000,92.228
157.500000,92.164
160.000000,92.091
162.500000,92.023
165.000000,91.958
167.500000,91.883
170.000000,91.812
172.500000,91.745
175.000000,91.682
177.500000,91.620
180.000000,91.558
182.500000,91.499
185.000000,91.461
187.500000,91.400
190.000000,91.320
192.500000,91.258
195.000000,91.199
197.500000,91.143
200.000000,91.067
203.000000,90.976
206.000000,90.899
209.000000,90.821
212.000000,90.738
214.000000,90.697
218.000000,90.590
220.000000,90.542
224.000000,90.447
227.000000,90.391
230.000000,90.316
233.000000,90.256
236.000000,90.202
240.000000,90.112
243.000000,90.044
247.000000,89.957
250.000000,89.895
254.000000,89.803
258.000000,89.714
262.000000,89.628
265.000000,89.564
269.000000,89.491
272.000000,89.431
276.000000,89.352
280.000000,89.274
285.000000,89.182
290.000000,89.094
295.000000,89.003
300.000000,88.921
304.000000,88.862
307.000000,88.800
311.000000,88.722
315.000000,88.641
320.000000,88.549
325.000000,88.463
330.000000,88.379
335.000000,88.288
340.000000,88.205
345.000000,88.117
350.000000,88.031
355.000000,87.956
360.000000,87.879
365.000000,87.795
370.000000,87.716
375.000000,87.642
382.000000,87.546
387.000000,87.465
395.000000,87.362
400.000000,87.302
406.000000,87.219
412.000000,87.146
418.000000,87.071
425.000000,86.989
431.000000,86.914
437.000000,86.842
444.000000,86.755
450.000000,86.694
455.000000,86.642
462.000000,86.558
468.000000,86.489
475.000000,86.406
482.000000,86.331
487.000000,86.271
494.000000,86.183
500.000000,86.121
508.000000,86.041
515.000000,85.969
522.000000,85.899
530.000000,85.824
538.000000,85.757
545.000000,85.710
552.000000,85.656
560.000000,85.613
570.000000,85.544
580.000000,85.475
590.000000,85.411
600.000000,85.356
608.000000,85.303
615.000000,85.262
622.000000,85.229
630.000000,85.175
640.000000,85.119
650.000000,85.053
660.000000,84.988
670.000000,84.930
680.000000,84.878
690.000000,84.844
700.000000,84.815
710.000000,84.784
720.000000,84.766
730.000000,84.741
740.000000,84.728
750.000000,84.714
762.000000,84.695
775.000000,84.681
788.000000,84.665
800.000000,84.675
812.000000,84.675
825.000000,84.685
838.000000,84.688
850.000000,84.716
862.000000,84.744
875.000000,84.782
885.000000,84.813
900.000000,84.859
912.000000,84.893
925.000000,84.932
938.000000,84.990
950.000000,85.052
962.000000,85.107
975.000000,85.197
988.000000,85.271
1000.000000,85.369
1015.000000,85.448
1030.000000,85.532
1044.000000,85.634
1060.000000,85.722
1075.000000,85.820
1090.000000,85.914
1106.000000,86.018
1120.000000,86.108
1138.000000,86.212
1150.000000,86.301
1172.000000,86.441
1180.000000,86.493
1206.000000,86.659
1220.000000,86.729
1241.000000,86.840
1250.000000,86.869
1265.000000,86.934
1280.000000,87.007
1315.000000,87.177
1320.000000,87.210
1340.000000,87.335
1360.000000,87.464
1380.000000,87.609
1400.000000,87.749
1430.000000,87.946
1450.000000,88.068
1475.000000,88.231
1500.000000,88.396
1525.000000,88.553
1550.000000,88.715
1575.000000,88.890
1600.000000,89.069
1625.000000,89.248
1650.000000,89.427
1675.000000,89.617
1700.000000,89.797
1725.000000,89.983
1750.000000,90.165
1775.000000,90.360
1800.000000,90.550
1825.000000,90.734
1850.000000,90.916
1875.000000,91.109
1900.000000,91.300
1925.000000,91.493
1950.000000,91.682
1975.000000,91.876
2000.000000,92.071
2030.000000,92.282
2060.000000,92.500
2090.000000,92.710
2120.000000,92.917
2140.000000,93.058
2180.000000,93.331
2200.000000,93.460
2240.000000,93.709
2270.000000,93.880
2300.000000,94.032
2330.000000,94.173
2360.000000,94.290
2400.000000,94.416
2430.000000,94.492
2470.000000,94.559
2500.000000,94.593
2540.000000,94.607
2580.000000,94.588
2620.000000,94.554
2650.000000,94.518
2690.000000,94.454
2720.000000,94.404
2760.000000,94.327
2800.000000,94.236
2850.000000,94.125
2900.000000,94.017
2950.000000,93.905
3000.000000,93.796
3040.000000,93.732
3070.000000,93.681
3110.000000,93.620
3150.000000,93.563
3200.000000,93.497
3250.000000,93.447
3300.000000,93.385
3350.000000,93.341
3400.000000,93.299
3450.000000,93.279
3500.000000,93.310
3550.000000,93.354
3600.000000,93.423
3650.000000,93.513
3700.000000,93.611
3750.000000,93.727
3820.000000,93.919
3870.000000,94.062
3950.000000,94.288
4000.000000,94.418
4060.000000,94.512
4120.000000,94.538
4180.000000,94.455
4250.000000,94.196
4310.000000,93.831
4370.000000,93.329
4440.000000,92.673
4500.000000,92.120
4550.000000,91.732
4620.000000,91.177
4680.000000,90.614
4750.000000,89.942
4820.000000,89.275
4870.000000,88.799
4940.000000,88.111
5000.000000,87.514
5080.000000,86.603
5150.000000,85.785
5220.000000,84.999
5300.000000,84.074
5380.000000,83.206
5450.000000,82.431
5520.000000,81.586
5600.000000,80.672
5700.000000,79.519
5800.000000,78.464
5900.000000,77.559
6000.000000,76.693
6080.000000,76.060
6150.000000,75.542
6220.000000,75.166
6300.000000,74.688
6400.000000,74.059
6500.000000,73.517
6600.000000,73.066
6700.000000,72.658
6800.000000,72.265
6900.000000,71.876
7000.000000,71.566
7100.000000,71.126
7200.000000,70.959
7300.000000,70.689
7400.000000,70.404
7500.000000,70.355
7620.000000,70.119
7750.000000,70.056
7880.000000,70.066
8000.000000,69.938
8120.000000,70.104
8250.000000,70.322
8380.000000,70.595
8500.000000,70.955
8620.000000,71.353
8750.000000,71.915
8850.000000,72.324
9000.000000,73.173
9120.000000,73.803
9250.000000,74.670
9380.000000,75.498
9500.000000,76.472
9620.000000,77.392
9750.000000,78.557
9880.000000,79.735
10000.000000,80.811
10150.000000,82.100
10300.000000,83.241
10440.000000,84.016
10600.000000,84.526
10750.000000,84.722
10900.000000,84.713
11060.000000,84.677
11200.000000,84.484
11380.000000,83.906
11500.000000,83.508
11720.000000,83.892
11800.000000,84.139
12060.000000,84.901
12200.000000,85.210
12410.000000,85.405
12500.000000,85.311
12650.000000,84.868
12800.000000,84.055
13150.000000,82.982
13200.000000,82.866
13400.000000,81.985
13600.000000,80.986
13800.000000,79.953
14000.000000,78.991
14300.000000,77.751
14500.000000,77.015
14750.000000,76.197
15000.000000,75.692
15250.000000,75.715
15500.000000,76.571
15750.000000,77.433
16000.000000,77.788
16250.000000,77.936
16500.000000,78.151
16750.000000,78.625
17000.000000,79.493
17250.000000,80.434
17500.000000,81.796
17750.000000,83.194
18000.000000,83.502
18250.000000,82.890
18500.000000,81.923
18750.000000,80.757
19000.000000,79.589
19250.000000,78.576
19500.000000,77.554
19750.000000,76.808
