X,Y
20.000000,92.940
20.299999,92.943
20.600000,92.940
20.900000,92.934
21.200001,92.924
21.400000,92.915
21.799999,92.892
22.000000,92.878
22.400000,92.849
22.700001,92.826
23.000000,92.803
23.299999,92.781
23.600000,92.758
24.000000,92.728
24.299999,92.706
24.700001,92.680
25.000000,92.662
25.400000,92.641
25.799999,92.622
26.200001,92.605
26.500000,92.593
26.900000,92.577
27.200001,92.564
27.600000,92.546
28.000000,92.526
28.500000,92.499
29.000000,92.467
29.500000,92.428
30.000000,92.383
30.400000,92.344
30.700001,92.314
31.100000,92.275
31.500000,92.237
32.000000,92.189
32.500000,92.139
33.000000,92.087
33.500000,92.035
34.000000,91.986
34.500000,91.939
35.000000,91.895
35.500000,91.853
36.000000,91.811
36.500000,91.769
37.000000,91.725
37.500000,91.680
38.200001,91.611
38.700001,91.561
39.500000,91.477
40.000000,91.424
40.599998,91.360
41.200001,91.299
41.799999,91.238
42.500000,91.164
43.099998,91.102
43.700001,91.042
44.400002,90.972
45.000000,90.911
45.500000,90.860
46.200001,90.790
46.799999,90.730
47.500000,90.657
48.200001,90.585
48.700001,90.535
49.400002,90.465
50.000000,90.406
50.799999,90.328
51.500000,90.257
52.200001,90.184
53.000000,90.104
53.799999,90.024
54.500000,89.950
55.200001,89.879
56.000000,89.801
57.000000,89.704
58.000000,89.610
59.000000,89.522
60.000000,89.428
60.799999,89.352
61.500000,89.285
62.200001,89.219
63.000000,89.145
64.000000,89.050
65.000000,88.957
66.000000,88.870
67.000000,88.782
68.000000,88.695
69.000000,88.614
70.000000,88.530
71.000000,88.443
72.000000,88.359
73.000000,88.275
74.000000,88.194
75.000000,88.112
76.199997,88.022
77.500000,87.923
78.800003,87.819
80.000000,87.733
81.199997,87.645
82.500000,87.552
83.800003,87.461
85.000000,87.373
86.199997,87.293
87.500000,87.206
88.500000,87.138
90.000000,87.041
91.199997,86.967
92.500000,86.885
93.800003,86.809
95.000000,86.735
96.199997,86.664
97.500000,86.590
98.800003,86.515
100.000000,86.448
101.500000,86.370
103.000000,86.288
104.400002,86.219
106.000000,86.136
107.500000,86.062
109.000000,85.992
110.599998,85.918
112.000000,85.857
113.800003,85.777
115.000000,85.722
117.199997,85.631
118.000000,85.593
120.599998,85.495
122.000000,85.438
124.099998,85.366
125.000000,85.329
126.500000,85.273
128.000000,85.221
131.500000,85.100
132.000000,85.085
134.000000,85.030
136.000000,84.962
138.000000,84.907
140.000000,84.846
143.000000,84.764
145.000000,84.711
147.500000,84.647
150.000000,84.583
152.500000,84.528
155.000000,84.468
157.500000,84.418
160.000000,84.363
162.500000,84.313
165.000000,84.264
167.500000,84.217
170.000000,84.173
172.500000,84.128
175.000000,84.088
177.500000,84.045
180.000000,84.005
182.500000,83.961
185.000000,83.933
187.500000,83.897
190.000000,83.866
192.500000,83.837
195.000000,83.800
197.500000,83.773
200.000000,83.733
203.000000,83.704
206.000000,83.666
209.000000,83.635
212.000000,83.609
214.000000,83.586
218.000000,83.537
220.000000,83.526
224.000000,83.487
227.000000,83.463
230.000000,83.439
233.000000,83.408
236.000000,83.387
240.000000,83.357
243.000000,83.331
247.000000,83.306
250.000000,83.288
254.000000,83.261
258.000000,83.238
262.000000,83.212
265.000000,83.192
269.000000,83.171
272.000000,83.160
276.000000,83.123
280.000000,83.110
285.000000,83.078
290.000000,83.057
295.000000,83.032
300.000000,83.010
304.000000,82.992
307.000000,82.973
311.000000,82.967
315.000000,82.953
320.000000,82.930
325.000000,82.899
330.000000,82.889
335.000000,82.869
340.000000,82.855
345.000000,82.836
350.000000,82.821
355.000000,82.804
360.000000,82.787
365.000000,82.771
370.000000,82.763
375.000000,82.736
382.000000,82.727
387.000000,82.711
395.000000,82.688
400.000000,82.677
406.000000,82.660
412.000000,82.646
418.000000,82.640
425.000000,82.612
431.000000,82.604
437.000000,82.594
444.000000,82.581
450.000000,82.574
455.000000,82.561
462.000000,82.530
468.000000,82.533
475.000000,82.514
482.000000,82.511
487.000000,82.500
494.000000,82.481
500.000000,82.477
508.000000,82.476
515.000000,82.455
522.000000,82.449
530.000000,82.439
538.000000,82.427
545.000000,82.418
552.000000,82.418
560.000000,82.402
570.000000,82.398
580.000000,82.394
590.000000,82.391
