X,Y
20.000000,91.538
20.299999,91.541
20.600000,91.544
20.900000,91.549
21.200001,91.556
21.400000,91.562
21.799999,91.577
22.000000,91.586
22.400000,91.606
22.700001,91.621
23.000000,91.637
23.299999,91.653
23.600000,91.667
24.000000,91.682
24.299999,91.691
24.700001,91.697
25.000000,91.700
25.400000,91.701
25.799999,91.701
26.200001,91.698
26.500000,91.692
26.900000,91.681
27.200001,91.673
27.600000,91.663
28.000000,91.655
28.500000,91.648
29.000000,91.640
29.500000,91.634
30.000000,91.632
30.400000,91.634
30.700001,91.638
31.100000,91.644
31.500000,91.650
32.000000,91.657
32.500000,91.662
33.000000,91.663
33.500000,91.664
34.000000,91.663
34.500000,91.662
35.000000,91.657
35.500000,91.647
36.000000,91.636
36.500000,91.625
37.000000,91.617
37.500000,91.609
38.200001,91.598
38.700001,91.591
39.500000,91.584
40.000000,91.580
40.599998,91.574
41.200001,91.568
41.799999,91.563
42.500000,91.557
43.099998,91.549
43.700001,91.540
44.400002,91.531
45.000000,91.522
45.500000,91.512
46.200001,91.498
46.799999,91.488
47.500000,91.479
48.200001,91.467
48.700001,91.457
49.400002,91.444
50.000000,91.436
50.799999,91.423
51.500000,91.407
52.200001,91.389
53.000000,91.374
53.799999,91.364
54.500000,91.352
55.200001,91.337
56.000000,91.324
57.000000,91.300
58.000000,91.279
59.000000,91.270
60.000000,91.239
60.799999,91.217
61.500000,91.204
62.200001,91.190
63.000000,91.172
64.000000,91.152
65.000000,91.132
66.000000,91.109
67.000000,91.086
68.000000,91.064
69.000000,91.037
70.000000,91.012
71.000000,90.990
72.000000,90.968
73.000000,90.943
74.000000,90.923
75.000000,90.897
76.199997,90.867
77.500000,90.831
78.800003,90.798
80.000000,90.764
81.199997,90.733
82.500000,90.698
83.800003,90.662
85.000000,90.631
86.199997,90.598
87.500000,90.562
88.500000,90.539
90.000000,90.492
91.199997,90.456
92.500000,90.421
93.800003,90.380
95.000000,90.346
96.199997,90.309
97.500000,90.273
98.800003,90.239
100.000000,90.199
101.500000,90.150
103.000000,90.095
104.400002,90.056
106.000000,90.000
107.500000,89.952
109.000000,89.897
110.599998,89.841
112.000000,89.785
113.800003,89.716
115.000000,89.664
117.199997,89.568
118.000000,89.529
120.599998,89.389
122.000000,89.288
124.099998,89.138
125.000000,89.076
126.500000,88.953
128.000000,88.863
131.500000,88.914
132.000000,88.953
134.000000,89.116
136.000000,89.229
138.000000,89.268
140.000000,89.242
143.000000,89.194
145.000000,89.150
147.500000,89.077
150.000000,89.012
152.500000,88.927
155.000000,88.857
157.500000,88.794
160.000000,88.710
162.500000,88.635
165.000000,88.570
167.500000,88.496
170.000000,88.427
172.500000,88.347
175.000000,88.282
177.500000,88.218
180.000000,88.141
182.500000,88.073
185.000000,87.992
187.500000,87.939
190.000000,87.870
192.500000,87.797
195.000000,87.722
197.500000,87.652
200.000000,87.592
203.000000,87.504
206.000000,87.423
