X,Y
20.000000,90.739
20.299999,90.752
20.600000,90.762
20.900000,90.768
21.200001,90.770
21.400000,90.769
21.799999,90.763
22.000000,90.759
22.400000,90.751
22.700001,90.745
23.000000,90.739
23.299999,90.733
23.600000,90.725
24.000000,90.714
24.299999,90.708
24.700001,90.704
25.000000,90.705
25.400000,90.710
25.799999,90.718
26.200001,90.727
26.500000,90.734
26.900000,90.745
27.200001,90.754
27.600000,90.766
28.000000,90.776
28.500000,90.786
29.000000,90.791
29.500000,90.790
30.000000,90.783
30.400000,90.775
30.700001,90.769
31.100000,90.761
31.500000,90.752
32.000000,90.739
32.500000,90.725
33.000000,90.711
33.500000,90.701
34.000000,90.692
34.500000,90.687
35.000000,90.683
35.500000,90.681
36.000000,90.677
36.500000,90.673
37.000000,90.669
37.500000,90.664
38.200001,90.656
38.700001,90.647
39.500000,90.629
40.000000,90.616
40.599998,90.599
41.200001,90.585
41.799999,90.571
42.500000,90.556
43.099998,90.542
43.700001,90.528
44.400002,90.513
45.000000,90.501
45.500000,90.490
46.200001,90.472
46.799999,90.456
47.500000,90.439
48.200001,90.421
48.700001,90.406
49.400002,90.385
50.000000,90.368
50.799999,90.348
51.500000,90.329
52.200001,90.307
53.000000,90.287
53.799999,90.265
54.500000,90.242
55.200001,90.219
56.000000,90.196
57.000000,90.167
58.000000,90.145
59.000000,90.115
60.000000,90.080
60.799999,90.058
61.500000,90.038
62.200001,90.015
63.000000,89.988
64.000000,89.951
65.000000,89.919
66.000000,89.887
67.000000,89.856
68.000000,89.826
69.000000,89.790
70.000000,89.759
71.000000,89.728
72.000000,89.699
73.000000,89.664
74.000000,89.627
75.000000,89.596
76.199997,89.553
77.500000,89.513
78.800003,89.469
80.000000,89.428
81.199997,89.387
82.500000,89.342
83.800003,89.295
85.000000,89.259
86.199997,89.214
87.500000,89.165
88.500000,89.128
90.000000,89.074
91.199997,89.034
92.500000,88.988
93.800003,88.946
95.000000,88.901
96.199997,88.859
97.500000,88.809
98.800003,88.764
100.000000,88.718
101.500000,88.663
103.000000,88.605
104.400002,88.553
106.000000,88.490
107.500000,88.431
109.000000,88.370
110.599998,88.309
112.000000,88.248
113.800003,88.170
115.000000,88.116
117.199997,88.012
118.000000,87.970
120.599998,87.834
122.000000,87.746
124.099998,87.599
125.000000,87.530
126.500000,87.408
128.000000,87.276
131.500000,87.111
132.000000,87.142
134.000000,87.377
136.000000,87.646
138.000000,87.773
140.000000,87.787
143.000000,87.722
145.000000,87.646
147.500000,87.561
150.000000,87.471
152.500000,87.384
155.000000,87.297
157.500000,87.213
160.000000,87.129
162.500000,87.055
165.000000,86.982
167.500000,86.904
170.000000,86.823
172.500000,86.752
175.000000,86.673
177.500000,86.606
180.000000,86.537
182.500000,86.465
185.000000,86.391
187.500000,86.324
190.000000,86.260
192.500000,86.192
195.000000,86.129
197.500000,86.062
200.000000,85.998
203.000000,85.921
206.000000,85.863
209.000000,85.799
212.000000,85.731
214.000000,85.687
218.000000,85.605
220.000000,85.563
224.000000,85.470
227.000000,85.404
230.000000,85.337
233.000000,85.261
236.000000,85.188
240.000000,85.087
243.000000,85.019
247.000000,84.934
250.000000,84.903
254.000000,84.881
258.000000,84.855
262.000000,84.801
265.000000,84.751
269.000000,84.675
272.000000,84.619
276.000000,84.553
280.000000,84.485
285.000000,84.394
290.000000,84.309
295.000000,84.225
300.000000,84.148
304.000000,84.089
307.000000,84.043
311.000000,83.990
315.000000,83.929
320.000000,83.866
325.000000,83.795
330.000000,83.723
335.000000,83.664
340.000000,83.609
345.000000,83.547
350.000000,83.486
355.000000,83.427
360.000000,83.383
365.000000,83.322
370.000000,83.280
375.000000,83.231
382.000000,83.174
387.000000,83.118
395.000000,83.048
400.000000,83.022
406.000000,82.958
412.000000,82.924
418.000000,82.877
425.000000,82.835
431.000000,82.788
437.000000,82.768
444.000000,82.722
450.000000,82.697
455.000000,82.678
462.000000,82.651
468.000000,82.644
475.000000,82.615
482.000000,82.590
487.000000,82.590
494.000000,82.575
500.000000,82.568
508.000000,82.565
515.000000,82.556
522.000000,82.555
530.000000,82.557
538.000000,82.563
545.000000,82.575
552.000000,82.579
560.000000,82.598
570.000000,82.627
580.000000,82.649
590.000000,82.694
600.000000,82.720
608.000000,82.745
615.000000,82.784
622.000000,82.812
630.000000,82.838
640.000000,82.894
650.000000,82.934
660.000000,82.977
670.000000,83.033
680.000000,83.097
690.000000,83.137
700.000000,83.170
710.000000,83.233
720.000000,83.273
730.000000,83.326
740.000000,83.368
750.000000,83.416
762.000000,83.468
775.000000,83.525
788.000000,83.579
800.000000,83.628
812.000000,83.678
825.000000,83.730
838.000000,83.779
850.000000,83.824
862.000000,83.859
875.000000,83.911
885.000000,83.948
900.000000,83.992
912.000000,84.036
925.000000,84.068
938.000000,84.107
950.000000,84.138
962.000000,84.171
975.000000,84.207
988.000000,84.244
1000.000000,84.293
1015.000000,84.301
1030.000000,84.332
1044.000000,84.354
1060.000000,84.392
1075.000000,84.405
1090.000000,84.423
1106.000000,84.443
1120.000000,84.456
1138.000000,84.460
1150.000000,84.474
1172.000000,84.481
1180.000000,84.482
1206.000000,84.471
1220.000000,84.458
1241.000000,84.452
1250.000000,84.448
1265.000000,84.438
1280.000000,84.426
1315.000000,84.381
1320.000000,84.373
1340.000000,84.339
1360.000000,84.321
1380.000000,84.290
1400.000000,84.263
1430.000000,84.221
1450.000000,84.188
1475.000000,84.148
1500.000000,84.118
1525.000000,84.068
1550.000000,84.045
1575.000000,84.030
1600.000000,83.997
1625.000000,83.993
1650.000000,83.993
1675.000000,83.981
1700.000000,83.984
1725.000000,83.986
1750.000000,83.978
1775.000000,83.984
1800.000000,83.990
1825.000000,84.002
1850.000000,84.022
1875.000000,84.037
1900.000000,84.075
1925.000000,84.103
1950.000000,84.128
1975.000000,84.182
2000.000000,84.220
2030.000000,84.291
2060.000000,84.364
2090.000000,84.443
2120.000000,84.532
2140.000000,84.592
2180.000000,84.719
2200.000000,84.786
2240.000000,84.926
2270.000000,85.051
2300.000000,85.160
2330.000000,85.299
2360.000000,85.443
2400.000000,85.637
2430.000000,85.777
2470.000000,85.981
2500.000000,86.127
2540.000000,86.340
2580.000000,86.550
2620.000000,86.775
2650.000000,86.932
2690.000000,87.124
2720.000000,87.276
2760.000000,87.464
2800.000000,87.658
2850.000000,87.877
2900.000000,88.071
2950.000000,88.234
3000.000000,88.376
3040.000000,88.431
3070.000000,88.467
3110.000000,88.493
3150.000000,88.489
3200.000000,88.486
3250.000000,88.487
3300.000000,88.498
3350.000000,88.484
3400.000000,88.444
3450.000000,88.369
3500.000000,88.322
3550.000000,88.299
3600.000000,88.283
3650.000000,88.226
3700.000000,88.156
3750.000000,88.069
3820.000000,87.970
3870.000000,87.906
3950.000000,87.844
4000.000000,87.853
4060.000000,87.838
4120.000000,87.850
4180.000000,87.908
4250.000000,88.032
4310.000000,88.175
4370.000000,88.380
4440.000000,88.636
4500.000000,88.910
4550.000000,89.138
4620.000000,89.470
4680.000000,89.761
4750.000000,90.112
4820.000000,90.429
4870.000000,90.660
4940.000000,90.940
5000.000000,91.119
5080.000000,91.298
5150.000000,91.379
5220.000000,91.394
5300.000000,91.337
5380.000000,91.235
5450.000000,91.120
5520.000000,90.995
5600.000000,90.858
5700.000000,90.683
5800.000000,90.558
5900.000000,90.482
6000.000000,90.455
6080.000000,90.459
6150.000000,90.507
6220.000000,90.562
6300.000000,90.641
6400.000000,90.750
6500.000000,90.855
6600.000000,90.933
6700.000000,90.996
6800.000000,91.012
6900.000000,90.983
7000.000000,90.940
7100.000000,90.887
7200.000000,90.868
7300.000000,90.882
7400.000000,90.943
7500.000000,91.061
7620.000000,91.324
7750.000000,91.718
7880.000000,92.234
8000.000000,92.720
8120.000000,93.060
8250.000000,93.147
8380.000000,92.716
8500.000000,91.922
8620.000000,90.909
8750.000000,89.781
8850.000000,88.943
9000.000000,87.797
9120.000000,87.022
9250.000000,86.338
9380.000000,85.703
9500.000000,85.239
9620.000000,84.717
9750.000000,84.035
9880.000000,83.162
10000.000000,82.217
10150.000000,80.698
10300.000000,78.985
10440.000000,77.393
10600.000000,75.455
10750.000000,73.854
10900.000000,72.313
11060.000000,70.833
11200.000000,69.694
11380.000000,68.343
11500.000000,67.347
11720.000000,66.258
11800.000000,65.800
12060.000000,64.622
12200.000000,64.233
12410.000000,63.723
12500.000000,63.387
12650.000000,63.378
12800.000000,63.179
13150.000000,63.519
13200.000000,63.644
13400.000000,64.281
13600.000000,65.559
13800.000000,66.994
14000.000000,69.123
14300.000000,72.435
14500.000000,74.980
14750.000000,78.101
