X,Y
20.000000,67.875
20.299999,67.898
20.600000,67.918
20.900000,67.933
21.200001,67.943
21.400000,67.945
21.799999,67.943
22.000000,67.940
22.400000,67.930
22.700001,67.922
23.000000,67.915
23.299999,67.907
23.600000,67.900
24.000000,67.892
24.299999,67.887
24.700001,67.885
25.000000,67.886
25.400000,67.891
25.799999,67.897
26.200001,67.905
26.500000,67.912
26.900000,67.921
27.200001,67.928
27.600000,67.938
28.000000,67.947
28.500000,67.955
29.000000,67.957
29.500000,67.949
30.000000,67.934
30.400000,67.920
30.700001,67.911
31.100000,67.900
31.500000,67.890
32.000000,67.874
32.500000,67.854
33.000000,67.835
33.500000,67.819
34.000000,67.806
34.500000,67.795
35.000000,67.784
35.500000,67.776
36.000000,67.770
36.500000,67.764
37.000000,67.755
37.500000,67.742
38.200001,67.719
38.700001,67.703
39.500000,67.675
40.000000,67.655
40.599998,67.630
41.200001,67.606
41.799999,67.584
42.500000,67.558
43.099998,67.535
43.700001,67.513
44.400002,67.490
45.000000,67.469
45.500000,67.451
46.200001,67.424
46.799999,67.399
47.500000,67.370
48.200001,67.340
48.700001,67.320
49.400002,67.294
50.000000,67.269
50.799999,67.232
51.500000,67.205
52.200001,67.179
53.000000,67.143
53.799999,67.106
54.500000,67.077
55.200001,67.046
56.000000,67.011
57.000000,66.967
58.000000,66.918
59.000000,66.883
60.000000,66.843
60.799999,66.804
61.500000,66.775
62.200001,66.744
63.000000,66.704
64.000000,66.659
65.000000,66.614
66.000000,66.569
67.000000,66.524
68.000000,66.480
69.000000,66.437
70.000000,66.391
71.000000,66.348
72.000000,66.302
73.000000,66.256
74.000000,66.209
75.000000,66.164
76.199997,66.112
77.500000,66.053
78.800003,65.994
80.000000,65.941
81.199997,65.888
82.500000,65.825
83.800003,65.772
85.000000,65.719
86.199997,65.667
87.500000,65.611
88.500000,65.566
90.000000,65.502
91.199997,65.454
92.500000,65.399
93.800003,65.341
95.000000,65.291
96.199997,65.238
97.500000,65.182
98.800003,65.133
100.000000,65.075
101.500000,65.016
103.000000,64.949
104.400002,64.897
106.000000,64.831
107.500000,64.769
109.000000,64.711
110.599998,64.646
112.000000,64.589
113.800003,64.519
115.000000,64.478
117.199997,64.395
118.000000,64.364
120.599998,64.260
122.000000,64.205
124.099998,64.131
125.000000,64.099
126.500000,64.041
128.000000,63.991
131.500000,63.860
132.000000,63.843
134.000000,63.774
136.000000,63.708
138.000000,63.636
140.000000,63.571
143.000000,63.476
145.000000,63.405
147.500000,63.320
150.000000,63.244
152.500000,63.158
155.000000,63.083
157.500000,63.010
160.000000,62.933
162.500000,62.862
165.000000,62.786
167.500000,62.711
170.000000,62.644
172.500000,62.572
175.000000,62.510
177.500000,62.435
180.000000,62.371
182.500000,62.305
185.000000,62.240
187.500000,62.177
190.000000,62.114
192.500000,62.052
195.000000,61.987
197.500000,61.929
200.000000,61.868
203.000000,61.802
206.000000,61.739
209.000000,61.665
212.000000,61.603
214.000000,61.556
218.000000,61.469
220.000000,61.432
224.000000,61.352
227.000000,61.289
230.000000,61.230
233.000000,61.169
236.000000,61.118
240.000000,61.042
243.000000,60.986
247.000000,60.912
250.000000,60.866
254.000000,60.798
258.000000,60.723
262.000000,60.669
265.000000,60.612
269.000000,60.556
272.000000,60.509
276.000000,60.445
280.000000,60.396
285.000000,60.324
290.000000,60.256
295.000000,60.183
300.000000,60.125
304.000000,60.076
307.000000,60.039
311.000000,59.989
315.000000,59.945
320.000000,59.898
325.000000,59.834
330.000000,59.787
335.000000,59.730
340.000000,59.686
345.000000,59.633
350.000000,59.586
355.000000,59.541
360.000000,59.506
365.000000,59.457
370.000000,59.422
375.000000,59.371
382.000000,59.322
387.000000,59.293
395.000000,59.235
400.000000,59.213
406.000000,59.166
412.000000,59.124
418.000000,59.096
425.000000,59.066
431.000000,59.021
437.000000,58.984
444.000000,58.950
450.000000,58.927
455.000000,58.907
462.000000,58.882
468.000000,58.851
475.000000,58.830
482.000000,58.800
487.000000,58.780
494.000000,58.756
500.000000,58.744
508.000000,58.708
515.000000,58.699
522.000000,58.683
530.000000,58.661
538.000000,58.661
545.000000,58.633
552.000000,58.616
560.000000,58.614
