X,Y
20.000000,70.630
20.299999,70.615
20.600000,70.601
20.900000,70.590
21.200001,70.579
21.400000,70.571
21.799999,70.556
22.000000,70.548
22.400000,70.535
22.700001,70.529
23.000000,70.527
23.299999,70.526
23.600000,70.517
24.000000,70.493
24.299999,70.469
24.700001,70.429
25.000000,70.402
25.400000,70.370
25.799999,70.349
26.200001,70.339
26.500000,70.338
26.900000,70.340
27.200001,70.336
27.600000,70.318
28.000000,70.289
28.500000,70.257
29.000000,70.287
29.500000,70.351
30.000000,70.395
30.400000,70.359
30.700001,70.300
31.100000,70.197
31.500000,70.105
32.000000,70.067
32.500000,70.092
33.000000,70.134
33.500000,70.136
34.000000,70.092
34.500000,70.022
35.000000,69.957
35.500000,69.905
36.000000,69.862
36.500000,69.820
37.000000,69.781
37.500000,69.748
38.200001,69.715
38.700001,69.705
39.500000,69.692
40.000000,69.658
40.599998,69.590
41.200001,69.517
41.799999,69.465
42.500000,69.426
43.099998,69.400
43.700001,69.369
44.400002,69.312
45.000000,69.239
45.500000,69.170
46.200001,69.088
46.799999,69.047
47.500000,69.027
48.200001,69.033
48.700001,69.055
49.400002,69.091
50.000000,69.102
50.799999,69.058
51.500000,68.979
52.200001,68.880
53.000000,68.766
53.799999,68.671
54.500000,68.608
55.200001,68.581
56.000000,68.571
57.000000,68.552
58.000000,68.526
59.000000,68.500
60.000000,68.463
60.799999,68.424
61.500000,68.383
62.200001,68.333
63.000000,68.277
64.000000,68.217
65.000000,68.158
66.000000,68.085
67.000000,68.020
68.000000,67.974
69.000000,67.921
70.000000,67.847
71.000000,67.776
72.000000,67.717
73.000000,67.651
74.000000,67.564
75.000000,67.480
76.199997,67.413
77.500000,67.337
78.800003,67.233
80.000000,67.136
81.199997,67.046
82.500000,66.964
83.800003,66.903
85.000000,66.876
86.199997,66.849
87.500000,66.745
88.500000,66.633
90.000000,66.522
91.199997,66.474
92.500000,66.407
93.800003,66.320
95.000000,66.234
96.199997,66.144
97.500000,66.040
98.800003,65.925
100.000000,65.812
101.500000,65.661
103.000000,65.498
104.400002,65.325
106.000000,65.103
107.500000,64.850
109.000000,64.575
110.599998,64.266
112.000000,64.088
113.800003,64.256
115.000000,64.543
117.199997,65.442
118.000000,65.793
120.599998,66.475
122.000000,66.644
124.099998,66.728
125.000000,66.724
126.500000,66.664
128.000000,66.544
131.500000,66.257
132.000000,66.222
134.000000,66.101
136.000000,66.010
138.000000,65.919
140.000000,65.819
143.000000,65.664
145.000000,65.568
147.500000,65.486
150.000000,65.425
152.500000,65.366
155.000000,65.283
157.500000,65.178
160.000000,65.106
162.500000,65.065
165.000000,65.020
167.500000,64.963
170.000000,64.885
172.500000,64.797
175.000000,64.717
177.500000,64.643
180.000000,64.574
182.500000,64.510
185.000000,64.459
187.500000,64.420
190.000000,64.406
192.500000,64.411
195.000000,64.434
197.500000,64.466
200.000000,64.481
203.000000,64.459
206.000000,64.418
209.000000,64.365
212.000000,64.300
214.000000,64.249
218.000000,64.159
220.000000,64.132
224.000000,64.102
227.000000,64.096
230.000000,64.078
233.000000,64.019
236.000000,63.942
240.000000,63.874
243.000000,63.845
247.000000,63.821
250.000000,63.809
254.000000,63.789
258.000000,63.766
262.000000,63.739
265.000000,63.716
269.000000,63.677
272.000000,63.642
276.000000,63.593
280.000000,63.544
285.000000,63.500
290.000000,63.474
295.000000,63.459
300.000000,63.439
304.000000,63.415
307.000000,63.395
311.000000,63.369
315.000000,63.342
320.000000,63.299
325.000000,63.256
330.000000,63.229
335.000000,63.212
340.000000,63.197
345.000000,63.179
350.000000,63.155
355.000000,63.123
360.000000,63.081
365.000000,63.047
370.000000,63.039
375.000000,63.041
382.000000,63.033
387.000000,63.021
395.000000,62.991
400.000000,62.974
406.000000,62.957
412.000000,62.942
418.000000,62.928
425.000000,62.909
431.000000,62.887
437.000000,62.857
444.000000,62.818
450.000000,62.797
455.000000,62.790
462.000000,62.794
468.000000,62.805
475.000000,62.803
482.000000,62.777
487.000000,62.759
494.000000,62.746
500.000000,62.739
508.000000,62.720
515.000000,62.702
522.000000,62.690
530.000000,62.681
538.000000,62.675
545.000000,62.676
552.000000,62.695
560.000000,62.718
570.000000,62.692
580.000000,62.656
590.000000,62.664
600.000000,62.670
608.000000,62.663
615.000000,62.659
622.000000,62.658
630.000000,62.661
640.000000,62.673
650.000000,62.693
660.000000,62.722
670.000000,62.743
680.000000,62.741
690.000000,62.733
700.000000,62.727
710.000000,62.731
720.000000,62.751
730.000000,62.778
740.000000,62.807
750.000000,62.833
762.000000,62.855
775.000000,62.880
788.000000,62.913
800.000000,62.947
812.000000,62.982
825.000000,63.028
838.000000,63.086
850.000000,63.151
862.000000,63.222
875.000000,63.288
885.000000,63.334
900.000000,63.414
912.000000,63.482
925.000000,63.540
938.000000,63.589
950.000000,63.662
962.000000,63.761
975.000000,63.874
988.000000,63.986
1000.000000,64.086
1015.000000,64.202
1030.000000,64.317
1044.000000,64.430
1060.000000,64.565
1075.000000,64.698
1090.000000,64.826
1106.000000,64.946
1120.000000,65.049
1138.000000,65.192
1150.000000,65.286
1172.000000,65.442
1180.000000,65.494
1206.000000,65.662
1220.000000,65.751
1241.000000,65.883
1250.000000,65.939
1265.000000,66.034
1280.000000,66.131
1315.000000,66.339
1320.000000,66.366
1340.000000,66.470
1360.000000,66.568
1380.000000,66.663
1400.000000,66.754
1430.000000,66.893
1450.000000,66.982
1475.000000,67.082
1500.000000,67.183
1525.000000,67.300
1550.000000,67.416
1575.000000,67.528
1600.000000,67.637
1625.000000,67.746
1650.000000,67.861
1675.000000,67.973
1700.000000,68.068
1725.000000,68.160
1750.000000,68.270
1775.000000,68.388
1800.000000,68.504
1825.000000,68.621
1850.000000,68.743
1875.000000,68.868
1900.000000,68.989
1925.000000,69.104
1950.000000,69.214
1975.000000,69.319
2000.000000,69.424
2030.000000,69.554
2060.000000,69.679
2090.000000,69.798
2120.000000,69.918
2140.000000,70.002
2180.000000,70.174
2200.000000,70.264
2240.000000,70.444
2270.000000,70.574
2300.000000,70.696
2330.000000,70.800
2360.000000,70.897
2400.000000,71.034
2430.000000,71.143
2470.000000,71.296
2500.000000,71.413
2540.000000,71.567
2580.000000,71.722
2620.000000,71.885
2650.000000,72.008
2690.000000,72.166
2720.000000,72.280
2760.000000,72.423
2800.000000,72.552
2850.000000,72.670
2900.000000,72.747
2950.000000,72.787
3000.000000,72.799
3040.000000,72.786
3070.000000,72.775
3110.000000,72.760
3150.000000,72.744
3200.000000,72.705
3250.000000,72.655
3300.000000,72.605
3350.000000,72.547
3400.000000,72.470
3450.000000,72.395
3500.000000,72.338
3550.000000,72.280
3600.000000,72.204
3650.000000,72.120
3700.000000,72.036
3750.000000,71.955
3820.000000,71.860
3870.000000,71.798
3950.000000,71.705
4000.000000,71.660
4060.000000,71.622
4120.000000,71.588
4180.000000,71.552
4250.000000,71.505
4310.000000,71.459
4370.000000,71.408
4440.000000,71.344
4500.000000,71.290
4550.000000,71.250
4620.000000,71.226
4680.000000,71.244
4750.000000,71.273
4820.000000,71.298
4870.000000,71.307
4940.000000,71.295
5000.000000,71.273
5080.000000,71.233
5150.000000,71.190
5220.000000,71.140
5300.000000,71.075
5380.000000,70.999
5450.000000,70.925
5520.000000,70.840
5600.000000,70.733
5700.000000,70.592
5800.000000,70.455
5900.000000,70.335
6000.000000,70.219
6080.000000,70.126
6150.000000,70.046
6220.000000,69.968
6300.000000,69.884
6400.000000,69.798
6500.000000,69.730
6600.000000,69.682
6700.000000,69.661
6800.000000,69.680
6900.000000,69.731
7000.000000,69.822
7100.000000,69.951
7200.000000,70.131
7300.000000,70.343
7400.000000,70.591
7500.000000,70.856
7620.000000,71.193
7750.000000,71.524
7880.000000,71.764
8000.000000,71.814
8120.000000,71.663
8250.000000,71.216
8380.000000,70.495
8500.000000,69.619
8620.000000,68.601
8750.000000,67.421
8850.000000,66.487
9000.000000,65.116
9120.000000,64.060
9250.000000,62.974
9380.000000,61.950
9500.000000,61.062
9620.000000,60.231
9750.000000,59.383
9880.000000,58.596
10000.000000,57.908
10150.000000,57.109
10300.000000,56.363
10440.000000,55.725
10600.000000,55.058
10750.000000,54.520
10900.000000,54.071
11060.000000,53.760
11200.000000,53.632
11380.000000,53.784
11500.000000,54.026
11720.000000,54.752
11800.000000,55.053
12060.000000,55.929
12200.000000,56.316
12410.000000,56.731
12500.000000,56.877
12650.000000,57.114
12800.000000,57.360
13150.000000,58.139
13200.000000,58.282
13400.000000,58.959
13600.000000,59.831
13800.000000,60.923
14000.000000,62.264
14300.000000,64.713
14500.000000,66.396
14750.000000,68.104
15000.000000,68.911
15250.000000,68.273
15500.000000,66.949
15750.000000,65.220
16000.000000,63.589
16250.000000,62.162
16500.000000,60.805
16750.000000,59.429
17000.000000,57.874
17250.000000,56.169
17500.000000,54.344
17750.000000,52.464
18000.000000,50.613
18250.000000,48.808
18500.000000,47.059
18750.000000,45.403
19000.000000,43.987
19250.000000,42.809
19500.000000,41.780
19750.000000,40.873
20000.000000,40.058
