X,Y
20.299999,98.398
20.600000,98.437
20.900000,98.472
21.200001,98.489
21.400000,98.497
21.799999,98.509
22.000000,98.515
22.400000,98.534
22.700001,98.557
23.000000,98.574
23.299999,98.585
23.600000,98.598
24.000000,98.614
24.299999,98.621
24.700001,98.628
25.000000,98.634
25.400000,98.639
25.799999,98.643
26.200001,98.644
26.500000,98.642
26.900000,98.637
27.200001,98.629
27.600000,98.616
28.000000,98.601
28.500000,98.582
29.000000,98.576
29.500000,98.591
30.000000,98.623
30.400000,98.652
30.700001,98.674
31.100000,98.707
31.500000,98.736
32.000000,98.758
32.500000,98.762
33.000000,98.756
33.500000,98.747
34.000000,98.738
34.500000,98.733
35.000000,98.735
35.500000,98.745
36.000000,98.758
36.500000,98.770
37.000000,98.782
37.500000,98.794
38.200001,98.807
38.700001,98.805
39.500000,98.782
40.000000,98.769
40.599998,98.764
41.200001,98.768
41.799999,98.780
42.500000,98.802
43.099998,98.823
43.700001,98.836
44.400002,98.835
45.000000,98.831
45.500000,98.830
46.200001,98.835
46.799999,98.844
47.500000,98.849
48.200001,98.845
48.700001,98.836
49.400002,98.818
50.000000,98.807
50.799999,98.813
51.500000,98.844
52.200001,98.881
53.000000,98.886
53.799999,98.853
54.500000,98.831
55.200001,98.823
56.000000,98.821
57.000000,98.821
58.000000,98.818
59.000000,98.817
60.000000,98.823
60.799999,98.822
61.500000,98.815
62.200001,98.808
63.000000,98.806
64.000000,98.810
65.000000,98.815
66.000000,98.821
67.000000,98.826
68.000000,98.822
69.000000,98.818
70.000000,98.825
71.000000,98.822
72.000000,98.803
73.000000,98.794
74.000000,98.800
75.000000,98.811
76.199997,98.819
77.500000,98.825
78.800003,98.826
80.000000,98.816
81.199997,98.802
82.500000,98.787
83.800003,98.780
85.000000,98.780
86.199997,98.780
87.500000,98.780
88.500000,98.781
90.000000,98.777
91.199997,98.772
92.500000,98.767
93.800003,98.766
95.000000,98.767
96.199997,98.766
97.500000,98.763
98.800003,98.755
100.000000,98.742
101.500000,98.722
103.000000,98.710
104.400002,98.708
106.000000,98.706
107.500000,98.697
109.000000,98.678
110.599998,98.655
112.000000,98.644
113.800003,98.642
115.000000,98.642
117.199997,98.634
118.000000,98.627
120.599998,98.597
122.000000,98.581
124.099998,98.565
125.000000,98.562
126.500000,98.560
128.000000,98.553
131.500000,98.514
132.000000,98.509
134.000000,98.494
136.000000,98.483
138.000000,98.469
140.000000,98.450
143.000000,98.418
145.000000,98.401
147.500000,98.374
150.000000,98.341
152.500000,98.329
155.000000,98.342
157.500000,98.349
160.000000,98.336
162.500000,98.317
165.000000,98.302
167.500000,98.281
170.000000,98.251
