X,Y
0.366211,56.135
0.732422,61.827
1.098633,67.611
1.464844,72.466
1.831055,76.393
2.197266,79.553
2.563477,82.107
2.929688,84.200
3.295899,85.957
3.662110,87.477
4.028321,88.825
4.394532,90.031
4.760743,91.097
5.126954,92.026
5.493164,92.829
5.859375,93.535
6.225586,94.180
6.591797,94.789
6.958008,95.366
7.324219,95.893
7.690430,96.353
8.056641,96.747
8.422852,97.096
8.789063,97.431
9.155274,97.770
9.521485,98.104
9.887696,98.403
10.253907,98.648
10.620118,98.843
10.986329,99.021
11.352540,99.217
11.718751,99.437
12.084962,99.653
12.451173,99.825
12.817384,99.938
13.183595,100.022
13.549806,100.130
13.916017,100.293
14.282228,100.489
14.648439,100.654
15.014650,100.740
15.380861,100.760
15.747072,100.787
16.113283,100.903
16.479493,101.118
16.845704,101.341
17.211915,101.453
17.578126,101.393
17.944337,101.215
18.310548,101.087
18.676759,101.190
19.042970,101.546
19.409181,101.973
19.775392,102.246
20.141603,102.223
20.507814,101.881
20.874025,101.326
21.240236,100.814
21.606447,100.662
21.972658,100.982
22.338869,101.570
22.705080,102.153
23.071291,102.577
23.437502,102.813
23.803713,102.903
24.169924,102.921
24.536135,102.936
24.902346,102.981
25.268557,103.047
25.634768,103.092
26.000979,103.072
26.367190,102.968
26.733401,102.800
27.099612,102.628
27.465823,102.525
27.832033,102.529
28.198244,102.608
28.564455,102.687
28.930666,102.691
29.296877,102.594
29.663088,102.426
30.029299,102.254
30.395510,102.139
30.761721,102.097
31.127932,102.099
31.494143,102.103
31.860354,102.099
32.226565,102.108
32.592776,102.163
32.958987,102.271
33.325198,102.403
33.691409,102.513
34.057620,102.570
34.423831,102.570
34.790042,102.534
35.156253,102.495
35.522464,102.475
35.888675,102.480
36.254886,102.497
36.621097,102.509
36.987308,102.501
37.353519,102.472
37.719730,102.430
38.085941,102.389
38.452152,102.359
38.818363,102.339
39.184573,102.313
39.550784,102.269
39.916995,102.209
40.283206,102.157
40.649417,102.135
41.015628,102.149
41.381839,102.171
41.748050,102.164
42.114261,102.109
42.480472,102.031
42.846683,101.977
43.212894,101.986
43.579105,102.042
43.945316,102.090
44.311527,102.084
44.677738,102.019
45.043949,101.944
45.410160,101.920
45.776371,101.962
46.142582,102.029
46.508793,102.059
46.875004,102.027
47.241215,101.964
47.607426,101.924
47.973637,101.934
48.339848,101.964
48.706059,101.959
49.072270,101.896
49.438481,101.811
49.804692,101.774
50.170902,101.819
50.537113,101.907
50.903324,101.955
51.269535,101.909
51.635746,101.791
52.001957,101.685
52.368168,101.674
52.734379,101.755
53.100590,101.841
53.466801,101.833
53.833012,101.703
54.199223,101.519
54.565434,101.416
54.931645,101.495
55.297856,101.728
55.664067,101.980
56.030278,102.116
56.396489,102.066
56.762700,101.840
57.128911,101.517
57.495122,101.221
57.861333,101.075
58.227544,101.133
58.593755,101.353
58.959966,101.632
59.326177,101.868
59.692388,101.989
60.058599,101.965
60.424810,101.800
60.791021,101.530
61.157232,101.217
61.523442,100.936
61.889653,100.754
62.255864,100.708
62.622075,100.792
62.988286,100.973
63.354497,101.204
63.720708,101.441
64.086919,101.644
64.453130,101.787
64.819341,101.853
65.185552,101.837
65.551763,101.743
65.917974,101.584
66.284185,101.379
66.650396,101.150
67.016607,100.921
67.382818,100.713
67.749029,100.542
68.115240,100.414
68.481451,100.331
68.847662,100.291
69.213873,100.293
69.580084,100.335
69.946295,100.415
70.312506,100.526
70.678717,100.656
71.044928,100.795
71.411139,100.930
71.777350,101.055
72.143561,101.164
72.509771,101.255
72.875982,101.328
73.242193,101.381
73.608404,101.410
73.974615,101.413
74.340826,101.387
74.707037,101.327
75.073248,101.236
75.439459,101.112
75.805670,100.960
76.171881,100.782
76.538092,100.586
76.904303,100.378
77.270514,100.168
77.636725,99.967
78.002936,99.783
78.369147,99.619
78.735358,99.480
79.101569,99.367
79.467780,99.284
79.833991,99.236
