X,Y
20.299999,77.419
20.600000,77.421
20.900000,77.428
21.200001,77.436
21.400000,77.442
21.799999,77.455
22.000000,77.461
22.400000,77.468
22.700001,77.471
23.000000,77.472
23.299999,77.473
23.600000,77.475
24.000000,77.480
24.299999,77.485
24.700001,77.490
25.000000,77.492
25.400000,77.492
25.799999,77.490
26.200001,77.489
26.500000,77.489
26.900000,77.490
27.200001,77.490
27.600000,77.486
28.000000,77.477
28.500000,77.461
29.000000,77.442
29.500000,77.426
30.000000,77.411
30.400000,77.399
30.700001,77.390
31.100000,77.378
31.500000,77.366
32.000000,77.352
32.500000,77.341
33.000000,77.329
33.500000,77.317
34.000000,77.303
34.500000,77.287
35.000000,77.268
35.500000,77.248
36.000000,77.230
36.500000,77.214
37.000000,77.200
37.500000,77.187
38.200001,77.161
38.700001,77.136
39.500000,77.085
40.000000,77.053
40.599998,77.020
41.200001,76.994
41.799999,76.973
42.500000,76.946
43.099998,76.919
43.700001,76.890
44.400002,76.853
45.000000,76.821
45.500000,76.794
46.200001,76.757
46.799999,76.724
47.500000,76.686
48.200001,76.647
48.700001,76.619
49.400002,76.580
50.000000,76.549
50.799999,76.511
51.500000,76.479
52.200001,76.445
53.000000,76.407
53.799999,76.367
54.500000,76.332
55.200001,76.295
56.000000,76.250
57.000000,76.194
58.000000,76.135
59.000000,76.073
60.000000,76.011
60.799999,75.965
61.500000,75.925
62.200001,75.887
63.000000,75.844
64.000000,75.787
65.000000,75.728
66.000000,75.670
67.000000,75.613
68.000000,75.557
69.000000,75.500
70.000000,75.441
71.000000,75.382
72.000000,75.322
73.000000,75.263
74.000000,75.207
75.000000,75.157
76.199997,75.096
77.500000,75.025
78.800003,74.954
80.000000,74.887
81.199997,74.819
82.500000,74.747
83.800003,74.678
85.000000,74.614
86.199997,74.547
87.500000,74.477
88.500000,74.424
90.000000,74.349
91.199997,74.288
92.500000,74.222
93.800003,74.156
95.000000,74.094
96.199997,74.031
97.500000,73.963
98.800003,73.893
100.000000,73.830
101.500000,73.756
103.000000,73.684
104.400002,73.616
106.000000,73.537
107.500000,73.463
109.000000,73.390
110.599998,73.311
112.000000,73.239
113.800003,73.147
115.000000,73.087
117.199997,72.983
118.000000,72.945
120.599998,72.822
122.000000,72.756
124.099998,72.663
125.000000,72.626
126.500000,72.569
128.000000,72.516
131.500000,72.404
132.000000,72.389
134.000000,72.322
136.000000,72.246
138.000000,72.168
140.000000,72.091
143.000000,71.971
145.000000,71.885
147.500000,71.775
150.000000,71.667
152.500000,71.566
155.000000,71.467
157.500000,71.368
160.000000,71.260
162.500000,71.146
165.000000,71.035
167.500000,70.927
170.000000,70.823
172.500000,70.726
175.000000,70.644
177.500000,70.583
180.000000,70.543
182.500000,70.522
185.000000,70.512
187.500000,70.503
190.000000,70.488
192.500000,70.471
195.000000,70.456
197.500000,70.442
200.000000,70.424
203.000000,70.393
206.000000,70.348
209.000000,70.292
212.000000,70.230
214.000000,70.185
218.000000,70.088
220.000000,70.038
224.000000,69.940
227.000000,69.868
230.000000,69.798
233.000000,69.728
236.000000,69.660
240.000000,69.571
243.000000,69.504
247.000000,69.418
250.000000,69.356
254.000000,69.275
258.000000,69.196
262.000000,69.124
265.000000,69.074
269.000000,69.007
272.000000,68.957
276.000000,68.896
280.000000,68.844
285.000000,68.774
290.000000,68.692
295.000000,68.612
300.000000,68.543
304.000000,68.492
307.000000,68.452
311.000000,68.398
315.000000,68.344
320.000000,68.277
325.000000,68.213
330.000000,68.154
335.000000,68.098
340.000000,68.044
345.000000,67.993
350.000000,67.942
355.000000,67.893
360.000000,67.848
365.000000,67.808
370.000000,67.771
375.000000,67.730
382.000000,67.669
387.000000,67.628
395.000000,67.569
400.000000,67.531
406.000000,67.484
412.000000,67.437
418.000000,67.391
425.000000,67.341
431.000000,67.300
437.000000,67.263
444.000000,67.225
450.000000,67.194
455.000000,67.167
462.000000,67.131
468.000000,67.104
475.000000,67.074
482.000000,67.041
487.000000,67.017
494.000000,66.983
500.000000,66.957
508.000000,66.924
515.000000,66.895
522.000000,66.864
530.000000,66.836
538.000000,66.818
545.000000,66.806
552.000000,66.790
560.000000,66.767
570.000000,66.734
580.000000,66.707
590.000000,66.690
600.000000,66.675
608.000000,66.663
615.000000,66.656
622.000000,66.651
630.000000,66.647
640.000000,66.644
650.000000,66.636
660.000000,66.629
670.000000,66.624
680.000000,66.619
690.000000,66.615
700.000000,66.618
710.000000,66.631
720.000000,66.653
730.000000,66.679
740.000000,66.707
750.000000,66.733
762.000000,66.756
775.000000,66.775
788.000000,66.798
800.000000,66.826
812.000000,66.863
825.000000,66.914
838.000000,66.970
850.000000,67.022
862.000000,67.077
875.000000,67.138
885.000000,67.187
900.000000,67.262
912.000000,67.325
925.000000,67.396
938.000000,67.472
950.000000,67.548
962.000000,67.630
975.000000,67.723
988.000000,67.815
1000.000000,67.898
1015.000000,67.997
1030.000000,68.099
1044.000000,68.196
1060.000000,68.307
1075.000000,68.410
1090.000000,68.511
1106.000000,68.615
1120.000000,68.705
1138.000000,68.822
1150.000000,68.903
1172.000000,69.048
1180.000000,69.099
1206.000000,69.267
1220.000000,69.364
1241.000000,69.524
1250.000000,69.596
1265.000000,69.718
1280.000000,69.841
1315.000000,70.128
1320.000000,70.169
1340.000000,70.335
1360.000000,70.505
1380.000000,70.680
1400.000000,70.855
1430.000000,71.118
1450.000000,71.297
1475.000000,71.526
1500.000000,71.758
1525.000000,71.988
1550.000000,72.219
1575.000000,72.452
1600.000000,72.687
1625.000000,72.927
1650.000000,73.171
1675.000000,73.410
1700.000000,73.629
1725.000000,73.808
1750.000000,73.919
1775.000000,73.939
1800.000000,73.863
1825.000000,73.708
1850.000000,73.523
1875.000000,73.375
1900.000000,73.323
1925.000000,73.409
1950.000000,73.643
1975.000000,74.011
2000.000000,74.473
2030.000000,75.073
2060.000000,75.631
2090.000000,76.069
2120.000000,76.344
2140.000000,76.437
2180.000000,76.457
2200.000000,76.427
2240.000000,76.393
2270.000000,76.435
2300.000000,76.537
2330.000000,76.677
2360.000000,76.830
2400.000000,77.022
2430.000000,77.144
2470.000000,77.273
2500.000000,77.344
2540.000000,77.405
2580.000000,77.428
2620.000000,77.414
2650.000000,77.380
2690.000000,77.304
2720.000000,77.228
2760.000000,77.102
2800.000000,76.954
2850.000000,76.745
2900.000000,76.515
2950.000000,76.271
3000.000000,76.016
3040.000000,75.804
3070.000000,75.637
3110.000000,75.400
3150.000000,75.150
3200.000000,74.836
3250.000000,74.581
3300.000000,74.447
3350.000000,74.429
3400.000000,74.455
3450.000000,74.469
3500.000000,74.454
3550.000000,74.416
3600.000000,74.358
3650.000000,74.277
3700.000000,74.180
3750.000000,74.083
3820.000000,73.985
3870.000000,73.947
3950.000000,73.923
4000.000000,73.925
4060.000000,73.950
4120.000000,74.007
4180.000000,74.098
4250.000000,74.243
4310.000000,74.396
4370.000000,74.568
4440.000000,74.765
4500.000000,74.888
4550.000000,74.919
4620.000000,74.798
4680.000000,74.534
4750.000000,74.129
4820.000000,73.782
4870.000000,73.630
4940.000000,73.547
5000.000000,73.556
5080.000000,73.609
5150.000000,73.666
5220.000000,73.747
5300.000000,73.874
5380.000000,73.998
5450.000000,74.070
5520.000000,74.095
5600.000000,74.084
5700.000000,74.062
5800.000000,74.048
5900.000000,73.994
6000.000000,73.851
6080.000000,73.670
6150.000000,73.483
6220.000000,73.298
6300.000000,73.113
6400.000000,72.938
6500.000000,72.805
6600.000000,72.687
6700.000000,72.592
6800.000000,72.577
6900.000000,72.695
7000.000000,72.947
7100.000000,73.302
7200.000000,73.741
7300.000000,74.267
7400.000000,74.907
7500.000000,75.687
7620.000000,76.790
7750.000000,77.990
7880.000000,78.829
8000.000000,79.042
8120.000000,78.667
8250.000000,77.693
8380.000000,76.322
8500.000000,74.908
8620.000000,73.506
8750.000000,72.102
8850.000000,71.123
9000.000000,69.803
9120.000000,68.839
9250.000000,67.846
9380.000000,66.889
9500.000000,66.039
9620.000000,65.228
9750.000000,64.392
9880.000000,63.585
10000.000000,62.865
10150.000000,62.026
10300.000000,61.294
10440.000000,60.732
10600.000000,60.245
10750.000000,59.947
10900.000000,59.821
11060.000000,59.901
11200.000000,60.172
11380.000000,60.811
11500.000000,61.411
11720.000000,62.777
11800.000000,63.315
12060.000000,64.971
12200.000000,65.715
12410.000000,66.558
12500.000000,66.816
12650.000000,67.113
12800.000000,67.261
13150.000000,67.206
13200.000000,67.172
13400.000000,67.031
13600.000000,66.955
13800.000000,67.037
14000.000000,67.313
14300.000000,68.027
14500.000000,68.634
14750.000000,69.467
15000.000000,70.289
15250.000000,70.941
15500.000000,71.188
15750.000000,70.809
16000.000000,69.735
16250.000000,68.107
16500.000000,66.219
16750.000000,64.384
17000.000000,62.786
17250.000000,61.436
17500.000000,60.276
17750.000000,59.249
18000.000000,58.303
18250.000000,57.401
18500.000000,56.525
18750.000000,55.694
19000.000000,54.964
19250.000000,54.409
19500.000000,54.058
19750.000000,53.877
