X,Y
20.299999,86.997
20.600000,86.998
20.900000,87.003
21.200001,87.010
21.400000,87.018
21.799999,87.039
22.000000,87.053
22.400000,87.091
22.700001,87.127
23.000000,87.167
23.299999,87.207
23.600000,87.241
24.000000,87.271
24.299999,87.280
24.700001,87.277
25.000000,87.268
25.400000,87.253
25.799999,87.241
26.200001,87.238
26.500000,87.245
26.900000,87.269
27.200001,87.298
27.600000,87.340
28.000000,87.368
28.500000,87.353
29.000000,87.287
29.500000,87.213
30.000000,87.177
30.400000,87.170
30.700001,87.163
31.100000,87.137
31.500000,87.095
32.000000,87.056
32.500000,87.080
33.000000,87.163
33.500000,87.252
34.000000,87.302
34.500000,87.318
35.000000,87.328
35.500000,87.352
36.000000,87.383
36.500000,87.411
37.000000,87.436
37.500000,87.464
38.200001,87.483
38.700001,87.443
39.500000,87.251
40.000000,87.113
40.599998,87.042
41.200001,87.123
41.799999,87.274
42.500000,87.376
43.099998,87.348
43.700001,87.268
44.400002,87.185
45.000000,87.143
45.500000,87.119
46.200001,87.093
46.799999,87.077
47.500000,87.064
48.200001,87.053
48.700001,87.042
49.400002,87.019
50.000000,86.994
50.799999,86.965
51.500000,86.944
52.200001,86.925
53.000000,86.901
53.799999,86.875
54.500000,86.851
55.200001,86.832
56.000000,86.817
57.000000,86.804
58.000000,86.783
59.000000,86.753
60.000000,86.711
60.799999,86.675
61.500000,86.650
62.200001,86.633
63.000000,86.614
64.000000,86.581
65.000000,86.540
66.000000,86.500
67.000000,86.465
68.000000,86.430
69.000000,86.389
70.000000,86.341
71.000000,86.293
72.000000,86.254
73.000000,86.214
74.000000,86.162
75.000000,86.103
76.199997,86.046
77.500000,86.010
78.800003,85.982
80.000000,85.949
81.199997,85.909
82.500000,85.857
83.800003,85.799
85.000000,85.747
86.199997,85.702
87.500000,85.655
88.500000,85.614
90.000000,85.546
91.199997,85.495
92.500000,85.448
93.800003,85.404
95.000000,85.363
96.199997,85.320
97.500000,85.273
98.800003,85.227
100.000000,85.183
101.500000,85.127
103.000000,85.069
104.400002,85.014
106.000000,84.949
107.500000,84.891
109.000000,84.835
110.599998,84.776
112.000000,84.724
113.800003,84.659
115.000000,84.616
117.199997,84.538
118.000000,84.510
120.599998,84.420
122.000000,84.372
124.099998,84.302
125.000000,84.271
126.500000,84.218
128.000000,84.164
131.500000,84.044
132.000000,84.028
134.000000,83.959
136.000000,83.890
138.000000,83.827
140.000000,83.770
143.000000,83.678
145.000000,83.610
147.500000,83.531
150.000000,83.457
152.500000,83.374
155.000000,83.278
157.500000,83.175
160.000000,83.070
162.500000,82.967
165.000000,82.871
167.500000,82.781
170.000000,82.698
172.500000,82.638
175.000000,82.608
177.500000,82.603
180.000000,82.604
182.500000,82.606
185.000000,82.615
187.500000,82.621
190.000000,82.606
192.500000,82.568
195.000000,82.518
197.500000,82.463
200.000000,82.408
203.000000,82.345
206.000000,82.284
209.000000,82.223
212.000000,82.161
214.000000,82.119
218.000000,82.035
220.000000,81.994
224.000000,81.913
227.000000,81.853
230.000000,81.793
233.000000,81.734
236.000000,81.673
240.000000,81.594
243.000000,81.540
247.000000,81.475
250.000000,81.427
254.000000,81.360
258.000000,81.291
262.000000,81.224
265.000000,81.177
269.000000,81.119
272.000000,81.077
276.000000,81.024
280.000000,80.971
285.000000,80.904
290.000000,80.840
295.000000,80.776
300.000000,80.715
304.000000,80.667
307.000000,80.631
311.000000,80.588
315.000000,80.549
320.000000,80.504
325.000000,80.456
330.000000,80.402
335.000000,80.346
340.000000,80.293
345.000000,80.243
350.000000,80.198
355.000000,80.159
360.000000,80.119
365.000000,80.075
370.000000,80.028
375.000000,79.982
382.000000,79.919
387.000000,79.878
395.000000,79.823
400.000000,79.791
406.000000,79.752
412.000000,79.712
418.000000,79.674
425.000000,79.635
431.000000,79.606
437.000000,79.576
444.000000,79.538
450.000000,79.507
455.000000,79.484
462.000000,79.457
468.000000,79.435
475.000000,79.407
482.000000,79.376
487.000000,79.356
494.000000,79.331
500.000000,79.312
508.000000,79.285
515.000000,79.260
522.000000,79.237
530.000000,79.215
538.000000,79.195
545.000000,79.176
552.000000,79.156
560.000000,79.134
570.000000,79.114
580.000000,79.100
590.000000,79.091
600.000000,79.085
608.000000,79.083
615.000000,79.085
622.000000,79.087
630.000000,79.088
640.000000,79.077
650.000000,79.033
660.000000,78.941
670.000000,78.824
680.000000,78.726
690.000000,78.676
700.000000,78.673
710.000000,78.701
720.000000,78.741
730.000000,78.780
740.000000,78.816
750.000000,78.851
762.000000,78.890
775.000000,78.924
788.000000,78.954
800.000000,78.982
812.000000,79.013
825.000000,79.055
838.000000,79.107
850.000000,79.158
862.000000,79.207
875.000000,79.259
885.000000,79.300
900.000000,79.369
912.000000,79.430
925.000000,79.502
938.000000,79.579
950.000000,79.654
962.000000,79.730
975.000000,79.814
988.000000,79.901
1000.000000,79.982
1015.000000,80.081
1030.000000,80.179
1044.000000,80.274
1060.000000,80.384
1075.000000,80.487
1090.000000,80.594
1106.000000,80.714
1120.000000,80.827
1138.000000,80.985
1150.000000,81.099
1172.000000,81.318
1180.000000,81.399
1206.000000,81.669
1220.000000,81.816
1241.000000,82.033
1250.000000,82.122
1265.000000,82.265
1280.000000,82.403
1315.000000,82.699
1320.000000,82.739
1340.000000,82.889
1360.000000,83.033
1380.000000,83.174
1400.000000,83.309
1430.000000,83.501
1450.000000,83.621
1475.000000,83.767
1500.000000,83.906
1525.000000,84.037
1550.000000,84.157
1575.000000,84.270
1600.000000,84.377
1625.000000,84.482
1650.000000,84.586
1675.000000,84.689
1700.000000,84.794
1725.000000,84.897
1750.000000,84.997
1775.000000,85.094
1800.000000,85.188
1825.000000,85.277
1850.000000,85.361
1875.000000,85.440
1900.000000,85.516
1925.000000,85.587
1950.000000,85.657
1975.000000,85.725
2000.000000,85.793
2030.000000,85.871
2060.000000,85.939
2090.000000,85.991
2120.000000,86.024
2140.000000,86.037
2180.000000,86.058
2200.000000,86.073
2240.000000,86.139
2270.000000,86.233
2300.000000,86.367
2330.000000,86.526
2360.000000,86.686
2400.000000,86.867
2430.000000,86.967
2470.000000,87.058
2500.000000,87.107
2540.000000,87.166
2580.000000,87.229
2620.000000,87.297
2650.000000,87.343
2690.000000,87.388
2720.000000,87.408
2760.000000,87.418
2800.000000,87.416
2850.000000,87.405
2900.000000,87.390
2950.000000,87.374
3000.000000,87.365
3040.000000,87.364
3070.000000,87.366
3110.000000,87.369
3150.000000,87.371
3200.000000,87.370
