X,Y
20.000000,78.740
20.299999,78.726
20.600000,78.709
20.900000,78.691
21.200001,78.674
21.400000,78.662
21.799999,78.637
22.000000,78.623
22.400000,78.594
22.700001,78.570
23.000000,78.545
23.299999,78.520
23.600000,78.496
24.000000,78.465
24.299999,78.443
24.700001,78.415
25.000000,78.395
25.400000,78.369
25.799999,78.343
26.200001,78.317
26.500000,78.297
26.900000,78.270
27.200001,78.249
27.600000,78.222
28.000000,78.194
28.500000,78.157
29.000000,78.119
29.500000,78.079
30.000000,78.037
30.400000,78.002
30.700001,77.975
31.100000,77.938
31.500000,77.901
32.000000,77.854
32.500000,77.808
33.000000,77.762
33.500000,77.717
34.000000,77.672
34.500000,77.627
35.000000,77.581
35.500000,77.535
36.000000,77.491
36.500000,77.448
37.000000,77.406
37.500000,77.362
38.200001,77.300
38.700001,77.256
39.500000,77.189
40.000000,77.146
40.599998,77.093
41.200001,77.036
41.799999,76.975
42.500000,76.900
43.099998,76.832
43.700001,76.765
44.400002,76.691
45.000000,76.634
45.500000,76.590
46.200001,76.528
46.799999,76.472
47.500000,76.403
48.200001,76.336
48.700001,76.292
49.400002,76.230
50.000000,76.178
50.799999,76.113
51.500000,76.062
52.200001,76.014
53.000000,75.954
53.799999,75.891
54.500000,75.834
55.200001,75.776
56.000000,75.707
57.000000,75.622
58.000000,75.542
59.000000,75.468
60.000000,75.395
60.799999,75.331
61.500000,75.269
62.200001,75.205
63.000000,75.135
64.000000,75.053
65.000000,74.978
66.000000,74.905
67.000000,74.826
68.000000,74.739
69.000000,74.642
70.000000,74.546
71.000000,74.467
72.000000,74.410
73.000000,74.360
74.000000,74.309
75.000000,74.256
76.199997,74.197
77.500000,74.134
78.800003,74.069
80.000000,73.996
81.199997,73.911
82.500000,73.810
83.800003,73.705
85.000000,73.608
86.199997,73.508
87.500000,73.396
88.500000,73.319
90.000000,73.240
91.199997,73.196
92.500000,73.140
93.800003,73.063
95.000000,72.980
96.199997,72.885
97.500000,72.773
98.800003,72.667
100.000000,72.598
101.500000,72.551
103.000000,72.528
104.400002,72.513
106.000000,72.487
107.500000,72.437
109.000000,72.368
110.599998,72.298
112.000000,72.246
113.800003,72.163
115.000000,72.068
117.199997,71.784
118.000000,71.671
120.599998,71.483
122.000000,71.480
124.099998,71.502
125.000000,71.520
126.500000,71.550
128.000000,71.552
131.500000,71.393
132.000000,71.360
134.000000,71.250
136.000000,71.190
138.000000,71.178
140.000000,71.172
143.000000,71.083
145.000000,70.990
147.500000,70.863
150.000000,70.749
152.500000,70.636
155.000000,70.512
157.500000,70.390
160.000000,70.310
162.500000,70.275
165.000000,70.238
167.500000,70.179
170.000000,70.112
172.500000,70.050
175.000000,69.991
177.500000,69.933
180.000000,69.877
182.500000,69.822
185.000000,69.769
187.500000,69.713
190.000000,69.651
192.500000,69.586
195.000000,69.520
197.500000,69.457
200.000000,69.401
203.000000,69.342
206.000000,69.289
209.000000,69.237
212.000000,69.179
214.000000,69.137
218.000000,69.048
220.000000,69.007
224.000000,68.938
227.000000,68.895
230.000000,68.859
233.000000,68.831
236.000000,68.804
240.000000,68.747
243.000000,68.684
247.000000,68.594
250.000000,68.533
254.000000,68.462
258.000000,68.407
262.000000,68.366
265.000000,68.338
269.000000,68.297
272.000000,68.263
276.000000,68.220
280.000000,68.182
285.000000,68.144
290.000000,68.116
295.000000,68.084
300.000000,68.046
304.000000,68.020
307.000000,68.005
311.000000,67.988
315.000000,67.970
320.000000,67.944
325.000000,67.915
330.000000,67.885
335.000000,67.856
340.000000,67.826
345.000000,67.792
350.000000,67.755
355.000000,67.718
360.000000,67.682
365.000000,67.648
370.000000,67.616
375.000000,67.587
382.000000,67.550
387.000000,67.525
395.000000,67.486
400.000000,67.464
406.000000,67.439
412.000000,67.415
418.000000,67.391
425.000000,67.366
431.000000,67.349
437.000000,67.338
444.000000,67.330
450.000000,67.327
455.000000,67.325
462.000000,67.315
468.000000,67.298
475.000000,67.274
482.000000,67.253
487.000000,67.237
494.000000,67.213
500.000000,67.194
508.000000,67.177
515.000000,67.165
522.000000,67.152
530.000000,67.136
538.000000,67.124
545.000000,67.116
552.000000,67.111
560.000000,67.108
570.000000,67.107
580.000000,67.103
590.000000,67.098
600.000000,67.095
608.000000,67.097
615.000000,67.099
622.000000,67.101
630.000000,67.104
640.000000,67.115
650.000000,67.136
660.000000,67.168
670.000000,67.209
680.000000,67.246
690.000000,67.275
700.000000,67.299
710.000000,67.323
720.000000,67.350
730.000000,67.379
740.000000,67.411
750.000000,67.445
762.000000,67.490
775.000000,67.544
788.000000,67.605
800.000000,67.669
812.000000,67.746
825.000000,67.848
838.000000,67.958
850.000000,68.056
862.000000,68.149
875.000000,68.248
885.000000,68.326
900.000000,68.444
912.000000,68.539
925.000000,68.646
938.000000,68.756
950.000000,68.858
962.000000,68.959
975.000000,69.067
988.000000,69.175
1000.000000,69.275
1015.000000,69.406
1030.000000,69.548
1044.000000,69.694
1060.000000,69.865
1075.000000,70.018
1090.000000,70.166
1106.000000,70.320
1120.000000,70.451
1138.000000,70.617
1150.000000,70.725
1172.000000,70.917
1180.000000,70.985
1206.000000,71.199
1220.000000,71.304
1241.000000,71.439
1250.000000,71.490
1265.000000,71.572
1280.000000,71.654
1315.000000,71.864
1320.000000,71.896
1340.000000,72.026
1360.000000,72.157
1380.000000,72.288
1400.000000,72.425
1430.000000,72.657
1450.000000,72.821
1475.000000,73.023
1500.000000,73.220
1525.000000,73.415
1550.000000,73.614
1575.000000,73.828
1600.000000,74.059
1625.000000,74.293
1650.000000,74.517
1675.000000,74.729
1700.000000,74.927
1725.000000,75.113
1750.000000,75.286
1775.000000,75.455
1800.000000,75.635
1825.000000,75.834
1850.000000,76.044
1875.000000,76.258
1900.000000,76.471
1925.000000,76.683
1950.000000,76.897
1975.000000,77.116
2000.000000,77.333
2030.000000,77.576
2060.000000,77.788
2090.000000,77.958
2120.000000,78.072
2140.000000,78.114
2180.000000,78.140
2200.000000,78.144
2240.000000,78.175
2270.000000,78.224
2300.000000,78.281
2330.000000,78.335
2360.000000,78.382
2400.000000,78.429
2430.000000,78.449
2470.000000,78.457
2500.000000,78.451
2540.000000,78.426
2580.000000,78.395
2620.000000,78.363
2650.000000,78.332
2690.000000,78.276
2720.000000,78.227
2760.000000,78.163
2800.000000,78.099
2850.000000,77.976
2900.000000,77.747
2950.000000,77.396
3000.000000,77.002
3040.000000,76.724
3070.000000,76.559
3110.000000,76.405
3150.000000,76.321
3200.000000,76.283
3250.000000,76.277
3300.000000,76.265
3350.000000,76.241
3400.000000,76.222
3450.000000,76.219
3500.000000,76.233
3550.000000,76.265
3600.000000,76.319
3650.000000,76.396
3700.000000,76.498
3750.000000,76.622
3820.000000,76.826
3870.000000,76.976
3950.000000,77.196
4000.000000,77.299
4060.000000,77.356
4120.000000,77.333
4180.000000,77.286
4250.000000,77.311
4310.000000,77.442
4370.000000,77.648
4440.000000,77.902
4500.000000,78.070
4550.000000,78.151
4620.000000,78.161
4680.000000,78.081
4750.000000,77.927
4820.000000,77.757
4870.000000,77.638
4940.000000,77.468
5000.000000,77.307
5080.000000,77.053
5150.000000,76.795
5220.000000,76.517
5300.000000,76.186
5380.000000,75.847
5450.000000,75.541
5520.000000,75.225
5600.000000,74.850
5700.000000,74.333
5800.000000,73.684
5900.000000,72.842
6000.000000,71.887
6080.000000,71.204
6150.000000,70.767
6220.000000,70.499
6300.000000,70.354
6400.000000,70.310
6500.000000,70.350
6600.000000,70.460
6700.000000,70.643
6800.000000,70.901
6900.000000,71.235
7000.000000,71.636
7100.000000,72.091
7200.000000,72.605
7300.000000,73.193
7400.000000,73.862
7500.000000,74.587
7620.000000,75.462
7750.000000,76.295
7880.000000,76.846
8000.000000,76.978
8120.000000,76.716
8250.000000,76.069
8380.000000,75.206
8500.000000,74.377
8620.000000,73.636
8750.000000,72.999
8850.000000,72.630
9000.000000,72.222
9120.000000,71.961
9250.000000,71.677
9380.000000,71.345
9500.000000,70.967
9620.000000,70.494
9750.000000,69.846
9880.000000,69.036
10000.000000,68.148
10150.000000,66.879
10300.000000,65.519
10440.000000,64.281
10600.000000,63.033
10750.000000,62.097
10900.000000,61.405
11060.000000,60.910
11200.000000,60.656
11380.000000,60.529
11500.000000,60.544
11720.000000,60.724
11800.000000,60.825
12060.000000,61.257
12200.000000,61.565
12410.000000,62.185
12500.000000,62.525
12650.000000,63.201
12800.000000,64.007
13150.000000,66.249
13200.000000,66.587
13400.000000,67.912
13600.000000,69.081
13800.000000,69.956
14000.000000,70.429
14300.000000,70.326
14500.000000,69.826
14750.000000,68.986
15000.000000,68.214
15250.000000,67.756
15500.000000,67.727
15750.000000,68.142
16000.000000,68.920
16250.000000,69.859
16500.000000,70.631
16750.000000,70.891
17000.000000,70.442
17250.000000,69.336
17500.000000,67.828
17750.000000,66.218
18000.000000,64.688
18250.000000,63.265
18500.000000,61.892
18750.000000,60.526
19000.000000,59.170
19250.000000,57.868
19500.000000,56.691
19750.000000,55.714
20000.000000,54.997
