X,Y
20.000000,93.076
20.299999,93.120
20.600000,93.155
20.900000,93.182
21.200001,93.204
21.400000,93.217
21.799999,93.242
22.000000,93.254
22.400000,93.276
22.700001,93.290
23.000000,93.301
23.299999,93.310
23.600000,93.318
24.000000,93.332
24.299999,93.344
24.700001,93.363
25.000000,93.376
25.400000,93.390
25.799999,93.401
26.200001,93.408
26.500000,93.412
26.900000,93.416
27.200001,93.416
27.600000,93.414
28.000000,93.407
28.500000,93.395
29.000000,93.383
29.500000,93.371
30.000000,93.361
30.400000,93.353
30.700001,93.348
31.100000,93.342
31.500000,93.337
32.000000,93.330
32.500000,93.321
33.000000,93.309
33.500000,93.297
34.000000,93.286
34.500000,93.277
35.000000,93.266
35.500000,93.243
36.000000,93.205
36.500000,93.157
37.000000,93.111
37.500000,93.075
38.200001,93.043
38.700001,93.023
39.500000,92.984
40.000000,92.953
40.599998,92.911
41.200001,92.864
41.799999,92.813
42.500000,92.758
43.099998,92.721
43.700001,92.693
44.400002,92.667
45.000000,92.646
45.500000,92.624
46.200001,92.585
46.799999,92.545
47.500000,92.491
48.200001,92.430
48.700001,92.386
49.400002,92.331
50.000000,92.292
50.799999,92.252
51.500000,92.225
52.200001,92.201
53.000000,92.154
53.799999,92.070
54.500000,91.986
55.200001,91.918
56.000000,91.874
57.000000,91.859
58.000000,91.845
59.000000,91.782
60.000000,91.690
60.799999,91.620
61.500000,91.565
62.200001,91.518
63.000000,91.472
64.000000,91.421
65.000000,91.370
66.000000,91.317
67.000000,91.263
68.000000,91.210
69.000000,91.158
70.000000,91.092
71.000000,91.004
72.000000,90.914
73.000000,90.845
74.000000,90.795
75.000000,90.749
76.199997,90.693
77.500000,90.629
78.800003,90.561
80.000000,90.500
81.199997,90.446
82.500000,90.404
83.800003,90.386
85.000000,90.387
86.199997,90.376
87.500000,90.290
88.500000,90.169
90.000000,89.970
91.199997,89.856
92.500000,89.787
93.800003,89.746
95.000000,89.707
96.199997,89.643
97.500000,89.531
98.800003,89.398
100.000000,89.307
101.500000,89.295
103.000000,89.379
104.400002,89.443
106.000000,89.372
107.500000,89.146
109.000000,88.901
110.599998,88.807
112.000000,88.878
113.800003,89.015
115.000000,89.061
117.199997,89.176
118.000000,89.289
120.599998,89.522
122.000000,89.157
124.099998,88.292
125.000000,88.100
126.500000,88.226
128.000000,88.782
131.500000,90.376
132.000000,90.515
134.000000,90.631
136.000000,90.124
138.000000,89.317
140.000000,88.465
143.000000,87.657
145.000000,87.572
147.500000,87.649
150.000000,87.693
152.500000,87.668
155.000000,87.609
157.500000,87.544
160.000000,87.484
162.500000,87.447
165.000000,87.404
167.500000,87.335
170.000000,87.265
172.500000,87.210
175.000000,87.162
177.500000,87.111
180.000000,87.057
182.500000,87.004
185.000000,86.956
187.500000,86.915
190.000000,86.875
192.500000,86.827
195.000000,86.775
197.500000,86.729
200.000000,86.692
203.000000,86.654
206.000000,86.633
209.000000,86.654
212.000000,86.694
214.000000,86.689
218.000000,86.540
220.000000,86.440
224.000000,86.322
227.000000,86.316
230.000000,86.352
233.000000,86.392
