X,Y
20.000000,101.226
20.299999,101.286
20.600000,101.340
20.900000,101.389
21.200001,101.435
21.400000,101.466
21.799999,101.531
22.000000,101.564
22.400000,101.633
22.700001,101.687
23.000000,101.741
23.299999,101.794
23.600000,101.847
24.000000,101.915
24.299999,101.963
24.700001,102.022
25.000000,102.062
25.400000,102.112
25.799999,102.159
26.200001,102.204
26.500000,102.237
26.900000,102.278
27.200001,102.306
27.600000,102.341
28.000000,102.374
28.500000,102.416
29.000000,102.459
29.500000,102.502
30.000000,102.543
30.400000,102.576
30.700001,102.601
31.100000,102.634
31.500000,102.665
32.000000,102.701
32.500000,102.733
33.000000,102.764
33.500000,102.793
34.000000,102.821
34.500000,102.849
35.000000,102.877
35.500000,102.910
36.000000,102.946
36.500000,102.983
37.000000,103.017
37.500000,103.045
38.200001,103.074
38.700001,103.088
39.500000,103.103
40.000000,103.111
40.599998,103.124
41.200001,103.140
41.799999,103.157
42.500000,103.178
43.099998,103.197
43.700001,103.215
44.400002,103.236
45.000000,103.252
45.500000,103.264
46.200001,103.278
46.799999,103.287
47.500000,103.294
48.200001,103.298
48.700001,103.300
49.400002,103.303
50.000000,103.308
50.799999,103.321
51.500000,103.334
52.200001,103.346
53.000000,103.356
53.799999,103.362
54.500000,103.369
55.200001,103.378
56.000000,103.390
57.000000,103.404
58.000000,103.412
59.000000,103.415
60.000000,103.417
60.799999,103.416
61.500000,103.415
62.200001,103.412
63.000000,103.408
64.000000,103.404
65.000000,103.406
66.000000,103.409
67.000000,103.410
68.000000,103.404
69.000000,103.390
70.000000,103.373
71.000000,103.352
72.000000,103.327
73.000000,103.302
74.000000,103.281
75.000000,103.265
76.199997,103.254
77.500000,103.256
78.800003,103.275
80.000000,103.302
81.199997,103.328
82.500000,103.348
83.800003,103.355
85.000000,103.348
86.199997,103.328
87.500000,103.300
88.500000,103.277
90.000000,103.244
91.199997,103.220
92.500000,103.196
93.800003,103.175
95.000000,103.158
96.199997,103.140
97.500000,103.119
98.800003,103.096
100.000000,103.073
101.500000,103.044
103.000000,103.020
104.400002,103.001
106.000000,102.981
107.500000,102.958
109.000000,102.931
110.599998,102.901
112.000000,102.874
113.800003,102.837
115.000000,102.807
117.199997,102.740
118.000000,102.716
120.599998,102.647
122.000000,102.609
124.099998,102.551
125.000000,102.531
126.500000,102.505
128.000000,102.482
131.500000,102.418
132.000000,102.409
134.000000,102.384
136.000000,102.371
138.000000,102.356
140.000000,102.332
143.000000,102.290
145.000000,102.270
147.500000,102.250
150.000000,102.220
152.500000,102.173
155.000000,102.125
157.500000,102.087
160.000000,102.057
162.500000,102.023
165.000000,101.978
167.500000,101.916
170.000000,101.839
172.500000,101.755
175.000000,101.677
177.500000,101.613
180.000000,101.563
182.500000,101.520
185.000000,101.484
187.500000,101.456
190.000000,101.430
192.500000,101.401
195.000000,101.369
197.500000,101.333
200.000000,101.292
203.000000,101.241
206.000000,101.192
209.000000,101.141
212.000000,101.084
214.000000,101.042
218.000000,100.954
220.000000,100.911
224.000000,100.837
227.000000,100.791
230.000000,100.750
233.000000,100.711
236.000000,100.673
240.000000,100.619
243.000000,100.574
247.000000,100.511
250.000000,100.462
254.000000,100.402
258.000000,100.353
262.000000,100.310
265.000000,100.275
269.000000,100.222
272.000000,100.179
276.000000,100.124
280.000000,100.073
285.000000,100.023
290.000000,99.985
295.000000,99.941
300.000000,99.885
304.000000,99.838
307.000000,99.804
311.000000,99.757
315.000000,99.707
320.000000,99.641
325.000000,99.577
330.000000,99.519
335.000000,99.464
340.000000,99.409
345.000000,99.354
350.000000,99.302
355.000000,99.255
360.000000,99.208
365.000000,99.159
370.000000,99.108
375.000000,99.058
382.000000,98.994
387.000000,98.951
395.000000,98.886
400.000000,98.845
406.000000,98.797
412.000000,98.748
418.000000,98.699
425.000000,98.646
431.000000,98.608
437.000000,98.575
444.000000,98.542
450.000000,98.517
455.000000,98.497
462.000000,98.462
468.000000,98.425
475.000000,98.378
482.000000,98.334
487.000000,98.301
494.000000,98.254
500.000000,98.215
508.000000,98.170
515.000000,98.135
522.000000,98.099
530.000000,98.056
538.000000,98.017
545.000000,97.986
552.000000,97.959
560.000000,97.931
570.000000,97.898
580.000000,97.863
590.000000,97.825
600.000000,97.789
608.000000,97.766
615.000000,97.749
622.000000,97.733
630.000000,97.714
640.000000,97.696
650.000000,97.688
660.000000,97.692
670.000000,97.709
680.000000,97.723
690.000000,97.727
700.000000,97.725
710.000000,97.723
720.000000,97.726
730.000000,97.732
740.000000,97.740
750.000000,97.749
762.000000,97.764
775.000000,97.785
788.000000,97.815
800.000000,97.850
812.000000,97.897
825.000000,97.963
838.000000,98.036
850.000000,98.097
862.000000,98.151
875.000000,98.207
885.000000,98.252
900.000000,98.326
912.000000,98.388
925.000000,98.461
938.000000,98.540
950.000000,98.615
962.000000,98.690
975.000000,98.771
988.000000,98.850
1000.000000,98.922
1015.000000,99.014
1030.000000,99.114
1044.000000,99.220
1060.000000,99.348
1075.000000,99.466
1090.000000,99.581
1106.000000,99.705
1120.000000,99.813
1138.000000,99.950
1150.000000,100.038
1172.000000,100.199
1180.000000,100.259
1206.000000,100.472
1220.000000,100.592
1241.000000,100.763
1250.000000,100.830
1265.000000,100.936
1280.000000,101.035
1315.000000,101.259
1320.000000,101.291
1340.000000,101.418
1360.000000,101.543
1380.000000,101.666
1400.000000,101.796
1430.000000,102.023
1450.000000,102.189
1475.000000,102.403
1500.000000,102.628
1525.000000,102.866
1550.000000,103.116
1575.000000,103.368
1600.000000,103.591
1625.000000,103.742
1650.000000,103.807
1675.000000,103.819
1700.000000,103.826
1725.000000,103.867
1750.000000,103.956
1775.000000,104.095
1800.000000,104.276
1825.000000,104.484
1850.000000,104.702
1875.000000,104.919
1900.000000,105.133
1925.000000,105.343
1950.000000,105.551
1975.000000,105.760
2000.000000,105.966
2030.000000,106.199
2060.000000,106.411
2090.000000,106.603
2120.000000,106.773
2140.000000,106.875
2180.000000,107.066
2200.000000,107.160
2240.000000,107.339
2270.000000,107.454
2300.000000,107.548
2330.000000,107.624
2360.000000,107.688
2400.000000,107.756
2430.000000,107.785
2470.000000,107.790
2500.000000,107.767
2540.000000,107.700
2580.000000,107.611
2620.000000,107.523
2650.000000,107.466
2690.000000,107.412
2720.000000,107.399
2760.000000,107.422
2800.000000,107.477
2850.000000,107.539
2900.000000,107.543
2950.000000,107.470
3000.000000,107.342
3040.000000,107.217
3070.000000,107.116
3110.000000,106.977
3150.000000,106.846
3200.000000,106.700
3250.000000,106.571
3300.000000,106.446
3350.000000,106.321
3400.000000,106.202
3450.000000,106.085
3500.000000,105.971
3550.000000,105.869
3600.000000,105.790
3650.000000,105.734
3700.000000,105.693
3750.000000,105.665
3820.000000,105.654
3870.000000,105.661
3950.000000,105.702
4000.000000,105.750
4060.000000,105.817
4120.000000,105.880
4180.000000,105.930
4250.000000,105.965
4310.000000,105.978
4370.000000,105.990
4440.000000,106.012
4500.000000,106.035
4550.000000,106.052
4620.000000,106.066
4680.000000,106.064
4750.000000,106.053
4820.000000,106.038
4870.000000,106.025
4940.000000,105.997
5000.000000,105.959
5080.000000,105.874
5150.000000,105.770
5220.000000,105.646
5300.000000,105.485
5380.000000,105.308
5450.000000,105.137
5520.000000,104.951
5600.000000,104.724
5700.000000,104.434
5800.000000,104.160
5900.000000,103.908
6000.000000,103.687
6080.000000,103.540
6150.000000,103.437
6220.000000,103.355
6300.000000,103.285
6400.000000,103.228
6500.000000,103.211
6600.000000,103.237
6700.000000,103.302
6800.000000,103.406
6900.000000,103.556
7000.000000,103.753
7100.000000,103.996
7200.000000,104.285
7300.000000,104.628
7400.000000,105.030
7500.000000,105.477
7620.000000,106.035
7750.000000,106.604
7880.000000,107.036
8000.000000,107.217
8120.000000,107.127
8250.000000,106.697
8380.000000,105.936
8500.000000,104.996
8620.000000,103.910
8750.000000,102.664
8850.000000,101.704
9000.000000,100.325
9120.000000,99.307
9250.000000,98.296
9380.000000,97.378
9500.000000,96.615
9620.000000,95.928
9750.000000,95.262
9880.000000,94.675
10000.000000,94.202
10150.000000,93.695
10300.000000,93.275
10440.000000,92.962
10600.000000,92.690
10750.000000,92.516
10900.000000,92.419
11060.000000,92.419
11200.000000,92.519
11380.000000,92.793
11500.000000,93.070
11720.000000,93.803
11800.000000,94.149
12060.000000,95.606
12200.000000,96.596
12410.000000,98.257
12500.000000,98.980
12650.000000,100.102
12800.000000,101.016
13150.000000,101.833
13200.000000,101.785
13400.000000,101.242
13600.000000,100.282
13800.000000,99.100
14000.000000,97.883
14300.000000,96.377
14500.000000,95.780
14750.000000,95.597
15000.000000,96.022
15250.000000,96.893
15500.000000,97.875
15750.000000,98.515
16000.000000,98.394
16250.000000,97.318
16500.000000,95.415
16750.000000,93.030
17000.000000,90.541
17250.000000,88.242
17500.000000,86.298
17750.000000,84.703
18000.000000,83.282
18250.000000,81.802
18500.000000,80.202
18750.000000,78.783
19000.000000,77.960
19250.000000,77.705
19500.000000,77.663
19750.000000,77.563
20000.000000,77.274
