X,Y
20.000000,102.746
20.299999,102.805
20.600000,102.862
20.900000,102.918
21.200001,102.971
21.400000,103.005
21.799999,103.070
22.000000,103.101
22.400000,103.161
22.700001,103.204
23.000000,103.247
23.299999,103.289
23.600000,103.330
24.000000,103.381
24.299999,103.416
24.700001,103.460
25.000000,103.491
25.400000,103.532
25.799999,103.572
26.200001,103.612
26.500000,103.641
26.900000,103.678
27.200001,103.704
27.600000,103.737
28.000000,103.769
28.500000,103.808
29.000000,103.846
29.500000,103.881
30.000000,103.914
30.400000,103.940
30.700001,103.958
31.100000,103.982
31.500000,104.005
32.000000,104.033
32.500000,104.059
33.000000,104.083
33.500000,104.104
34.000000,104.124
34.500000,104.143
35.000000,104.160
35.500000,104.175
36.000000,104.188
36.500000,104.200
37.000000,104.210
37.500000,104.219
38.200001,104.230
38.700001,104.238
39.500000,104.247
40.000000,104.253
40.599998,104.258
41.200001,104.263
41.799999,104.267
42.500000,104.273
43.099998,104.278
43.700001,104.284
44.400002,104.288
45.000000,104.290
45.500000,104.291
46.200001,104.292
46.799999,104.291
47.500000,104.288
48.200001,104.283
48.700001,104.278
49.400002,104.271
50.000000,104.263
50.799999,104.252
51.500000,104.243
52.200001,104.233
53.000000,104.219
53.799999,104.204
54.500000,104.190
55.200001,104.177
56.000000,104.166
57.000000,104.153
58.000000,104.138
59.000000,104.118
60.000000,104.092
60.799999,104.072
61.500000,104.057
62.200001,104.047
63.000000,104.040
64.000000,104.038
65.000000,104.043
66.000000,104.051
67.000000,104.055
68.000000,104.053
69.000000,104.047
70.000000,104.037
71.000000,104.022
72.000000,104.004
73.000000,103.988
74.000000,103.975
75.000000,103.960
76.199997,103.938
77.500000,103.911
78.800003,103.884
80.000000,103.858
81.199997,103.831
82.500000,103.797
83.800003,103.758
85.000000,103.716
86.199997,103.672
87.500000,103.624
88.500000,103.588
90.000000,103.533
91.199997,103.489
92.500000,103.442
93.800003,103.397
95.000000,103.356
96.199997,103.314
97.500000,103.266
98.800003,103.217
100.000000,103.173
101.500000,103.119
103.000000,103.065
104.400002,103.016
106.000000,102.959
107.500000,102.910
109.000000,102.867
110.599998,102.823
112.000000,102.786
113.800003,102.735
115.000000,102.693
117.199997,102.611
118.000000,102.581
120.599998,102.494
122.000000,102.467
124.099998,102.440
125.000000,102.424
126.500000,102.387
128.000000,102.342
131.500000,102.239
132.000000,102.225
134.000000,102.166
136.000000,102.099
