X,Y
20.291,90.498
20.586,90.504
20.885,90.518
21.189,90.534
21.497,90.548
21.810,90.561
22.127,90.574
22.449,90.590
22.776,90.612
23.107,90.643
23.443,90.683
23.784,90.733
24.130,90.789
24.481,90.849
24.837,90.909
25.198,90.970
25.565,91.030
25.937,91.090
26.314,91.150
26.697,91.211
27.085,91.271
27.479,91.329
27.879,91.381
28.284,91.425
28.696,91.460
29.113,91.482
29.537,91.493
29.966,91.494
30.402,91.484
30.844,91.467
31.293,91.442
31.748,91.412
32.210,91.378
32.678,91.344
33.154,91.314
33.636,91.291
34.125,91.277
34.621,91.269
35.125,91.269
35.636,91.272
36.154,91.277
36.680,91.283
37.214,91.288
37.755,91.291
38.304,91.291
38.861,91.285
39.427,91.272
40.000,91.253
40.582,91.231
41.172,91.209
41.771,91.187
42.379,91.164
42.995,91.140
43.620,91.119
44.255,91.101
44.898,91.085
45.552,91.072
46.214,91.057
46.886,91.040
47.568,91.019
48.260,90.993
48.962,90.962
49.674,90.926
50.397,90.889
51.130,90.852
51.874,90.815
52.628,90.779
53.394,90.741
54.170,90.703
54.958,90.665
55.758,90.626
56.569,90.587
57.391,90.545
58.226,90.500
59.073,90.454
59.932,90.406
60.804,90.356
61.688,90.306
62.586,90.254
63.496,90.202
64.420,90.150
65.357,90.098
66.307,90.045
67.272,89.990
68.250,89.935
69.243,89.878
70.250,89.821
71.272,89.764
72.309,89.707
73.360,89.651
74.427,89.595
75.510,89.540
76.608,89.486
77.723,89.432
78.853,89.378
80.000,89.323
81.164,89.268
82.344,89.212
83.542,89.155
84.757,89.097
85.990,89.038
87.241,88.977
88.510,88.914
89.797,88.848
91.103,88.781
92.428,88.712
93.773,88.643
95.137,88.575
96.520,88.509
97.924,88.443
99.349,88.377
100.794,88.310
102.260,88.241
103.747,88.173
105.256,88.107
106.787,88.042
108.340,87.977
109.916,87.915
111.515,87.854
113.137,87.795
114.783,87.738
116.452,87.680
118.146,87.621
119.865,87.560
121.608,87.494
123.377,87.426
125.171,87.355
126.992,87.284
128.839,87.213
130.713,87.145
132.615,87.079
134.543,87.016
136.500,86.954
138.486,86.891
140.500,86.824
142.544,86.752
144.617,86.677
146.721,86.602
148.855,86.530
151.020,86.461
153.217,86.396
155.445,86.333
157.706,86.270
160.000,86.210
162.327,86.154
164.688,86.102
167.084,86.050
169.514,85.996
171.980,85.941
174.481,85.885
177.019,85.827
179.594,85.768
182.206,85.710
184.856,85.652
187.545,85.594
190.273,85.537
193.041,85.482
195.849,85.426
198.697,85.370
201.587,85.311
