X,Y
20.291,92.531
20.586,92.538
20.885,92.555
21.189,92.573
21.497,92.591
21.810,92.606
22.127,92.619
22.449,92.629
22.776,92.638
23.107,92.645
23.443,92.653
23.784,92.660
24.130,92.669
24.481,92.678
24.837,92.689
25.198,92.701
25.565,92.713
25.937,92.726
26.314,92.739
26.697,92.752
27.085,92.763
27.479,92.774
27.879,92.782
28.284,92.787
28.696,92.788
29.113,92.783
29.537,92.774
29.966,92.762
30.402,92.751
30.844,92.739
31.293,92.727
31.748,92.716
32.210,92.703
32.678,92.690
33.154,92.677
33.636,92.665
34.125,92.653
34.621,92.642
35.125,92.631
35.636,92.620
36.154,92.610
36.680,92.598
37.214,92.583
37.755,92.561
38.304,92.533
38.861,92.501
39.427,92.470
40.000,92.440
40.582,92.412
41.172,92.384
41.771,92.355
42.379,92.326
42.995,92.297
43.620,92.267
44.255,92.238
44.898,92.208
45.552,92.177
46.214,92.145
46.886,92.111
47.568,92.075
48.260,92.037
48.962,91.995
49.674,91.951
50.397,91.906
51.130,91.860
51.874,91.815
52.628,91.769
53.394,91.721
54.170,91.673
54.958,91.623
55.758,91.571
56.569,91.518
57.391,91.463
58.226,91.408
59.073,91.351
59.932,91.293
60.804,91.234
61.688,91.174
62.586,91.114
63.496,91.052
64.420,90.990
65.357,90.926
66.307,90.862
67.272,90.797
68.250,90.732
69.243,90.665
70.250,90.599
71.272,90.531
72.309,90.462
73.360,90.393
74.427,90.324
75.510,90.256
76.608,90.188
77.723,90.119
78.853,90.050
80.000,89.979
81.164,89.907
82.344,89.834
83.542,89.760
84.757,89.685
85.990,89.609
87.241,89.531
88.510,89.452
89.797,89.371
91.103,89.289
92.428,89.206
93.773,89.123
95.137,89.038
96.520,88.953
97.924,88.867
99.349,88.780
100.794,88.693
102.260,88.606
103.747,88.519
105.256,88.433
106.787,88.347
108.340,88.261
109.916,88.177
111.515,88.092
113.137,88.007
114.783,87.922
116.452,87.836
118.146,87.750
119.865,87.661
121.608,87.572
123.377,87.480
125.171,87.387
126.992,87.293
128.839,87.198
130.713,87.102
132.615,87.005
134.543,86.908
136.500,86.809
138.486,86.710
140.500,86.610
142.544,86.509
144.617,86.407
146.721,86.306
148.855,86.206
151.020,86.107
153.217,86.009
155.445,85.914
157.706,85.819
160.000,85.725
162.327,85.630
164.688,85.535
167.084,85.440
169.514,85.344
171.980,85.248
174.481,85.152
177.019,85.055
179.594,84.958
182.206,84.861
184.856,84.761
187.545,84.660
190.273,84.556
193.041,84.451
195.849,84.348
198.697,84.250
201.587,84.162
204.520,84.092
207.494,84.041
210.512,84.006
213.574,83.979
216.681,83.948
219.833,83.903
223.030,83.841
226.274,83.764
229.565,83.676
232.905,83.580
236.292,83.480
239.729,83.379
243.216,83.278
246.754,83.177
250.343,83.077
253.984,82.977
257.678,82.879
261.426,82.781
265.229,82.685
269.087,82.589
273.001,82.495
276.972,82.402
281.000,82.310
285.088,82.218
289.234,82.128
293.441,82.038
297.710,81.950
302.040,81.862
