X,Y
20.000000,88.340
20.299999,88.430
20.600000,88.518
20.900000,88.602
21.200001,88.683
21.400000,88.735
21.799999,88.835
22.000000,88.883
22.400000,88.976
22.700001,89.042
23.000000,89.106
23.299999,89.167
23.600000,89.227
24.000000,89.305
24.299999,89.362
24.700001,89.436
25.000000,89.488
25.400000,89.554
25.799999,89.615
26.200001,89.675
26.500000,89.719
26.900000,89.778
27.200001,89.822
27.600000,89.878
28.000000,89.932
28.500000,89.994
29.000000,90.051
29.500000,90.105
30.000000,90.160
30.400000,90.203
30.700001,90.234
31.100000,90.274
31.500000,90.311
32.000000,90.353
32.500000,90.394
33.000000,90.435
33.500000,90.477
34.000000,90.517
34.500000,90.553
35.000000,90.586
35.500000,90.618
36.000000,90.652
36.500000,90.684
37.000000,90.714
37.500000,90.741
38.200001,90.779
38.700001,90.806
39.500000,90.848
40.000000,90.872
40.599998,90.900
41.200001,90.926
41.799999,90.950
42.500000,90.977
43.099998,90.999
43.700001,91.019
44.400002,91.042
45.000000,91.063
45.500000,91.079
46.200001,91.098
46.799999,91.114
47.500000,91.134
48.200001,91.153
48.700001,91.165
49.400002,91.181
50.000000,91.194
50.799999,91.210
51.500000,91.225
52.200001,91.239
53.000000,91.254
53.799999,91.267
54.500000,91.278
55.200001,91.289
56.000000,91.301
57.000000,91.314
58.000000,91.325
59.000000,91.336
60.000000,91.347
60.799999,91.354
61.500000,91.359
62.200001,91.364
63.000000,91.370
64.000000,91.376
65.000000,91.381
66.000000,91.387
67.000000,91.394
68.000000,91.398
69.000000,91.402
70.000000,91.406
71.000000,91.407
72.000000,91.409
73.000000,91.411
74.000000,91.411
75.000000,91.412
76.199997,91.414
77.500000,91.413
78.800003,91.413
80.000000,91.412
81.199997,91.409
82.500000,91.407
83.800003,91.403
85.000000,91.400
86.199997,91.397
87.500000,91.391
88.500000,91.388
90.000000,91.383
91.199997,91.378
92.500000,91.374
93.800003,91.367
95.000000,91.359
96.199997,91.352
97.500000,91.347
98.800003,91.338
100.000000,91.330
101.500000,91.323
103.000000,91.312
104.400002,91.303
106.000000,91.293
107.500000,91.281
109.000000,91.269
110.599998,91.258
112.000000,91.248
113.800003,91.234
115.000000,91.224
117.199997,91.205
118.000000,91.197
120.599998,91.176
122.000000,91.165
124.099998,91.147
