X,Y
20.000000,90.864
20.299999,90.884
20.600000,90.901
20.900000,90.917
21.200001,90.931
21.400000,90.940
21.799999,90.957
22.000000,90.965
22.400000,90.978
22.700001,90.987
23.000000,90.994
23.299999,91.000
23.600000,91.005
24.000000,91.010
24.299999,91.012
24.700001,91.013
25.000000,91.013
25.400000,91.011
25.799999,91.010
26.200001,91.009
26.500000,91.008
26.900000,91.005
27.200001,91.001
27.600000,90.994
28.000000,90.985
28.500000,90.973
29.000000,90.961
29.500000,90.950
30.000000,90.937
30.400000,90.925
30.700001,90.914
31.100000,90.900
31.500000,90.886
32.000000,90.869
32.500000,90.852
33.000000,90.833
33.500000,90.813
34.000000,90.791
34.500000,90.769
35.000000,90.748
35.500000,90.727
36.000000,90.707
36.500000,90.686
37.000000,90.664
37.500000,90.641
38.200001,90.608
38.700001,90.586
39.500000,90.548
40.000000,90.524
40.599998,90.495
41.200001,90.466
41.799999,90.435
42.500000,90.398
43.099998,90.369
43.700001,90.344
44.400002,90.313
45.000000,90.282
45.500000,90.255
46.200001,90.223
46.799999,90.197
47.500000,90.161
48.200001,90.127
48.700001,90.107
49.400002,90.082
50.000000,90.053
50.799999,90.009
51.500000,89.974
52.200001,89.940
53.000000,89.901
53.799999,89.866
54.500000,89.833
55.200001,89.801
56.000000,89.768
57.000000,89.721
58.000000,89.678
59.000000,89.632
60.000000,89.588
60.799999,89.557
61.500000,89.525
62.200001,89.494
63.000000,89.464
64.000000,89.424
65.000000,89.378
66.000000,89.341
67.000000,89.302
68.000000,89.258
69.000000,89.227
70.000000,89.186
71.000000,89.145
72.000000,89.107
73.000000,89.072
74.000000,89.033
75.000000,88.999
76.199997,88.959
77.500000,88.915
78.800003,88.863
80.000000,88.834
81.199997,88.784
82.500000,88.749
83.800003,88.700
85.000000,88.673
86.199997,88.622
87.500000,88.593
88.500000,88.558
90.000000,88.514
91.199997,88.474
92.500000,88.432
93.800003,88.405
95.000000,88.365
96.199997,88.341
97.500000,88.300
98.800003,88.262
100.000000,88.265
101.500000,88.188
103.000000,88.166
104.400002,88.108
106.000000,88.079
107.500000,88.039
109.000000,87.997
110.599998,87.969
112.000000,87.924
113.800003,87.888
115.000000,87.865
117.199997,87.808
118.000000,87.794
120.599998,87.726
122.000000,87.703
124.099998,87.661
125.000000,87.638
126.500000,87.598
128.000000,87.584
131.500000,87.498
132.000000,87.485
134.000000,87.465
136.000000,87.417
