X,Y
20.299999,98.300
20.600000,98.320
20.900000,98.333
21.200001,98.336
21.400000,98.334
21.799999,98.320
22.000000,98.309
22.400000,98.282
22.700001,98.259
23.000000,98.233
23.299999,98.207
23.600000,98.179
24.000000,98.142
24.299999,98.113
24.700001,98.075
25.000000,98.046
25.400000,98.008
25.799999,97.970
26.200001,97.932
26.500000,97.903
26.900000,97.866
27.200001,97.838
27.600000,97.801
28.000000,97.764
28.500000,97.718
29.000000,97.673
29.500000,97.628
30.000000,97.584
30.400000,97.549
30.700001,97.523
31.100000,97.489
31.500000,97.456
32.000000,97.415
32.500000,97.373
33.000000,97.332
33.500000,97.291
34.000000,97.249
34.500000,97.207
35.000000,97.164
35.500000,97.122
36.000000,97.079
36.500000,97.037
37.000000,96.996
37.500000,96.955
38.200001,96.898
38.700001,96.858
39.500000,96.793
40.000000,96.753
40.599998,96.704
41.200001,96.654
41.799999,96.604
42.500000,96.546
43.099998,96.497
43.700001,96.447
44.400002,96.389
45.000000,96.339
45.500000,96.298
46.200001,96.242
46.799999,96.193
47.500000,96.137
48.200001,96.081
48.700001,96.041
49.400002,95.986
50.000000,95.939
50.799999,95.878
51.500000,95.824
52.200001,95.770
53.000000,95.707
53.799999,95.644
54.500000,95.588
55.200001,95.533
56.000000,95.469
57.000000,95.390
58.000000,95.312
59.000000,95.235
60.000000,95.160
60.799999,95.100
61.500000,95.048
62.200001,94.995
63.000000,94.935
64.000000,94.860
65.000000,94.786
66.000000,94.711
67.000000,94.638
68.000000,94.565
69.000000,94.494
70.000000,94.423
71.000000,94.353
72.000000,94.284
73.000000,94.216
74.000000,94.149
75.000000,94.081
76.199997,94.001
77.500000,93.913
78.800003,93.826
80.000000,93.747
81.199997,93.667
82.500000,93.581
83.800003,93.495
85.000000,93.415
86.199997,93.335
87.500000,93.248
88.500000,93.182
90.000000,93.084
91.199997,93.008
92.500000,92.927
93.800003,92.847
95.000000,92.774
96.199997,92.701
97.500000,92.623
98.800003,92.547
100.000000,92.479
101.500000,92.397
103.000000,92.317
104.400002,92.243
106.000000,92.161
107.500000,92.085
109.000000,92.011
110.599998,91.934
112.000000,91.868
113.800003,91.784
115.000000,91.730
117.199997,91.635
118.000000,91.601
120.599998,91.484
122.000000,91.424
124.099998,91.340
125.000000,91.304
126.500000,91.243
128.000000,91.182
131.500000,91.052
132.000000,91.035
134.000000,90.971
136.000000,90.910
138.000000,90.849
140.000000,90.786
143.000000,90.688
145.000000,90.617
147.500000,90.523
150.000000,90.424
152.500000,90.324
155.000000,90.225
157.500000,90.130
160.000000,90.041
162.500000,89.954
165.000000,89.868
167.500000,89.786
170.000000,89.707
172.500000,89.631
175.000000,89.557
177.500000,89.483
180.000000,89.410
182.500000,89.337
185.000000,89.267
187.500000,89.201
190.000000,89.140
192.500000,89.083
195.000000,89.028
197.500000,88.975
200.000000,88.923
203.000000,88.860
206.000000,88.795
209.000000,88.726
212.000000,88.654
214.000000,88.604
218.000000,88.502
220.000000,88.451
224.000000,88.350
227.000000,88.276
230.000000,88.205
233.000000,88.137
236.000000,88.072
240.000000,87.993
243.000000,87.940
247.000000,87.876
250.000000,87.830
254.000000,87.768
258.000000,87.708
262.000000,87.649
265.000000,87.602
269.000000,87.540
272.000000,87.492
276.000000,87.427
280.000000,87.358
285.000000,87.269
290.000000,87.185
295.000000,87.106
300.000000,87.032
304.000000,86.978
307.000000,86.939
311.000000,86.889
315.000000,86.840
320.000000,86.780
325.000000,86.722
330.000000,86.667
335.000000,86.614
340.000000,86.562
345.000000,86.508
350.000000,86.455
355.000000,86.402
360.000000,86.351
365.000000,86.301
370.000000,86.252
375.000000,86.206
382.000000,86.147
387.000000,86.110
395.000000,86.054
400.000000,86.018
406.000000,85.976
412.000000,85.935
418.000000,85.896
425.000000,85.849
431.000000,85.807
437.000000,85.764
444.000000,85.716
450.000000,85.678
455.000000,85.650
462.000000,85.614
468.000000,85.586
475.000000,85.556
482.000000,85.528
487.000000,85.507
494.000000,85.482
500.000000,85.464
508.000000,85.442
515.000000,85.422
522.000000,85.402
530.000000,85.381
538.000000,85.360
545.000000,85.341
552.000000,85.321
560.000000,85.302
570.000000,85.285
580.000000,85.270
590.000000,85.262
600.000000,85.254
608.000000,85.247
615.000000,85.241
622.000000,85.237
630.000000,85.232
640.000000,85.229
650.000000,85.229
660.000000,85.234
670.000000,85.241
680.000000,85.246
690.000000,85.252
700.000000,85.260
710.000000,85.272
720.000000,85.288
730.000000,85.310
740.000000,85.337
750.000000,85.365
762.000000,85.401
775.000000,85.444
788.000000,85.493
800.000000,85.544
812.000000,85.599
825.000000,85.666
838.000000,85.743
850.000000,85.820
862.000000,85.890
875.000000,85.949
885.000000,85.973
900.000000,85.948
912.000000,85.951
925.000000,86.063
938.000000,86.229
950.000000,86.378
962.000000,86.512
975.000000,86.639
988.000000,86.757
1000.000000,86.865
1015.000000,87.001
1030.000000,87.137
1044.000000,87.261
1060.000000,87.400
1075.000000,87.528
1090.000000,87.652
1106.000000,87.779
1120.000000,87.886
1138.000000,88.020
1150.000000,88.108
1172.000000,88.267
1180.000000,88.323
1206.000000,88.503
1220.000000,88.595
1241.000000,88.725
1250.000000,88.778
1265.000000,88.864
1280.000000,88.950
1315.000000,89.149
1320.000000,89.177
1340.000000,89.290
1360.000000,89.398
1380.000000,89.500
1400.000000,89.596
1430.000000,89.735
1450.000000,89.825
1475.000000,89.941
1500.000000,90.063
1525.000000,90.190
1550.000000,90.319
1575.000000,90.447
1600.000000,90.571
1625.000000,90.691
1650.000000,90.806
1675.000000,90.917
1700.000000,91.025
1725.000000,91.132
1750.000000,91.238
1775.000000,91.345
1800.000000,91.453
1825.000000,91.561
1850.000000,91.668
1875.000000,91.772
1900.000000,91.872
1925.000000,91.966
1950.000000,92.055
1975.000000,92.141
2000.000000,92.225
2030.000000,92.320
2060.000000,92.407
2090.000000,92.486
2120.000000,92.561
2140.000000,92.607
2180.000000,92.692
2200.000000,92.729
2240.000000,92.794
2270.000000,92.832
2300.000000,92.859
2330.000000,92.875
2360.000000,92.883
2400.000000,92.884
2430.000000,92.884
2470.000000,92.894
2500.000000,92.915
2540.000000,92.957
2580.000000,92.998
2620.000000,93.024
2650.000000,93.028
2690.000000,92.994
2720.000000,92.938
2760.000000,92.880
2800.000000,92.889
2850.000000,92.930
2900.000000,92.947
2950.000000,92.947
3000.000000,92.945
3040.000000,92.948
3070.000000,92.957
3110.000000,92.977
3150.000000,93.004
3200.000000,93.039
3250.000000,93.072
3300.000000,93.105
3350.000000,93.141
3400.000000,93.182
3450.000000,93.228
3500.000000,93.286
3550.000000,93.356
3600.000000,93.437
3650.000000,93.526
3700.000000,93.622
3750.000000,93.728
3820.000000,93.896
3870.000000,94.030
