X,Y
10.145,48.084
10.293,48.129
10.443,48.176
10.595,48.277
10.749,48.393
10.905,48.501
11.064,48.609
11.225,48.718
11.388,48.828
11.554,48.944
11.722,49.065
11.892,49.186
12.065,49.309
12.241,49.429
12.419,49.545
12.599,49.654
12.782,49.758
12.968,49.854
13.157,49.945
13.348,50.030
13.543,50.111
13.740,50.189
13.939,50.264
14.142,50.337
14.348,50.407
14.557,50.477
14.768,50.547
14.983,50.619
15.201,50.695
15.422,50.774
15.646,50.860
15.874,50.949
16.105,51.043
16.339,51.138
16.577,51.230
16.818,51.318
17.063,51.397
17.311,51.464
17.563,51.518
17.818,51.562
18.077,51.598
18.340,51.635
18.607,51.677
18.877,51.729
19.152,51.794
19.431,51.870
19.713,51.947
20.000,52.015
20.291,52.061
20.586,52.081
20.885,52.078
21.189,52.063
21.497,52.045
21.810,52.033
22.127,52.028
22.449,52.033
22.776,52.045
23.107,52.062
23.443,52.079
23.784,52.091
24.130,52.095
24.481,52.092
24.837,52.081
25.198,52.067
25.565,52.051
25.937,52.039
26.314,52.032
26.697,52.032
27.085,52.032
27.479,52.027
27.879,52.010
28.284,51.982
28.696,51.950
29.113,51.927
29.537,51.924
29.966,51.941
30.402,51.968
30.844,51.991
31.293,52.000
31.748,51.993
32.210,51.979
32.678,51.963
33.154,51.951
33.636,51.945
34.125,51.939
34.621,51.928
35.125,51.907
35.636,51.878
36.154,51.847
36.680,51.820
37.214,51.800
37.755,51.783
38.304,51.768
38.861,51.752
39.427,51.735
40.000,51.720
40.582,51.709
41.172,51.701
41.771,51.691
42.379,51.678
42.995,51.666
43.620,51.657
44.255,51.645
44.898,51.626
45.552,51.607
46.214,51.592
46.886,51.576
47.568,51.561
48.260,51.550
48.962,51.527
49.674,51.487
50.397,51.446
51.130,51.423
51.874,51.412
52.628,51.400
53.394,51.386
54.170,51.368
54.958,51.346
55.758,51.321
56.569,51.294
57.391,51.265
58.226,51.240
59.073,51.217
59.932,51.191
60.804,51.164
61.688,51.140
62.586,51.117
63.496,51.080
64.420,51.032
65.357,50.994
66.307,50.972
67.272,50.945
68.250,50.906
69.243,50.868
70.250,50.836
71.272,50.805
72.309,50.782
73.360,50.762
74.427,50.737
75.510,50.705
76.608,50.677
77.723,50.651
78.853,50.616
80.000,50.570
81.164,50.523
82.344,50.478
83.542,50.429
84.757,50.372
85.990,50.312
87.241,50.252
88.510,50.197
89.797,50.175
91.103,50.173
92.428,50.149
93.773,50.104
95.137,50.051
96.520,49.995
97.924,49.937
99.349,49.892
100.794,49.848
102.260,49.791
103.747,49.726
105.256,49.666
106.787,49.623
108.340,49.596
109.916,49.566
111.515,49.515
113.137,49.445
114.783,49.368
116.452,49.307
118.146,49.269
119.865,49.176
121.608,49.085
123.377,49.073
125.171,49.057
126.992,48.992
128.839,48.890
130.713,48.801
132.615,48.749
134.543,48.753
136.500,48.794
138.486,48.778
140.500,48.705
142.544,48.648
144.617,48.618
146.721,48.613
148.855,48.611
151.020,48.608
153.217,48.598
155.445,48.579
157.706,48.552
160.000,48.520
162.327,48.493
164.688,48.484
167.084,48.489
169.514,48.482
171.980,48.448
174.481,48.380
177.019,48.278
179.594,48.167
182.206,48.072
184.856,47.993
187.545,47.925
190.273,47.866
193.041,47.810
195.849,47.745
198.697,47.667
201.587,47.591
204.520,47.528
207.494,47.475
210.512,47.423
213.574,47.369
216.681,47.316
219.833,47.260
223.030,47.203
226.274,47.152
229.565,47.109
232.905,47.062
236.292,47.013
239.729,46.969
243.216,46.922
246.754,46.863
250.343,46.807
253.984,46.761
257.678,46.716
261.426,46.671
265.229,46.619
269.087,46.561
273.001,46.507
276.972,46.461
281.000,46.415
