X,Y
10.145,57.920
10.293,57.969
10.443,58.022
10.595,58.125
10.749,58.237
10.905,58.325
11.064,58.402
11.225,58.470
11.388,58.531
11.554,58.600
11.722,58.675
11.892,58.759
12.065,58.851
12.241,58.948
12.419,59.050
12.599,59.151
12.782,59.250
12.968,59.342
13.157,59.425
13.348,59.496
13.543,59.557
13.740,59.606
13.939,59.646
14.142,59.680
14.348,59.711
14.557,59.745
14.768,59.783
14.983,59.832
15.201,59.890
15.422,59.958
15.646,60.031
15.874,60.107
16.105,60.181
16.339,60.252
16.577,60.318
16.818,60.381
17.063,60.443
17.311,60.506
17.563,60.567
17.818,60.627
18.077,60.679
18.340,60.722
18.607,60.752
18.877,60.773
19.152,60.790
19.431,60.813
19.713,60.846
20.000,60.885
20.291,60.917
20.586,60.929
20.885,60.912
21.189,60.867
21.497,60.803
21.810,60.738
22.127,60.692
22.449,60.678
22.776,60.694
23.107,60.720
23.443,60.730
23.784,60.706
24.130,60.652
24.481,60.587
24.837,60.543
25.198,60.535
25.565,60.560
25.937,60.596
26.314,60.622
26.697,60.631
27.085,60.631
27.479,60.634
27.879,60.637
28.284,60.629
28.696,60.604
29.113,60.568
29.537,60.541
29.966,60.539
30.402,60.551
30.844,60.548
31.293,60.507
31.748,60.427
32.210,60.338
32.678,60.275
33.154,60.256
33.636,60.269
34.125,60.289
34.621,60.291
35.125,60.262
35.636,60.199
36.154,60.119
36.680,60.049
37.214,60.007
37.755,59.984
38.304,59.957
38.861,59.920
39.427,59.896
40.000,59.896
40.582,59.894
41.172,59.854
41.771,59.783
42.379,59.728
42.995,59.721
43.620,59.748
44.255,59.772
44.898,59.755
45.552,59.684
46.214,59.595
46.886,59.544
47.568,59.530
48.260,59.501
48.962,59.444
49.674,59.382
50.397,59.326
51.130,59.280
51.874,59.247
52.628,59.209
53.394,59.156
54.170,59.121
54.958,59.109
55.758,59.085
56.569,59.036
57.391,58.961
58.226,58.864
59.073,58.787
59.932,58.763
60.804,58.759
61.688,58.730
62.586,58.683
63.496,58.634
64.420,58.584
65.357,58.527
66.307,58.454
67.272,58.382
68.250,58.329
69.243,58.279
70.250,58.218
71.272,58.162
72.309,58.117
73.360,58.072
74.427,58.026
75.510,57.982
76.608,57.930
77.723,57.871
78.853,57.816
80.000,57.765
81.164,57.705
82.344,57.629
83.542,57.548
84.757,57.471
85.990,57.401
87.241,57.346
88.510,57.294
89.797,57.237
91.103,57.181
92.428,57.129
93.773,57.084
95.137,57.038
96.520,56.980
97.924,56.915
99.349,56.848
100.794,56.774
102.260,56.697
103.747,56.630
105.256,56.566
106.787,56.503
108.340,56.440
109.916,56.378
111.515,56.316
113.137,56.253
114.783,56.200
116.452,56.155
118.146,56.109
119.865,56.057
121.608,56.004
123.377,55.962
125.171,55.926
126.992,55.891
128.839,55.861
130.713,55.833
132.615,55.801
134.543,55.765
136.500,55.723
138.486,55.671
140.500,55.614
142.544,55.558
144.617,55.502
146.721,55.453
148.855,55.418
151.020,55.385
153.217,55.350
155.445,55.318
157.706,55.293
160.000,55.275
162.327,55.268
164.688,55.273
167.084,55.286
169.514,55.289
171.980,55.262
174.481,55.196
177.019,55.101
179.594,54.999
182.206,54.910
184.856,54.840
187.545,54.780
190.273,54.725
193.041,54.673
195.849,54.620
198.697,54.568
201.587,54.523
204.520,54.489
207.494,54.459
210.512,54.425
213.574,54.387
216.681,54.350
219.833,54.312
223.030,54.269
226.274,54.223
229.565,54.181
232.905,54.145
236.292,54.113
239.729,54.083
243.216,54.053
246.754,54.028
250.343,54.011
253.984,53.998
257.678,53.977
261.426,53.945
265.229,53.910
269.087,53.874
273.001,53.837
276.972,53.802
281.000,53.770
285.088,53.738
289.234,53.706
293.441,53.679
297.710,53.658
302.040,53.645
306.433,53.632
310.890,53.616
315.412,53.598
320.000,53.579
324.655,53.561
329.377,53.541
334.168,53.521
339.028,53.498
343.959,53.472
348.962,53.449
354.038,53.431
359.188,53.418
364.412,53.406
369.713,53.393
375.090,53.378
380.546,53.363
386.081,53.347
391.697,53.329
397.395,53.309
403.175,53.287
409.039,53.266
414.989,53.248
421.025,53.233
427.149,53.222
433.362,53.213
439.665,53.205
446.060,53.198
452.548,53.190
459.131,53.182
465.809,53.173
472.584,53.162
479.458,53.151
486.432,53.142
493.507,53.136
500.686,53.132
507.968,53.132
515.357,53.135
522.853,53.140
530.458,53.145
538.174,53.148
546.002,53.148
553.943,53.147
562.001,53.144
570.175,53.140
578.469,53.137
586.883,53.137
595.419,53.141
604.080,53.146
612.866,53.153
621.780,53.161
630.824,53.170
640.000,53.178
649.309,53.187
658.753,53.198
668.335,53.210
678.056,53.224
687.919,53.240
697.925,53.259
708.076,53.281
718.376,53.304
728.825,53.327
739.426,53.352
750.181,53.378
761.093,53.407
772.163,53.438
783.394,53.473
794.789,53.513
806.349,53.557
818.078,53.606
829.977,53.660
842.050,53.719
854.297,53.785
866.724,53.854
879.330,53.927
892.120,54.006
905.097,54.092
918.262,54.182
931.618,54.275
945.169,54.370
958.917,54.465
972.864,54.562
987.015,54.666
1001.371,54.780
1015.937,54.903
1030.714,55.032
1045.706,55.161
1060.916,55.290
1076.347,55.415
1092.003,55.542
1107.887,55.678
1124.001,55.819
1140.350,55.961
1156.937,56.102
1173.765,56.237
1190.838,56.365
1208.159,56.487
1225.732,56.605
1243.561,56.717
1261.649,56.828
1280.000,56.938
1298.618,57.046
1317.507,57.155
1336.670,57.263
1356.113,57.374
1375.838,57.489
1395.850,57.605
1416.153,57.722
1436.751,57.839
1457.649,57.955
1478.851,58.071
1500.362,58.185
1522.185,58.299
1544.326,58.413
1566.789,58.530
1589.578,58.652
1612.699,58.779
1636.156,58.912
1659.955,59.048
1684.099,59.189
1708.595,59.332
1733.447,59.475
1758.661,59.623
1784.241,59.777
1810.193,59.938
1836.523,60.102
1863.236,60.267
1890.338,60.434
1917.833,60.605
1945.729,60.777
1974.030,60.947
2002.743,61.109
2031.873,61.265
2061.428,61.416
2091.412,61.565
2121.832,61.711
2152.695,61.856
2184.007,62.002
2215.774,62.145
2248.003,62.281
2280.701,62.407
2313.874,62.525
2347.530,62.634
2381.676,62.734
2416.318,62.820
2451.464,62.891
2487.122,62.948
2523.298,62.993
2560.000,63.031
2597.236,63.062
2635.014,63.088
2673.341,63.107
2712.226,63.121
2751.676,63.130
2791.700,63.137
2832.306,63.139
2873.503,63.134
2915.299,63.121
2957.703,63.098
3000.724,63.061
3044.370,63.010
3088.652,62.951
3133.577,62.888
3179.156,62.830
3225.398,62.781
3272.312,62.740
3319.909,62.703
3368.198,62.665
3417.190,62.618
3466.894,62.561
3517.321,62.509
3568.482,62.476
3620.387,62.473
3673.046,62.493
3726.472,62.526
3780.675,62.556
3835.666,62.573
3891.457,62.578
3948.060,62.570
4005.486,62.553
4063.747,62.528
4122.855,62.495
4182.824,62.454
4243.664,62.406
4305.390,62.359
4368.013,62.324
4431.547,62.306
