X,Y
20.299999,123.739
20.600000,123.769
20.900000,123.840
21.200001,123.916
21.400000,123.965
21.799999,124.060
22.000000,124.106
22.400000,124.198
22.700001,124.266
23.000000,124.334
23.299999,124.401
23.600000,124.465
24.000000,124.547
24.299999,124.605
24.700001,124.679
25.000000,124.731
25.400000,124.798
25.799999,124.863
26.200001,124.924
26.500000,124.967
26.900000,125.021
27.200001,125.059
27.600000,125.108
28.000000,125.157
28.500000,125.221
29.000000,125.283
29.500000,125.341
30.000000,125.394
30.400000,125.433
30.700001,125.461
31.100000,125.497
31.500000,125.531
32.000000,125.572
32.500000,125.612
33.000000,125.652
33.500000,125.690
34.000000,125.725
34.500000,125.758
35.000000,125.790
35.500000,125.823
36.000000,125.858
36.500000,125.891
37.000000,125.922
37.500000,125.947
38.200001,125.979
38.700001,126.002
39.500000,126.046
40.000000,126.072
40.599998,126.097
41.200001,126.115
41.799999,126.131
42.500000,126.147
43.099998,126.160
43.700001,126.171
44.400002,126.186
45.000000,126.201
45.500000,126.212
46.200001,126.225
46.799999,126.232
47.500000,126.239
48.200001,126.242
48.700001,126.244
49.400002,126.248
50.000000,126.254
50.799999,126.266
51.500000,126.278
52.200001,126.288
53.000000,126.296
53.799999,126.298
54.500000,126.296
55.200001,126.292
56.000000,126.286
57.000000,126.275
58.000000,126.263
59.000000,126.257
60.000000,126.265
60.799999,126.276
61.500000,126.286
62.200001,126.295
63.000000,126.300
64.000000,126.286
65.000000,126.257
66.000000,126.230
67.000000,126.209
68.000000,126.188
69.000000,126.166
70.000000,126.149
71.000000,126.133
72.000000,126.116
73.000000,126.092
74.000000,126.066
75.000000,126.042
76.199997,126.018
77.500000,125.994
78.800003,125.971
80.000000,125.948
81.199997,125.925
82.500000,125.900
83.800003,125.874
85.000000,125.847
86.199997,125.818
87.500000,125.786
88.500000,125.761
90.000000,125.722
91.199997,125.690
92.500000,125.657
93.800003,125.630
95.000000,125.605
96.199997,125.577
97.500000,125.542
98.800003,125.505
100.000000,125.473
101.500000,125.435
103.000000,125.395
104.400002,125.354
106.000000,125.306
107.500000,125.265
109.000000,125.224
110.599998,125.180
112.000000,125.141
113.800003,125.087
115.000000,125.042
117.199997,124.928
118.000000,124.880
120.599998,124.780
122.000000,124.782
124.099998,124.805
125.000000,124.809
126.500000,124.805
128.000000,124.785
131.500000,124.657
132.000000,124.635
134.000000,124.551
136.000000,124.478
138.000000,124.411
140.000000,124.344
143.000000,124.245
145.000000,124.183
147.500000,124.112
150.000000,124.049
152.500000,123.991
155.000000,123.938
157.500000,123.890
160.000000,123.850
162.500000,123.820
165.000000,123.794
167.500000,123.763
170.000000,123.727
172.500000,123.686
175.000000,123.640
177.500000,123.589
180.000000,123.534
182.500000,123.480
185.000000,123.425
187.500000,123.367
190.000000,123.309
192.500000,123.250
195.000000,123.190
197.500000,123.128
200.000000,123.066
203.000000,122.994
206.000000,122.924
209.000000,122.853
212.000000,122.779
214.000000,122.731
218.000000,122.637
220.000000,122.593
224.000000,122.507
227.000000,122.439
230.000000,122.364
233.000000,122.286
236.000000,122.209
240.000000,122.109
243.000000,122.033
247.000000,121.937
250.000000,121.879
254.000000,121.833
258.000000,121.817
262.000000,121.807
265.000000,121.792
269.000000,121.760
272.000000,121.726
276.000000,121.673
280.000000,121.614
285.000000,121.532
290.000000,121.448
295.000000,121.370
300.000000,121.298
304.000000,121.242
307.000000,121.201
311.000000,121.148
315.000000,121.095
320.000000,121.030
325.000000,120.966
330.000000,120.904
335.000000,120.843
340.000000,120.781
345.000000,120.720
350.000000,120.659
355.000000,120.601
360.000000,120.546
365.000000,120.491
370.000000,120.436
375.000000,120.381
382.000000,120.310
387.000000,120.261
395.000000,120.186
400.000000,120.139
406.000000,120.086
412.000000,120.035
418.000000,119.986
