X,Y
20.291,133.516
20.586,133.538
20.885,133.593
21.189,133.654
21.497,133.717
21.810,133.779
22.127,133.844
22.449,133.912
22.776,133.981
23.107,134.049
23.443,134.113
23.784,134.172
24.130,134.229
24.481,134.288
24.837,134.353
25.198,134.422
25.565,134.491
25.937,134.558
26.314,134.619
26.697,134.675
27.085,134.730
27.479,134.787
27.879,134.847
28.284,134.911
28.696,134.973
29.113,135.030
29.537,135.077
29.966,135.113
30.402,135.139
30.844,135.161
31.293,135.185
31.748,135.214
32.210,135.246
32.678,135.278
33.154,135.310
33.636,135.339
34.125,135.368
34.621,135.399
35.125,135.431
35.636,135.462
36.154,135.492
36.680,135.521
37.214,135.548
37.755,135.572
38.304,135.592
38.861,135.608
39.427,135.621
40.000,135.633
40.582,135.646
41.172,135.658
41.771,135.669
42.379,135.678
42.995,135.686
43.620,135.693
44.255,135.698
44.898,135.702
45.552,135.703
46.214,135.704
46.886,135.704
47.568,135.703
48.260,135.701
48.962,135.699
49.674,135.697
50.397,135.693
51.130,135.685
51.874,135.675
52.628,135.663
53.394,135.648
54.170,135.631
54.958,135.612
55.758,135.591
56.569,135.568
57.391,135.545
58.226,135.522
59.073,135.498
59.932,135.473
60.804,135.449
61.688,135.423
62.586,135.396
63.496,135.369
64.420,135.343
65.357,135.321
66.307,135.307
67.272,135.301
68.250,135.304
69.243,135.312
70.250,135.321
71.272,135.327
72.309,135.327
73.360,135.319
74.427,135.305
75.510,135.285
76.608,135.261
77.723,135.233
78.853,135.202
80.000,135.168
81.164,135.131
82.344,135.091
83.542,135.050
84.757,135.007
85.990,134.963
87.241,134.918
88.510,134.870
89.797,134.821
91.103,134.771
92.428,134.720
93.773,134.667
95.137,134.611
96.520,134.553
97.924,134.490
99.349,134.423
100.794,134.351
102.260,134.276
103.747,134.200
105.256,134.123
106.787,134.046
108.340,133.967
109.916,133.888
111.515,133.813
113.137,133.744
114.783,133.684
116.452,133.633
118.146,133.586
119.865,133.538
121.608,133.484
123.377,133.423
125.171,133.366
126.992,133.322
128.839,133.299
130.713,133.298
132.615,133.315
134.543,133.342
136.500,133.367
138.486,133.382
140.500,133.380
142.544,133.360
144.617,133.326
146.721,133.279
148.855,133.225
151.020,133.166
153.217,133.103
155.445,133.039
157.706,132.973
160.000,132.906
162.327,132.838
164.688,132.770
167.084,132.701
169.514,132.631
171.980,132.559
174.481,132.484
177.019,132.408
179.594,132.332
182.206,132.255
184.856,132.177
187.545,132.101
190.273,132.024
193.041,131.948
195.849,131.873
198.697,131.798
201.587,131.723
204.520,131.649
207.494,131.575
210.512,131.502
213.574,131.429
216.681,131.356
219.833,131.284
223.030,131.211
226.274,131.139
229.565,131.067
232.905,130.996
236.292,130.924
239.729,130.854
243.216,130.783
246.754,130.713
250.343,130.642
253.984,130.572
257.678,130.502
261.426,130.433
265.229,130.365
269.087,130.297
273.001,130.229
276.972,130.162
281.000,130.095
285.088,130.029
289.234,129.964
293.441,129.899
297.710,129.835
302.040,129.771
306.433,129.707
310.890,129.643
315.412,129.580
320.000,129.517
324.655,129.454
329.377,129.392
334.168,129.330
339.028,129.268
343.959,129.207
348.962,129.145
354.038,129.084
359.188,129.024
364.412,128.964
369.713,128.905
375.090,128.848
380.546,128.791
386.081,128.736
391.697,128.682
397.395,128.630
403.175,128.578
409.039,128.527
414.989,128.478
421.025,128.431
427.149,128.385
433.362,128.341
439.665,128.299
446.060,128.258
452.548,128.219
459.131,128.181
465.809,128.143
472.584,128.107
479.458,128.071
486.432,128.037
493.507,128.003
500.686,127.970
507.968,127.938
515.357,127.907
522.853,127.877
530.458,127.848
538.174,127.821
546.002,127.795
553.943,127.770
562.001,127.746
570.175,127.724
578.469,127.703
586.883,127.685
595.419,127.668
604.080,127.655
612.866,127.645
621.780,127.638
630.824,127.633
640.000,127.630
649.309,127.630
658.753,127.632
668.335,127.636
678.056,127.643
687.919,127.651
697.925,127.663
708.076,127.676
718.376,127.692
728.825,127.711
739.426,127.732
750.181,127.755
761.093,127.780
772.163,127.806
783.394,127.836
794.789,127.870
806.349,127.913
818.078,127.965
829.977,128.027
842.050,128.094
854.297,128.160
866.724,128.226
879.330,128.295
892.120,128.374
905.097,128.468
918.262,128.576
931.618,128.694
945.169,128.815
958.917,128.937
972.864,129.059
987.015,129.183
1001.371,129.308
1015.937,129.437
1030.714,129.569
1045.706,129.705
1060.916,129.846
1076.347,129.990
1092.003,130.138
1107.887,130.290
1124.001,130.445
1140.350,130.602
1156.937,130.762
1173.765,130.924
1190.838,131.088
1208.159,131.255
1225.732,131.423
1243.561,131.593
1261.649,131.764
1280.000,131.937
1298.618,132.112
1317.507,132.288
1336.670,132.464
1356.113,132.639
1375.838,132.811
1395.850,132.982
1416.153,133.153
1436.751,133.325
1457.649,133.502
1478.851,133.683
1500.362,133.873
1522.185,134.072
1544.326,134.283
1566.789,134.506
1589.578,134.740
1612.699,134.983
1636.156,135.235
1659.955,135.493
1684.099,135.752
1708.595,136.011
1733.447,136.265
1758.661,136.513
1784.241,136.751
1810.193,136.977
1836.523,137.186
1863.236,137.373
1890.338,137.531
1917.833,137.653
1945.729,137.734
1974.030,137.768
2002.743,137.756
2031.873,137.707
2061.428,137.639
2091.412,137.581
2121.832,137.561
2152.695,137.588
2184.007,137.638
2215.774,137.666
2248.003,137.635
2280.701,137.530
2313.874,137.357
2347.530,137.131
2381.676,136.871
2416.318,136.598
2451.464,136.325
2487.122,136.065
2523.298,135.823
2560.000,135.593
2597.236,135.361
2635.014,135.118
2673.341,134.859
2712.226,134.587
2751.676,134.308
2791.700,134.030
2832.306,133.760
2873.503,133.501
2915.299,133.252
2957.703,133.013
3000.724,132.782
3044.370,132.561
3088.652,132.354
3133.577,132.167
3179.156,132.004
3225.398,131.864
3272.312,131.740
3319.909,131.626
3368.198,131.520
3417.190,131.434
3466.894,131.383
3517.321,131.388
3568.482,131.463
3620.387,131.607
3673.046,131.798
3726.472,132.006
3780.675,132.202
3835.666,132.371
3891.457,132.511
3948.060,132.630
4005.486,132.738
4063.747,132.842
4122.855,132.945
4182.824,133.042
4243.664,133.125
4305.390,133.186
4368.013,133.215
4431.547,133.208
4496.005,133.169
4561.401,133.104
4627.749,133.032
4695.061,132.977
4763.352,132.973
4832.637,133.050
4902.929,133.228
4974.244,133.508
5046.596,133.871
5120.000,134.286
5194.472,134.713
5270.027,135.115
5346.682,135.461
5424.451,135.726
5503.352,135.893
5583.399,135.954
