X,Y
20.299999,73.790
20.600000,73.784
20.900000,73.767
21.200001,73.739
21.400000,73.718
21.799999,73.679
22.000000,73.667
22.400000,73.658
22.700001,73.661
23.000000,73.665
23.299999,73.665
23.600000,73.661
24.000000,73.652
24.299999,73.645
24.700001,73.638
25.000000,73.634
25.400000,73.626
25.799999,73.617
26.200001,73.611
26.500000,73.610
26.900000,73.614
27.200001,73.619
27.600000,73.627
28.000000,73.635
28.500000,73.644
29.000000,73.654
29.500000,73.663
30.000000,73.667
30.400000,73.667
30.700001,73.666
31.100000,73.666
31.500000,73.668
32.000000,73.671
32.500000,73.674
33.000000,73.674
33.500000,73.674
34.000000,73.673
34.500000,73.672
35.000000,73.672
35.500000,73.677
36.000000,73.684
36.500000,73.690
37.000000,73.692
37.500000,73.687
38.200001,73.675
38.700001,73.667
39.500000,73.660
40.000000,73.659
40.599998,73.658
41.200001,73.655
41.799999,73.650
42.500000,73.641
43.099998,73.631
43.700001,73.623
44.400002,73.621
45.000000,73.623
45.500000,73.624
46.200001,73.621
46.799999,73.613
47.500000,73.602
48.200001,73.591
48.700001,73.580
49.400002,73.561
50.000000,73.547
50.799999,73.539
51.500000,73.537
52.200001,73.532
53.000000,73.524
53.799999,73.521
54.500000,73.519
55.200001,73.512
56.000000,73.493
57.000000,73.462
58.000000,73.438
59.000000,73.434
60.000000,73.439
60.799999,73.436
61.500000,73.426
62.200001,73.413
63.000000,73.395
64.000000,73.369
65.000000,73.336
66.000000,73.302
67.000000,73.276
68.000000,73.259
69.000000,73.246
70.000000,73.237
71.000000,73.230
72.000000,73.218
73.000000,73.190
74.000000,73.149
75.000000,73.106
76.199997,73.069
77.500000,73.059
78.800003,73.058
80.000000,73.041
81.199997,73.012
82.500000,72.985
83.800003,72.963
85.000000,72.940
86.199997,72.919
87.500000,72.899
88.500000,72.881
90.000000,72.846
91.199997,72.813
92.500000,72.777
93.800003,72.741
95.000000,72.705
96.199997,72.663
97.500000,72.613
98.800003,72.564
100.000000,72.527
101.500000,72.502
103.000000,72.491
104.400002,72.477
106.000000,72.445
107.500000,72.402
109.000000,72.357
110.599998,72.318
112.000000,72.295
113.800003,72.273
115.000000,72.259
117.199997,72.215
118.000000,72.189
120.599998,72.079
122.000000,72.013
124.099998,71.927
125.000000,71.897
126.500000,71.854
128.000000,71.822
131.500000,71.808
132.000000,71.812
134.000000,71.840
136.000000,71.879
138.000000,71.911
140.000000,71.929
143.000000,71.927
145.000000,71.904
147.500000,71.860
150.000000,71.806
152.500000,71.745
155.000000,71.683
157.500000,71.628
160.000000,71.578
162.500000,71.529
165.000000,71.476
167.500000,71.432
170.000000,71.411
172.500000,71.408
175.000000,71.409
177.500000,71.405
180.000000,71.398
182.500000,71.388
185.000000,71.368
187.500000,71.338
190.000000,71.299
192.500000,71.256
195.000000,71.210
197.500000,71.161
200.000000,71.111
203.000000,71.056
206.000000,71.004
209.000000,70.955
212.000000,70.910
214.000000,70.881
218.000000,70.823
220.000000,70.796
224.000000,70.751
227.000000,70.722
230.000000,70.692
233.000000,70.662
236.000000,70.634
240.000000,70.595
243.000000,70.562
247.000000,70.512
250.000000,70.474
254.000000,70.422
258.000000,70.371
262.000000,70.322
265.000000,70.286
269.000000,70.237
272.000000,70.201
276.000000,70.155
280.000000,70.112
285.000000,70.061
290.000000,70.011
295.000000,69.965
300.000000,69.921
304.000000,69.886
307.000000,69.858
311.000000,69.818
315.000000,69.778
320.000000,69.726
325.000000,69.678
330.000000,69.638
335.000000,69.600
340.000000,69.559
345.000000,69.517
350.000000,69.474
355.000000,69.432
360.000000,69.393
365.000000,69.355
370.000000,69.320
375.000000,69.286
382.000000,69.242
387.000000,69.210
395.000000,69.155
400.000000,69.120
406.000000,69.083
412.000000,69.048
418.000000,69.013
425.000000,68.973
431.000000,68.938
437.000000,68.906
444.000000,68.874
450.000000,68.849
455.000000,68.828
462.000000,68.795
468.000000,68.765
475.000000,68.730
482.000000,68.695
487.000000,68.672
494.000000,68.642
500.000000,68.617
508.000000,68.582
515.000000,68.553
522.000000,68.525
530.000000,68.495
538.000000,68.467
545.000000,68.440
552.000000,68.411
560.000000,68.378
570.000000,68.340
580.000000,68.303
590.000000,68.267
600.000000,68.231
608.000000,68.204
615.000000,68.183
622.000000,68.165
630.000000,68.145
640.000000,68.118
650.000000,68.093
660.000000,68.072
670.000000,68.051
680.000000,68.030
690.000000,68.008
700.000000,67.985
710.000000,67.965
720.000000,67.949
730.000000,67.937
740.000000,67.928
750.000000,67.921
762.000000,67.909
775.000000,67.894
788.000000,67.886
800.000000,67.886
812.000000,67.891
825.000000,67.895
838.000000,67.898
850.000000,67.906
862.000000,67.920
875.000000,67.940
885.000000,67.956
900.000000,67.984
912.000000,68.014
925.000000,68.056
938.000000,68.102
950.000000,68.146
962.000000,68.189
975.000000,68.233
988.000000,68.282
1000.000000,68.334
1015.000000,68.406
1030.000000,68.480
1044.000000,68.550
1060.000000,68.631
1075.000000,68.707
1090.000000,68.783
1106.000000,68.865
1120.000000,68.939
1138.000000,69.032
1150.000000,69.091
1172.000000,69.192
1180.000000,69.228
1206.000000,69.347
1220.000000,69.412
1241.000000,69.504
1250.000000,69.542
1265.000000,69.603
1280.000000,69.663
1315.000000,69.794
1320.000000,69.811
1340.000000,69.874
1360.000000,69.930
1380.000000,69.975
1400.000000,70.015
1430.000000,70.073
1450.000000,70.111
1475.000000,70.161
1500.000000,70.217
1525.000000,70.281
1550.000000,70.356
1575.000000,70.445
1600.000000,70.541
1625.000000,70.637
1650.000000,70.732
1675.000000,70.831
1700.000000,70.936
1725.000000,71.047
1750.000000,71.159
1775.000000,71.271
1800.000000,71.379
1825.000000,71.486
1850.000000,71.592
1875.000000,71.697
1900.000000,71.799
1925.000000,71.896
1950.000000,71.985
1975.000000,72.065
2000.000000,72.139
2030.000000,72.226
2060.000000,72.311
2090.000000,72.393
2120.000000,72.471
2140.000000,72.520
2180.000000,72.614
2200.000000,72.659
2240.000000,72.740
2270.000000,72.793
2300.000000,72.839
2330.000000,72.875
2360.000000,72.902
2400.000000,72.921
2430.000000,72.923
2470.000000,72.912
2500.000000,72.891
2540.000000,72.845
2580.000000,72.776
2620.000000,72.688
2650.000000,72.611
2690.000000,72.495
2720.000000,72.402
2760.000000,72.275
2800.000000,72.153
2850.000000,72.018
2900.000000,71.926
2950.000000,71.901
3000.000000,71.956
3040.000000,72.060
3070.000000,72.171
3110.000000,72.361
3150.000000,72.591
3200.000000,72.914
3250.000000,73.250
3300.000000,73.568
3350.000000,73.846
3400.000000,74.062
3450.000000,74.201
3500.000000,74.251
3550.000000,74.203
3600.000000,74.055
3650.000000,73.815
3700.000000,73.498
3750.000000,73.126
3820.000000,72.558
3870.000000,72.153
3950.000000,71.574
4000.000000,71.286
4060.000000,71.036
4120.000000,70.896
4180.000000,70.859
4250.000000,70.917
4310.000000,71.020
4370.000000,71.142
4440.000000,71.279
4500.000000,71.376
4550.000000,71.433
4620.000000,71.467
4680.000000,71.446
4750.000000,71.357
4820.000000,71.201
4870.000000,71.054
4940.000000,70.806
5000.000000,70.562
5080.000000,70.199
5150.000000,69.858
5220.000000,69.504
5300.000000,69.094
5380.000000,68.692
5450.000000,68.352
5520.000000,68.023
5600.000000,67.656
5700.000000,67.211
5800.000000,66.777
5900.000000,66.354
6000.000000,65.950
6080.000000,65.643
6150.000000,65.385
6220.000000,65.140
6300.000000,64.880
6400.000000,64.593
6500.000000,64.354
6600.000000,64.167
6700.000000,64.039
6800.000000,63.982
6900.000000,64.003
7000.000000,64.100
7100.000000,64.273
7200.000000,64.522
7300.000000,64.850
7400.000000,65.258
7500.000000,65.749
7620.000000,66.451
7750.000000,67.336
7880.000000,68.313
8000.000000,69.246
8120.000000,70.141
8250.000000,70.958
8380.000000,71.497
8500.000000,71.661
8620.000000,71.473
8750.000000,70.905
8850.000000,70.268
9000.000000,69.119
9120.000000,68.143
9250.000000,67.125
9380.000000,66.215
9500.000000,65.521
9620.000000,64.999
9750.000000,64.637
9880.000000,64.475
10000.000000,64.485
10150.000000,64.697
10300.000000,65.117
10440.000000,65.676
10600.000000,66.472
10750.000000,67.314
10900.000000,68.181
11060.000000,69.057
11200.000000,69.722
11380.000000,70.363
