X,Y
20.299999,80.947
20.600000,80.937
20.900000,80.913
21.200001,80.886
21.400000,80.867
21.799999,80.831
22.000000,80.813
22.400000,80.779
22.700001,80.755
23.000000,80.729
23.299999,80.703
23.600000,80.675
24.000000,80.637
24.299999,80.608
24.700001,80.570
25.000000,80.542
25.400000,80.506
25.799999,80.470
26.200001,80.433
26.500000,80.405
26.900000,80.365
27.200001,80.336
27.600000,80.297
28.000000,80.258
28.500000,80.210
29.000000,80.162
29.500000,80.113
30.000000,80.067
30.400000,80.031
30.700001,80.005
31.100000,79.970
31.500000,79.934
32.000000,79.888
32.500000,79.840
33.000000,79.791
33.500000,79.745
34.000000,79.700
34.500000,79.658
35.000000,79.616
35.500000,79.575
36.000000,79.534
36.500000,79.490
37.000000,79.445
37.500000,79.399
38.200001,79.335
38.700001,79.290
39.500000,79.219
40.000000,79.176
40.599998,79.127
41.200001,79.079
41.799999,79.031
42.500000,78.973
43.099998,78.921
43.700001,78.868
44.400002,78.807
45.000000,78.755
45.500000,78.715
46.200001,78.659
46.799999,78.612
47.500000,78.556
48.200001,78.498
48.700001,78.456
49.400002,78.398
50.000000,78.351
50.799999,78.291
51.500000,78.239
52.200001,78.187
53.000000,78.128
53.799999,78.068
54.500000,78.016
55.200001,77.962
56.000000,77.900
57.000000,77.824
58.000000,77.752
59.000000,77.684
60.000000,77.616
60.799999,77.561
61.500000,77.511
62.200001,77.461
63.000000,77.405
64.000000,77.336
65.000000,77.269
66.000000,77.203
67.000000,77.138
68.000000,77.072
69.000000,77.008
70.000000,76.946
71.000000,76.884
72.000000,76.823
73.000000,76.763
74.000000,76.704
75.000000,76.645
76.199997,76.573
77.500000,76.496
78.800003,76.422
80.000000,76.356
81.199997,76.292
82.500000,76.222
83.800003,76.154
85.000000,76.092
86.199997,76.030
87.500000,75.964
88.500000,75.916
90.000000,75.844
91.199997,75.785
92.500000,75.722
93.800003,75.661
95.000000,75.608
96.199997,75.555
97.500000,75.496
98.800003,75.434
100.000000,75.378
101.500000,75.312
103.000000,75.248
104.400002,75.186
106.000000,75.115
107.500000,75.051
109.000000,74.992
110.599998,74.933
112.000000,74.882
113.800003,74.815
115.000000,74.769
117.199997,74.686
118.000000,74.656
120.599998,74.561
122.000000,74.512
124.099998,74.441
125.000000,74.411
126.500000,74.362
128.000000,74.313
131.500000,74.199
132.000000,74.182
134.000000,74.115
136.000000,74.049
138.000000,73.985
140.000000,73.923
143.000000,73.833
145.000000,73.773
147.500000,73.699
150.000000,73.628
152.500000,73.559
155.000000,73.492
157.500000,73.429
160.000000,73.366
162.500000,73.302
165.000000,73.239
167.500000,73.178
170.000000,73.119
172.500000,73.058
175.000000,72.995
177.500000,72.930
180.000000,72.865
182.500000,72.800
185.000000,72.736
187.500000,72.674
190.000000,72.616
192.500000,72.561
195.000000,72.506
197.500000,72.449
200.000000,72.390
203.000000,72.319
206.000000,72.249
209.000000,72.183
212.000000,72.120
214.000000,72.080
218.000000,72.004
220.000000,71.965
224.000000,71.886
227.000000,71.827
230.000000,71.767
233.000000,71.707
236.000000,71.648
240.000000,71.572
243.000000,71.518
247.000000,71.447
250.000000,71.394
254.000000,71.319
258.000000,71.243
262.000000,71.171
265.000000,71.119
269.000000,71.053
272.000000,71.006
276.000000,70.944
280.000000,70.881
285.000000,70.800
290.000000,70.719
295.000000,70.641
300.000000,70.568
304.000000,70.510
307.000000,70.467
311.000000,70.408
315.000000,70.349
320.000000,70.272
325.000000,70.196
330.000000,70.124
335.000000,70.057
340.000000,69.990
345.000000,69.922
350.000000,69.852
355.000000,69.784
360.000000,69.718
365.000000,69.652
370.000000,69.585
375.000000,69.518
382.000000,69.430
387.000000,69.371
395.000000,69.279
400.000000,69.221
406.000000,69.150
412.000000,69.078
418.000000,69.008
425.000000,68.930
431.000000,68.866
437.000000,68.804
444.000000,68.730
450.000000,68.668
455.000000,68.617
462.000000,68.548
468.000000,68.493
475.000000,68.431
482.000000,68.370
487.000000,68.325
494.000000,68.259
500.000000,68.199
508.000000,68.120
515.000000,68.057
522.000000,67.999
530.000000,67.940
538.000000,67.890
545.000000,67.858
552.000000,67.837
560.000000,67.824
570.000000,67.813
580.000000,67.800
590.000000,67.775
600.000000,67.739
608.000000,67.706
615.000000,67.676
622.000000,67.645
630.000000,67.609
640.000000,67.562
650.000000,67.514
660.000000,67.466
670.000000,67.417
680.000000,67.366
690.000000,67.309
700.000000,67.242
710.000000,67.167
720.000000,67.092
730.000000,67.022
740.000000,66.964
750.000000,66.922
762.000000,66.886
775.000000,66.857
788.000000,66.838
800.000000,66.832
812.000000,66.835
825.000000,66.848
838.000000,66.871
850.000000,66.895
862.000000,66.921
875.000000,66.950
885.000000,66.974
900.000000,67.017
912.000000,67.057
925.000000,67.105
938.000000,67.156
950.000000,67.204
962.000000,67.253
975.000000,67.307
988.000000,67.362
1000.000000,67.415
1015.000000,67.482
1030.000000,67.550
1044.000000,67.617
1060.000000,67.699
1075.000000,67.778
1090.000000,67.857
1106.000000,67.937
1120.000000,68.006
1138.000000,68.099
1150.000000,68.165
1172.000000,68.286
1180.000000,68.329
1206.000000,68.465
1220.000000,68.538
1241.000000,68.647
1250.000000,68.693
1265.000000,68.768
1280.000000,68.841
1315.000000,69.011
1320.000000,69.035
1340.000000,69.135
1360.000000,69.229
1380.000000,69.315
1400.000000,69.397
1430.000000,69.523
1450.000000,69.611
1475.000000,69.727
1500.000000,69.850
1525.000000,69.987
1550.000000,70.141
1575.000000,70.310
1600.000000,70.487
1625.000000,70.669
1650.000000,70.856
1675.000000,71.051
1700.000000,71.257
1725.000000,71.472
1750.000000,71.693
1775.000000,71.918
1800.000000,72.147
1825.000000,72.380
1850.000000,72.617
1875.000000,72.857
1900.000000,73.098
1925.000000,73.337
1950.000000,73.573
1975.000000,73.809
2000.000000,74.045
2030.000000,74.329
2060.000000,74.617
2090.000000,74.912
2120.000000,75.216
2140.000000,75.422
2180.000000,75.841
2200.000000,76.052
2240.000000,76.476
2270.000000,76.795
2300.000000,77.112
2330.000000,77.425
2360.000000,77.732
2400.000000,78.128
2430.000000,78.413
2470.000000,78.769
2500.000000,79.015
2540.000000,79.309
2580.000000,79.560
2620.000000,79.763
2650.000000,79.881
2690.000000,79.993
2720.000000,80.043
2760.000000,80.066
2800.000000,80.043
2850.000000,79.957
2900.000000,79.820
2950.000000,79.645
3000.000000,79.444
3040.000000,79.274
3070.000000,79.143
3110.000000,78.968
3150.000000,78.796
3200.000000,78.590
3250.000000,78.396
3300.000000,78.219
3350.000000,78.062
3400.000000,77.929
3450.000000,77.824
3500.000000,77.749
3550.000000,77.701
3600.000000,77.677
3650.000000,77.677
3700.000000,77.699
3750.000000,77.743
3820.000000,77.837
3870.000000,77.924
3950.000000,78.096
4000.000000,78.227
4060.000000,78.404
4120.000000,78.601
4180.000000,78.810
4250.000000,79.058
4310.000000,79.263
4370.000000,79.447
4440.000000,79.624
4500.000000,79.729
4550.000000,79.775
4620.000000,79.766
4680.000000,79.680
4750.000000,79.485
4820.000000,79.190
4870.000000,78.926
4940.000000,78.503
5000.000000,78.113
5080.000000,77.572
5150.000000,77.076
5220.000000,76.556
5300.000000,75.944
5380.000000,75.336
5450.000000,74.822
5520.000000,74.331
5600.000000,73.807
5700.000000,73.209
5800.000000,72.679
5900.000000,72.215
6000.000000,71.814
6080.000000,71.537
6150.000000,71.326
6220.000000,71.146
6300.000000,70.978
6400.000000,70.825
6500.000000,70.736
6600.000000,70.715
6700.000000,70.767
6800.000000,70.901
6900.000000,71.120
7000.000000,71.420
7100.000000,71.799
7200.000000,72.258
7300.000000,72.795
7400.000000,73.402
7500.000000,74.062
7620.000000,74.883
7750.000000,75.714
7880.000000,76.349
8000.000000,76.656
8120.000000,76.636
8250.000000,76.239
8380.000000,75.515
8500.000000,74.654
8620.000000,73.704
8750.000000,72.665
8850.000000,71.905
9000.000000,70.875
9120.000000,70.165
9250.000000,69.515
9380.000000,68.991
9500.000000,68.618
9620.000000,68.354
9750.000000,68.197
9880.000000,68.181
10000.000000,68.295
10150.000000,68.624
10300.000000,69.175
10440.000000,69.902
10600.000000,70.967
10750.000000,72.104
10900.000000,73.212
11060.000000,74.115
11200.000000,74.472
11380.000000,74.164
11500.000000,73.479
11720.000000,71.463
11800.000000,70.577
12060.000000,67.578
12200.000000,66.071
12410.000000,64.132
12500.000000,63.432
12650.000000,62.435
12800.000000,61.627
13150.000000,60.356
13200.000000,60.237
13400.000000,59.914
13600.000000,59.840
13800.000000,60.031
14000.000000,60.491
14300.000000,61.668
14500.000000,62.705
14750.000000,64.087
15000.000000,65.298
15250.000000,66.075
15500.000000,66.255
15750.000000,65.827
16000.000000,64.949
16250.000000,63.895
