X,Y
20.000000,72.518
20.299999,72.556
20.600000,72.591
20.900000,72.624
21.200001,72.656
21.400000,72.677
21.799999,72.719
22.000000,72.740
22.400000,72.782
22.700001,72.813
23.000000,72.843
23.299999,72.872
23.600000,72.900
24.000000,72.935
24.299999,72.960
24.700001,72.990
25.000000,73.010
25.400000,73.035
25.799999,73.059
26.200001,73.081
26.500000,73.097
26.900000,73.118
27.200001,73.134
27.600000,73.155
28.000000,73.175
28.500000,73.198
29.000000,73.219
29.500000,73.236
30.000000,73.251
30.400000,73.261
30.700001,73.267
31.100000,73.275
31.500000,73.281
32.000000,73.287
32.500000,73.292
33.000000,73.295
33.500000,73.297
34.000000,73.298
34.500000,73.297
35.000000,73.296
35.500000,73.293
36.000000,73.290
36.500000,73.286
37.000000,73.281
37.500000,73.274
38.200001,73.265
38.700001,73.258
39.500000,73.247
40.000000,73.240
40.599998,73.232
41.200001,73.222
41.799999,73.212
42.500000,73.199
43.099998,73.187
43.700001,73.174
44.400002,73.158
45.000000,73.143
45.500000,73.130
46.200001,73.112
46.799999,73.096
47.500000,73.077
48.200001,73.057
48.700001,73.042
49.400002,73.020
50.000000,73.001
50.799999,72.975
51.500000,72.954
52.200001,72.934
53.000000,72.914
53.799999,72.895
54.500000,72.879
55.200001,72.864
56.000000,72.848
57.000000,72.829
58.000000,72.812
59.000000,72.797
60.000000,72.786
60.799999,72.779
61.500000,72.774
62.200001,72.771
63.000000,72.768
64.000000,72.768
65.000000,72.770
66.000000,72.774
67.000000,72.780
68.000000,72.786
69.000000,72.794
70.000000,72.802
71.000000,72.810
72.000000,72.820
73.000000,72.829
74.000000,72.838
75.000000,72.847
76.199997,72.856
77.500000,72.863
78.800003,72.868
80.000000,72.869
81.199997,72.867
82.500000,72.861
83.800003,72.851
85.000000,72.839
86.199997,72.824
87.500000,72.804
88.500000,72.787
90.000000,72.758
91.199997,72.732
92.500000,72.703
93.800003,72.674
95.000000,72.648
96.199997,72.622
97.500000,72.594
98.800003,72.565
100.000000,72.539
101.500000,72.504
103.000000,72.468
104.400002,72.434
106.000000,72.395
107.500000,72.358
109.000000,72.323
110.599998,72.286
112.000000,72.255
113.800003,72.217
115.000000,72.193
117.199997,72.153
118.000000,72.139
120.599998,72.099
122.000000,72.078
124.099998,72.047
125.000000,72.033
126.500000,72.009
128.000000,71.984
131.500000,71.917
132.000000,71.906
134.000000,71.864
136.000000,71.821
138.000000,71.780
140.000000,71.744
143.000000,71.700
145.000000,71.677
147.500000,71.653
150.000000,71.632
152.500000,71.610
155.000000,71.587
157.500000,71.562
160.000000,71.535
162.500000,71.507
165.000000,71.478
167.500000,71.448
170.000000,71.419
172.500000,71.391
175.000000,71.365
177.500000,71.341
180.000000,71.319
182.500000,71.302
185.000000,71.289
187.500000,71.281
190.000000,71.277
192.500000,71.279
195.000000,71.285
197.500000,71.297
200.000000,71.314
203.000000,71.341
206.000000,71.375
209.000000,71.416
212.000000,71.465
214.000000,71.501
218.000000,71.581
220.000000,71.624
224.000000,71.718
227.000000,71.792
230.000000,71.870
233.000000,71.951
236.000000,72.033
240.000000,72.146
243.000000,72.231
247.000000,72.345
250.000000,72.430
254.000000,72.543
258.000000,72.652
262.000000,72.758
265.000000,72.833
269.000000,72.929
272.000000,72.997
276.000000,73.083
280.000000,73.163
285.000000,73.256
290.000000,73.342
295.000000,73.421
300.000000,73.494
304.000000,73.548
307.000000,73.586
311.000000,73.632
315.000000,73.672
320.000000,73.712
325.000000,73.739
330.000000,73.753
335.000000,73.754
340.000000,73.743
345.000000,73.722
350.000000,73.693
355.000000,73.658
360.000000,73.618
365.000000,73.576
370.000000,73.531
375.000000,73.484
382.000000,73.417
387.000000,73.367
395.000000,73.281
400.000000,73.222
406.000000,73.144
412.000000,73.060
418.000000,72.972
425.000000,72.869
431.000000,72.786
437.000000,72.714
444.000000,72.643
450.000000,72.594
455.000000,72.559
462.000000,72.514
468.000000,72.475
475.000000,72.422
482.000000,72.356
487.000000,72.298
494.000000,72.202
500.000000,72.105
508.000000,71.956
515.000000,71.809
522.000000,71.651
530.000000,71.462
538.000000,71.270
545.000000,71.104
552.000000,70.942
560.000000,70.764
570.000000,70.557
580.000000,70.368
590.000000,70.200
600.000000,70.055
608.000000,69.957
615.000000,69.883
622.000000,69.820
630.000000,69.762
640.000000,69.709
650.000000,69.674
660.000000,69.658
670.000000,69.658
680.000000,69.672
690.000000,69.697
700.000000,69.730
710.000000,69.770
720.000000,69.814
730.000000,69.862
740.000000,69.913
750.000000,69.968
762.000000,70.039
775.000000,70.123
788.000000,70.213
800.000000,70.297
812.000000,70.375
825.000000,70.443
838.000000,70.481
850.000000,70.482
862.000000,70.452
875.000000,70.391
885.000000,70.333
900.000000,70.250
912.000000,70.199
925.000000,70.169
938.000000,70.169
950.000000,70.196
962.000000,70.246
975.000000,70.318
988.000000,70.402
1000.000000,70.486
1015.000000,70.598
1030.000000,70.727
1044.000000,70.870
1060.000000,71.061
1075.000000,71.248
1090.000000,71.426
1106.000000,71.590
1120.000000,71.699
1138.000000,71.779
1150.000000,71.802
1172.000000,71.821
1180.000000,71.827
1206.000000,71.858
1220.000000,71.916
1241.000000,72.092
1250.000000,72.182
1265.000000,72.312
1280.000000,72.393
1315.000000,72.393
1320.000000,72.378
1340.000000,72.287
1360.000000,72.162
1380.000000,72.028
1400.000000,71.936
1430.000000,71.954
1450.000000,72.075
1475.000000,72.306
1500.000000,72.577
1525.000000,72.927
1550.000000,73.439
1575.000000,74.068
1600.000000,74.633
1625.000000,74.955
1650.000000,74.993
1675.000000,74.876
1700.000000,74.779
1725.000000,74.747
1750.000000,74.693
1775.000000,74.549
1800.000000,74.335
1825.000000,74.169
1850.000000,74.209
1875.000000,74.499
1900.000000,74.931
1925.000000,75.376
1950.000000,75.785
1975.000000,76.163
2000.000000,76.517
2030.000000,76.899
2060.000000,77.213
2090.000000,77.431
2120.000000,77.526
2140.000000,77.522
2180.000000,77.409
2200.000000,77.344
2240.000000,77.282
2270.000000,77.305
2300.000000,77.387
2330.000000,77.529
2360.000000,77.709
2400.000000,77.913
2430.000000,77.985
2470.000000,77.997
2500.000000,77.989
2540.000000,77.976
2580.000000,77.916
2620.000000,77.772
2650.000000,77.612
2690.000000,77.349
2720.000000,77.123
2760.000000,76.767
2800.000000,76.344
2850.000000,75.874
2900.000000,75.781
2950.000000,76.132
3000.000000,76.623
3040.000000,76.910
3070.000000,77.019
3110.000000,77.037
3150.000000,76.969
3200.000000,76.884
3250.000000,76.871
3300.000000,76.919
3350.000000,76.970
3400.000000,76.975
3450.000000,76.907
3500.000000,76.774
3550.000000,76.619
3600.000000,76.503
3650.000000,76.499
3700.000000,76.664
3750.000000,76.995
3820.000000,77.599
3870.000000,78.032
3950.000000,78.637
4000.000000,78.925
4060.000000,79.134
4120.000000,79.173
4180.000000,79.070
4250.000000,78.853
4310.000000,78.637
4370.000000,78.425
4440.000000,78.203
4500.000000,78.034
4550.000000,77.894
4620.000000,77.667
4680.000000,77.412
4750.000000,77.017
4820.000000,76.492
4870.000000,76.030
4940.000000,75.268
5000.000000,74.529
5080.000000,73.479
5150.000000,72.581
5220.000000,71.801
5300.000000,71.184
5380.000000,70.950
5450.000000,71.031
5520.000000,71.274
5600.000000,71.627
5700.000000,72.067
5800.000000,72.448
5900.000000,72.744
6000.000000,72.994
6080.000000,73.192
6150.000000,73.366
6220.000000,73.537
6300.000000,73.740
6400.000000,73.999
6500.000000,74.213
6600.000000,74.297
6700.000000,74.178
6800.000000,73.836
6900.000000,73.312
7000.000000,72.679
7100.000000,72.019
7200.000000,71.423
7300.000000,70.984
7400.000000,70.785
7500.000000,70.846
7620.000000,71.152
7750.000000,71.503
7880.000000,71.668
8000.000000,71.628
8120.000000,71.443
8250.000000,71.090
8380.000000,70.551
8500.000000,69.885
8620.000000,69.080
8750.000000,68.077
8850.000000,67.224
9000.000000,65.935
9120.000000,65.156
9250.000000,64.848
9380.000000,65.088
9500.000000,65.597
9620.000000,66.228
9750.000000,66.945
9880.000000,67.606
10000.000000,68.109
10150.000000,68.582
10300.000000,68.926
10440.000000,69.170
10600.000000,69.342
10750.000000,69.326
10900.000000,69.062
11060.000000,68.487
11200.000000,67.795
11380.000000,66.798
11500.000000,66.158
11720.000000,65.237
11800.000000,65.026
12060.000000,64.859
12200.000000,64.960
12410.000000,64.967
12500.000000,64.827
12650.000000,64.339
12800.000000,63.536
13150.000000,61.057
13200.000000,60.758
13400.000000,60.177
13600.000000,60.884
13800.000000,62.550
14000.000000,64.486
14300.000000,66.918
14500.000000,67.958
14750.000000,68.595
15000.000000,68.696
15250.000000,68.695
15500.000000,69.292
15750.000000,70.706
16000.000000,72.153
16250.000000,72.914
16500.000000,72.844
16750.000000,72.157
17000.000000,71.098
17250.000000,69.742
17500.000000,68.077
17750.000000,66.160
18000.000000,64.153
18250.000000,62.294
18500.000000,60.813
18750.000000,59.816
19000.000000,59.325
19250.000000,59.412
19500.000000,60.003
19750.000000,60.710
