X,Y
20.000000,114.072
20.299999,114.076
20.600000,114.080
20.900000,114.084
21.200001,114.087
21.400000,114.088
21.799999,114.091
22.000000,114.093
22.400000,114.097
22.700001,114.101
23.000000,114.105
23.299999,114.108
23.600000,114.110
24.000000,114.110
24.299999,114.109
24.700001,114.108
25.000000,114.106
25.400000,114.103
25.799999,114.097
26.200001,114.090
26.500000,114.084
26.900000,114.075
27.200001,114.069
27.600000,114.060
28.000000,114.051
28.500000,114.040
29.000000,114.029
29.500000,114.018
30.000000,114.006
30.400000,113.998
30.700001,113.991
31.100000,113.982
31.500000,113.972
32.000000,113.960
32.500000,113.946
33.000000,113.933
33.500000,113.919
34.000000,113.904
34.500000,113.889
35.000000,113.872
35.500000,113.855
36.000000,113.837
36.500000,113.818
37.000000,113.801
37.500000,113.784
38.200001,113.760
38.700001,113.743
39.500000,113.715
40.000000,113.697
40.599998,113.676
41.200001,113.653
41.799999,113.629
42.500000,113.602
43.099998,113.578
43.700001,113.554
44.400002,113.526
45.000000,113.502
45.500000,113.482
46.200001,113.453
46.799999,113.429
47.500000,113.401
48.200001,113.373
48.700001,113.351
49.400002,113.318
50.000000,113.292
50.799999,113.261
51.500000,113.234
52.200001,113.205
53.000000,113.171
53.799999,113.138
54.500000,113.109
55.200001,113.079
56.000000,113.045
57.000000,113.001
58.000000,112.957
59.000000,112.914
60.000000,112.871
60.799999,112.836
61.500000,112.805
62.200001,112.775
63.000000,112.740
64.000000,112.695
65.000000,112.651
66.000000,112.609
67.000000,112.566
68.000000,112.522
69.000000,112.479
70.000000,112.436
71.000000,112.393
72.000000,112.349
73.000000,112.307
74.000000,112.263
75.000000,112.220
76.199997,112.168
77.500000,112.114
78.800003,112.059
80.000000,112.008
81.199997,111.958
82.500000,111.904
83.800003,111.849
85.000000,111.799
86.199997,111.749
87.500000,111.696
88.500000,111.655
90.000000,111.595
91.199997,111.546
92.500000,111.492
93.800003,111.440
95.000000,111.393
96.199997,111.346
97.500000,111.295
98.800003,111.245
100.000000,111.199
101.500000,111.139
103.000000,111.081
104.400002,111.027
106.000000,110.966
107.500000,110.910
109.000000,110.855
110.599998,110.795
112.000000,110.744
113.800003,110.678
115.000000,110.635
117.199997,110.557
118.000000,110.529
120.599998,110.437
122.000000,110.389
124.099998,110.318
125.000000,110.287
126.500000,110.238
128.000000,110.189
131.500000,110.075
132.000000,110.059
134.000000,109.993
136.000000,109.928
138.000000,109.866
140.000000,109.805
143.000000,109.712
145.000000,109.651
147.500000,109.577
150.000000,109.504
152.500000,109.432
155.000000,109.361
157.500000,109.291
160.000000,109.224
162.500000,109.156
165.000000,109.089
167.500000,109.023
170.000000,108.958
172.500000,108.895
175.000000,108.833
177.500000,108.772
180.000000,108.713
182.500000,108.654
185.000000,108.594
187.500000,108.536
190.000000,108.481
192.500000,108.426
195.000000,108.371
197.500000,108.316
200.000000,108.262
203.000000,108.201
206.000000,108.140
209.000000,108.082
212.000000,108.024
214.000000,107.985
218.000000,107.909
220.000000,107.872
224.000000,107.801
227.000000,107.748
230.000000,107.695
233.000000,107.643
236.000000,107.594
240.000000,107.530
243.000000,107.483
247.000000,107.419
250.000000,107.373
254.000000,107.315
258.000000,107.258
262.000000,107.203
265.000000,107.163
269.000000,107.109
272.000000,107.069
276.000000,107.017
280.000000,106.967
285.000000,106.908
290.000000,106.850
295.000000,106.796
300.000000,106.745
304.000000,106.705
307.000000,106.674
