X,Y
20.000000,77.996
20.299999,78.068
20.600000,78.122
20.900000,78.158
21.200001,78.180
21.400000,78.194
21.799999,78.228
22.000000,78.251
22.400000,78.311
22.700001,78.363
23.000000,78.411
23.299999,78.451
23.600000,78.482
24.000000,78.516
24.299999,78.541
24.700001,78.578
25.000000,78.610
25.400000,78.652
25.799999,78.691
26.200001,78.727
26.500000,78.754
26.900000,78.795
27.200001,78.827
27.600000,78.869
28.000000,78.903
28.500000,78.931
29.000000,78.948
29.500000,78.964
30.000000,78.986
30.400000,79.006
30.700001,79.023
31.100000,79.047
31.500000,79.071
32.000000,79.102
32.500000,79.131
33.000000,79.156
33.500000,79.176
34.000000,79.192
34.500000,79.206
35.000000,79.219
35.500000,79.232
36.000000,79.245
36.500000,79.256
37.000000,79.265
37.500000,79.273
38.200001,79.283
38.700001,79.289
39.500000,79.303
40.000000,79.312
40.599998,79.321
41.200001,79.326
41.799999,79.326
42.500000,79.326
43.099998,79.325
43.700001,79.326
44.400002,79.328
45.000000,79.332
45.500000,79.330
46.200001,79.320
46.799999,79.313
47.500000,79.311
48.200001,79.296
48.700001,79.270
49.400002,79.236
50.000000,79.239
50.799999,79.273
51.500000,79.285
52.200001,79.272
53.000000,79.257
53.799999,79.249
54.500000,79.237
55.200001,79.225
56.000000,79.216
57.000000,79.203
58.000000,79.186
59.000000,79.166
60.000000,79.142
60.799999,79.127
61.500000,79.118
62.200001,79.107
63.000000,79.092
64.000000,79.068
65.000000,79.044
66.000000,79.024
67.000000,79.005
68.000000,78.982
69.000000,78.958
70.000000,78.936
71.000000,78.913
72.000000,78.889
73.000000,78.862
74.000000,78.835
75.000000,78.809
76.199997,78.777
77.500000,78.740
78.800003,78.703
80.000000,78.670
81.199997,78.634
82.500000,78.595
83.800003,78.555
85.000000,78.517
86.199997,78.478
87.500000,78.435
88.500000,78.401
90.000000,78.348
91.199997,78.305
92.500000,78.258
93.800003,78.212
95.000000,78.170
96.199997,78.130
97.500000,78.086
98.800003,78.039
100.000000,77.994
101.500000,77.938
103.000000,77.884
104.400002,77.833
106.000000,77.776
107.500000,77.720
109.000000,77.663
110.599998,77.602
112.000000,77.549
113.800003,77.483
115.000000,77.439
117.199997,77.357
118.000000,77.328
120.599998,77.231
122.000000,77.178
124.099998,77.102
125.000000,77.070
126.500000,77.018
128.000000,76.963
131.500000,76.826
132.000000,76.805
134.000000,76.725
136.000000,76.655
138.000000,76.590
140.000000,76.521
143.000000,76.415
145.000000,76.344
147.500000,76.257
150.000000,76.169
152.500000,76.079
155.000000,75.990
157.500000,75.906
160.000000,75.822
162.500000,75.736
165.000000,75.653
167.500000,75.573
170.000000,75.495
172.500000,75.415
175.000000,75.336
177.500000,75.258
180.000000,75.182
182.500000,75.107
185.000000,75.034
187.500000,74.962
190.000000,74.894
192.500000,74.828
195.000000,74.760
197.500000,74.692
200.000000,74.625
203.000000,74.548
206.000000,74.474
209.000000,74.401
212.000000,74.329
214.000000,74.283
218.000000,74.195
220.000000,74.153
224.000000,74.070
227.000000,74.010
230.000000,73.954
233.000000,73.902
236.000000,73.849
240.000000,73.778
243.000000,73.728
247.000000,73.665
250.000000,73.621
254.000000,73.561
