* More info about this measurement = https://www.achoreviews.com/solospec
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.719	-70.9217
20.600000	80.756	-71.3657
20.900000	80.845	-72.3044
21.200001	80.934	-73.3335
21.400000	80.991	-74.0190
21.799999	81.106	-75.3608
22.000000	81.167	-76.0112
22.400000	81.301	-77.2816
22.700001	81.411	-78.2113
23.000000	81.523	-79.1154
23.299999	81.630	-79.9813
23.600000	81.729	-80.7983
24.000000	81.842	-81.8047
24.299999	81.912	-82.5070
24.700001	81.989	-83.4049
25.000000	82.038	-84.0791
25.400000	82.097	-85.0124
25.799999	82.154	-86.0033
26.200001	82.215	-87.0449
26.500000	82.266	-87.8419
26.900000	82.342	-88.8957
27.200001	82.403	-89.6554
27.600000	82.487	-90.6006
28.000000	82.571	-91.4539
28.500000	82.674	-92.4124
29.000000	82.769	-93.3297
29.500000	82.853	-94.2950
30.000000	82.923	-95.3490
30.400000	82.968	-96.2337
30.700001	82.997	-96.8973
31.100000	83.034	-97.7534
31.500000	83.072	-98.5623
32.000000	83.123	-99.5123
32.500000	83.177	-100.4193
33.000000	83.230	-101.3019
33.500000	83.284	-102.1650
34.000000	83.343	-103.0156
34.500000	83.407	-103.8654
35.000000	83.470	-104.7075
35.500000	83.523	-105.4994
36.000000	83.564	-106.1939
36.500000	83.597	-106.7897
37.000000	83.631	-107.3490
37.500000	83.670	-107.9473
38.200001	83.729	-108.9017
38.700001	83.772	-109.6305
39.500000	83.840	-110.7912
40.000000	83.878	-111.5021
40.599998	83.914	-112.3284
41.200001	83.944	-113.1004
41.799999	83.973	-113.8112
42.500000	84.012	-114.5833
43.099998	84.047	-115.2152
43.700001	84.082	-115.8332
44.400002	84.128	-116.5431
45.000000	84.174	-117.1392
45.500000	84.217	-117.6409
46.200001	84.272	-118.4077
46.799999	84.301	-119.1681
47.500000	84.322	-120.1962
48.200001	84.360	-121.4234
48.700001	84.403	-122.4157
49.400002	84.462	-123.7430
50.000000	84.491	-124.4840
50.799999	84.512	-124.6778
51.500000	84.528	-124.4825
52.200001	84.537	-124.4592
53.000000	84.530	-124.8236
53.799999	84.528	-125.4172
54.500000	84.544	-125.9638
55.200001	84.570	-126.4592
56.000000	84.603	-126.9504
57.000000	84.643	-127.5478
58.000000	84.672	-128.2045
59.000000	84.686	-128.8877
60.000000	84.699	-129.5608
60.799999	84.722	-130.0793
61.500000	84.751	-130.5189
62.200001	84.784	-130.9511
63.000000	84.816	-131.4326
64.000000	84.844	-131.9907
65.000000	84.866	-132.4882
66.000000	84.887	-132.9440
67.000000	84.909	-133.3860
68.000000	84.932	-133.8374
69.000000	84.953	-134.3007
70.000000	84.970	-134.7684
71.000000	84.985	-135.2317
72.000000	84.999	-135.6702
73.000000	85.015	-136.0755
74.000000	85.032	-136.4659
75.000000	85.047	-136.8519
76.199997	85.066	-137.2956
77.500000	85.089	-137.7489
78.800003	85.108	-138.1887
80.000000	85.124	-138.5963
81.199997	85.141	-139.0124
82.500000	85.158	-139.4682
83.800003	85.174	-139.9135
85.000000	85.190	-140.3062
86.199997	85.207	-140.6887
87.500000	85.226	-141.1029
88.500000	85.240	-141.4173
90.000000	85.258	-141.8478
91.199997	85.263	-142.1348
92.500000	85.265	-142.4185
93.800003	85.273	-142.7084
95.000000	85.287	-142.9765
96.199997	85.302	-143.2336
97.500000	85.316	-143.5018
98.800003	85.330	-143.7746
100.000000	85.346	-144.0451
101.500000	85.369	-144.3985
103.000000	85.391	-144.7213
104.400002	85.409	-144.9788
106.000000	85.425	-145.2478
107.500000	85.439	-145.5019
109.000000	85.454	-145.7703
110.599998	85.473	-146.0585
112.000000	85.492	-146.2941
113.800003	85.518	-146.5815
115.000000	85.536	-146.7668
117.199997	85.564	-147.0658
118.000000	85.572	-147.1646
120.599998	85.587	-147.5377
122.000000	85.595	-147.7725
124.099998	85.612	-148.1156
125.000000	85.621	-148.2514
126.500000	85.636	-148.4603
128.000000	85.652	-148.6524
131.500000	85.684	-149.0697
132.000000	85.687	-149.1272
134.000000	85.701	-149.3554
136.000000	85.715	-149.5856
138.000000	85.731	-149.8173
140.000000	85.748	-150.0417
143.000000	85.775	-150.3435
145.000000	85.800	-150.5163
147.500000	85.846	-150.6794
150.000000	85.883	-150.8494
152.500000	85.880	-151.1463
155.000000	85.867	-151.4643
157.500000	85.868	-151.7015
160.000000	85.878	-151.8937
162.500000	85.889	-152.0949
165.000000	85.901	-152.3169
167.500000	85.912	-152.5409
170.000000	85.922	-152.7379
172.500000	85.930	-152.9065
175.000000	85.939	-153.0667
177.500000	85.948	-153.2279
180.000000	85.956	-153.3883
182.500000	85.962	-153.5426
185.000000	85.968	-153.6888
187.500000	85.974	-153.8297
190.000000	85.979	-153.9694
192.500000	85.985	-154.1112
195.000000	85.990	-154.2521
197.500000	85.994	-154.3866
200.000000	85.997	-154.5110
203.000000	85.999	-154.6470
206.000000	85.999	-154.7744
209.000000	85.999	-154.8994
212.000000	85.998	-155.0198
214.000000	85.997	-155.0968
218.000000	85.994	-155.2423
220.000000	85.992	-155.3105
224.000000	85.988	-155.4430
227.000000	85.985	-155.5429
230.000000	85.981	-155.6427
233.000000	85.977	-155.7336
236.000000	85.973	-155.8035
240.000000	85.967	-155.8534
243.000000	85.964	-155.8618
247.000000	85.963	-155.8591
250.000000	85.958	-155.8907
254.000000	85.936	-156.0115
258.000000	85.911	-156.1437
262.000000	85.891	-156.2148
265.000000	85.879	-156.2283
269.000000	85.862	-156.2285
272.000000	85.849	-156.2366
276.000000	85.834	-156.2573
280.000000	85.817	-156.2689
285.000000	85.793	-156.2383
290.000000	85.769	-156.1752
295.000000	85.746	-156.1034
300.000000	85.722	-156.0234
304.000000	85.704	-155.9589
307.000000	85.689	-155.9114
311.000000	85.668	-155.8465
315.000000	85.644	-155.7751
320.000000	85.612	-155.6686
325.000000	85.583	-155.5367
330.000000	85.559	-155.3878
335.000000	85.537	-155.2415
340.000000	85.516	-155.1092
345.000000	85.492	-154.9793
350.000000	85.467	-154.8156
355.000000	85.438	-154.6042
360.000000	85.408	-154.3806
365.000000	85.377	-154.1630
370.000000	85.347	-153.9424
375.000000	85.317	-153.7131
382.000000	85.276	-153.3732
387.000000	85.247	-153.1163
395.000000	85.202	-152.6859
400.000000	85.174	-152.4073
406.000000	85.141	-152.0659
412.000000	85.109	-151.7109
418.000000	85.079	-151.3412
425.000000	85.044	-150.8995
431.000000	85.013	-150.5078
437.000000	84.985	-150.0950
444.000000	84.956	-149.5958
450.000000	84.931	-149.1704
455.000000	84.906	-148.8220
462.000000	84.868	-148.3292
468.000000	84.836	-147.8922
475.000000	84.803	-147.3649
482.000000	84.772	-146.8213
487.000000	84.751	-146.4264
494.000000	84.723	-145.8665
500.000000	84.699	-145.3794
508.000000	84.667	-144.7169
515.000000	84.640	-144.1236
522.000000	84.615	-143.5199
530.000000	84.585	-142.8241
538.000000	84.554	-142.1273
545.000000	84.529	-141.5131
552.000000	84.507	-140.8871
560.000000	84.489	-140.1543
570.000000	84.468	-139.2203
580.000000	84.446	-138.2751
590.000000	84.425	-137.3172
600.000000	84.406	-136.3446
608.000000	84.393	-135.5571
615.000000	84.382	-134.8620
