* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 2 sweeps at -10.0 dBFS with no timing reference
* Dated: Sep 2, 2021 3:11:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7th A SG3 DEEP R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.979897	173.5927
20.299999	81.975021	172.7456
20.600000	81.971329	171.8806
20.900000	81.965744	170.9936
21.200001	81.954994	170.0959
21.400000	81.944229	169.5060
21.799999	81.916252	168.3718
22.000000	81.900986	167.8355
22.400000	81.873146	166.8215
22.700001	81.857147	166.0866
23.000000	81.844513	165.3438
23.299999	81.831451	164.5822
23.600000	81.814705	163.8106
24.000000	81.784294	162.7990
24.299999	81.757393	162.0790
24.700001	81.721786	161.1771
25.000000	81.698364	160.5236
25.400000	81.670845	159.6448
25.799999	81.641586	158.7382
26.200001	81.605194	157.8282
26.500000	81.573746	157.1689
26.900000	81.530609	156.3341
27.200001	81.500412	155.7296
27.600000	81.463547	154.9222
28.000000	81.425995	154.0936
28.500000	81.370949	153.0613
29.000000	81.310646	152.1071
29.500000	81.258530	151.2341
30.000000	81.220238	150.3492
30.400000	81.192017	149.5820
30.700001	81.166740	148.9784
31.100000	81.124481	148.1796
31.500000	81.075356	147.4297
32.000000	81.014259	146.5786
32.500000	80.960800	145.7760
33.000000	80.912239	144.9664
33.500000	80.862511	144.1469
34.000000	80.810257	143.3411
34.500000	80.757629	142.5530
35.000000	80.704697	141.7701
35.500000	80.649384	140.9925
36.000000	80.591339	140.2366
36.500000	80.532822	139.5126
37.000000	80.476479	138.8166
37.500000	80.423927	138.1379
38.200001	80.358215	137.1859
38.700001	80.315201	136.4761
39.500000	80.240845	135.2729
40.000000	80.185242	134.5202
40.599998	80.111519	133.6790
41.200001	80.041000	132.9230
41.799999	79.980698	132.1856
42.500000	79.910561	131.2631
43.099998	79.836411	130.5032
43.700001	79.764816	129.8751
44.400002	79.705589	129.1439
45.000000	79.647408	128.3816
45.500000	79.575455	127.8368
46.200001	79.496887	127.4626
46.799999	79.511040	127.0957
47.500000	79.541550	125.8919
48.200001	79.451920	124.3314
48.700001	79.330589	123.5518
49.400002	79.183342	122.9883
50.000000	79.100525	122.5817
50.799999	79.007690	121.9626
51.500000	78.940887	121.4036
52.200001	78.880081	120.7326
53.000000	78.797134	119.9453
53.799999	78.719254	119.2145
54.500000	78.651428	118.5536
55.200001	78.582397	117.9620
56.000000	78.521843	117.3071
57.000000	78.444336	116.3621
58.000000	78.357063	115.4424
59.000000	78.253143	114.4879
60.000000	78.135399	113.7049
60.799999	78.051674	113.1017
61.500000	77.977089	112.5772
62.200001	77.910477	112.0877
63.000000	77.848335	111.4775
64.000000	77.774475	110.6261
65.000000	77.699524	109.7504
66.000000	77.617111	108.9340
67.000000	77.534988	108.3044
68.000000	77.483810	107.7214
69.000000	77.402260	106.8754
70.000000	77.273293	106.4268
71.000000	77.213783	105.9434
72.000000	77.083672	105.0589
73.000000	76.953506	104.8581
74.000000	76.946159	104.2857
75.000000	76.877602	103.1117
76.199997	76.748711	102.1660
77.500000	76.643646	101.5030
78.800003	76.598526	100.8805
80.000000	76.509468	100.1616
81.199997	76.436913	99.8352
82.500000	76.375870	98.9610
83.800003	76.221909	98.0158
85.000000	76.075531	97.5211
86.199997	76.014305	97.0853
87.500000	75.972580	96.0022
88.500000	75.914856	95.2782
90.000000	75.826630	94.4610
91.199997	75.800560	94.2619
92.500000	75.740196	93.4069
93.800003	75.622482	93.1982
95.000000	75.561836	92.2088
96.199997	75.419632	91.5128
97.500000	75.327980	90.9672
98.800003	75.377373	91.0489
100.000000	75.357079	90.4162
101.500000	75.268906	90.4409
103.000000	74.998703	90.3839
104.400002	74.895142	89.2822
106.000000	74.651718	87.4297
107.500000	74.760788	85.9177
109.000000	74.874268	85.6119
110.599998	74.747139	86.1785
112.000000	74.527908	87.6758
113.800003	74.033867	86.0467
115.000000	74.019089	84.5569
117.199997	74.859802	80.7240
118.000000	74.510391	76.5588
120.599998	73.363853	89.2002
122.000000	79.852364	112.8729
124.099998	74.029533	83.3283
125.000000	75.211395	92.8683
126.500000	72.687645	88.0110
128.000000	73.399025	81.7978
131.500000	73.612091	81.4603
132.000000	73.819092	81.8742
134.000000	73.687286	83.7139
136.000000	73.706696	83.9163
138.000000	73.652519	81.2231
140.000000	74.195351	81.1240
143.000000	73.897018	79.7387
145.000000	73.761925	78.3256
147.500000	73.762527	76.1575
150.000000	73.897369	76.3232
152.500000	73.870102	75.7762
