* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 2 sweeps at -10.0 dBFS with no timing reference
* Dated: Jul 31, 2021 11:32:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCZ PLUME L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.735298	-120.9531
20.600000	84.821213	-121.7229
20.900000	84.899498	-122.4109
21.200001	84.971992	-123.1136
21.400000	85.016098	-123.5960
21.799999	85.093246	-124.5844
22.000000	85.126511	-125.0820
22.400000	85.185059	-126.0614
22.700001	85.226105	-126.7741
23.000000	85.268730	-127.4732
23.299999	85.314583	-128.1749
23.600000	85.363266	-128.8927
24.000000	85.429733	-129.8860
24.299999	85.477676	-130.6512
24.700001	85.536484	-131.6714
25.000000	85.576897	-132.4131
25.400000	85.628319	-133.3486
25.799999	85.680817	-134.2193
26.200001	85.736725	-135.0426
26.500000	85.780426	-135.6436
26.900000	85.838699	-136.4357
27.200001	85.880219	-137.0235
27.600000	85.930603	-137.7895
28.000000	85.975258	-138.5184
28.500000	86.027245	-139.3658
29.000000	86.081314	-140.1731
29.500000	86.138153	-141.0056
30.000000	86.189209	-141.9093
30.400000	86.218643	-142.6655
30.700001	86.232758	-143.2244
31.100000	86.244469	-143.9211
31.500000	86.255188	-144.5489
32.000000	86.277824	-145.2729
32.500000	86.312553	-146.0115
33.000000	86.349258	-146.8089
33.500000	86.378632	-147.6228
34.000000	86.402428	-148.3808
34.500000	86.430092	-149.0678
35.000000	86.466217	-149.7314
35.500000	86.505852	-150.4194
36.000000	86.541298	-151.1293
36.500000	86.569565	-151.8320
37.000000	86.591354	-152.5100
37.500000	86.607079	-153.1578
38.200001	86.621544	-153.9873
38.700001	86.633781	-154.5214
39.500000	86.666641	-155.4051
40.000000	86.685432	-156.0397
40.599998	86.693230	-156.8325
41.200001	86.690567	-157.5526
41.799999	86.693550	-158.2000
42.500000	86.708023	-158.9684
43.099998	86.719048	-159.6514
43.700001	86.728432	-160.3017
44.400002	86.744659	-161.0342
45.000000	86.757370	-161.6801
45.500000	86.761452	-162.1915
46.200001	86.769135	-162.8043
46.799999	86.790230	-163.3318
47.500000	86.806664	-164.1038
48.200001	86.783218	-164.8289
48.700001	86.761330	-165.1534
49.400002	86.768684	-165.4953
50.000000	86.796326	-165.9790
50.799999	86.801010	-166.8193
51.500000	86.784889	-167.4434
52.200001	86.774460	-168.0348
53.000000	86.751106	-168.6726
53.799999	86.747337	-169.1180
54.500000	86.777420	-169.6654
55.200001	86.782074	-170.4343
56.000000	86.750504	-171.1224
57.000000	86.745293	-171.8004
58.000000	86.726501	-172.6409
59.000000	86.693901	-173.2328
60.000000	86.694496	-173.7764
60.799999	86.702484	-174.3405
61.500000	86.694725	-174.9086
62.200001	86.670547	-175.3911
63.000000	86.654846	-175.7997
64.000000	86.655739	-176.4164
65.000000	86.634048	-177.0782
66.000000	86.608200	-177.6071
67.000000	86.591431	-178.0984
68.000000	86.578568	-178.6289
69.000000	86.561058	-179.1865
70.000000	86.542564	-179.7668
71.000000	86.513519	179.6279
72.000000	86.480400	179.1382
73.000000	86.469223	178.6626
74.000000	86.450882	178.0616
75.000000	86.419777	177.5811
76.199997	86.398949	176.9893
77.500000	86.356743	176.3954
78.800003	86.331627	175.8328
80.000000	86.300598	175.2854
81.199997	86.266052	174.7466
82.500000	86.231834	174.2478
83.800003	86.203171	173.6265
85.000000	86.163544	173.1302
86.199997	86.139694	172.5830
87.500000	86.092232	172.0526
88.500000	86.074013	171.7415
90.000000	86.042969	171.1995
91.199997	86.012550	170.7621
92.500000	85.952126	170.3108
93.800003	85.921295	169.9448
95.000000	85.866013	169.2642
96.199997	85.818375	169.1131
97.500000	85.828484	168.4747
98.800003	85.824135	168.1504
100.000000	85.804832	167.2202
101.500000	85.697876	167.1745
103.000000	85.652794	166.5868
104.400002	85.594032	166.4258
106.000000	85.559906	165.8183
107.500000	85.514534	165.6064
109.000000	85.465012	165.0746
110.599998	85.379562	164.8555
112.000000	85.332001	164.4066
113.800003	85.261452	163.3742
115.000000	85.234764	163.5533
117.199997	85.206413	163.2055
118.000000	85.294029	163.2659
120.599998	85.132538	162.5980
122.000000	84.255783	164.6459
124.099998	84.975616	161.4766
125.000000	84.698448	161.8431
126.500000	84.820786	160.3156
128.000000	84.819672	160.5556
131.500000	84.724548	160.1214
132.000000	84.694107	160.0285
134.000000	84.556000	159.9267
136.000000	84.457748	159.3873
138.000000	84.506393	158.3483
140.000000	84.382179	158.4995
143.000000	84.321884	158.3007
145.000000	84.154579	157.5867
147.500000	84.101013	157.4550
150.000000	84.041824	157.3879
152.500000	83.911354	157.0762
155.000000	83.821884	156.9582
157.500000	83.734703	157.1214
160.000000	83.548218	157.5475
162.500000	83.635757	156.7262
165.000000	83.628059	157.3550
167.500000	83.530807	157.5577
170.000000	83.539864	157.4977
172.500000	83.478531	157.5309
175.000000	83.509903	156.4704
177.500000	83.548012	155.9477
180.000000	83.398232	155.9477
182.500000	83.380577	154.6991
185.000000	83.320145	154.6324
187.500000	83.280754	154.4180
190.000000	83.204788	154.5703
192.500000	83.216721	154.0737
195.000000	83.026886	153.4010
197.500000	83.008667	153.1570
200.000000	82.944885	153.0437
203.000000	82.858078	152.8194
206.000000	82.709869	152.4390
209.000000	82.614784	152.1720
212.000000	82.545624	152.3080
214.000000	82.498787	152.1017
218.000000	82.392975	151.9535
220.000000	82.326576	151.6581
224.000000	82.222870	151.7600
227.000000	82.124512	151.5357
230.000000	82.052971	151.4713
233.000000	81.987297	151.3807
236.000000	81.905258	151.1270
240.000000	81.842369	151.3224
243.000000	81.734993	151.0884
247.000000	81.634171	151.0393
250.000000	81.569382	150.9758
254.000000	81.433731	150.9116
258.000000	81.336411	150.9229
262.000000	81.265678	150.8813
265.000000	81.174698	150.7616
269.000000	81.080734	150.8993
272.000000	80.998016	151.0558
276.000000	80.904564	151.0492
280.000000	80.818558	151.1265
285.000000	80.712822	151.2180
290.000000	80.599045	151.3284
295.000000	80.514847	151.4464
300.000000	80.404549	151.5280
304.000000	80.348396	151.5522
307.000000	80.276993	151.6315
311.000000	80.214241	151.7507
315.000000	80.113319	151.7829
320.000000	80.010536	151.9936
325.000000	79.906975	152.1090
330.000000	79.807846	152.2741
335.000000	79.727211	152.5876
340.000000	79.631927	152.8734
345.000000	79.532890	152.9389
350.000000	79.452240	153.2691
355.000000	79.399948	153.5216
360.000000	79.307571	153.7266
365.000000	79.253639	153.7995
370.000000	79.188919	154.0008
375.000000	79.108040	154.0957
382.000000	78.983322	154.4113
387.000000	78.921356	154.6736
395.000000	78.809166	154.8351
400.000000	78.687256	155.2268
406.000000	78.622520	155.4867
412.000000	78.517052	155.8677
418.000000	78.433533	156.1017
425.000000	78.338402	156.5060
431.000000	78.258720	156.9288
437.000000	78.174805	157.3718
444.000000	78.089592	157.6370
450.000000	78.018433	157.8853
455.000000	77.954979	158.4289
462.000000	77.865952	158.7881
468.000000	77.781731	159.1430
475.000000	77.695335	159.6805
482.000000	77.607765	160.0841
487.000000	77.593925	160.5487
494.000000	77.488152	160.8401
500.000000	77.422844	161.3278
508.000000	77.324844	161.8585
515.000000	77.262436	162.5186
522.000000	77.186844	162.8238
530.000000	77.108253	163.4910
538.000000	77.053001	164.0648
545.000000	76.987839	164.4930
552.000000	76.914795	165.3725
560.000000	76.843468	165.7112
570.000000	76.780891	166.3747
580.000000	76.697746	167.3913
590.000000	76.614655	167.9044
600.000000	76.551949	168.6840
608.000000	76.509956	169.4633
615.000000	76.453003	169.9982
622.000000	76.417786	170.7378
630.000000	76.382187	171.2803
640.000000	76.307632	172.0433
650.000000	76.298546	173.0947
660.000000	76.199028	173.7141
670.000000	76.152222	174.4572
680.000000	76.130005	175.1805
690.000000	76.092995	176.3179
700.000000	76.057777	177.0546
710.000000	76.044937	177.8282
720.000000	75.988792	178.5642
730.000000	75.945320	179.5573
740.000000	75.955276	-179.7254
750.000000	75.955376	-179.0350
762.000000	75.947456	-177.9726
775.000000	75.915329	-176.8726
788.000000	75.896355	-175.6996
800.000000	75.921036	-174.7855
812.000000	75.952492	-173.9457
825.000000	75.937874	-172.7903
838.000000	75.932724	-171.8891
850.000000	76.006538	-170.9505
862.000000	76.011253	-170.0294
875.000000	76.042877	-169.1104
885.000000	76.078835	-168.3940
900.000000	76.128151	-167.2859
912.000000	76.153061	-166.6772
925.000000	76.276283	-165.7793
938.000000	76.282562	-165.0262
950.000000	76.350456	-164.3169
962.000000	76.362793	-164.1537
975.000000	76.281517	-163.1004
988.000000	76.357376	-161.7570
1000.000000	76.415642	-160.8383
1015.000000	76.475166	-160.4892
1030.000000	76.522141	-159.3367
1044.000000	76.608582	-157.9922
1060.000000	76.766647	-156.9803
1075.000000	76.915176	-156.4421
1090.000000	77.025284	-155.9106
1106.000000	77.121384	-155.3834
1120.000000	77.202530	-154.7635
1138.000000	77.326950	-154.2634
1150.000000	77.431587	-153.9035
1172.000000	77.555290	-153.2999
1180.000000	77.587502	-152.9274
1206.000000	77.734917	-152.3727
1220.000000	77.814415	-151.8986
1241.000000	77.921196	-151.5340
1250.000000	77.952332	-151.1730
1265.000000	78.040390	-150.9829
1280.000000	78.119232	-150.6651
1315.000000	78.299416	-150.0354
1320.000000	78.305191	-149.8351
1340.000000	78.400032	-149.4319
1360.000000	78.508827	-148.9993
1380.000000	78.594589	-148.6378
1400.000000	78.697578	-148.0758
1430.000000	78.816780	-147.5835
1450.000000	78.903885	-147.2171
1475.000000	79.030403	-146.9472
1500.000000	79.135330	-146.1859
1525.000000	79.260674	-145.8495
1550.000000	79.363525	-145.2650
1575.000000	79.491249	-145.0404
1600.000000	79.644028	-144.4437
1625.000000	79.754005	-143.8101
1650.000000	79.858459	-143.5691
1675.000000	80.027222	-143.1135
1700.000000	80.150970	-142.8240
1725.000000	80.302078	-142.3111
1750.000000	80.439865	-141.9862
1775.000000	80.579132	-141.6973
1800.000000	80.734818	-141.4362
1825.000000	80.895859	-141.1287
1850.000000	81.042694	-141.1120
1875.000000	81.222870	-140.7326
1900.000000	81.371094	-140.7723
1925.000000	81.548920	-140.5601
1950.000000	81.711098	-140.6180
1975.000000	81.897827	-140.5557
2000.000000	82.066521	-140.5489
2030.000000	82.271942	-140.7988
2060.000000	82.484154	-140.9733
2090.000000	82.699860	-141.2995
2120.000000	82.908783	-141.6432
2140.000000	83.057419	-141.9988
2180.000000	83.349922	-142.7128
2200.000000	83.479218	-143.2038
2240.000000	83.757195	-144.1141
2270.000000	83.959045	-145.0316
2300.000000	84.137741	-145.9248
2330.000000	84.317810	-147.0368
2360.000000	84.484879	-148.1781
2400.000000	84.692421	-149.7532
2430.000000	84.819061	-151.0211
2470.000000	84.970779	-152.9799
2500.000000	85.065704	-154.4253
2540.000000	85.175636	-156.3886
2580.000000	85.239342	-158.3128
2620.000000	85.282913	-160.3470
2650.000000	85.279945	-161.9227
2690.000000	85.258224	-163.7166
2720.000000	85.235184	-165.1832
2760.000000	85.173462	-166.9178
2800.000000	85.086380	-168.5659
2850.000000	84.964478	-170.3677
2900.000000	84.803322	-172.0923
2950.000000	84.632652	-173.4127
3000.000000	84.412384	-174.7156
3040.000000	84.334091	-175.6230
3070.000000	84.205444	-176.2030
3110.000000	84.063683	-176.7854
3150.000000	83.926582	-177.3737
3200.000000	83.743446	-177.8961
3250.000000	83.605438	-178.3726
3300.000000	83.444908	-178.8467
3350.000000	83.296982	-179.0290
3400.000000	83.161407	-179.3362
3450.000000	83.015793	-179.6194
3500.000000	82.899895	179.9507
3550.000000	82.750679	179.7484
3600.000000	82.595238	179.4351
3650.000000	82.443939	179.0808
3700.000000	82.234749	178.7359
3750.000000	82.005966	178.6010
