* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 7, 2022 11:41:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIO JH3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.624306	-125.5221
20.299999	86.694084	-126.2399
20.600000	86.761398	-126.9398
20.900000	86.826050	-127.6254
21.200001	86.887741	-128.2999
21.400000	86.927078	-128.7439
21.799999	87.001465	-129.6182
22.000000	87.036621	-130.0485
22.400000	87.103416	-130.8960
22.700001	87.150902	-131.5219
23.000000	87.196548	-132.1418
23.299999	87.240494	-132.7581
23.600000	87.282745	-133.3714
24.000000	87.336472	-134.1838
24.299999	87.374954	-134.7870
24.700001	87.424286	-135.5794
25.000000	87.460320	-136.1629
25.400000	87.507721	-136.9258
25.799999	87.554840	-137.6730
26.200001	87.601669	-138.4066
26.500000	87.636284	-138.9483
26.900000	87.681290	-139.6581
27.200001	87.713921	-140.1794
27.600000	87.755768	-140.8571
28.000000	87.795837	-141.5128
28.500000	87.843864	-142.3023
29.000000	87.889938	-143.0648
29.500000	87.933708	-143.8087
30.000000	87.974396	-144.5406
30.400000	88.004204	-145.1186
30.700001	88.024887	-145.5468
31.100000	88.050453	-146.1096
31.500000	88.074219	-146.6624
32.000000	88.102295	-147.3407
32.500000	88.129372	-148.0086
33.000000	88.155731	-148.6704
33.500000	88.181229	-149.3275
34.000000	88.205566	-149.9771
34.500000	88.228783	-150.6148
35.000000	88.251137	-151.2368
35.500000	88.272964	-151.8418
36.000000	88.294357	-152.4298
36.500000	88.315216	-153.0016
37.000000	88.335449	-153.5577
37.500000	88.355118	-154.0998
38.200001	88.381485	-154.8430
38.700001	88.398804	-155.3678
39.500000	88.422211	-156.1964
40.000000	88.434181	-156.7025
40.599998	88.446762	-157.2957
41.200001	88.458282	-157.8761
41.799999	88.469139	-158.4464
42.500000	88.481285	-159.1007
43.099998	88.491371	-159.6531
43.700001	88.501053	-160.1979
44.400002	88.511574	-160.8225
45.000000	88.519905	-161.3478
45.500000	88.526154	-161.7784
46.200001	88.533447	-162.3686
46.799999	88.538406	-162.8596
47.500000	88.543472	-163.4146
48.200001	88.548241	-163.9567
48.700001	88.551254	-164.3391
49.400002	88.554482	-164.8679
50.000000	88.556374	-165.3141
50.799999	88.557892	-165.8991
51.500000	88.558273	-166.4031
52.200001	88.557465	-166.8992
53.000000	88.554840	-167.4524
53.799999	88.550781	-167.9829
54.500000	88.547508	-168.4236
55.200001	88.546486	-168.8492
56.000000	88.548248	-169.3409
57.000000	88.548721	-169.9848
58.000000	88.541595	-170.6250
59.000000	88.530182	-171.2249
60.000000	88.518471	-171.7938
60.799999	88.509148	-172.2362
61.500000	88.500931	-172.6166
62.200001	88.492645	-172.9919
63.000000	88.483124	-173.4166
64.000000	88.470734	-173.9434
65.000000	88.457245	-174.4638
66.000000	88.442612	-174.9753
67.000000	88.426453	-175.4760
68.000000	88.408966	-175.9592
69.000000	88.391541	-176.4241
70.000000	88.374947	-176.8779
71.000000	88.358955	-177.3266
72.000000	88.343094	-177.7712
73.000000	88.326889	-178.2107
74.000000	88.310181	-178.6418
75.000000	88.293053	-179.0644
76.199997	88.271179	-179.5634
77.500000	88.244888	-180.0890
78.800003	88.216721	-180.5930
80.000000	88.190720	-181.0412
81.199997	88.165512	-181.4821
82.500000	88.138313	-181.9555
83.800003	88.110512	-182.4202
85.000000	88.084122	-182.8371
86.199997	88.057266	-183.2390
87.500000	88.028450	-183.6593
88.500000	88.006699	-183.9768
90.000000	87.974045	-184.4488
91.199997	87.947212	-184.8221
92.500000	87.917068	-185.2184
93.800003	87.886063	-185.6021
95.000000	87.857391	-185.9450
96.199997	87.829117	-186.2808
97.500000	87.798767	-186.6403
98.800003	87.768211	-186.9964
100.000000	87.739059	-187.3198
101.500000	87.700912	-187.7063
103.000000	87.662231	-188.0687
104.400002	87.626595	-188.3925
106.000000	87.586761	-188.7583
107.500000	87.549408	-189.1075
109.000000	87.510941	-189.4576
110.599998	87.469696	-189.8211
112.000000	87.434067	-190.1312
113.800003	87.387756	-190.5157
115.000000	87.356339	-190.7612
117.199997	87.296806	-191.1929
118.000000	87.274529	-191.3436
120.599998	87.202782	-191.8138
122.000000	87.165459	-192.0613
124.099998	87.110550	-192.4257
125.000000	87.087234	-192.5783
126.500000	87.048431	-192.8296
128.000000	87.009247	-193.0797
131.500000	86.915680	-193.6521
132.000000	86.902252	-193.7312
134.000000	86.848541	-194.0396
136.000000	86.794067	-194.3341
138.000000	86.738525	-194.6128
140.000000	86.682999	-194.8760
143.000000	86.600128	-195.2466
145.000000	86.542953	-195.4755
147.500000	86.467979	-195.7452
150.000000	86.392342	-196.0127
152.500000	86.319168	-196.2880
155.000000	86.247803	-196.5542
157.500000	86.175674	-196.7965
160.000000	86.101593	-197.0155
162.500000	86.025314	-197.2222
165.000000	85.945686	-197.4160
167.500000	85.862213	-197.5840
170.000000	85.774902	-197.7125
172.500000	85.683121	-197.7800
175.000000	85.588348	-197.7565
177.500000	85.495560	-197.6200
180.000000	85.411499	-197.3639
182.500000	85.345123	-197.0033
185.000000	85.307037	-196.5995
187.500000	85.301064	-196.2560
190.000000	85.318169	-196.0615
192.500000	85.341942	-196.0493
195.000000	85.357559	-196.1987
197.500000	85.356895	-196.4535
200.000000	85.339165	-196.7500
203.000000	85.300919	-197.0892
206.000000	85.253510	-197.3696
209.000000	85.203102	-197.5987
212.000000	85.150482	-197.8043
214.000000	85.113678	-197.9366
218.000000	85.035568	-198.1859
220.000000	84.994675	-198.2969
224.000000	84.911758	-198.4866
227.000000	84.849449	-198.6050
230.000000	84.786438	-198.7044
233.000000	84.722290	-198.7838
236.000000	84.657394	-198.8427
240.000000	84.571869	-198.8942
243.000000	84.509659	-198.9198
247.000000	84.428993	-198.9396
250.000000	84.369499	-198.9397
254.000000	84.290710	-198.9178
258.000000	84.212502	-198.8708
262.000000	84.135696	-198.8055
265.000000	84.079453	-198.7521
269.000000	84.006813	-198.6779
272.000000	83.953957	-198.6174
276.000000	83.884521	-198.5311
280.000000	83.815399	-198.4418
285.000000	83.729622	-198.3251
290.000000	83.644150	-198.1926
295.000000	83.557739	-198.0346
300.000000	83.471207	-197.8568
304.000000	83.402786	-197.6971
307.000000	83.352188	-197.5628
311.000000	83.286209	-197.3633
315.000000	83.222733	-197.1413
320.000000	83.148270	-196.8333
325.000000	83.081497	-196.4972
330.000000	83.024597	-196.1540
335.000000	82.976738	-195.8380
340.000000	82.933426	-195.5764
345.000000	82.889145	-195.3711
350.000000	82.840340	-195.2009
355.000000	82.786163	-195.0364
360.000000	82.727821	-194.8546
365.000000	82.666939	-194.6424
370.000000	82.605591	-194.3937
375.000000	82.546913	-194.1116
382.000000	82.474472	-193.6876
387.000000	82.430084	-193.3905
395.000000	82.364510	-192.9597
400.000000	82.322922	-192.7157
406.000000	82.270950	-192.4357
412.000000	82.216736	-192.1564
418.000000	82.161224	-191.8654
425.000000	82.096741	-191.5039
431.000000	82.042953	-191.1774
437.000000	81.990631	-190.8400
444.000000	81.930740	-190.4380
450.000000	81.880455	-190.0874
455.000000	81.839767	-189.7898
462.000000	81.785019	-189.3635
468.000000	81.739746	-188.9909
475.000000	81.688271	-188.5502
482.000000	81.638397	-188.1040
487.000000	81.603767	-187.7824
494.000000	81.556656	-187.3280
500.000000	81.517746	-186.9354
508.000000	81.467819	-186.4089
515.000000	81.425720	-185.9457
522.000000	81.385223	-185.4795
530.000000	81.340797	-184.9415
538.000000	81.298279	-184.3963
545.000000	81.262901	-183.9156
552.000000	81.229485	-183.4330
560.000000	81.193558	-182.8794
570.000000	81.151474	-182.1842
580.000000	81.111992	-181.4844
590.000000	81.075012	-180.7788
600.000000	81.040802	-180.0656
608.000000	81.015419	-179.4910
615.000000	80.994736	-178.9868
622.000000	80.975388	-178.4814
630.000000	80.954781	-177.9025
640.000000	80.931473	-177.1788
650.000000	80.911354	-176.4528
660.000000	80.893898	-175.7211
670.000000	80.878372	-174.9851
680.000000	80.865196	-174.2479
690.000000	80.855049	-173.5099
700.000000	80.847717	-172.7688
710.000000	80.842796	-172.0220
720.000000	80.840538	-171.2721
730.000000	80.841293	-170.5219
740.000000	80.845001	-169.7698
750.000000	80.851532	-169.0135
762.000000	80.862885	-168.1021
775.000000	80.879372	-167.1127
788.000000	80.900177	-166.1228
800.000000	80.923172	-165.2092
812.000000	80.950058	-164.2966
825.000000	80.984375	-163.3096
838.000000	81.024094	-162.3235
850.000000	81.065361	-161.4128
862.000000	81.111244	-160.5018
