* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 2:20:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ST RIVER ALL OFF R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.086	-164.3990
20.299999	90.103	-164.7469
20.600000	90.113	-165.0642
20.900000	90.114	-165.3705
21.200001	90.107	-165.6834
21.400000	90.098	-165.9017
21.799999	90.070	-166.3679
22.000000	90.051	-166.6194
22.400000	90.009	-167.1673
22.700001	89.974	-167.6244
23.000000	89.937	-168.1254
23.299999	89.899	-168.6676
23.600000	89.862	-169.2436
24.000000	89.817	-170.0490
24.299999	89.787	-170.6695
24.700001	89.757	-171.5078
25.000000	89.741	-172.1383
25.400000	89.729	-172.9707
25.799999	89.726	-173.7756
26.200001	89.729	-174.5322
26.500000	89.735	-175.0581
26.900000	89.745	-175.6976
27.200001	89.754	-176.1300
27.600000	89.766	-176.6464
28.000000	89.775	-177.1026
28.500000	89.781	-177.6082
29.000000	89.777	-178.0676
29.500000	89.761	-178.4980
30.000000	89.732	-178.9111
30.400000	89.703	-179.2406
30.700001	89.679	-179.4958
31.100000	89.645	-179.8593
31.500000	89.608	179.7427
32.000000	89.560	179.1973
32.500000	89.512	178.6148
33.000000	89.465	178.0173
33.500000	89.425	177.4192
34.000000	89.391	176.8281
34.500000	89.364	176.2511
35.000000	89.342	175.6989
35.500000	89.323	175.1854
36.000000	89.306	174.7181
36.500000	89.290	174.2931
37.000000	89.274	173.8984
37.500000	89.255	173.5242
38.200001	89.219	173.0280
38.700001	89.189	172.6893
39.500000	89.133	172.1543
40.000000	89.094	171.8128
40.599998	89.047	171.3913
41.200001	89.000	170.9575
41.799999	88.954	170.5134
42.500000	88.902	169.9888
43.099998	88.861	169.5448
43.700001	88.822	169.1151
44.400002	88.780	168.6322
45.000000	88.746	168.2277
45.500000	88.718	167.8941
46.200001	88.677	167.4383
46.799999	88.637	167.0767
47.500000	88.587	166.7192
48.200001	88.543	166.4311
48.700001	88.518	166.2372
49.400002	88.488	165.9259
50.000000	88.459	165.6107
50.799999	88.407	165.1812
51.500000	88.352	164.8527
52.200001	88.294	164.5659
53.000000	88.229	164.2506
53.799999	88.164	163.9247
54.500000	88.107	163.6314
55.200001	88.053	163.3387
56.000000	87.997	163.0063
57.000000	87.938	162.5766
58.000000	87.886	162.1340
59.000000	87.833	161.7087
60.000000	87.774	161.3297
60.799999	87.721	161.0749
61.500000	87.674	160.8777
62.200001	87.626	160.6860
63.000000	87.569	160.4611
64.000000	87.498	160.1671
65.000000	87.428	159.8600
66.000000	87.362	159.5532
67.000000	87.299	159.2685
68.000000	87.238	159.0138
69.000000	87.178	158.7877
70.000000	87.116	158.5875
71.000000	87.053	158.3997
72.000000	86.988	158.1998
73.000000	86.921	157.9759
74.000000	86.851	157.7457
75.000000	86.782	157.5318
76.199997	86.703	157.3042
77.500000	86.625	157.0828
78.800003	86.550	156.8702
80.000000	86.478	156.6852
81.199997	86.404	156.5179
82.500000	86.324	156.3428
83.800003	86.245	156.1644
85.000000	86.172	156.0070
86.199997	86.100	155.8673
87.500000	86.023	155.7345
88.500000	85.963	155.6484
90.000000	85.870	155.5547
91.199997	85.797	155.4930
92.500000	85.719	155.4112
93.800003	85.642	155.3075
95.000000	85.572	155.2137
96.199997	85.506	155.1438
97.500000	85.439	155.0782
98.800003	85.369	154.9741
100.000000	85.288	154.8506
101.500000	85.157	154.7798
103.000000	85.017	154.8636
104.400002	84.897	154.9966
106.000000	84.769	155.1296
107.500000	84.646	155.2390
109.000000	84.512	155.3990
110.599998	84.369	155.7194
112.000000	84.265	156.1599
113.800003	84.175	156.9097
115.000000	84.130	157.5514
117.199997	84.062	159.1953
118.000000	84.044	159.9233
120.599998	84.042	162.3022
122.000000	84.099	163.2568
124.099998	84.261	163.9141
125.000000	84.349	163.9249
126.500000	84.498	163.6756
128.000000	84.628	163.2117
131.500000	84.778	161.8429
132.000000	84.781	161.6341
134.000000	84.758	160.8094
136.000000	84.696	160.0903
138.000000	84.620	159.5317
140.000000	84.539	159.1078
143.000000	84.412	158.6594
145.000000	84.327	158.4609
147.500000	84.222	158.3025
150.000000	84.123	158.2140
152.500000	84.030	158.1519
155.000000	83.942	158.1278
157.500000	83.859	158.1611
160.000000	83.778	158.2236
162.500000	83.697	158.2932
165.000000	83.616	158.3789
167.500000	83.538	158.4919
170.000000	83.463	158.6197
172.500000	83.388	158.7455
175.000000	83.314	158.8687
177.500000	83.244	158.9940
180.000000	83.177	159.1279
182.500000	83.111	159.2805
185.000000	83.048	159.4518
187.500000	82.986	159.6376
190.000000	82.925	159.8336
192.500000	82.866	160.0195
195.000000	82.809	160.1760
197.500000	82.754	160.3161
200.000000	82.698	160.4830
203.000000	82.626	160.7597
206.000000	82.554	161.0754
209.000000	82.484	161.3689
212.000000	82.418	161.6378
214.000000	82.374	161.8129
218.000000	82.284	162.1673
220.000000	82.237	162.3507
224.000000	82.139	162.7533
227.000000	82.064	163.1187
230.000000	81.990	163.5591
233.000000	81.919	164.0805
236.000000	81.856	164.6903
240.000000	81.799	165.6286
243.000000	81.787	166.3669
247.000000	81.814	167.2440
250.000000	81.857	167.7168
254.000000	81.918	168.0418
258.000000	81.960	168.0913
262.000000	81.970	168.0138
265.000000	81.956	167.9493
269.000000	81.919	167.9150
272.000000	81.881	167.9436
276.000000	81.827	168.0504
280.000000	81.772	168.2174
285.000000	81.706	168.4790
290.000000	81.642	168.7770
295.000000	81.581	169.0998
300.000000	81.523	169.4571
304.000000	81.478	169.7814
307.000000	81.446	170.0369
311.000000	81.405	170.3761
315.000000	81.366	170.7062
320.000000	81.319	171.1071
325.000000	81.274	171.5054
330.000000	81.231	171.9107
335.000000	81.190	172.3282
340.000000	81.151	172.7604
345.000000	81.115	173.1985
350.000000	81.080	173.6254
355.000000	81.047	174.0339
360.000000	81.014	174.4344
365.000000	80.983	174.8355
370.000000	80.954	175.2389
375.000000	80.927	175.6428
382.000000	80.889	176.2074
387.000000	80.865	176.6106
395.000000	80.829	177.2534
400.000000	80.807	177.6605
406.000000	80.778	178.1632
412.000000	80.749	178.6674
418.000000	80.724	179.1606
425.000000	80.698	179.7258
431.000000	80.678	-179.7911
437.000000	80.659	-179.3078
444.000000	80.637	-178.7460
450.000000	80.620	-178.2674
455.000000	80.607	-177.8702
462.000000	80.589	-177.3189
468.000000	80.575	-176.8522
475.000000	80.560	-176.3129
482.000000	80.546	-175.7767
487.000000	80.537	-175.3945
494.000000	80.526	-174.8602
500.000000	80.516	-174.4013
508.000000	80.505	-173.7841
515.000000	80.496	-173.2450
522.000000	80.489	-172.7146
530.000000	80.482	-172.1165
538.000000	80.477	-171.5205
545.000000	80.474	-170.9990
552.000000	80.472	-170.4743
560.000000	80.472	-169.8699
570.000000	80.472	-169.1190
580.000000	80.474	-168.3753
590.000000	80.476	-167.6293
600.000000	80.482	-166.8864
608.000000	80.489	-166.3034
615.000000	80.498	-165.7995
622.000000	80.508	-165.2983
630.000000	80.520	-164.7285
640.000000	80.538	-164.0202
650.000000	80.558	-163.3112
660.000000	80.579	-162.6035
670.000000	80.603	-161.9106
680.000000	80.630	-161.2374
690.000000	80.658	-160.5781
700.000000	80.689	-159.9291
710.000000	80.723	-159.2909
720.000000	80.758	-158.6716
730.000000	80.794	-158.0847
740.000000	80.830	-157.5378
750.000000	80.865	-157.0257
762.000000	80.904	-156.4452
775.000000	80.937	-155.8457
788.000000	80.957	-155.2450
800.000000	80.964	-154.6467
812.000000	80.964	-153.9747
825.000000	80.964	-153.1454
838.000000	80.972	-152.2137
850.000000	80.990	-151.2909
862.000000	81.019	-150.3406
875.000000	81.065	-149.3056
885.000000	81.108	-148.5184
900.000000	81.186	-147.3709
912.000000	81.257	-146.4884
925.000000	81.340	-145.5678
938.000000	81.428	-144.6834
950.000000	81.514	-143.9005
962.000000	81.603	-143.1513
975.000000	81.703	-142.3764
988.000000	81.806	-141.6372
1000.000000	81.903	-140.9840
1015.000000	82.025	-140.2041
1030.000000	82.148	-139.4648
1044.000000	82.264	-138.8135
1060.000000	82.398	-138.1173
1075.000000	82.523	-137.5069
1090.000000	82.648	-136.9292
1106.000000	82.780	-136.3465
1120.000000	82.895	-135.8647
1138.000000	83.041	-135.2785
1150.000000	83.138	-134.9042
1172.000000	83.313	-134.2466
1180.000000	83.377	-134.0163
1206.000000	83.581	-133.2980
1220.000000	83.689	-132.9269
1241.000000	83.851	-132.3834
1250.000000	83.920	-132.1549
1265.000000	84.036	-131.7791
1280.000000	84.152	-131.4071
1315.000000	84.427	-130.5437
1320.000000	84.467	-130.4214
1340.000000	84.631	-129.9403
1360.000000	84.802	-129.4871
1380.000000	84.980	-129.0838
1400.000000	85.164	-128.7493
1430.000000	85.446	-128.4092
1450.000000	85.631	-128.3046
1475.000000	85.849	-128.2968
1500.000000	86.045	-128.3689
1525.000000	86.222	-128.4458
1550.000000	86.386	-128.4735
1575.000000	86.546	-128.4406
1600.000000	86.709	-128.3670
1625.000000	86.876	-128.2767
1650.000000	87.047	-128.1895
1675.000000	87.221	-128.1186
1700.000000	87.399	-128.0736
1725.000000	87.578	-128.0603
1750.000000	87.759	-128.0798
1775.000000	87.941	-128.1323
1800.000000	88.123	-128.2173
1825.000000	88.305	-128.3326
1850.000000	88.486	-128.4755
1875.000000	88.667	-128.6420
1900.000000	88.848	-128.8287
1925.000000	89.030	-129.0320
1950.000000	89.214	-129.2494
1975.000000	89.401	-129.4834
2000.000000	89.593	-129.7399
2030.000000	89.830	-130.0894
2060.000000	90.077	-130.5055
2090.000000	90.333	-131.0177
2120.000000	90.596	-131.6553
2140.000000	90.775	-132.1628
2180.000000	91.131	-133.4017
2200.000000	91.307	-134.1402
2240.000000	91.644	-135.8589
2270.000000	91.879	-137.3515
2300.000000	92.095	-139.0018
2330.000000	92.287	-140.7868
2360.000000	92.453	-142.6770
2400.000000	92.632	-145.3008
2430.000000	92.734	-147.3008
2470.000000	92.832	-149.9564
2500.000000	92.880	-151.9199
2540.000000	92.915	-154.4995
2580.000000	92.919	-157.0494
2620.000000	92.885	-159.5611
2650.000000	92.832	-161.3873
2690.000000	92.725	-163.6747
2720.000000	92.620	-165.2307
2760.000000	92.458	-167.0399
2800.000000	92.284	-168.5238
2850.000000	92.074	-169.9738
2900.000000	91.892	-171.1274
2950.000000	91.736	-172.1506
3000.000000	91.594	-173.1240
3040.000000	91.484	-173.8650
3070.000000	91.400	-174.3862
3110.000000	91.289	-175.0212
3150.000000	91.179	-175.5787
3200.000000	91.047	-176.1655
3250.000000	90.925	-176.6399
3300.000000	90.816	-177.0177
3350.000000	90.721	-177.3200
3400.000000	90.641	-177.5696
3450.000000	90.577	-177.7870
3500.000000	90.529	-177.9929
3550.000000	90.497	-178.2055
3600.000000	90.480	-178.4424
3650.000000	90.477	-178.7241
3700.000000	90.488	-179.0705
3750.000000	90.511	-179.5009
3820.000000	90.561	179.7175
3870.000000	90.604	179.0032
3950.000000	90.679	177.5311
4000.000000	90.722	176.3741
4060.000000	90.759	174.7205
4120.000000	90.768	172.7689
4180.000000	90.735	170.5358
4250.000000	90.624	167.6435
4310.000000	90.449	165.0244
4370.000000	90.192	162.4169
4440.000000	89.780	159.6060
4500.000000	89.332	157.5963
4550.000000	88.898	156.3359
4620.000000	88.214	155.3788
4680.000000	87.578	155.4333
4750.000000	86.813	156.6177
4820.000000	86.069	159.0266
4870.000000	85.582	161.4529
4940.000000	85.007	165.6962
5000.000000	84.649	169.9309
5080.000000	84.408	176.0379
5150.000000	84.432	-178.5895
5220.000000	84.659	-173.5520
5300.000000	85.120	-168.5448
5380.000000	85.735	-164.5833
5450.000000	86.354	-162.0998
5520.000000	87.008	-160.6208
5600.000000	87.744	-160.2179
5700.000000	88.562	-161.5107
5800.000000	89.204	-164.3616
5900.000000	89.636	-168.1944
6000.000000	89.854	-172.4187
6080.000000	89.886	-175.7153
6150.000000	89.827	-178.3517
6220.000000	89.701	179.3473
6300.000000	89.498	177.1960
6400.000000	89.191	175.2504
6500.000000	88.863	174.0789
6600.000000	88.546	173.5699
6700.000000	88.264	173.5873
6800.000000	88.034	173.9958
6900.000000	87.864	174.6686
7000.000000	87.765	175.4830
7100.000000	87.740	176.3118
7200.000000	87.791	177.0159
7300.000000	87.914	177.4495
7400.000000	88.102	177.4660
7500.000000	88.339	176.9145
7620.000000	88.658	175.2864
7750.000000	88.982	172.0824
7880.000000	89.193	167.2748
8000.000000	89.202	161.6321
8120.000000	88.971	155.3921
8250.000000	88.421	148.8628
8380.000000	87.582	143.5192
8500.000000	86.610	140.2058
8620.000000	85.527	138.6366
8750.000000	84.322	138.7976
8850.000000	83.432	140.0354
9000.000000	82.246	143.2064
9120.000000	81.472	146.3956
9250.000000	80.825	149.9945
9380.000000	80.344	153.3481
9500.000000	79.998	156.0416
9620.000000	79.694	158.3475
9750.000000	79.368	160.5415
9880.000000	79.015	162.6651
10000.000000	78.663	164.8037
10150.000000	78.211	167.9211
10300.000000	77.784	171.5844
10440.000000	77.434	175.4515
10600.000000	77.118	-179.6964
10750.000000	76.918	-174.8348
10900.000000	76.823	-169.7775
11060.000000	76.839	-164.2698
11200.000000	76.957	-159.4247
11380.000000	77.261	-153.2513
11500.000000	77.564	-149.2207
11720.000000	78.360	-142.1579
11800.000000	78.735	-139.7485
12060.000000	80.328	-132.9108
12200.000000	81.434	-130.2234
12410.000000	83.354	-128.5137
12500.000000	84.221	-129.0352
12650.000000	85.613	-132.2198
12800.000000	86.796	-138.8468
13150.000000	87.908	-165.5680
13200.000000	87.835	-169.7864
13400.000000	86.997	175.4974
13600.000000	85.510	166.2009
13800.000000	83.734	162.2849
14000.000000	81.999	162.0922
14300.000000	79.929	165.2371
14500.000000	79.002	168.0161
14750.000000	78.306	171.0148
15000.000000	77.992	172.5182
15250.000000	77.877	171.7107
15500.000000	77.736	168.2264
15750.000000	77.347	162.5906
16000.000000	76.554	156.3932
16250.000000	75.327	151.6212
16500.000000	73.756	149.6219
16750.000000	71.993	150.7096
17000.000000	70.195	154.5074
17250.000000	68.491	160.4267
17500.000000	66.969	167.9550
17750.000000	65.685	176.7213
18000.000000	64.693	-173.6069
18250.000000	64.078	-163.4602
18500.000000	63.951	-153.5511
18750.000000	64.363	-145.1333
19000.000000	65.162	-140.0155
19250.000000	66.021	-139.7828
19500.000000	66.637	-144.3698
19750.000000	66.907	-151.2527
