* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26 Nov, 2022 8:44:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Talos R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	84.441	116.8022
1.015000	84.327	115.2436
1.030000	84.208	113.6343
1.044000	84.091	112.0886
1.060000	83.953	110.2732
1.075000	83.819	108.5264
1.090000	83.682	106.7385
1.106000	83.534	104.7890
1.120000	83.404	103.0494
1.138000	83.236	100.7699
1.150000	83.125	99.2253
1.172000	82.926	96.3463
1.180000	82.855	95.2855
1.206000	82.633	91.7924
1.220000	82.521	89.8858
1.241000	82.363	86.9978
1.250000	82.300	85.7512
1.265000	82.202	83.6634
1.280000	82.114	81.5653
1.315000	81.951	76.6426
1.320000	81.933	75.9376
1.340000	81.877	73.1168
1.360000	81.845	70.2667
1.380000	81.833	67.3078
1.400000	81.837	64.2522
1.430000	81.875	59.5266
1.450000	81.920	56.3071
1.475000	81.995	52.2363
1.500000	82.089	48.1461
1.525000	82.201	44.0713
1.550000	82.328	40.0464
1.575000	82.468	36.1060
1.600000	82.619	32.2849
1.625000	82.779	28.6176
1.650000	82.945	25.1389
1.675000	83.116	21.8833
1.700000	83.296	18.8531
1.725000	83.497	15.9711
1.750000	83.720	13.2243
1.775000	83.959	10.6045
1.800000	84.212	8.1036
1.825000	84.476	5.7133
1.850000	84.747	3.4254
1.875000	85.023	1.2319
1.900000	85.299	-0.8755
1.925000	85.573	-2.9049
1.950000	85.842	-4.8646
1.975000	86.101	-6.7627
2.000000	86.349	-8.6073
2.030000	86.628	-10.7539
2.060000	86.898	-12.7593
2.090000	87.165	-14.6173
2.120000	87.428	-16.3443
2.140000	87.601	-17.4307
2.180000	87.940	-19.4692
2.200000	88.106	-20.4310
2.240000	88.432	-22.2632
2.270000	88.670	-23.5765
2.300000	88.902	-24.8555
2.330000	89.129	-26.1162
2.360000	89.349	-27.3738
2.400000	89.632	-28.9786
2.430000	89.837	-30.1075
2.470000	90.100	-31.5256
2.500000	90.292	-32.5321
2.540000	90.539	-33.8100
2.580000	90.779	-35.0286
2.620000	91.012	-36.2033
2.650000	91.183	-37.0644
2.690000	91.407	-38.1985
2.720000	91.571	-39.0306
2.760000	91.783	-40.0892
2.800000	91.988	-41.0960
2.850000	92.234	-42.2922
2.900000	92.472	-43.4317
2.950000	92.702	-44.5281
3.000000	92.927	-45.5949
3.040000	93.103	-46.4348
3.070000	93.233	-47.0473
3.110000	93.401	-47.8365
3.150000	93.565	-48.5979
3.200000	93.763	-49.5165
3.250000	93.957	-50.4055
3.300000	94.146	-51.2726
3.350000	94.331	-52.1253
3.400000	94.514	-52.9640
3.450000	94.691	-53.7744
3.500000	94.863	-54.5605
3.550000	95.032	-55.3274
3.600000	95.197	-56.0802
3.650000	95.359	-56.8241
3.700000	95.519	-57.5642
3.750000	95.676	-58.2959
3.820000	95.890	-59.2960
3.870000	96.040	-59.9983
3.950000	96.274	-61.1118
4.000000	96.417	-61.8075
4.060000	96.587	-62.6469
4.120000	96.753	-63.4813
4.180000	96.916	-64.3114
4.250000	97.102	-65.2807
4.310000	97.258	-66.1179
4.370000	97.411	-66.9659
4.440000	97.585	-67.9669
4.500000	97.731	-68.8304
4.550000	97.850	-69.5557
4.620000	98.013	-70.5825
4.680000	98.148	-71.4756
4.750000	98.301	-72.5353
4.820000	98.449	-73.6120
4.870000	98.551	-74.3907
4.940000	98.690	-75.4931
5.000000	98.803	-76.4484
5.080000	98.947	-77.7368
5.150000	99.065	-78.8837
5.220000	99.178	-80.0445
5.300000	99.298	-81.3799
5.380000	99.408	-82.7153
5.450000	99.496	-83.8879
5.520000	99.576	-85.0698
5.600000	99.659	-86.4188
5.700000	99.749	-88.0795
5.800000	99.823	-89.7065
5.900000	99.882	-91.3146
6.000000	99.926	-92.8702
6.080000	99.954	-94.0556
6.150000	99.971	-95.0611
6.220000	99.980	-96.0358
6.300000	99.986	-97.1001
6.400000	99.990	-98.3358
6.500000	99.986	-99.4652
6.600000	99.976	-100.4966
6.700000	99.967	-101.4264
6.800000	99.968	-102.2453
6.900000	99.972	-102.9507
7.000000	99.977	-103.5721
7.100000	99.986	-104.1354
7.200000	100.017	-104.6108
7.300000	100.059	-105.0312
7.400000	100.114	-105.4510
7.500000	100.186	-105.8695
7.620000	100.290	-106.3592
7.750000	100.417	-106.9599
7.880000	100.562	-107.6517
8.000000	100.706	-108.3623
8.120000	100.849	-109.1642
8.250000	101.008	-110.1429
8.380000	101.163	-111.2014
8.500000	101.296	-112.2353
8.620000	101.422	-113.3322
8.750000	101.546	-114.5323
8.850000	101.632	-115.4569
9.000000	101.746	-116.8469
9.120000	101.828	-117.9100
9.250000	101.905	-119.0169
9.380000	101.974	-120.0664
9.500000	102.035	-120.9645
9.620000	102.090	-121.8003
9.750000	102.150	-122.6453
9.880000	102.211	-123.4235
10.000000	102.269	-124.0891
10.150000	102.345	-124.8857
10.300000	102.426	-125.6355
10.440000	102.503	-126.3220
10.600000	102.595	-127.1041
10.750000	102.681	-127.8346
10.900000	102.763	-128.5747
11.060000	102.848	-129.3638
11.200000	102.916	-130.0437
11.380000	102.995	-130.9022
11.500000	103.044	-131.4457
11.720000	103.123	-132.3857
11.800000	103.151	-132.7044
12.060000	103.237	-133.6519
12.200000	103.285	-134.1224
12.410000	103.360	-134.7847
12.500000	103.394	-135.0718
12.650000	103.454	-135.5466
12.800000	103.514	-136.0467
13.150000	103.653	-137.3559
13.200000	103.671	-137.5629
13.400000	103.738	-138.4344
13.600000	103.786	-139.3571
13.800000	103.816	-140.3048
14.000000	103.823	-141.2381
14.300000	103.799	-142.5060
14.500000	103.765	-143.2168
14.750000	103.711	-143.9075
15.000000	103.663	-144.3763
15.250000	103.635	-144.6745
15.500000	103.633	-144.8690
15.750000	103.666	-145.0603
16.000000	103.726	-145.3580
16.250000	103.805	-145.8141
16.500000	103.892	-146.4591
16.750000	103.975	-147.2910
17.000000	104.043	-148.2608
17.250000	104.094	-149.3183
17.500000	104.124	-150.4125
17.750000	104.136	-151.4857
18.000000	104.135	-152.4984
18.250000	104.124	-153.4321
18.500000	104.110	-154.2764
18.750000	104.097	-155.0346
19.000000	104.089	-155.7252
19.250000	104.088	-156.3671
19.500000	104.096	-156.9816
19.750000	104.110	-157.5946
20.000000	104.129	-158.2229
20.299999	104.153	-159.0085
20.600000	104.175	-159.8290
20.900000	104.187	-160.6663
21.200001	104.188	-161.4872
21.400000	104.181	-162.0048
21.799999	104.155	-162.9220
22.000000	104.140	-163.3078
22.400000	104.111	-163.9339
22.700001	104.100	-164.3059
23.000000	104.102	-164.6436
