* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30 Sep, 2022 1:15:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop S8 S1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	42.497	-68.3270
1.015000	42.196	-69.9932
1.030000	41.857	-72.1598
1.044000	41.504	-74.6639
1.060000	41.063	-78.0104
1.075000	40.618	-81.5351
1.090000	40.148	-85.3529
1.106000	39.623	-89.6587
1.120000	39.150	-93.5494
1.138000	38.527	-98.6120
1.150000	38.107	-101.9622
1.172000	37.338	-107.8996
1.180000	37.060	-109.9533
1.206000	36.178	-116.0450
1.220000	35.722	-118.8500
1.241000	35.075	-122.2574
1.250000	34.814	-123.3770
1.265000	34.403	-124.7250
1.280000	34.029	-125.3564
1.315000	33.322	-123.5948
1.320000	33.243	-122.9302
1.340000	32.987	-119.1210
1.360000	32.830	-113.1491
1.380000	32.751	-104.5764
1.400000	32.743	-93.7039
1.430000	32.849	-73.8248
1.450000	32.990	-58.6861
1.475000	33.233	-38.2370
1.500000	33.539	-16.7106
1.525000	33.895	5.2310
1.550000	34.290	26.9256
1.575000	34.710	47.7114
1.600000	35.144	66.9259
1.625000	35.578	83.9071
1.650000	36.001	97.9931
1.675000	36.399	108.5215
1.700000	36.785	115.2579
1.725000	37.214	119.2274
1.750000	37.683	120.8234
1.775000	38.181	120.3813
1.800000	38.702	118.2365
1.825000	39.237	114.7242
1.850000	39.777	110.1797
1.875000	40.314	104.9384
1.900000	40.840	99.3355
1.925000	41.347	93.7065
1.950000	41.825	88.3865
1.975000	42.267	83.7110
2.000000	42.664	80.0152
2.030000	43.073	77.1926
2.060000	43.430	74.9066
2.090000	43.747	72.7538
2.120000	44.027	70.7158
2.140000	44.196	69.4117
2.180000	44.493	66.9098
2.200000	44.624	65.7010
2.240000	44.858	63.3402
2.270000	45.012	61.5976
2.300000	45.152	59.8585
2.330000	45.282	58.1044
2.360000	45.405	56.3176
2.400000	45.549	53.9516
2.430000	45.637	52.2124
2.470000	45.728	49.9324
2.500000	45.776	48.2460
2.540000	45.813	46.0207
2.580000	45.819	43.8126
2.620000	45.792	41.6114
2.650000	45.751	39.9590
2.690000	45.668	37.7454
2.720000	45.593	36.0981
2.760000	45.487	33.9582
2.800000	45.364	31.8568
2.850000	45.165	29.2404
2.900000	44.894	26.5834
2.950000	44.524	23.8301
3.000000	44.030	20.9244
3.040000	43.524	18.5371
3.070000	43.037	17.4544
3.110000	42.252	16.9374
3.150000	41.361	16.8591
3.200000	40.175	16.3474
3.250000	39.001	14.1424
3.300000	37.938	8.9226
3.350000	37.086	-0.6333
3.400000	36.444	-16.3946
3.450000	35.823	-39.2561
3.500000	35.279	-66.6486
3.550000	34.885	-95.8535
3.600000	34.713	-124.1520
3.650000	34.837	-148.8255
3.700000	35.328	-167.1548
3.750000	36.340	-178.6371
3.820000	38.571	172.7080
3.870000	40.500	170.1450
3.950000	43.657	168.8899
4.000000	45.390	167.9564
4.060000	46.956	164.9378
4.120000	48.154	161.7536
4.180000	49.130	159.0032
4.250000	50.079	156.1356
4.310000	50.808	153.7923
4.370000	51.531	151.3909
4.440000	52.354	148.5327
4.500000	52.981	146.1678
4.550000	53.460	144.2460
4.620000	54.079	141.6131
4.680000	54.579	139.3937
4.750000	55.137	136.8346
4.820000	55.646	134.3284
4.870000	55.981	132.5711
4.940000	56.417	130.1542
5.000000	56.766	128.1204
5.080000	57.203	125.4591
5.150000	57.552	123.1777
5.220000	57.868	120.9435
5.300000	58.197	118.4521
5.380000	58.497	116.0320
5.450000	58.735	113.9689
5.520000	58.947	111.9538
5.600000	59.161	109.7196
5.700000	59.394	107.0477
5.800000	59.588	104.5120
5.900000	59.741	102.1011
6.000000	59.860	99.8482
6.080000	59.934	98.1806
6.150000	59.981	96.8055
6.220000	60.012	95.5120
6.300000	60.032	94.1501
6.400000	60.043	92.6503
6.500000	60.031	91.3719
6.600000	59.999	90.3083
6.700000	59.963	89.4763
6.800000	59.928	88.8969
6.900000	59.885	88.5688
7.000000	59.851	88.4489
7.100000	59.841	88.5029
7.200000	59.847	88.7914
7.300000	59.874	89.2373
7.400000	59.932	89.7204
7.500000	60.026	90.2538
7.620000	60.179	90.9718
7.750000	60.385	91.5995
7.880000	60.640	92.0349
8.000000	60.907	92.2672
8.120000	61.182	92.2356
8.250000	61.498	91.9083
8.380000	61.815	91.3162
8.500000	62.093	90.5374
8.620000	62.364	89.5299
8.750000	62.636	88.2720
8.850000	62.826	87.1932
9.000000	63.086	85.4005
9.120000	63.267	83.9131
9.250000	63.436	82.2286
9.380000	63.579	80.5192
9.500000	63.690	78.9752
9.620000	63.781	77.4398
9.750000	63.860	75.8349
9.880000	63.918	74.3141
10.000000	63.955	72.9746
10.150000	63.978	71.4092
10.300000	63.973	69.9692
10.440000	63.964	68.7116
10.600000	63.961	67.3784
10.750000	63.960	66.2006
10.900000	63.963	65.0619
11.060000	63.968	63.8939
11.200000	63.970	62.8876
11.380000	63.969	61.6279
11.500000	63.962	60.8308
11.720000	63.934	59.4557
11.800000	63.920	59.0189
12.060000	63.861	57.8274
12.200000	63.832	57.3940
12.410000	63.796	57.0147
12.500000	63.792	56.9395
12.650000	63.800	56.9519
12.800000	63.835	57.0141
13.150000	64.030	57.1553
13.200000	64.069	57.1272
13.400000	64.247	56.8746
13.600000	64.431	56.2703
13.800000	64.604	55.3612
14.000000	64.735	54.1786
14.300000	64.830	52.2403
14.500000	64.822	51.0349
14.750000	64.739	49.8594
15.000000	64.622	49.2778
15.250000	64.519	49.2741
15.500000	64.468	49.7326
15.750000	64.498	50.3670
16.000000	64.596	50.7856
16.250000	64.728	50.8433
16.500000	64.860	50.4874
16.750000	64.953	49.8261
17.000000	65.006	49.1080
17.250000	65.028	48.4901
17.500000	65.033	48.0828
17.750000	65.055	47.9016
