* Measurement data measured by REW V5.20.5
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -23,3 dBFS, measurement signal peak level -17,5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -18,0 dBFS using an acoustic timing reference
* Dated: 19-abr-2022 19:56:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1799 ms (62 mm, 2,43 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: NiceHCK M5 Blue L
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.779	-0.6502
20.299999	94.762	-1.1859
20.600000	94.744	-1.7124
20.900000	94.727	-2.2305
21.200001	94.709	-2.7408
21.400000	94.697	-3.0770
21.799999	94.673	-3.7404
22.000000	94.660	-4.0676
22.400000	94.635	-4.7133
22.700001	94.615	-5.1895
23.000000	94.594	-5.6582
23.299999	94.572	-6.1191
23.600000	94.551	-6.5715
24.000000	94.521	-7.1614
24.299999	94.498	-7.5934
24.700001	94.467	-8.1561
25.000000	94.444	-8.5684
25.400000	94.412	-9.1063
25.799999	94.381	-9.6320
26.200001	94.350	-10.1468
26.500000	94.327	-10.5266
26.900000	94.296	-11.0254
27.200001	94.272	-11.3942
27.600000	94.241	-11.8793
28.000000	94.210	-12.3568
28.500000	94.170	-12.9432
29.000000	94.129	-13.5174
29.500000	94.089	-14.0792
30.000000	94.047	-14.6287
30.400000	94.014	-15.0596
30.700001	93.989	-15.3779
31.100000	93.956	-15.7958
31.500000	93.922	-16.2066
32.000000	93.880	-16.7102
32.500000	93.838	-17.2026
33.000000	93.795	-17.6840
33.500000	93.752	-18.1544
34.000000	93.710	-18.6142
34.500000	93.667	-19.0641
35.000000	93.625	-19.5052
35.500000	93.583	-19.9389
36.000000	93.541	-20.3661
36.500000	93.500	-20.7879
37.000000	93.458	-21.2041
37.500000	93.416	-21.6143
38.200001	93.356	-22.1770
38.700001	93.313	-22.5696
39.500000	93.244	-23.1809
40.000000	93.201	-23.5527
40.599998	93.150	-23.9894
41.200001	93.099	-24.4167
41.799999	93.048	-24.8351
42.500000	92.988	-25.3127
43.099998	92.937	-25.7132
43.700001	92.887	-26.1057
44.400002	92.828	-26.5539
45.000000	92.777	-26.9297
45.500000	92.735	-27.2371
46.200001	92.676	-27.6584
46.799999	92.626	-28.0119
47.500000	92.569	-28.4172
48.200001	92.511	-28.8172
48.700001	92.470	-29.1001
49.400002	92.413	-29.4918
50.000000	92.363	-29.8219
50.799999	92.296	-30.2520
51.500000	92.238	-30.6173
52.200001	92.179	-30.9722
53.000000	92.113	-31.3659
53.799999	92.047	-31.7490
54.500000	91.990	-32.0773
55.200001	91.933	-32.4003
56.000000	91.869	-32.7638
57.000000	91.789	-33.2102
58.000000	91.709	-33.6469
59.000000	91.629	-34.0720
60.000000	91.548	-34.4833
60.799999	91.484	-34.8021
61.500000	91.429	-35.0746
62.200001	91.373	-35.3420
63.000000	91.310	-35.6412
64.000000	91.232	-36.0035
65.000000	91.154	-36.3515
66.000000	91.077	-36.6886
67.000000	91.002	-37.0210
68.000000	90.927	-37.3503
69.000000	90.852	-37.6737
70.000000	90.778	-37.9887
71.000000	90.703	-38.2947
72.000000	90.629	-38.5925
73.000000	90.556	-38.8838
74.000000	90.482	-39.1681
75.000000	90.409	-39.4417
76.199997	90.321	-39.7538
77.500000	90.228	-40.0789
78.800003	90.137	-40.3977
80.000000	90.052	-40.6855
81.199997	89.969	-40.9632
82.500000	89.879	-41.2524
83.800003	89.791	-41.5341
85.000000	89.710	-41.7884
86.199997	89.629	-42.0361
87.500000	89.543	-42.2978
88.500000	89.477	-42.4942
90.000000	89.377	-42.7771
91.199997	89.299	-42.9907
92.500000	89.215	-43.2136
93.800003	89.133	-43.4313
95.000000	89.057	-43.6229
96.199997	88.983	-43.8069
97.500000	88.903	-44.0066
98.800003	88.824	-44.2052
100.000000	88.752	-44.3838
101.500000	88.661	-44.5997
103.000000	88.570	-44.8056
104.400002	88.487	-44.9890
106.000000	88.391	-45.1849
107.500000	88.304	-45.3549
109.000000	88.218	-45.5209
110.599998	88.129	-45.7008
112.000000	88.050	-45.8551
113.800003	87.949	-46.0419
115.000000	87.882	-46.1539
117.199997	87.766	-46.3343
118.000000	87.726	-46.4068
120.599998	87.591	-46.6936
122.000000	87.513	-46.8222
124.099998	87.400	-46.9753
125.000000	87.354	-47.0395
126.500000	87.276	-47.1436
128.000000	87.200	-47.2465
131.500000	87.024	-47.4872
132.000000	86.998	-47.5195
134.000000	86.896	-47.6293
136.000000	86.799	-47.7164
138.000000	86.705	-47.8203
140.000000	86.610	-47.9251
143.000000	86.470	-48.0461
145.000000	86.382	-48.1202
147.500000	86.274	-48.2319
