* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 12, 2022 3:40:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: OFF R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.395958	-169.6601
20.600000	104.412842	-170.1775
20.900000	104.421906	-170.6255
21.200001	104.429817	-171.0673
21.400000	104.435776	-171.3688
21.799999	104.449120	-172.0029
22.000000	104.455833	-172.3354
22.400000	104.467758	-173.0150
22.700001	104.474998	-173.5128
23.000000	104.482033	-173.9822
23.299999	104.490768	-174.4175
23.600000	104.502731	-174.8266
24.000000	104.523285	-175.3648
24.299999	104.538948	-175.7863
24.700001	104.553734	-176.3817
25.000000	104.557472	-176.8366
25.400000	104.554146	-177.4170
25.799999	104.549896	-177.9405
26.200001	104.554588	-178.4239
26.500000	104.565842	-178.7898
26.900000	104.585243	-179.3102
27.200001	104.596497	-179.7202
27.600000	104.598869	179.7556
28.000000	104.585953	179.3145
28.500000	104.560173	178.9022
29.000000	104.540894	178.5129
29.500000	104.529907	177.9659
30.000000	104.516075	177.2147
30.400000	104.500946	176.5514
30.700001	104.491661	176.0787
31.100000	104.490204	175.5237
31.500000	104.506653	175.0448
32.000000	104.545448	174.4789
32.500000	104.581985	173.8840
33.000000	104.594421	173.2723
33.500000	104.580643	172.6935
34.000000	104.555283	172.1568
34.500000	104.532745	171.6225
35.000000	104.517006	171.0599
35.500000	104.504486	170.4911
36.000000	104.492798	169.9667
36.500000	104.483536	169.5038
37.000000	104.477837	169.0668
37.500000	104.472809	168.6093
38.200001	104.459961	167.9259
38.700001	104.447693	167.4402
39.500000	104.431793	166.6870
40.000000	104.423492	166.2109
40.599998	104.410423	165.6358
41.200001	104.393974	165.0800
41.799999	104.377426	164.5487
42.500000	104.359573	163.9431
43.099998	104.344383	163.4242
43.700001	104.328270	162.8961
44.400002	104.306786	162.2740
45.000000	104.287125	161.7631
45.500000	104.272507	161.3620
46.200001	104.255302	160.8144
46.799999	104.239357	160.3363
47.500000	104.216331	159.7728
48.200001	104.191544	159.2058
48.700001	104.173431	158.7964
49.400002	104.146461	158.2368
50.000000	104.123459	157.7863
50.799999	104.096115	157.2039
51.500000	104.073242	156.6806
52.200001	104.048851	156.1506
53.000000	104.019821	155.5555
53.799999	103.990257	154.9732
54.500000	103.963707	154.4699
55.200001	103.936554	153.9762
56.000000	103.906715	153.4319
57.000000	103.872078	152.7498
58.000000	103.831985	152.0524
59.000000	103.789459	151.3927
60.000000	103.751328	150.7476
60.799999	103.719841	150.2265
61.500000	103.690414	149.7779
62.200001	103.661659	149.3428
63.000000	103.631615	148.8483
64.000000	103.590164	148.2257
65.000000	103.543098	147.6611
66.000000	103.503777	147.0866
67.000000	103.462898	146.4605
68.000000	103.421959	145.8807
69.000000	103.383263	145.3132
70.000000	103.340797	144.7513
71.000000	103.298386	144.1895
72.000000	103.254723	143.6377
73.000000	103.213623	143.1069
74.000000	103.171532	142.5596
75.000000	103.125549	142.0393
76.199997	103.077499	141.4265
77.500000	103.020187	140.7347
78.800003	102.963966	140.1137
80.000000	102.913460	139.5159
81.199997	102.861267	138.9317
82.500000	102.805817	138.3083
83.800003	102.751610	137.7064
85.000000	102.703644	137.1472
86.199997	102.650299	136.5870
87.500000	102.590782	136.0377
88.500000	102.554382	135.6177
90.000000	102.491264	134.9360
91.199997	102.436142	134.4352
92.500000	102.381966	133.8673
93.800003	102.334343	133.3196
95.000000	102.282974	132.8184
96.199997	102.233559	132.3404
97.500000	102.181458	131.8527
98.800003	102.130714	131.3521
100.000000	102.070847	130.8608
101.500000	102.010971	130.3180
103.000000	101.954170	129.6842
104.400002	101.884254	129.2243
106.000000	101.826340	128.6539
107.500000	101.767654	128.1657
109.000000	101.716827	127.6152
110.599998	101.656891	127.0424
112.000000	101.596565	126.5927
113.800003	101.533401	125.9876
115.000000	101.488037	125.6187
117.199997	101.402779	124.8746
118.000000	101.376282	124.6053
120.599998	101.280441	123.8678
122.000000	101.224312	123.3957
124.099998	101.149300	122.7580
125.000000	101.116623	122.5331
126.500000	101.067162	122.0640
128.000000	101.007309	121.6732
131.500000	100.887596	120.6794
132.000000	100.873314	120.5464
134.000000	100.803024	119.9642
136.000000	100.738693	119.4747
138.000000	100.668930	118.9137
140.000000	100.605850	118.4413
143.000000	100.510094	117.6891
145.000000	100.447708	117.1884
147.500000	100.368896	116.5836
150.000000	100.295723	115.9985
152.500000	100.219604	115.4344
155.000000	100.146111	114.8667
157.500000	100.072586	114.3113
160.000000	100.005608	113.7557
162.500000	99.933266	113.2062
165.000000	99.867325	112.7105
167.500000	99.797729	112.1930
170.000000	99.734062	111.6826
172.500000	99.665871	111.1849
175.000000	99.603004	110.6856
177.500000	99.535370	110.2163
180.000000	99.472092	109.7647
182.500000	99.411209	109.3140
185.000000	99.350739	108.8717
187.500000	99.293106	108.4359
190.000000	99.236938	108.0073
192.500000	99.179024	107.5938
195.000000	99.123245	107.1732
197.500000	99.065331	106.8010
200.000000	99.015762	106.3743
203.000000	98.946007	105.9872
206.000000	98.886490	105.4767
209.000000	98.835243	105.0840
212.000000	98.776566	104.6458
214.000000	98.743042	104.4046
218.000000	98.678810	103.8827
220.000000	98.649261	103.5963
224.000000	98.591179	103.0523
227.000000	98.542343	102.6413
230.000000	98.498566	102.1607
233.000000	98.450432	101.7831
236.000000	98.400169	101.3490
240.000000	98.343643	100.8541
243.000000	98.292496	100.5137
247.000000	98.230713	100.0294
250.000000	98.186424	99.7117
254.000000	98.126541	99.2933
258.000000	98.069969	98.9039
262.000000	98.015724	98.5914
265.000000	97.978622	98.3800
269.000000	97.934540	98.1675
272.000000	97.909531	98.0435
276.000000	97.899048	97.8981
280.000000	97.914352	97.6310
285.000000	97.940430	97.1038
290.000000	97.949333	96.3778
295.000000	97.929459	95.6058
300.000000	97.898369	94.8991
304.000000	97.867401	94.3981
307.000000	97.844254	94.0463
311.000000	97.811600	93.5721
315.000000	97.783890	93.1581
320.000000	97.747246	92.6356
325.000000	97.714149	92.1674
330.000000	97.686035	91.7166
335.000000	97.657677	91.2753
340.000000	97.633743	90.8466
345.000000	97.609810	90.4551
350.000000	97.589638	90.0497
355.000000	97.572784	89.6709
360.000000	97.554466	89.2840
365.000000	97.539482	88.8862
370.000000	97.528145	88.5451
375.000000	97.513939	88.1813
382.000000	97.502052	87.6985
387.000000	97.494560	87.3396
395.000000	97.486229	86.8152
400.000000	97.481033	86.4856
406.000000	97.478630	86.0786
412.000000	97.472130	85.7594
418.000000	97.476318	85.2865
425.000000	97.469429	84.9070
431.000000	97.475609	84.6012
437.000000	97.476425	84.2686
444.000000	97.478905	83.8783
450.000000	97.484222	83.5568
455.000000	97.489769	83.3351
462.000000	97.497765	83.0068
468.000000	97.508774	82.8146
475.000000	97.532471	82.5737
482.000000	97.566216	82.3065
487.000000	97.602341	82.0992
494.000000	97.646286	81.7424
500.000000	97.684212	81.3894
508.000000	97.720306	80.8596
515.000000	97.753029	80.3811
522.000000	97.776657	79.9300
530.000000	97.801216	79.4778
538.000000	97.827805	79.0379
545.000000	97.853745	78.6899
552.000000	97.877792	78.3319
560.000000	97.908913	77.9262
570.000000	97.950691	77.4169
580.000000	98.000977	76.9051
590.000000	98.041794	76.3573
600.000000	98.068489	75.9703
608.000000	98.097313	75.5720
615.000000	98.127068	75.2411
622.000000	98.149757	74.9341
630.000000	98.183441	74.5852
640.000000	98.220757	74.1626
650.000000	98.260635	73.7319
660.000000	98.297165	73.3193
670.000000	98.339615	72.9114
680.000000	98.378944	72.5245
690.000000	98.417847	72.1571
700.000000	98.458252	71.7756
710.000000	98.499092	71.4141
720.000000	98.540230	71.0685
730.000000	98.580666	70.7196
740.000000	98.619400	70.3870
750.000000	98.661201	70.0513
762.000000	98.711327	69.6943
775.000000	98.765320	69.2958
788.000000	98.818993	68.9174
800.000000	98.873047	68.5815
812.000000	98.921494	68.2470
825.000000	98.979347	67.9134
838.000000	99.035957	67.5896
850.000000	99.091614	67.3067
862.000000	99.148079	67.0316
875.000000	99.211411	66.7339
885.000000	99.260139	66.5257
900.000000	99.336617	66.2087
912.000000	99.397797	65.9408
925.000000	99.469879	65.6784
938.000000	99.539101	65.4136
950.000000	99.608795	65.1592
962.000000	99.678368	64.8984
975.000000	99.757919	64.6123
988.000000	99.837265	64.3311
1000.000000	99.913132	64.0614
1015.000000	100.006668	63.6978
1030.000000	100.103569	63.3113
1044.000000	100.194931	62.9267
1060.000000	100.300430	62.4778
1075.000000	100.400978	62.0130
1090.000000	100.497780	61.5358
1106.000000	100.602165	61.0005
1120.000000	100.690582	60.4936
1138.000000	100.799019	59.8192
1150.000000	100.869087	59.3488
1172.000000	100.992325	58.4333
1180.000000	101.034599	58.1082
1206.000000	101.164230	56.9943
1220.000000	101.226570	56.3837
1241.000000	101.312790	55.4377
1250.000000	101.349091	55.0404
1265.000000	101.402618	54.3819
1280.000000	101.452744	53.7063
1315.000000	101.549698	52.1839
1320.000000	101.562744	51.9792
1340.000000	101.607056	51.1205
1360.000000	101.645050	50.3105
1380.000000	101.675598	49.5162
1400.000000	101.704689	48.7563
1430.000000	101.737236	47.6467
1450.000000	101.754456	46.9324
1475.000000	101.767288	46.0844
1500.000000	101.779030	45.2912
1525.000000	101.786400	44.5400
1550.000000	101.790756	43.8199
1575.000000	101.791435	43.1273
1600.000000	101.788597	42.4891
1625.000000	101.781227	41.8798
1650.000000	101.772400	41.3016
1675.000000	101.763184	40.7897
1700.000000	101.751785	40.3182
1725.000000	101.739540	39.8825
1750.000000	101.732185	39.5043
1775.000000	101.724167	39.1446
1800.000000	101.716278	38.8185
1825.000000	101.713120	38.5190
1850.000000	101.715912	38.2364
1875.000000	101.718666	37.9700
1900.000000	101.725594	37.7164
1925.000000	101.730293	37.4493
1950.000000	101.740768	37.2215
1975.000000	101.752510	36.9642
2000.000000	101.764107	36.7287
2030.000000	101.778870	36.4393
2060.000000	101.796417	36.1288
2090.000000	101.814735	35.8289
2120.000000	101.830673	35.5471
2140.000000	101.842010	35.3338
2180.000000	101.865936	34.9422
2200.000000	101.877327	34.7431
2240.000000	101.897858	34.3236
2270.000000	101.911194	34.0122
2300.000000	101.925789	33.7011
2330.000000	101.935791	33.3913
2360.000000	101.948822	33.0912
2400.000000	101.956352	32.6801
2430.000000	101.965103	32.3986
2470.000000	101.968483	32.0056
