* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 9, 2022 4:00:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.961494	-159.7164
20.600000	104.963509	-160.3635
20.900000	104.960869	-160.9404
21.200001	104.958672	-161.5273
21.400000	104.957832	-161.9311
21.799999	104.956558	-162.7598
22.000000	104.955719	-163.1750
22.400000	104.953720	-163.9814
22.700001	104.952988	-164.5462
23.000000	104.954155	-165.0728
23.299999	104.957840	-165.5682
23.600000	104.963776	-166.0463
24.000000	104.972748	-166.6824
24.299999	104.977623	-167.1697
24.700001	104.978119	-167.8329
25.000000	104.972832	-168.3286
25.400000	104.959122	-168.9654
25.799999	104.941765	-169.5562
26.200001	104.925827	-170.1021
26.500000	104.916809	-170.4939
26.900000	104.908768	-171.0131
27.200001	104.904533	-171.4085
27.600000	104.898895	-171.9446
28.000000	104.891312	-172.4825
28.500000	104.876892	-173.1422
29.000000	104.854088	-173.7696
29.500000	104.821152	-174.3343
30.000000	104.783936	-174.8042
30.400000	104.759850	-175.1256
30.700001	104.749084	-175.3687
31.100000	104.744537	-175.7489
31.500000	104.744644	-176.2334
32.000000	104.736992	-176.9598
32.500000	104.713516	-177.7030
33.000000	104.683586	-178.3483
33.500000	104.661209	-178.8941
34.000000	104.648537	-179.4156
34.500000	104.636108	-179.9486
35.000000	104.617088	179.5462
35.500000	104.595291	179.1096
36.000000	104.578003	178.7164
36.500000	104.564941	178.3032
37.000000	104.548431	177.8428
37.500000	104.523239	177.3691
38.200001	104.481598	176.7747
38.700001	104.457726	176.4020
39.500000	104.429642	175.7886
40.000000	104.406487	175.3752
40.599998	104.367233	174.9000
41.200001	104.325897	174.4709
41.799999	104.292397	174.0357
42.500000	104.257294	173.4741
43.099998	104.223022	173.0115
43.700001	104.190193	172.6135
44.400002	104.159218	172.1533
45.000000	104.130554	171.7178
45.500000	104.102081	171.3700
46.200001	104.063965	170.9631
46.799999	104.037552	170.6521
47.500000	104.004128	170.2697
48.200001	103.961166	169.8738
48.700001	103.928619	169.5901
49.400002	103.886513	169.1931
50.000000	103.855385	168.8671
