* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2022 8:46:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: clear R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.904396	-119.4108
20.600000	102.883858	-119.2162
20.900000	102.858803	-119.0141
21.200001	102.834267	-118.8042
21.400000	102.819191	-118.6638
21.799999	102.792801	-118.3832
22.000000	102.781555	-118.2416
22.400000	102.762772	-117.9515
22.700001	102.751785	-117.7249
23.000000	102.743149	-117.4915
23.299999	102.736298	-117.2536
23.600000	102.730415	-117.0126
24.000000	102.722672	-116.6852
24.299999	102.716476	-116.4309
24.700001	102.708092	-116.0767
25.000000	102.702332	-115.8044
25.400000	102.695564	-115.4486
25.799999	102.687744	-115.1238
26.200001	102.675163	-114.8398
26.500000	102.661011	-114.6452
26.900000	102.637138	-114.3853
27.200001	102.618393	-114.1750
27.600000	102.598480	-113.8693
28.000000	102.589005	-113.5518
28.500000	102.590866	-113.1813
29.000000	102.595772	-112.8566
29.500000	102.590927	-112.5392
30.000000	102.572594	-112.1796
30.400000	102.551048	-111.8611
30.700001	102.532562	-111.6184
31.100000	102.505615	-111.3078
31.500000	102.475967	-111.0191
32.000000	102.435822	-110.6741
32.500000	102.394417	-110.3220
33.000000	102.352272	-109.9509
33.500000	102.305878	-109.5585
34.000000	102.251091	-109.1308
34.500000	102.188965	-108.6497
35.000000	102.126465	-108.1211
35.500000	102.070084	-107.5808
36.000000	102.019791	-107.0665
36.500000	101.969543	-106.5781
37.000000	101.913643	-106.0692
37.500000	101.852646	-105.4882
38.200001	101.769836	-104.5640
38.700001	101.715019	-103.9021
39.500000	101.619629	-102.9050
40.000000	101.554214	-102.2426
40.599998	101.486206	-101.3614
41.200001	101.436050	-100.4836
41.799999	101.385986	-99.6789
42.500000	101.307953	-98.7203
43.099998	101.236130	-97.7994
43.700001	101.171249	-96.8552
44.400002	101.095352	-95.7702
45.000000	101.030624	-94.7852
45.500000	100.985504	-93.9354
46.200001	100.931717	-92.8042
46.799999	100.878426	-91.8808
47.500000	100.809715	-90.7388
48.200001	100.751808	-89.5506
48.700001	100.714813	-88.7274
49.400002	100.659233	-87.5771
50.000000	100.612244	-86.5561
50.799999	100.555359	-85.2103
51.500000	100.501709	-84.0614
52.200001	100.447090	-82.8636
53.000000	100.397957	-81.4547
53.799999	100.355057	-80.0945
54.500000	100.310806	-78.9233
55.200001	100.263733	-77.7359
56.000000	100.212814	-76.3808
57.000000	100.151459	-74.6560
58.000000	100.101601	-72.8926
59.000000	100.045647	-71.2508
60.000000	99.982285	-69.5636
60.799999	99.956078	-68.2114
61.500000	99.936394	-67.0971
62.200001	99.906189	-65.9551
63.000000	99.868576	-64.5836
64.000000	99.823921	-62.8926
65.000000	99.783302	-61.2316
66.000000	99.743141	-59.5803
67.000000	99.698845	-57.8677
68.000000	99.658073	-56.1973
69.000000	99.609528	-54.5594
70.000000	99.571884	-52.8824
71.000000	99.537796	-51.2744
72.000000	99.496124	-49.6393
73.000000	99.462799	-48.0008
74.000000	99.426460	-46.3946
75.000000	99.386826	-44.7384
76.199997	99.337570	-42.7809
77.500000	99.285164	-40.6810
78.800003	99.241135	-38.6592
80.000000	99.192383	-36.6835
81.199997	99.152710	-34.7353
82.500000	99.100685	-32.6635
83.800003	99.060844	-30.5818
85.000000	99.020119	-28.6281
86.199997	98.977943	-26.6436
87.500000	98.920578	-24.5707
88.500000	98.875900	-22.9857
90.000000	98.820099	-20.6304
91.199997	98.773956	-18.6851
92.500000	98.736809	-16.5890
93.800003	98.692154	-14.5034
95.000000	98.649261	-12.5539
96.199997	98.597595	-10.6441
97.500000	98.554581	-8.5227
98.800003	98.515167	-6.4821
100.000000	98.468048	-4.5326
101.500000	98.413933	-2.1507
103.000000	98.367607	0.2594
104.400002	98.320969	2.5117
106.000000	98.271370	5.0772
107.500000	98.219635	7.5049
109.000000	98.168724	9.9261
110.599998	98.110413	12.5095
112.000000	98.072990	14.7490
113.800003	98.021126	17.6384
115.000000	97.982681	19.4801
117.199997	97.917854	23.0063
118.000000	97.891853	24.3277
120.599998	97.803787	28.4210
122.000000	97.779617	30.7744
124.099998	97.724388	34.0789
125.000000	97.700836	35.4832
126.500000	97.656540	37.8768
128.000000	97.620956	40.2308
131.500000	97.531075	45.8550
132.000000	97.516167	46.6500
134.000000	97.461044	49.7892
136.000000	97.414436	52.9587
138.000000	97.366600	56.0987
140.000000	97.327545	59.2780
143.000000	97.251564	64.0228
145.000000	97.207497	67.1719
147.500000	97.153481	71.1360
150.000000	97.096581	75.0531
152.500000	97.038887	79.0886
155.000000	97.003563	83.0939
157.500000	96.959915	87.0900
160.000000	96.939072	91.0887
162.500000	96.916931	94.9517
165.000000	96.895767	98.9045
167.500000	96.875710	102.7124
170.000000	96.856514	106.5051
172.500000	96.842308	110.2790
175.000000	96.823021	114.0792
177.500000	96.805923	117.8280
180.000000	96.789627	121.6160
182.500000	96.766434	125.3348
185.000000	96.752998	129.0794
187.500000	96.738373	132.7647
190.000000	96.718887	136.4377
192.500000	96.696846	140.1494
195.000000	96.677887	143.9088
197.500000	96.669281	147.6676
200.000000	96.656433	151.3452
203.000000	96.649162	155.6583
206.000000	96.640877	159.9503
209.000000	96.635078	164.2914
212.000000	96.618889	168.6392
214.000000	96.608116	171.4845
218.000000	96.607925	177.1016
220.000000	96.616943	179.9663
224.000000	96.621941	-174.4344
227.000000	96.626755	-170.2183
230.000000	96.612892	-166.0109
233.000000	96.618652	-161.8866
236.000000	96.618683	-157.6876
240.000000	96.598572	-152.1794
243.000000	96.621162	-148.1370
247.000000	96.622643	-142.6465
250.000000	96.624306	-138.6364
254.000000	96.625931	-133.1339
258.000000	96.633331	-127.8989
262.000000	96.635742	-122.5797
265.000000	96.638069	-118.6112
269.000000	96.648956	-113.2818
272.000000	96.659637	-109.3521
276.000000	96.661926	-104.1973
280.000000	96.652832	-99.0135
285.000000	96.669601	-92.6053
290.000000	96.685852	-86.1710
295.000000	96.685013	-79.8002
300.000000	96.693291	-73.4942
304.000000	96.686615	-68.4453
307.000000	96.684845	-64.6359
311.000000	96.676575	-59.6948
315.000000	96.682831	-54.7480
