* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.172. Timing signal peak level -17.9 dBFS, measurement signal peak level -12.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 29, 2023 5:15:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1590 ms (-55 mm, -2.15 in) using estimated IR delay relative to Acoustic reference played from USB-C to 3.5mm Headphone Jack Adapter L with no timing offset Clock adjustment: 1.0 ppm
* Measurement: BLO3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.758	-145.7696
20.299999	102.779	-146.6788
20.600000	102.790	-147.6143
20.900000	102.791	-148.5268
21.200001	102.784	-149.3657
21.400000	102.780	-149.8729
21.799999	102.780	-150.7891
22.000000	102.786	-151.2215
22.400000	102.809	-152.0993
22.700001	102.826	-152.7983
23.000000	102.835	-153.5203
23.299999	102.829	-154.2085
23.600000	102.812	-154.8014
24.000000	102.783	-155.3697
24.299999	102.774	-155.6338
24.700001	102.797	-155.8873
25.000000	102.842	-156.1449
25.400000	102.920	-156.7476
25.799999	102.981	-157.6915
26.200001	102.986	-158.8058
26.500000	102.950	-159.5606
26.900000	102.870	-160.2404
27.200001	102.820	-160.4582
27.600000	102.808	-160.5142
28.000000	102.871	-160.7077
28.500000	102.989	-161.6597
29.000000	103.026	-163.2608
29.500000	102.934	-164.7003
30.000000	102.806	-165.2591
30.400000	102.777	-165.2160
30.700001	102.818	-165.2599
31.100000	102.914	-165.6956
31.500000	102.983	-166.6994
32.000000	102.953	-168.1434
32.500000	102.829	-168.9678
33.000000	102.745	-168.9713
33.500000	102.777	-168.8239
34.000000	102.867	-169.2121
34.500000	102.918	-170.0714
35.000000	102.905	-170.9426
35.500000	102.871	-171.5836
36.000000	102.845	-172.1172
36.500000	102.817	-172.6602
37.000000	102.776	-173.1266
37.500000	102.738	-173.4241
38.200001	102.725	-173.7390
38.700001	102.735	-174.0490
39.500000	102.765	-174.6469
40.000000	102.803	-175.1664
40.599998	102.840	-176.1681
41.200001	102.799	-177.4425
41.799999	102.665	-178.3948
42.500000	102.497	-178.5599
43.099998	102.451	-178.2443
43.700001	102.492	-178.1781
44.400002	102.557	-178.6471
45.000000	102.585	-179.2365
45.500000	102.602	-179.7193
46.200001	102.632	179.4802
46.799999	102.634	178.5644
47.500000	102.568	177.5337
48.200001	102.471	176.9442
48.700001	102.423	176.7013
49.400002	102.376	176.2465
50.000000	102.306	175.8245
50.799999	102.204	175.7453
51.500000	102.199	175.8582
52.200001	102.234	175.4528
53.000000	102.200	174.6874
53.799999	102.149	174.3381
54.500000	102.157	173.9832
55.200001	102.151	173.3093
56.000000	102.092	172.6526
57.000000	102.024	172.2137
58.000000	101.979	172.0743
59.000000	102.026	171.9144
60.000000	102.038	170.9349
60.799999	101.955	170.3423
61.500000	101.892	170.0938
62.200001	101.834	169.7819
63.000000	101.748	169.5843
64.000000	101.722	169.6077
65.000000	101.756	168.9295
66.000000	101.716	168.0452
67.000000	101.672	167.5048
68.000000	101.630	167.0246
69.000000	101.562	166.8618
70.000000	101.521	166.8940
71.000000	101.478	166.8420
72.000000	101.461	166.5079
73.000000	101.389	165.7760
74.000000	101.385	165.0121
75.000000	101.266	163.2217
76.199997	101.198	163.9034
77.500000	101.224	161.8817
78.800003	101.560	166.3052
80.000000	102.142	159.3471
81.199997	100.942	159.7292
82.500000	101.133	162.6385
83.800003	100.887	163.2859
85.000000	100.887	162.1200
86.199997	100.619	162.1140
87.500000	100.676	161.3512
88.500000	100.603	160.4554
90.000000	100.505	160.4631
91.199997	100.589	159.8499
92.500000	100.446	159.1207
93.800003	100.409	159.5103
95.000000	100.533	158.8356
96.199997	100.322	158.1710
97.500000	100.414	159.4179
98.800003	100.329	158.5384
100.000000	100.176	158.9473
101.500000	100.089	159.4339
103.000000	99.914	158.1487
104.400002	99.896	158.1635
106.000000	99.830	157.3661
107.500000	99.776	156.5687
109.000000	99.788	157.5880
110.599998	99.693	156.7195
112.000000	99.589	156.5765
113.800003	99.472	157.0527
115.000000	99.495	156.1477
117.199997	99.415	156.0674
118.000000	99.330	155.4085
120.599998	99.283	156.1161
122.000000	99.126	155.4894
124.099998	98.954	155.3761
125.000000	98.963	155.8387
126.500000	98.966	155.2090
128.000000	98.885	155.2588
131.500000	98.684	155.1127
132.000000	98.676	155.1054
134.000000	98.621	154.8830
136.000000	98.524	154.6444
138.000000	98.397	154.7014
140.000000	98.278	154.6065
143.000000	98.157	154.8454
145.000000	98.051	154.8412
147.500000	97.930	155.0765
150.000000	97.799	155.3847
152.500000	97.706	155.7232
155.000000	97.634	156.3203
157.500000	97.604	156.7654
160.000000	97.601	157.2097
162.500000	97.581	157.1473
165.000000	97.564	156.9676
167.500000	97.533	156.7365
170.000000	97.451	156.4642
172.500000	97.407	156.3763
175.000000	97.343	155.9825
177.500000	97.236	156.0024
180.000000	97.179	155.9096
182.500000	97.095	155.8240
185.000000	97.045	156.1226
187.500000	96.956	155.9949
190.000000	96.815	156.0089
192.500000	96.719	156.0766
195.000000	96.650	155.9723
197.500000	96.562	156.1097
200.000000	96.485	156.3452
203.000000	96.389	156.5223
206.000000	96.283	156.6334
209.000000	96.177	156.8210
212.000000	96.089	156.9590
214.000000	96.046	157.0264
218.000000	95.935	157.3378
220.000000	95.863	157.3802
224.000000	95.776	157.7039
227.000000	95.675	157.7627
230.000000	95.584	158.0479
233.000000	95.513	158.3223
236.000000	95.420	158.6044
240.000000	95.318	158.8196
243.000000	95.231	159.1152
247.000000	95.119	159.5059
250.000000	95.045	159.6730
254.000000	94.968	160.0219
258.000000	94.848	160.2089
262.000000	94.781	160.6157
265.000000	94.701	161.0008
269.000000	94.596	161.6127
272.000000	94.494	161.7555
276.000000	94.431	161.7920
280.000000	94.348	162.3453
285.000000	94.249	162.6833
290.000000	94.147	163.2952
295.000000	94.017	163.8417
300.000000	93.923	164.3216
304.000000	93.860	164.7482
307.000000	93.796	165.1138
311.000000	93.710	165.6020
315.000000	93.623	165.9018
320.000000	93.559	166.4617
325.000000	93.456	167.0766
330.000000	93.346	167.7693
335.000000	93.247	168.1287
340.000000	93.196	168.7587
345.000000	93.101	169.2375
350.000000	93.035	169.7677
355.000000	92.940	170.4649
360.000000	92.826	171.0599
365.000000	92.790	171.5527
370.000000	92.703	172.2282
375.000000	92.627	172.8649
382.000000	92.533	173.7580
387.000000	92.463	174.3745
395.000000	92.343	175.3333
400.000000	92.286	175.9699
406.000000	92.217	176.7069
412.000000	92.140	177.4081
418.000000	92.066	178.1776
425.000000	91.973	179.0704
431.000000	91.903	179.8234
437.000000	91.836	-179.4603
444.000000	91.758	-178.5397
450.000000	91.695	-177.8190
455.000000	91.642	-177.1668
462.000000	91.566	-176.3060
468.000000	91.503	-175.5303
475.000000	91.429	-174.5925
482.000000	91.361	-173.6778
487.000000	91.312	-173.0305
494.000000	91.242	-172.0977
500.000000	91.187	-171.3717
508.000000	91.117	-170.3098
515.000000	91.048	-169.3604
522.000000	90.978	-168.4325
530.000000	90.906	-167.3088
538.000000	90.822	-166.1525
545.000000	90.734	-165.0299
552.000000	90.661	-163.6637
560.000000	90.684	-161.5748
570.000000	90.817	-160.9449
580.000000	90.740	-160.2008
590.000000	90.650	-159.0723
600.000000	90.581	-157.8339
608.000000	90.518	-156.7523
615.000000	90.465	-155.8108
622.000000	90.415	-154.7967
630.000000	90.377	-153.5591
640.000000	90.340	-152.1623
650.000000	90.289	-150.7750
660.000000	90.238	-149.3613
670.000000	90.204	-147.8186
680.000000	90.153	-146.2324
690.000000	90.130	-144.6239
700.000000	90.118	-142.9127
710.000000	90.142	-141.2539
720.000000	90.192	-139.6589
730.000000	90.234	-138.4222
740.000000	90.252	-137.1289
750.000000	90.273	-135.8378
762.000000	90.288	-134.2684
775.000000	90.292	-132.5801
788.000000	90.310	-130.9287
800.000000	90.343	-129.2122
812.000000	90.365	-127.5876
825.000000	90.398	-125.8011
838.000000	90.442	-124.0420
850.000000	90.495	-122.3727
862.000000	90.544	-120.7596
875.000000	90.607	-119.0279
885.000000	90.660	-117.6562
900.000000	90.748	-115.7422
912.000000	90.838	-114.1724
925.000000	90.924	-112.5058
938.000000	91.018	-110.8620
950.000000	91.113	-109.3793
962.000000	91.205	-107.9248
975.000000	91.324	-106.4259
988.000000	91.441	-104.9302
1000.000000	91.548	-103.6286
1015.000000	91.697	-102.0383
1030.000000	91.841	-100.5058
1044.000000	91.986	-99.0763
1060.000000	92.139	-97.5619
1075.000000	92.296	-96.2371
1090.000000	92.443	-94.9199
1106.000000	92.612	-93.5778
1120.000000	92.753	-92.4626
1138.000000	92.929	-91.0870
1150.000000	93.045	-90.1960
1172.000000	93.257	-88.6995
1180.000000	93.335	-88.1135
1206.000000	93.579	-86.4324
1220.000000	93.699	-85.5868
1241.000000	93.883	-84.3229
1250.000000	93.959	-83.7913
1265.000000	94.085	-82.9498
1280.000000	94.209	-82.1263
1315.000000	94.481	-80.2095
1320.000000	94.518	-79.9666
1340.000000	94.665	-78.8650
1360.000000	94.813	-77.8666
1380.000000	94.954	-76.8076
1400.000000	95.089	-75.8058
1430.000000	95.293	-74.3077
1450.000000	95.423	-73.3112
1475.000000	95.585	-72.0991
1500.000000	95.752	-70.9153
1525.000000	95.910	-69.7123
1550.000000	96.071	-68.5323
1575.000000	96.231	-67.3578
1600.000000	96.384	-66.2213
1625.000000	96.553	-65.1183
1650.000000	96.705	-64.0548
1675.000000	96.866	-62.9965
1700.000000	97.023	-61.9960
1725.000000	97.187	-61.0470
1750.000000	97.348	-60.1173
1775.000000	97.506	-59.2304
1800.000000	97.664	-58.3990
1825.000000	97.824	-57.6076
1850.000000	97.972	-56.8388
1875.000000	98.125	-56.1938
1900.000000	98.270	-55.5575
1925.000000	98.425	-54.9590
1950.000000	98.565	-54.4625
1975.000000	98.699	-53.9936
2000.000000	98.824	-53.5951
2030.000000	98.974	-53.1128
2060.000000	99.112	-52.7649
2090.000000	99.236	-52.4191
2120.000000	99.351	-52.2027
2140.000000	99.416	-52.0434
2180.000000	99.524	-51.7997
2200.000000	99.573	-51.7531
2240.000000	99.637	-51.5510
2270.000000	99.678	-51.4768
2300.000000	99.692	-51.3163
2330.000000	99.697	-51.1866
2360.000000	99.675	-50.9898
2400.000000	99.630	-50.7706
2430.000000	99.591	-50.4786
2470.000000	99.505	-50.0529
2500.000000	99.432	-49.6542
2540.000000	99.321	-49.0009
2580.000000	99.183	-48.2754
2620.000000	99.048	-47.3290
2650.000000	98.936	-46.5357
2690.000000	98.784	-45.3537
2720.000000	98.656	-44.3475
2760.000000	98.502	-42.9153
2800.000000	98.357	-41.3510
2850.000000	98.176	-39.1026
2900.000000	98.043	-36.7708
2950.000000	97.940	-34.5173
3000.000000	97.828	-32.3718
3040.000000	97.729	-30.5146
3070.000000	97.646	-29.1685
3110.000000	97.543	-27.1926
3150.000000	97.459	-25.3013
3200.000000	97.335	-22.8825
3250.000000	97.224	-20.3165
3300.000000	97.143	-17.6538
3350.000000	97.045	-14.9808
3400.000000	96.982	-12.2510
3450.000000	96.923	-9.3405
3500.000000	96.879	-6.7166
3550.000000	96.839	-3.8599
3600.000000	96.796	-1.1432
3650.000000	96.793	1.5828
3700.000000	96.783	4.2570
3750.000000	96.784	6.9380
3820.000000	96.802	10.5454
3870.000000	96.793	13.1468
