* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.327. Timing signal peak level -19.4 dBFS, measurement signal peak level -17.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 1, 2023 1:59:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0329 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -77.2 ppm
* Measurement: Gaea Sedna Short L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.316	-172.1179
20.299999	95.246	-172.7877
20.600000	95.197	-173.1043
20.900000	95.194	-173.2504
21.200001	95.237	-173.4920
21.400000	95.276	-173.8142
21.799999	95.341	-174.8574
22.000000	95.349	-175.5345
22.400000	95.289	-176.9789
22.700001	95.180	-177.9073
23.000000	95.035	-178.4954
23.299999	94.889	-178.6488
23.600000	94.778	-178.4040
24.000000	94.743	-177.7380
24.299999	94.819	-177.3787
24.700001	95.022	-177.6227
25.000000	95.193	-178.5564
25.400000	95.350	179.2918
25.799999	95.351	176.6775
26.200001	95.184	174.4747
26.500000	95.002	173.5800
26.900000	94.806	173.5953
27.200001	94.784	174.1547
27.600000	94.958	174.6497
28.000000	95.245	173.8618
28.500000	95.471	171.0852
29.000000	95.359	168.0942
29.500000	95.007	166.9447
30.000000	94.771	168.1676
30.400000	94.831	169.5827
30.700001	94.988	170.0967
31.100000	95.204	169.7855
31.500000	95.331	168.7837
32.000000	95.354	167.5550
32.500000	95.332	166.8057
33.000000	95.340	166.1425
33.500000	95.341	165.2576
34.000000	95.306	164.4172
34.500000	95.288	163.7993
35.000000	95.323	163.0125
35.500000	95.343	161.7014
36.000000	95.265	160.2820
36.500000	95.118	159.5089
37.000000	95.033	159.4987
37.500000	95.070	159.5031
38.200001	95.162	158.5450
38.700001	95.144	157.6346
39.500000	95.064	156.9170
40.000000	95.048	156.6270
40.599998	95.029	156.1569
41.200001	95.006	155.7886
41.799999	95.031	155.3455
42.500000	95.074	154.0706
43.099998	95.013	152.6158
43.700001	94.893	151.5791
44.400002	94.808	150.8521
45.000000	94.795	150.0999
45.500000	94.788	149.3575
46.200001	94.782	148.3323
46.799999	94.777	147.3727
47.500000	94.712	146.3363
48.200001	94.622	146.0512
48.700001	94.625	146.1708
49.400002	94.720	145.7649
50.000000	94.736	144.6282
50.799999	94.559	143.3797
51.500000	94.419	143.3774
52.200001	94.442	143.0784
53.000000	94.421	141.3983
53.799999	94.259	140.2727
54.500000	94.272	139.7609
55.200001	94.325	137.9781
56.000000	94.087	135.9965
57.000000	93.866	136.9393
58.000000	93.994	136.7341
59.000000	93.861	136.4882
60.000000	93.970	136.8686
60.799999	94.024	135.2182
61.500000	93.877	133.8407
62.200001	93.749	133.3573
63.000000	93.767	132.7221
64.000000	93.811	130.8723
65.000000	93.703	129.4482
66.000000	93.642	129.6788
67.000000	93.725	129.6000
68.000000	93.646	128.9072
69.000000	93.465	128.2951
70.000000	93.262	127.6313
71.000000	93.155	125.8925
72.000000	92.984	124.5596
73.000000	93.261	123.0472
74.000000	93.192	121.1061
75.000000	93.589	122.7758
76.199997	93.183	121.7297
77.500000	93.895	127.6166
78.800003	90.000	133.5626
80.000000	95.340	155.5562
81.199997	94.941	122.8338
82.500000	92.001	126.9926
83.800003	91.915	116.5164
85.000000	91.993	117.5190
86.199997	92.096	111.0189
87.500000	92.482	114.4022
88.500000	92.570	112.1268
90.000000	92.250	114.4216
91.199997	92.164	114.0031
92.500000	91.819	112.0672
93.800003	91.659	111.2739
95.000000	91.702	109.8497
96.199997	91.737	108.9754
97.500000	91.739	108.6537
98.800003	91.622	108.6536
100.000000	91.517	108.6595
101.500000	91.370	107.6401
103.000000	91.211	106.5156
104.400002	91.221	105.6490
106.000000	91.182	104.7621
107.500000	91.102	104.3481
109.000000	90.973	104.0820
110.599998	90.862	103.4285
112.000000	90.770	102.4281
113.800003	90.666	101.5502
115.000000	90.663	101.0788
117.199997	90.521	100.7274
118.000000	90.483	100.4125
120.599998	90.451	99.1824
122.000000	90.251	98.9077
124.099998	90.008	97.8094
125.000000	90.018	98.1359
126.500000	89.989	97.6695
128.000000	89.883	96.9272
131.500000	89.735	95.2031
132.000000	89.699	95.1443
134.000000	89.513	94.4092
136.000000	89.553	94.3555
138.000000	89.381	93.7372
140.000000	89.372	93.0820
143.000000	89.197	91.7391
145.000000	89.027	91.7712
147.500000	89.047	91.3000
150.000000	88.831	90.8593
152.500000	88.794	90.0979
155.000000	88.653	89.3454
157.500000	88.572	89.0638
160.000000	88.510	88.8607
162.500000	88.418	88.3885
165.000000	88.351	87.4811
167.500000	88.200	87.1364
170.000000	88.147	86.5493
172.500000	88.035	85.9037
175.000000	87.928	85.4364
177.500000	87.898	85.1807
180.000000	87.876	84.8604
182.500000	87.757	84.9564
185.000000	87.687	84.7986
187.500000	87.539	84.0463
190.000000	87.505	83.8273
192.500000	87.401	83.5094
195.000000	87.357	82.9198
197.500000	87.398	82.4828
200.000000	87.280	82.8333
203.000000	87.158	83.3196
206.000000	87.118	81.5988
209.000000	87.191	81.1730
212.000000	87.035	81.2199
214.000000	86.892	82.4471
218.000000	87.050	80.8687
220.000000	86.876	80.2021
224.000000	87.001	81.3245
227.000000	86.851	80.0281
230.000000	86.909	80.7200
233.000000	86.864	78.2948
236.000000	86.721	78.8875
240.000000	86.638	79.9111
243.000000	86.609	79.4113
247.000000	86.596	79.3488
250.000000	86.528	79.2920
254.000000	86.477	78.8802
258.000000	86.476	78.2760
262.000000	86.470	78.7487
265.000000	86.505	78.9503
269.000000	86.461	77.7170
272.000000	86.484	78.0173
276.000000	86.525	77.9145
280.000000	86.538	77.4494
285.000000	86.541	77.2853
290.000000	86.517	76.7228
295.000000	86.507	76.3708
300.000000	86.457	76.5124
304.000000	86.654	76.2389
307.000000	86.587	75.4112
311.000000	86.509	75.4876
315.000000	86.585	75.2175
320.000000	86.475	74.4983
325.000000	86.644	74.4887
330.000000	86.597	73.8480
335.000000	86.629	73.7832
340.000000	86.591	73.1747
345.000000	86.613	72.9667
350.000000	86.659	72.9089
355.000000	86.677	72.4407
360.000000	86.779	72.0787
365.000000	86.685	71.9022
370.000000	86.726	71.6943
375.000000	86.753	71.1947
382.000000	86.761	70.7844
387.000000	86.766	70.4279
395.000000	86.765	69.9202
400.000000	86.822	69.6223
406.000000	86.862	69.3773
412.000000	86.846	68.8841
418.000000	86.881	68.7837
425.000000	86.861	68.8521
431.000000	86.944	68.0933
437.000000	86.926	67.6325
444.000000	86.954	67.4354
450.000000	87.002	67.0383
455.000000	86.978	66.8086
462.000000	87.035	66.5908
468.000000	87.014	66.3792
475.000000	87.051	65.7281
482.000000	87.111	65.1267
487.000000	87.118	65.3006
494.000000	87.126	64.7841
500.000000	87.109	64.9058
508.000000	86.999	64.2014
515.000000	87.136	64.5402
522.000000	87.175	63.6686
530.000000	87.100	64.6056
538.000000	87.254	63.0049
545.000000	87.160	63.1037
552.000000	87.237	62.9442
560.000000	87.239	62.8224
570.000000	87.227	62.4101
580.000000	87.268	62.2131
590.000000	87.186	62.0156
600.000000	87.224	62.0670
608.000000	87.253	61.7744
615.000000	87.274	61.6315
622.000000	87.267	61.7014
630.000000	87.275	61.5350
640.000000	87.306	61.5183
650.000000	87.280	61.2177
660.000000	87.237	61.4948
670.000000	87.287	61.4912
680.000000	87.295	61.7877
690.000000	87.309	61.9459
700.000000	87.284	62.2897
710.000000	87.311	62.0273
720.000000	87.334	62.3350
730.000000	87.363	62.5921
740.000000	87.371	62.6933
750.000000	87.381	63.1812
762.000000	87.381	63.5542
775.000000	87.422	63.9490
788.000000	87.492	64.3372
800.000000	87.542	64.7940
812.000000	87.534	65.1859
825.000000	87.659	65.8121
838.000000	87.688	66.3735
850.000000	87.746	67.0286
862.000000	87.841	67.6187
875.000000	87.873	68.0839
885.000000	87.956	68.4243
900.000000	88.056	69.2806
912.000000	88.117	70.0582
925.000000	88.257	70.3844
938.000000	88.355	70.9756
950.000000	88.479	72.0187
962.000000	88.593	72.2595
975.000000	88.732	73.0735
988.000000	88.904	73.6655
1000.000000	89.035	74.3329
1015.000000	89.230	74.8101
1030.000000	89.429	75.3733
1044.000000	89.656	75.9853
1060.000000	89.857	76.6960
1075.000000	90.066	76.8025
1090.000000	90.301	77.3887
1106.000000	90.536	77.8061
1120.000000	90.753	77.7027
1138.000000	91.106	78.0543
1150.000000	91.248	78.2129
1172.000000	91.674	78.2486
1180.000000	91.774	78.1038
1206.000000	92.255	77.8029
1220.000000	92.486	77.6084
1241.000000	92.850	77.1536
1250.000000	92.983	76.5342
1265.000000	93.222	75.9752
1280.000000	93.471	75.5124
1315.000000	93.975	73.5285
1320.000000	94.053	73.3362
1340.000000	94.335	72.0247
1360.000000	94.578	70.6704
1380.000000	94.810	69.1982
1400.000000	94.996	67.7832
1430.000000	95.270	65.4974
1450.000000	95.402	64.0970
1475.000000	95.552	62.2036
1500.000000	95.677	60.4879
1525.000000	95.779	58.7825
1550.000000	95.846	57.1245
1575.000000	95.901	55.6005
1600.000000	95.939	54.2130
1625.000000	95.956	52.8986
1650.000000	95.977	51.7043
1675.000000	95.969	50.5952
1700.000000	95.979	49.5860
1725.000000	95.974	48.6921
1750.000000	95.970	47.8788
1775.000000	95.972	47.1242
1800.000000	95.972	46.4272
1825.000000	95.970	45.8209
1850.000000	95.962	45.2860
1875.000000	95.972	44.7906
1900.000000	95.976	44.3193
1925.000000	95.990	43.9421
1950.000000	96.007	43.5411
1975.000000	96.025	43.1666
2000.000000	96.044	42.8841
2030.000000	96.077	42.4872
2060.000000	96.115	42.1209
2090.000000	96.169	41.7549
2120.000000	96.215	41.4093
2140.000000	96.245	41.1535
2180.000000	96.333	40.6561
2200.000000	96.373	40.4100
2240.000000	96.468	39.8781
2270.000000	96.540	39.4677
2300.000000	96.625	39.0417
2330.000000	96.695	38.5346
2360.000000	96.775	38.0157
2400.000000	96.885	37.2446
2430.000000	96.965	36.5758
2470.000000	97.069	35.7631
2500.000000	97.144	34.9984
2540.000000	97.236	33.9652
2580.000000	97.321	32.8845
2620.000000	97.389	31.6658
2650.000000	97.419	30.6956
2690.000000	97.452	29.4427
2720.000000	97.458	28.4796
2760.000000	97.456	27.2200
2800.000000	97.432	26.0522
2850.000000	97.372	24.6589
2900.000000	97.298	23.5061
2950.000000	97.211	22.5397
3000.000000	97.112	21.7291
3040.000000	97.046	21.2469
3070.000000	96.986	20.8942
3110.000000	96.916	20.5608
3150.000000	96.852	20.2799
3200.000000	96.794	20.0002
3250.000000	96.725	19.7819
3300.000000	96.685	19.6500
3350.000000	96.641	19.4948
3400.000000	96.605	19.3710
3450.000000	96.579	19.3006
3500.000000	96.558	19.2273
3550.000000	96.545	19.1531
3600.000000	96.540	19.1507
3650.000000	96.532	19.1111
3700.000000	96.538	19.0389
3750.000000	96.550	18.9700
3820.000000	96.567	18.9051
3870.000000	96.583	18.8104
3950.000000	96.628	18.6684
4000.000000	96.664	18.5739
4060.000000	96.698	18.3713
4120.000000	96.757	18.1307
4180.000000	96.805	17.8104
4250.000000	96.861	17.3480
4310.000000	96.928	16.9515
4370.000000	96.972	16.3422
4440.000000	97.026	15.6451
4500.000000	97.054	14.8990
4550.000000	97.078	14.2496
4620.000000	97.077	13.3344
4680.000000	97.080	12.5057
4750.000000	97.057	11.5489
4820.000000	97.004	10.6492
4870.000000	96.964	10.0108
4940.000000	96.887	9.2642
5000.000000	96.827	8.6501
5080.000000	96.740	7.9918
5150.000000	96.681	7.4962
5220.000000	96.622	6.9023
5300.000000	96.570	6.1804
5380.000000	96.510	5.3414
5450.000000	96.437	4.5012
5520.000000	96.338	3.6078
5600.000000	96.192	2.6075
5700.000000	95.953	1.7704
5800.000000	95.712	1.3102
5900.000000	95.454	1.3059
6000.000000	95.250	1.7234
6080.000000	95.123	2.1521
6150.000000	95.043	2.7366
6220.000000	94.983	3.3214
6300.000000	94.972	3.9799
6400.000000	95.028	4.6841
6500.000000	95.148	5.1256
6600.000000	95.311	5.0848
6700.000000	95.525	4.4976
6800.000000	95.732	3.3610
6900.000000	95.939	1.4623
7000.000000	96.106	-1.1084
7100.000000	96.206	-4.2352
7200.000000	96.190	-7.9055
7300.000000	96.067	-11.6746
7400.000000	95.845	-15.7434
7500.000000	95.483	-19.8842
7620.000000	94.786	-24.7061
7750.000000	93.782	-28.3815
7880.000000	92.685	-29.9507
8000.000000	91.647	-29.7885
8120.000000	90.777	-27.7765
8250.000000	90.073	-24.3754
8380.000000	89.785	-21.9166
8500.000000	89.555	-21.5253
8620.000000	89.132	-22.1973
8750.000000	88.482	-22.4644
8850.000000	87.896	-22.0474
9000.000000	87.065	-20.3412
9120.000000	86.423	-18.5874
9250.000000	85.786	-16.3831
9380.000000	85.144	-13.3666
9500.000000	84.599	-10.6926
9620.000000	84.158	-7.8003
9750.000000	83.659	-4.4415
9880.000000	83.204	-0.9062
10000.000000	82.856	2.6735
10150.000000	82.509	7.0621
10300.000000	82.242	11.9345
10440.000000	82.065	16.2855
10600.000000	81.907	21.4638
10750.000000	81.936	26.1251
10900.000000	82.031	30.7831
11060.000000	82.192	35.7549
11200.000000	82.436	39.6318
11380.000000	82.851	44.2681
11500.000000	83.207	47.3189
11720.000000	83.965	52.2758
11800.000000	84.280	53.7917
12060.000000	85.357	57.5852
12200.000000	85.990	58.9188
12410.000000	87.042	60.0494
12500.000000	87.540	59.7435
12650.000000	88.306	59.3869
12800.000000	88.998	57.8452
13150.000000	90.586	50.9186
13200.000000	90.767	49.7454
13400.000000	91.405	44.1296
13600.000000	91.874	37.8695
13800.000000	92.192	31.2980
14000.000000	92.400	24.6517
14300.000000	92.620	14.6456
14500.000000	92.727	7.4033
14750.000000	92.876	-2.6324
15000.000000	92.940	-13.9405
15250.000000	92.878	-26.5554
15500.000000	92.654	-40.1844
15750.000000	92.207	-54.0035
16000.000000	91.767	-67.8063
16250.000000	91.540	-81.9016
16500.000000	91.765	-101.9371
16750.000000	90.408	-111.5713
17000.000000	92.726	-135.7593
17250.000000	93.139	172.7112
17500.000000	88.660	123.8582
17750.000000	83.071	92.1311
18000.000000	77.696	68.5752
18250.000000	72.258	43.3075
18500.000000	66.210	17.8157
18750.000000	55.878	-9.3544
19000.000000	48.963	133.2585
19250.000000	58.977	90.5184
19500.000000	61.681	43.3932
19750.000000	61.949	-18.9490
