* Measurement data measured by REW V5.20.5
* Source: USB Audio Device, MICROPHONE, 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26 Mar, 2022 4:48:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCA CA10 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.950	35.8270
20.299999	104.018	34.8319
20.600000	104.082	33.8468
20.900000	104.141	32.8761
21.200001	104.195	31.9249
21.400000	104.229	31.3034
21.799999	104.292	30.0892
22.000000	104.323	29.4939
22.400000	104.382	28.3190
22.700001	104.423	27.4438
23.000000	104.463	26.5703
23.299999	104.501	25.6984
23.600000	104.535	24.8310
24.000000	104.578	23.6871
24.299999	104.609	22.8401
24.700001	104.650	21.7225
25.000000	104.680	20.8883
25.400000	104.719	19.7759
25.799999	104.757	18.6636
26.200001	104.792	17.5586
26.500000	104.816	16.7412
26.900000	104.846	15.6723
27.200001	104.868	14.8877
27.600000	104.897	13.8617
28.000000	104.924	12.8539
28.500000	104.957	11.6144
29.000000	104.988	10.3967
29.500000	105.015	9.2020
30.000000	105.039	8.0279
30.400000	105.055	7.1001
30.700001	105.067	6.4100
31.100000	105.079	5.4984
31.500000	105.090	4.5988
32.000000	105.100	3.4943
32.500000	105.109	2.4101
33.000000	105.118	1.3394
33.500000	105.125	0.2760
34.000000	105.132	-0.7813
34.500000	105.136	-1.8295
35.000000	105.139	-2.8648
35.500000	105.141	-3.8856
36.000000	105.141	-4.8906
36.500000	105.140	-5.8786
37.000000	105.137	-6.8485
37.500000	105.134	-7.8011
38.200001	105.128	-9.1116
38.700001	105.123	-10.0352
39.500000	105.112	-11.4926
40.000000	105.104	-12.3891
40.599998	105.093	-13.4501
41.200001	105.080	-14.4965
41.799999	105.066	-15.5294
42.500000	105.048	-16.7167
43.099998	105.031	-17.7187
43.700001	105.013	-18.7067
44.400002	104.990	-19.8408
45.000000	104.970	-20.7963
45.500000	104.952	-21.5817
46.200001	104.928	-22.6685
46.799999	104.907	-23.5925
47.500000	104.881	-24.6645
48.200001	104.854	-25.7293
48.700001	104.834	-26.4834
49.400002	104.803	-27.5259
50.000000	104.775	-28.4046
50.799999	104.737	-29.5536
51.500000	104.704	-30.5410
52.200001	104.670	-31.5176
53.000000	104.631	-32.6248
53.799999	104.590	-33.7218
54.500000	104.554	-34.6727
55.200001	104.517	-35.6160
56.000000	104.474	-36.6825
57.000000	104.420	-37.9919
58.000000	104.367	-39.2786
59.000000	104.313	-40.5488
60.000000	104.259	-41.8002
60.799999	104.214	-42.7866
61.500000	104.174	-43.6372
62.200001	104.133	-44.4748
63.000000	104.086	-45.4183
64.000000	104.027	-46.5837
65.000000	103.967	-47.7339
66.000000	103.906	-48.8643
67.000000	103.845	-49.9771
68.000000	103.784	-51.0775
69.000000	103.723	-52.1648
70.000000	103.661	-53.2376
71.000000	103.600	-54.2972
72.000000	103.538	-55.3451
73.000000	103.476	-56.3813
74.000000	103.414	-57.4053
75.000000	103.353	-58.4180
76.199997	103.279	-59.6206
77.500000	103.197	-60.9069
78.800003	103.115	-62.1739
80.000000	103.038	-63.3271
81.199997	102.961	-64.4675
82.500000	102.878	-65.6919
83.800003	102.794	-66.9098
85.000000	102.717	-68.0311
86.199997	102.640	-69.1486
87.500000	102.556	-70.3493
88.500000	102.491	-71.2619
90.000000	102.393	-72.6098
91.199997	102.315	-73.6706
92.500000	102.229	-74.8038
93.800003	102.144	-75.9224
95.000000	102.066	-76.9441
96.199997	101.988	-77.9569
97.500000	101.903	-79.0442
98.800003	101.818	-80.1189
100.000000	101.740	-81.0978
101.500000	101.641	-82.3023
103.000000	101.542	-83.4840
104.400002	101.448	-84.5637
106.000000	101.340	-85.7654
107.500000	101.237	-86.8556
109.000000	101.132	-87.9069
110.599998	101.019	-88.9818
112.000000	100.921	-89.8767
113.800003	100.796	-90.9469
115.000000	100.716	-91.5972
117.199997	100.586	-92.6373
118.000000	100.548	-92.9702
120.599998	100.467	-93.9949
122.000000	100.457	-94.6191
124.099998	100.469	-95.8340
125.000000	100.477	-96.4799
126.500000	100.481	-97.7066
128.000000	100.466	-99.0620
131.500000	100.343	-102.3104
132.000000	100.318	-102.7567
134.000000	100.207	-104.4694
136.000000	100.087	-106.0697
138.000000	99.966	-107.5743
140.000000	99.844	-109.0014
143.000000	99.664	-111.0343
145.000000	99.547	-112.3408
147.500000	99.405	-113.9375
150.000000	99.268	-115.5001
152.500000	99.135	-117.0356
155.000000	99.006	-118.5493
157.500000	98.881	-120.0374
160.000000	98.756	-121.4968
162.500000	98.632	-122.9351
165.000000	98.510	-124.3664
167.500000	98.390	-125.7952
170.000000	98.274	-127.2132
172.500000	98.162	-128.6141
175.000000	98.052	-130.0026
177.500000	97.944	-131.3846
180.000000	97.837	-132.7611
182.500000	97.729	-134.1305
185.000000	97.621	-135.4908
187.500000	97.512	-136.8377
190.000000	97.403	-138.1680
192.500000	97.295	-139.4837
195.000000	97.187	-140.7904
197.500000	97.081	-142.0919
200.000000	96.976	-143.3890
203.000000	96.852	-144.9358
206.000000	96.729	-146.4639
209.000000	96.608	-147.9681
212.000000	96.486	-149.4527
214.000000	96.404	-150.4363
218.000000	96.242	-152.3931
220.000000	96.162	-153.3607
224.000000	96.005	-155.2474
227.000000	95.895	-156.6077
230.000000	95.794	-157.9270
233.000000	95.705	-159.2251
236.000000	95.632	-160.5325
240.000000	95.554	-162.3567
243.000000	95.507	-163.8254
247.000000	95.444	-165.9302
250.000000	95.391	-167.5993
254.000000	95.304	-169.8973
258.000000	95.197	-172.2143
262.000000	95.071	-174.4844
265.000000	94.970	-176.1217
269.000000	94.834	-178.1888
272.000000	94.734	-179.6479
276.000000	94.607	178.5226
280.000000	94.491	176.8207
285.000000	94.359	174.8641
290.000000	94.235	173.0721
295.000000	94.111	171.3988
300.000000	93.985	169.7856
304.000000	93.884	168.5037
307.000000	93.810	167.5384
311.000000	93.713	166.2461
315.000000	93.617	164.9558
320.000000	93.497	163.3621
325.000000	93.378	161.8062
330.000000	93.262	160.2932
335.000000	93.153	158.8170
340.000000	93.053	157.3744
345.000000	92.958	155.9702
350.000000	92.865	154.6030
355.000000	92.770	153.2624
360.000000	92.673	151.9407
365.000000	92.578	150.6458
370.000000	92.485	149.3973
375.000000	92.397	148.2128
382.000000	92.286	146.6763
387.000000	92.213	145.6588
395.000000	92.103	144.1251
400.000000	92.035	143.2036
406.000000	91.954	142.1259
412.000000	91.875	141.0701
418.000000	91.799	140.0273
425.000000	91.716	138.8262
431.000000	91.649	137.8086
437.000000	91.586	136.7994
444.000000	91.515	135.6274
450.000000	91.457	134.6192
455.000000	91.411	133.7762
462.000000	91.348	132.6055
468.000000	91.296	131.6243
475.000000	91.238	130.5166
482.000000	91.186	129.4586
487.000000	91.153	128.7373
494.000000	91.114	127.7690
500.000000	91.085	126.9662
508.000000	91.049	125.9155
515.000000	91.017	124.9987
522.000000	90.986	124.0790
530.000000	90.953	123.0296
538.000000	90.925	121.9951
545.000000	90.908	121.1138
552.000000	90.894	120.2552
560.000000	90.884	119.2910
570.000000	90.874	118.0934
580.000000	90.868	116.9014
590.000000	90.866	115.7303
600.000000	90.870	114.6060
608.000000	90.880	113.7518
615.000000	90.894	113.0378
622.000000	90.911	112.3475
630.000000	90.935	111.5721
640.000000	90.966	110.6037
650.000000	90.999	109.6232
660.000000	91.035	108.6261
670.000000	91.077	107.6293
680.000000	91.125	106.6513
690.000000	91.181	105.6961
700.000000	91.241	104.7515
710.000000	91.305	103.7965
720.000000	91.372	102.8185
730.000000	91.443	101.8146
740.000000	91.517	100.7915
750.000000	91.595	99.7599
762.000000	91.697	98.5183
775.000000	91.816	97.1753
788.000000	91.941	95.8440
800.000000	92.060	94.6274
812.000000	92.187	93.4110
825.000000	92.333	92.0913
838.000000	92.481	90.7756
850.000000	92.622	89.5671
862.000000	92.769	88.3811
875.000000	92.936	87.1519
885.000000	93.068	86.2606
900.000000	93.276	85.0053
912.000000	93.451	84.0412
925.000000	93.644	82.9967
938.000000	93.839	81.9106
950.000000	94.020	80.8375
962.000000	94.203	79.6815
975.000000	94.403	78.3362
988.000000	94.604	76.8993
1000.000000	94.789	75.5021
1015.000000	95.021	73.6827
1030.000000	95.254	71.7992
1044.000000	95.473	69.9908
1060.000000	95.721	67.8620
1075.000000	95.951	65.7867
1090.000000	96.176	63.6228
1106.000000	96.408	61.2254
1120.000000	96.606	59.0655
1138.000000	96.851	56.2524
1150.000000	97.009	54.3907
1172.000000	97.295	51.0572
1180.000000	97.398	49.8729
1206.000000	97.718	46.0857
1220.000000	97.880	44.0595
1241.000000	98.111	41.0448
1250.000000	98.208	39.7722
1265.000000	98.367	37.6882
1280.000000	98.523	35.6571
1315.000000	98.870	31.1183
1320.000000	98.918	30.4941
1340.000000	99.108	28.0706
1360.000000	99.298	25.7528
1380.000000	99.487	23.4912
1400.000000	99.667	21.2364
1430.000000	99.927	17.8522
1450.000000	100.098	15.6400
1475.000000	100.308	13.0046
1500.000000	100.517	10.5515
1525.000000	100.725	8.2697
1550.000000	100.927	6.0925
1575.000000	101.122	3.9473
1600.000000	101.308	1.8109
1625.000000	101.485	-0.2824
1650.000000	101.657	-2.2659
1675.000000	101.823	-4.0804
1700.000000	101.986	-5.7125
1725.000000	102.142	-7.1885
1750.000000	102.292	-8.5474
1775.000000	102.436	-9.8350
1800.000000	102.575	-11.1039
1825.000000	102.708	-12.4274
1850.000000	102.833	-13.8798
1875.000000	102.948	-15.4877
1900.000000	103.056	-17.2233
1925.000000	103.160	-19.0430
1950.000000	103.259	-20.9271
1975.000000	103.348	-22.8746
2000.000000	103.425	-24.8651
2030.000000	103.502	-27.2432
2060.000000	103.565	-29.5062
2090.000000	103.615	-31.5551
2120.000000	103.658	-33.3610
2140.000000	103.682	-34.4639
2180.000000	103.711	-36.6162
2200.000000	103.716	-37.7388
2240.000000	103.704	-40.1406
2270.000000	103.681	-42.0334
2300.000000	103.650	-43.9462
2330.000000	103.611	-45.8508
2360.000000	103.562	-47.7348
2400.000000	103.485	-50.1884
2430.000000	103.419	-51.9603
2470.000000	103.323	-54.1979
2500.000000	103.247	-55.7621
2540.000000	103.144	-57.7205
2580.000000	103.033	-59.6030
2620.000000	102.916	-61.4124
2650.000000	102.828	-62.6663
2690.000000	102.714	-64.1392
2720.000000	102.629	-65.0833
2760.000000	102.517	-66.1168
2800.000000	102.411	-66.8877
2850.000000	102.281	-67.5677
2900.000000	102.147	-68.0986
2950.000000	102.000	-68.5378
3000.000000	101.831	-68.7965
3040.000000	101.671	-68.7457
3070.000000	101.534	-68.4867
3110.000000	101.329	-67.8046
3150.000000	101.102	-66.7579
3200.000000	100.801	-65.0309
3250.000000	100.506	-62.9084
3300.000000	100.250	-60.2978
3350.000000	100.068	-57.0151
3400.000000	99.973	-53.0795
3450.000000	99.964	-48.7356
3500.000000	100.045	-44.2214
3550.000000	100.233	-39.7132
3600.000000	100.547	-35.4167
3650.000000	100.977	-31.6274
3700.000000	101.477	-28.6500
3750.000000	101.976	-26.6110
3820.000000	102.566	-25.0499
3870.000000	102.866	-24.4761
3950.000000	103.128	-23.7838
4000.000000	103.173	-23.2396
4060.000000	103.124	-22.3483
