* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.318
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 19 Aug, 2022 10:34:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KINERA CELEST
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.948	58.2304
20.299999	88.010	57.4113
20.600000	88.082	56.5907
20.900000	88.134	55.7763
21.200001	88.133	54.9729
21.400000	88.139	54.4436
21.799999	88.181	53.4001
22.000000	88.210	52.8865
22.400000	88.242	51.8797
22.700001	88.279	51.1473
23.000000	88.340	50.4381
23.299999	88.389	49.7518
23.600000	88.426	49.0871
24.000000	88.482	48.2336
24.299999	88.533	47.6188
24.700001	88.589	46.8343
25.000000	88.624	46.2704
25.400000	88.668	45.5437
25.799999	88.711	44.8343
26.200001	88.758	44.1356
26.500000	88.792	43.6186
26.900000	88.827	42.9397
27.200001	88.845	42.4365
27.600000	88.866	41.7682
28.000000	88.881	41.0974
28.500000	88.893	40.2569
29.000000	88.910	39.4248
29.500000	88.922	38.6056
30.000000	88.921	37.7951
30.400000	88.925	37.1526
30.700001	88.932	36.6773
31.100000	88.934	36.0582
31.500000	88.931	35.4596
32.000000	88.943	34.7412
32.500000	88.988	34.0505
33.000000	89.021	33.3797
33.500000	89.043	32.7262
34.000000	89.068	32.0971
34.500000	89.091	31.5012
35.000000	89.105	30.9322
35.500000	89.120	30.3685
36.000000	89.141	29.7985
36.500000	89.156	29.2340
37.000000	89.156	28.6885
37.500000	89.145	28.1522
38.200001	89.134	27.3829
38.700001	89.145	26.8315
39.500000	89.134	26.0107
40.000000	89.118	25.5251
40.599998	89.117	24.9362
41.200001	89.111	24.3480
41.799999	89.102	23.7911
42.500000	89.097	23.1807
43.099998	89.095	22.6651
43.700001	89.105	22.1488
44.400002	89.123	21.5545
45.000000	89.141	21.0586
45.500000	89.155	20.6550
46.200001	89.181	20.0999
46.799999	89.201	19.6283
47.500000	89.193	19.0881
48.200001	89.172	18.5738
48.700001	89.160	18.2223
49.400002	89.130	17.7339
50.000000	89.094	17.3118
50.799999	89.060	16.7654
51.500000	89.036	16.3014
52.200001	89.026	15.8267
53.000000	89.024	15.2968
53.799999	89.022	14.8083
54.500000	89.028	14.3808
55.200001	89.040	13.9554
56.000000	89.045	13.5000
57.000000	89.048	12.9266
58.000000	89.029	12.3953
59.000000	88.993	11.9054
60.000000	88.947	11.3498
60.799999	88.909	10.9416
61.500000	88.891	10.6031
62.200001	88.874	10.2473
63.000000	88.857	9.8518
64.000000	88.850	9.3876
65.000000	88.851	8.9190
66.000000	88.860	8.4651
67.000000	88.859	8.0478
68.000000	88.849	7.6361
69.000000	88.817	7.2106
70.000000	88.775	6.8190
71.000000	88.732	6.4303
72.000000	88.684	6.0287
73.000000	88.648	5.6462
74.000000	88.642	5.2976
75.000000	88.649	4.9373
76.199997	88.656	4.5276
77.500000	88.648	4.0800
78.800003	88.596	3.6554
80.000000	88.537	3.2936
81.199997	88.489	2.9363
82.500000	88.432	2.5173
83.800003	88.411	2.1620
85.000000	88.415	1.8009
86.199997	88.420	1.4768
87.500000	88.402	1.0764
88.500000	88.373	0.8441
90.000000	88.306	0.4509
91.199997	88.250	0.1769
92.500000	88.205	-0.1505
93.800003	88.186	-0.4455
95.000000	88.181	-0.7437
96.199997	88.184	-1.0050
97.500000	88.179	-1.2814
98.800003	88.128	-1.5509
100.000000	88.078	-1.7726
101.500000	88.011	-2.0877
103.000000	87.956	-2.3856
104.400002	87.941	-2.6246
106.000000	87.932	-2.9330
107.500000	87.918	-3.1980
109.000000	87.874	-3.4449
110.599998	87.807	-3.7214
112.000000	87.737	-3.9268
113.800003	87.695	-4.2013
115.000000	87.691	-4.3593
117.199997	87.679	-4.6704
118.000000	87.667	-4.7724
120.599998	87.560	-5.1103
122.000000	87.501	-5.2302
124.099998	87.460	-5.5174
125.000000	87.455	-5.6352
126.500000	87.439	-5.8380
128.000000	87.422	-5.9506
131.500000	87.284	-6.3380
132.000000	87.261	-6.3724
134.000000	87.216	-6.5801
136.000000	87.210	-6.7090
138.000000	87.195	-6.8481
140.000000	87.118	-6.9865
143.000000	87.006	-7.2489
145.000000	86.986	-7.3910
147.500000	86.968	-7.5329
150.000000	86.898	-7.6778
152.500000	86.801	-7.8129
155.000000	86.755	-7.9314
157.500000	86.740	-8.0262
160.000000	86.671	-8.0712
162.500000	86.597	-8.2171
165.000000	86.564	-8.2773
167.500000	86.551	-8.3349
170.000000	86.503	-8.4113
172.500000	86.407	-8.4368
175.000000	86.360	-8.5011
177.500000	86.345	-8.5660
180.000000	86.298	-8.5834
182.500000	86.231	-8.5963
185.000000	86.180	-8.5824
187.500000	86.152	-8.6057
190.000000	86.074	-8.6086
192.500000	85.986	-8.5768
