* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.518
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 4 Mar, 2023 1:54:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ZVX Mar 4
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.519	-3.6196
20.299999	94.496	-4.0798
20.600000	94.475	-4.5276
20.900000	94.456	-4.9658
21.200001	94.439	-5.3961
21.400000	94.426	-5.6749
21.799999	94.402	-6.2040
22.000000	94.390	-6.4512
22.400000	94.367	-6.9124
22.700001	94.352	-7.2407
23.000000	94.338	-7.5673
23.299999	94.322	-7.8947
23.600000	94.304	-8.2177
24.000000	94.275	-8.6277
24.299999	94.251	-8.9143
24.700001	94.218	-9.2761
25.000000	94.194	-9.5455
25.400000	94.161	-9.9155
25.799999	94.125	-10.2964
26.200001	94.086	-10.6766
26.500000	94.057	-10.9577
26.900000	94.018	-11.3308
27.200001	93.990	-11.6139
27.600000	93.954	-11.9972
28.000000	93.918	-12.3821
28.500000	93.877	-12.8600
29.000000	93.839	-13.3387
29.500000	93.802	-13.8162
30.000000	93.765	-14.2719
30.400000	93.736	-14.6111
30.700001	93.716	-14.8536
31.100000	93.689	-15.1692
31.500000	93.663	-15.4773
32.000000	93.628	-15.8420
32.500000	93.592	-16.1788
33.000000	93.557	-16.5070
33.500000	93.521	-16.8451
34.000000	93.480	-17.1835
34.500000	93.436	-17.5019
35.000000	93.394	-17.8044
35.500000	93.354	-18.1151
36.000000	93.315	-18.4441
36.500000	93.275	-18.7805
37.000000	93.234	-19.1116
37.500000	93.194	-19.4335
38.200001	93.141	-19.8692
38.700001	93.104	-20.1711
39.500000	93.046	-20.6411
40.000000	93.009	-20.9194
40.599998	92.965	-21.2336
41.200001	92.922	-21.5377
41.799999	92.878	-21.8375
42.500000	92.825	-22.1771
43.099998	92.781	-22.4684
43.700001	92.735	-22.7635
44.400002	92.680	-23.0950
45.000000	92.635	-23.3669
45.500000	92.599	-23.5955
46.200001	92.547	-23.9125
46.799999	92.504	-24.1698
47.500000	92.455	-24.4640
48.200001	92.404	-24.7543
48.700001	92.368	-24.9487
49.400002	92.318	-25.2042
50.000000	92.276	-25.4224
50.799999	92.220	-25.7179
51.500000	92.170	-25.9724
52.200001	92.121	-26.2207
53.000000	92.065	-26.5033
53.799999	92.009	-26.7780
54.500000	91.960	-26.9996
55.200001	91.914	-27.2181
56.000000	91.859	-27.4719
57.000000	91.788	-27.7551
58.000000	91.722	-28.0186
59.000000	91.657	-28.3021
60.000000	91.589	-28.5852
60.799999	91.536	-28.7963
61.500000	91.490	-28.9784
62.200001	91.444	-29.1530
63.000000	91.393	-29.3420
64.000000	91.327	-29.5719
65.000000	91.262	-29.7565
66.000000	91.202	-29.9506
67.000000	91.139	-30.1865
68.000000	91.070	-30.3882
69.000000	91.007	-30.5695
70.000000	90.945	-30.7567
71.000000	90.886	-30.9164
72.000000	90.830	-31.1000
73.000000	90.769	-31.2640
74.000000	90.711	-31.3950
75.000000	90.653	-31.5446
76.199997	90.583	-31.7162
77.500000	90.508	-31.9031
78.800003	90.430	-32.0750
80.000000	90.363	-32.1898
81.199997	90.301	-32.3400
82.500000	90.224	-32.4891
83.800003	90.153	-32.5855
85.000000	90.091	-32.7009
86.199997	90.027	-32.8201
87.500000	89.959	-32.9264
88.500000	89.907	-33.0123
90.000000	89.828	-33.1302
91.199997	89.766	-33.1958
92.500000	89.702	-33.2880
93.800003	89.635	-33.3501
95.000000	89.580	-33.4039
96.199997	89.521	-33.4917
97.500000	89.452	-33.5378
98.800003	89.392	-33.5582
100.000000	89.337	-33.6243
101.500000	89.268	-33.6661
103.000000	89.198	-33.7325
104.400002	89.137	-33.7399
106.000000	89.064	-33.7730
107.500000	89.000	-33.7944
109.000000	88.932	-33.8267
110.599998	88.862	-33.8190
112.000000	88.806	-33.8529
113.800003	88.729	-33.8435
115.000000	88.677	-33.8456
117.199997	88.591	-33.8340
118.000000	88.557	-33.8158
120.599998	88.455	-33.8055
122.000000	88.402	-33.7707
124.099998	88.322	-33.7626
125.000000	88.285	-33.7455
126.500000	88.230	-33.6984
128.000000	88.177	-33.6703
131.500000	88.050	-33.5844
132.000000	88.030	-33.5670
134.000000	87.960	-33.4647
136.000000	87.893	-33.3916
138.000000	87.827	-33.3373
140.000000	87.760	-33.2552
143.000000	87.657	-33.1698
145.000000	87.600	-33.0487
147.500000	87.524	-32.9471
150.000000	87.444	-32.7373
152.500000	87.368	-32.6971
155.000000	87.296	-32.5472
157.500000	87.223	-32.4454
160.000000	87.154	-32.2649
162.500000	87.081	-32.1339
165.000000	87.014	-31.9827
167.500000	86.949	-31.8182
170.000000	86.885	-31.6692
172.500000	86.821	-31.5236
175.000000	86.760	-31.3196
177.500000	86.694	-31.1859
180.000000	86.641	-31.0309
182.500000	86.578	-30.8647
185.000000	86.517	-30.7150
187.500000	86.467	-30.5251
190.000000	86.417	-30.3346
192.500000	86.355	-30.1425
195.000000	86.302	-29.9574
197.500000	86.251	-29.7855
